great 	 recently spend night Premier Inn Euston , must say location hotel Euston Station king cross great , go visit Parents Berwick upon Tweed quiet regularly good hotel close station great . need get early morning train , would recomend Hotel , staff polite room clean , breakfast reasonable buffet could eat whatever liked even start 6.30am . I hope help anyone plan stay London . 
 Nov 25 2009 	 good frill hotel good location 	 hotel expect , frill hotel focus basic need traveler . friendly staff . room clean , heating work fine hot water plentiful . complaint humidity room excessive . water condense window form puddle inner outer set window . run AC least part time would probably help . anyway , due humidity air room whiff mold . breakfast hotel restaurant . breakfast nice selection item range healthy anything . 
 Nov 20 2009 	 nothing complain 	 stay overnight day ago whilst London work . reception staff welcome considerate could not ask . room wonderfully clean . as woman travel alone always aware safety feel safe possible hotel . meet member staff corridor say & quot ; hello & quot ; , simple thing something get everywhere ! ! ! reception offer meal deal .. £ 20 breakfast two course dinner plus drink . excellent value well worth money . would recommend . dining room small number people choose use good sign many people choose eat house . leave go dinner breakfast last minute . reception book table still wait line staff wonderful . I face Euston Road room 207 , good night sleep guarantee double glaze good road never sleep hear siren night . hotel staff fault central London all . a positive experience look fault ! ! ! travel alone work quite lonely attitude staff make feel value appear case customer . always someone find something complain . room £ 120 night central London . 
 Nov 17 2009 	 good enough we ! 	 good sized room , spotlessly clean , newish hotel , ok location ( good St Pancras & amp ; British Museum ) , friendly staff . breakfast room big enough prepared queue peak time . good value breakfast want full english lack cheese cold meat limit continental choice . experience road guest noise . no shaver socket room run adaptor prepare . overall goodish value money London 
 Nov 17 2009 	 Service beyond expectation 	 choose hotel check review bit concerned honest , feel come Premier Inn pretty much know be go get ... wrong , get much ! informed Premier Inn Euston would arrive 8 pm drive Glasgow . 11 pm reception call make sure okay . reception warm welcome guy reception acknowledge kid give couple kid pack contain crayon , colour little book . tell we ' good night sleep guarantee ' make sure know get breakfast . room fine need , smelly , damp . carpeting bit worn couple cigarette burn day smoking ban , nothing would expect busy city hotel nothing alarm unsanitary , regular minimal wear & amp ; tear ) . room corner overlook busy Dukes Road , disturb traffic noise ( window soundproof ) .I ask extra pillow way sightsee get back find have give 2.the room safe , could activate reception cost £ 1.50 per day , thing not happy , feel free essentially would protect valuable people access room ( ie staff ) .Breakfast £ 7.95 per adult , 2 kid per adult dining free . ' all eat ' Premier Inn withdraw offer due kid eat house home appologise ! breakfast exceptional , self service cook continental available . plenty despite busy really good quality ( Lincolnshire sausage , extra like poach / boil egg porridge available request ) . plenty staff hand making run smoothly , top clear away . kitchen visible public dining area ( always good sign book ) immaculate . they dinner offer not take advantage , order nibble drink take room ( Premier Inn happy we , sneak around ! ) staff friendly , well present , polite smile . even pass would say hello approach reason would end contact ask happy stay could anything else we . internet access available reception ( 20p per minute , wifi room ) , print available . advise reception want book something online print ticket , give email address ask email ticket hotel would happy print off . they also mobile phone charge facility reception area never use . we plan check Saturday morning go friend 45 min drive away , decide leave Friday night instead . receptionist ask unhappy reason seem genuinely concerned leave early , reassure really need base Friday reason stay head next destination early . there park available , something like 16 space disappointing could not book parking space hotel drive 7 hrs , ample parking nearby Euston Station less 5 minute walk away ( stop outside hotel drop kid luggage indoor park ) issue entrance side street busy Dukes Road . to honest hope get cheap deal room , reflection good value money hassle whatsoever would happily pay again . to anyone consider stay would say GO ... negative review hotel , would urge bear mind people tend want share something negative complain , ' ve come let know stay . honestly could not happy Premier Inn Euston , whatever be , be right hotel could learn lot service . 
 Nov 4 2009 	 great hotel service 	 stay wife eight night would recommend everyone stay . superbly clean room , extremely quiet great service team . good buffet breakfast 8 pound top , five minute walk Euston Station . definitely stay time go London leisure . 
 Nov 1 2009 	 Damp Smelly 	 location good situate near Euston Station although face busy road , therefore , get use hear police fire siren throughout night . family room small , well equip smelly damp . water run window black mould surround frame . bed damp get home open luggage smell clothe awful . also early breakfast large queue morning go 10.00am . 
 Oct 31 2009 	 avoid smelly fifth floor 	 stay one night work . everything great , smell damp mould fifth floor . get hair , clothe feel quiet ill next morning . window room cover water . plaster around frame go soft moisture . touch plaster come away reveal black mould . staff , breakfast location good . need sort horrible damp . 
 Oct 29 2009 	 perfect 	 stay euston area decide try premier inn time . disapointe . short walk euston station ( max 5mins ) . room adequate need . bed lovely comfy . room clean even though face euston road noise disturb sleep extra soundproof place.we eat restaurant one night lovely could not fault staff friendly pleasant , also drank bar occasion problem either.breakfast buffet something everyone lovely . busy queue two morning queue move quickly . staff can not anything unfortunately everyone head time . not big issue.overall great stay would definitely stay back london.if travel to / from heathrow hotel find easy get tube king cross picadilly line change line big suitcase , far hotel . 
 Oct 23 2009 	 great base London trip 	 second time stay Premier inn I . it say tin ; accomodation 's well - price , clean , comfortable conveniently locate . the hotel 5 min walk Euston station , provide access tube network , something be vital get anywhere London . be also 10 min ( max ) walk King 's Cross St Pancras well locate . trip time dual purpose - ( ) exhibition British Museum , withe walk distance ( ii ) play Old Vic , easily reach Euston via Northern Line tube . inside , room spotless , comfortable bed , power shower , tv , air - con , etc . basically expect certain level / standard Premier Inn hotel deliver that . breakfast excellent set day . in short , thoroughly recommend . 
 oct 22 2009 	 great always 	 staff friendly , helpful curteous ever . reception staff friendly staff look room . breakfast fantastic . room spotlesly clean .only downside ignorant barman work night 20/10 ( male aged 35 - 40 ) keep disapeare closed area Costas Cafe eat food leave bar unattende several people wait buy drink 
