excellent 	 go Vegas twice year time opt Encore . overall pleased room , service price ! Checkin Saturday early evening easy smooth ( wait ) friendly welcome upgrade high floor panoramic room . room nice , decorate high standard great bathroom comfortable bed . room service good quality quick ( less 30 minute ) - extremely good Vegas . not bother take photo room look identical picture website . Litterally complaint would slightly low shower pressure ( nothing like bad Palazzo last year ! ) . overall extremely pleased would definitely stay ! 
 beautiful accommodation - long way go explore 	 read mixed review Encore decide stay , want somewhere beyond word - modern , spectacular view , central location ( ie much walking ) & amp ; prepare spend little bit get . partially happy choose location . the staff check - in friendly . agree go room & quot ; upgrade & quot ; & amp ; disappointed view room . room large & amp ; luxurious - & amp ; comfy bed ! ! real downside location . hotel long way anywhere & amp ; central strip location , rebuild outside hotel travel & amp ; noisy night , high fairly faint & amp ; do not disturb we much . however , make going & amp ; hotel bit mission . House - keeping do not replenish supply showergel etc use . 
 Niiiice 	 moment arrive moment leave , great . atmosphere - check , friendly service - check , nice casino - check . group 8 sole reason indulge little much alcohol , gambling course entertainment . room WOW , spacious suite , bed uber comfortable , great view , bathroom also large , even though spend hour 3 day , welcome thought go back room . bargain price get plus $ 75 resort credit . staff great , particular rula lobby lounge , endure drunken babble always courteous know run low , even though busy . security staff also great . definately come back 
 rate 	 person stay every nice hotel , service average well . Casio take someone 15 minute come fix machine ask 3 people . room nice small stay regular room . turn service would expect hotel class . food choice limited breakfast expect pay 60 breakfast egg alcohol . Saturday night music club hear till 2 31st floor . opinion , price worth money . 
 Disappointed 	 stay Wynn last year excited prospect stay Enocore , read hype web site . get ' suite ' nothing special feel slightly crampt compare Wynn standard resort room last year . Wynn receive nightly turndown service nice touch request , also construction work ( replace entrance casino ) say ruin stay , work 24 hour day drill bang . ( i m dramatic either ) would appreciate contact prior arrival option move hotel . this say room well appoint , nice toiletry large comfy bed . eat hotel find quite reasonable extremely good quality food ambiance ( also help big win BJ table straight cover cost ) . ' return would advise anyone look make booking resort stay Wynn 
 Nov 24 2009 	 would stay Encore encore 	 lovely hotel think go design decor truly inspiring . love red although think butterfly theme bit ' girly ' huge , sprawl building . I surprise lack complimentary water room hotel level ( tap water taste awful ) . sound - proof ( lack ) also surprise . vent air - con window , control . sit lounge area read book use laptop ( $ 12.99 per 24 hrs ) , freeze . go bed ( lounge area bathroom ) be hot night , bathroom like sauna without water ! one party hand washing evening dry next day night hang bathroom ! save laundry bill suppose ... ' m surprised vent not engineer build time construction . we wake drunk wander corridor couple weekend night Encore 's nightclub open . make sure ask room well away nightclub understand hear - another obvious sound - proof problem . could also hear room around we flush loo , muffled speech come vent bathroom ( sadly air - con vent ) , shower switch . however , never problem water pressure temperature consider many people must shower time . the spa fabulous - really luxurious well worth trip . 's shame can not use facility unless ' ve treatment day suppose limit amount people hotel 's capacity . pay $ 30 day access be treatment . the pool lose sun lunch time , due disappear behind Wynn . ' m surprised new hotel Vegas bother build pool size building ! even November warm enough ( ) lie morning although sun go behind Wynn tower , cold stay out . we breakfast Society Cafe every day , well couple evening meal , could not fault . also evening meal restaurant sport book Wynn ( can not remember name ) also good . even air - con sound - proof problem , would stay . 
 Nov 23 2009 	 hotel wonderful check - in nightmare 	 make check - in mess , enjoy stay . travel car group Arizona Utah . tour start Encore two night end Encore two night five day later . make arrangement room dinner handle well hotel . allow we park car valet lot work well . get check - in , nightmare , book Tower Suites , check - in area . 2:30 room not ready , 3:00 room not ready , 4:00 room ready request floor . wife 's name reservation would let check , even husband call confirmed credit card , even rule consistant . five day later return craziness , room not ready . tell going put one room go back get key 2 hour , give room someone else . top notch hotel check - in process mess . rest stay nice . room nice , staff , except check - in , friendly . view room fantastic . restaurant Encore Wynn great . shop great . 
 Nov 23 2009 	 not think repeat 	 boyfriend make point come visit Vegas least year ' e always stay signature ( way always excellent stay ) . decide try something else time pick Encore . not get wrong , hotel , decor , room beautiful . ' m fan red despite fact make lobby casino look bordello - ish . room nice ... love bed drape course view . bathroom nothing spectacular .. still prefer SIgnature 's huge jetted tub . like toiletry . oh robe awesome ! one thing really need work soundproof . felt like could hear adjoining room 's toilet flush door bang room . oh be hall walk past room hear conversation whatnot go behind closed door . microwave , fridge , coffeemaker ! prepare pay every little comfort . comp . bottle water like signature . want use laptop stay , prepared pay $ 13.99 24 hour internet access laptop . steer clear minibar goody find room . mean not even touch lift charge . housekeep great ! roomservice expensive get try rib . die ! also not like fact someone security ( guess ) stand walkway elevator ask guest show room key . 
 Nov 21 2009 	 Wynn Encore 	 luxurious suite elegant decor , food amazing , balcony bar behind fall must see night ! 
 Nov 19 2009 	 Pass Hotel 	 3 night 4 day Encore Hotel will not hotel stay . upon check computer crash , wait almost 25 minute get key not universal key go room find room extremely hot . put AC 60 find not help .. big note hotel A / c vent bathroom . want shower hot bathroom attempt dry hair . Got fan not help . tell room move . call repair man wine bar brain element expose .. guess one check thing refill bar .. pretty obvious .. duh . finally go back registration get universal key listen guest next we get offer upgrade room high floor ... gee think not available .. course complain night manager get we move high floor 11 pm night .. least get elevator tell floor much cool new room AC actually work . still cool bathroom well . spa staff Saturday Sunday extremely rude .. check get locker get hassle gym suppose get pass use facility rude employee spa say not need one . ask staff gym say need would spa staff say not ? ? spa self fine prep area get dress put makeup dry hair terrible .. poor lighting enough clean brush use . fact not know clean .. advise bring hair brush . pool area spot definite smell sewer not pleasant .. find waitress difficult pool .. plenty guest around pool area could staff accomodate .. see guest ask thing never bring .. restaurant good exception Switch .. staff not seem know change glass pour different bottle wine .. corkage $ 50 bottle happen .. not impress food Switch either .. many hotel strip try first stay hotel .. send comment hotel via email get back sorry .. spend money elsewhere next time .. 
 Nov 19 2009 	 ? 	 Encore great job stay Las Vegas . I not know train motivate staff provide consistently good experience every single person interact go beyond helpful pleasant . our room 59th floor right - sized . small particularly big . however decor detail amazing . open close drape , change privacy sign , adjust light , 's bedside controller . bedside phone cordless , desk phone business size , bathroom phone convenient . large flat screen tv swivel watch bed area living room . large bathroom bath , nice glass shower , tv , separate toilet , large , two - person counter top . full - sized professional - style hair dryer provide . our room back hotel view impressive wall - sized widow .. must amazing front - side overlook Strip . everything hotel expensive although quality food restaurant room service good . try easy comp Society Restaurant casino . esplanade store rich . get snack food drink nearby Wallgreens . mini - bar refrigerator can not really use personal stuff within minute phone call housekeeping little refrigerator duration . I suggest , like we , rent car use travel casino casino ( valet park price tip ) Hoover Dam etc . bring GPS rent one car . 
 Nov 18 2009 	 guest treat equally 	 upon return hotel great comedy show , taxi , well twenty ( 20 ) surround we , unable enter otherwise regular entrance / exit thoroughfare due Wynn employee place pilon & amp ; guard , driveway . exit taxi patron force drop middle otherwise busy traffic lane . , party four ( 4 ) admonish & quot ; Steve & quot ; security attempt utilize & quot ; private entrance & quot ; , although use repeatedly prior thereto , twenty - four ( 24 ) hrs . w/ blessing Wynn employee 
 Nov 17 2009 	 Beautiful Property Service Par 	 husband arrive three night stay 2 pm Sunday afternoon . lobby check - in zoo people , although dozen people work front desk , wait 20 min check . noisy literally could hear woman check , although lean close practically shouting . make reservation , agent tell would get room strip view high floor . case . try upsell room Tower Suites 17th floor $ 50 night decline , finally , fourth offer , upsold $ 25 night call & quot ; Panoramic View & quot ; 57th floor indeed great view strip . stay promotion , one night complimentary , check - in tell $ 25 upsell would apply two pay night , check - out , different story . want $ 25 extra complimentary night . ( contrast , stay four season Las Vegas six week prior , upgrade we gorgeous strip view charge ) . get feel Steven Wynn spend pile money place -- absolutely gorgeous , nickel dim guest get return investment . however , irritate guest .. also Steve Wynn 's photo pop throughout hotel , narrator in - room video selling hotel . ' ve probably see tv commercial sit top building . bit much taste . seem Steve Wynn bit full , pass trait many employee , pretentious attitude -- turn guest . room beautiful , take bit getting use , decorate bit loudly taste . one wall cover large black white houndstooth design . amenity bathroom nice , great . bring Q - tip , one supply flimsy , poke ear careful . two negative coffee maker room pay internet access . coffee two Room Service $ 25 , go lobby bar buy morning coffee $ 4 cup . ( contrast , stay Four Seasons , room coffee maker , complimentary morning coffee tea serice lobby , choice three complimentary morning newspaper . ) Encore 's spa cost $ 30 per day , Four Season 's include . use hotel 's spa , IMO Four Season 's nice , though small . one morning breakfast Terrace Cafe Wynn . service bad -- food arrive half hour , arrive cold -- compe we 50 % meal . well % 100 percent service bad , guess restuarant manager would get ok Mr. Wynn comp we entire breakfast . another day eat breakfast Encore 's Society Cafe . service good -- even give we & quot ; free & quot ; USA Today read -- get run . two regular entree two cup coffee , bill come $ 50 . breakfast two . also eat Wynn Buffet eat several time . stil good , good . also eat z - something deli tasty though pricey . highlight see show Le Reve . quite spectacle dancer , gymnist , muscle man , etc . another lowlight stay one evening walk Sinatra restaurant look menu . , one destination go Sinatra Sinatra . big security guard stop , say , & quot ; go restaurant ? & quot ; criminal . & quot ; yes , & quot ; say , think , else would go . guest treat way . another problem mini bar . pick bottle hand lotion look lable 30 second . $ 12 charge appear bill , took complain . not touch anything minibar unless go buy . , Mr. Wynn provide little booklet hawk many item room . like sheet ? buy mere $ 300 . Etc . will even sell bed $ 3,000 . however , nowhere room comment card , ask guest stay . guess Mr. Wynn not care . check Wednesday , zoo , wait 20 minute 2 people staff check . guy ask people express check everyone decline , guess want see bill , make sure weird charge slip . final thought , beautiful physical property , employee service training need big shot arm , Mr. Wynn make guest feel welcome relaxed , like watch hit money every turn . btw hotel get award 5 Diamond AAA awarad , waste time toot horn . postscript : short line hotel casino cashier . one cash . 
 Nov 17 2009 	 beautiful hotel wonderful stay housekeeping could well 	 arrive Sunday lunchtime 3 night stay wait 15 minute check . sort , check clerk call bell desk we bag deliver room . wait 10 minute arrive bell hop pleasant , helpful grateful tip give . get room fantastic rate $ 109 per night . the room lovely view north Strip ( Circus Circus , Stratosphere , Riviera ) leave Wynn golf course convention centre right . the drape light centrally control little pad beside bed husband enjoy tinker . safe inside wardrobe easy set free use little bit small room husband keep binocular . fine store passport ticket though . the communal area immaculately keep red theme beautiful throughout . casino ' busy never problem get favourite slot machine . cocktail service pretty good casino waitress outfit beautiful Vegas ( black backless tiny crystal ) .Although ' spend time pool trip check pool area absolutely gorgeous . show room key gain access immediately offer towel decline . stroll around pool peaceful . gardens immaculate . if find fault hotel room would say housekeeping let down . the black couch quite dusty dubious white stain . sticky cup stain desk stay duration stay . glass use room wash three day . housekeeping come room make bed fold / replace towel . amenity use replace ' tidy spruce room ( although never forget put card advertising Encore shop , restaurant spa service bed ) . although little bit disappointing 5 star hotel certainly ' bad enough make complain front desk spoil Encore experience way . stay long 3 night may place call housekeeping ' seem worth short period time stay . 
 Nov 17 2009 	 Awesome Place stay 	 check Encore prefer stay new hotel allergy . pick airport one Wynn Rolls Royces , driver super friendly drive tower suit private entrance . check quick easy , suite amazing . spacious , new smell , bed super comfortable suite even private massage table room . food room service fantastic casino host make sure anything need , happen . 
