not 	 stay 1:30 a.m. one night , stress hotel ( cost ! ) especially worry review place whether could find affordable , centrally locate , nice hotel London . wish go bed early night , hotel fine . not grand- simple , small , clean place sleep . not awful , either . would book ? yeah , probably price right . however , would not go way book either . LOCATION- would not say & quot ; centrally & quot ; located- maybe walkable Kensington Palace , be . however , 7 minute walk two different tube stop ( district , central cirlce line ) , be really matter London . breakfast- purchase Veneer breakfast include price- would ' ve extra 8 pound . , instead , stop Spar near tube stop purchase banana cereal bar . much cheaper allow we get go pace . SIZE / AMENITIES- stay room 37 . small- be american , imagine typical guest bedroom bath . however , personally not care large room 'cause active siteseeing . room include nice large hair dryer , shirt press , hot water pot instant coffee tea , large closet safe . tv cable , 5 station ... , not matter we , might other . BATHROOM- Decent size , deep tub . really bad shower pressure . tile loose floor . include lot counter space towel warm . STAFF- always seem nice enough . problem , not go way super kind anything , either . let we leave bag & quot ; luggage area & quot ; arrive early a.m. check time . luggage area really open shelf . worried hubby first first put belonging , get back later evening , luggage shelf full noone tamper luggage . NEIGHBORHOOD- street Tube exit / entrance bustling area lot food shopping . restaurant obviously gear toward tourist , unique spot , include authentic Chinese Mediterranean . be also indoor mall , mark big & quot ; W & quot ; outside near Bayswater Tube station also notice consignment shop , discover late visit . ... be late read super worried accomodation ... book ! 
 Nov 11 2009 	 do not bother 	 stay hotel 2 night . hotel quite small . enter room surprise small , also crack cele decor date . room also locate right next boilor room noisy night . pay bed breakfast suprise end stay charge breakfast . good job decide eat second day disgusting way worth money ! visit London stay worth money . 
 Nov 2 2009 	 would come back 	 like rewie , agree room tiny , use sleep , , ok . staff friendly helpful . really close Hyde Park . 
 Oct 30 2009 	 little disappointing 	 room small one ever stay - enough room one person walk around whilst sit bed . bathroom mold shower , light pull sink filthy . good breakfast - apart tin mushroom . staff helpful polite . bed linen towel spotless . hotel quiet short walk tube station . 
 Oct 26 2009 	 give we room low ground 	 not pay much , 210 £ two night . - get bad room whole hotel : room 2 low ground ( LG ) . clastrophobic . window view straight stair , could see bottom car .... : ( bathroom muld , good , especially friend pregnant . ok service . good location . minibar . 
 Oct 18 2009 	 nice place spend vacation London 	 Hotel Byron nice place spend vacation London . nicely locate half block Kensington Park 2 block two different tube station . several good relatively inexpensive restaurant near station . hotel small old hotel recently update . room small comfortable bath room relatively modern . interesting electrical system plug card enter room . key room attach card . leave , must take key therefore unplug card turn power room . bed comfortable hotel quiet . bath consist bathtub shower . clean modern comfortable . rug quite old stain . staff helpful friendly . breakfast , come package , good expensive 7.5 pound . end tube station breakfast morning . also couple restaurant free inexpensive web access avoid high price hotel . overall would rate hotel good would recommend other . 
 Oct 7 2009 	 brilliant location excellent value money 	 location could well , close two underground station two minute walk Hyde Park quiet street . room tiny clean comfortable bed good shower . breakfast excellent , english breakfast cook order addition usual continental selection . 
 Sep 29 2009 	 nice accessible London hotel 	 much research stay Bayswater / Paddington area London ( north Hyde Park ) , second visit London -- include correspond many reviewer contribute TripAdvisor.com -- decide Byron Hotel Queensborough Terrace . location partway Queensway Lancaster Gate Underground stop Central Line critical choice . additional reviewer comment factoring decision include friendliness staff cleanliness room . true utmost . grant , hotel room small pricey U.S. standard ... Rome , etc . could see , room update , tile bath , nice shower plenty hot water , clean sheet nice furniture . complaint initial room , first floor , bit noisey . ask move upper level , staff kindly accommodate within hour request . reader know London hotel say & quot ; coffee tea service room , & quot ; really mean tea kettle instant coffee -- drip coffee pot like U.S. hotel . , however , know previous travel London , plan ahead purchase individual coffee bag ( like tea bag ) leave state . work well taste well instant coffee take little room luggage . reader also aware , contrary electrical system U.S. , order activate electrical outlet UK , first need flip switch next outlet ( lamp ) get juice flow outlet . , plug adapter converter get electricity hair dryer flat iron ( in - room hair dryer provide , bring ) . know beforehand save make frantic phone call staff be rush get ready morning ! also , leave room , electricity automatically turn ; would recommend leave window open room not stuffy return . another bit advice : advertising say & quot ; fully air condition , & quot ; not mean level coolness be use U.S . room one air - conditioning register ( return register draw cool air , like state ) . cool factor room late September adequate , barely . London get increasingly warm year , summer become rather difficult . can not tolerate heat well ( like reviewer ) , would recommend travel late September October . again , staff fabulous ... , nice . compliment . room clean . would stay ... certainly hope within next five year ! please feel free email question , either Byron Hotel London general.heleneg @ temple.edu 
 Sep 18 2009 	 beware basement room 	 sure wonderful hotel stay -- unless put basement room . read review confirm mind . arrive late red eye flight , tube hotel , check easily , send downstairs . room huge London hotel room , shower leak strong smell mustiness ruin we . service fine , breakfast solid , room ok good price performer -- except smell ! would never want stay basement room ; might go back guarantee put . 
 Sep 17 2009 	 nice hotel clean . 	 hotel nice . room look newly refurbish . clean . love location near Hyde Park . Paddington station 15 min . walk close Queensway Tube station . might want something close sight though . room small , typical London . probably nice hotel stay London . 
 Sep 14 2009 	 Byron Hotel feel like come home 	 great time Byron Hotel ! thank - lovely helpfully staff . allway pleasure come Byron - feel like come home . thank great time London 
 Aug 22 2009 	 Fantastic well equip friendly hotel 	 stay Byron teenage daughter fantastic time . hotel easily locate direction give tube station get lose late night rang reception extremely friendly , helpful response find hotel within minute . room well equip want nothing . although not get chance use garden look beautiful central London positon restaurant well also something promise lot not chance sample . would recommend certainly use . 
 Jul 27 2009 	 Country hotel middle London ! 	 's hotel describe , far truth ! stay two night girlfriend , mum 5 year - old son , thoroughly enjoy stay . hotel situate approx 5 min walk Queensway Bayswater tube station , 2 min Hyde park . travel to / from Paddington one stop away District & amp ; Circle line . room clean well present , recently re - decorate . normal facility provide , flat screen tv wireless internet access available . breakfast slightly pricey £ 7.95 per person , reserve table night good selection continental breakfast well full english , trimming seemingly endless supply toast tea & amp ; coffee , serve friendly courteous staff . definitely stay need stay London future , would hesitation recommend Byron Hotel anyone . 
 Jul 27 2009 	 good clean hotel great location 	 would definately recommend hotel . yes room fairly small centre London - 's ! expect big look wrong class hotel price range ! get room around £ 100 per night include continental breakfast quite good London peak season ( would not happy have pay full price £ 150 - 180 though ! ) . recently renovate room nicely decorate generally clean except look like blood stain white sheet dusty skirt board . staff helpful common area clean nicely decorate . good location 5 minute walk Queensway Bayswayer tube station close hyde park ( afternoon tea Kensington palace recommend ! ) .one bit advice ask room back hotel front quite noisy . 
 Jul 21 2009 	 nice price ! 	 look place lie head night take nice shower least amount money , hotel . lovely location right Hyde Park . walk Kensington . easy access Tube . overall nice hotel . room small expect . 
 Jul 18 2009 	 good hotel clean central 	 small room . nut luxury clean . hotel central . price o.k . 1 minute away St. James Park . restaurant , shop shop mall 2 minute away . 
 Jul 17 2009 	 avoid ! a / C run - down tiny roomsvery rude staff ! 	 recently 2 day turn heel walk back minute arrive ! hate complain several reason ... mid summer hot booking aircon hotel must sadly tell a / c be not work hand one small warm bottle water fan ! room kitchen noisy could not open window . 6 am extractor fan start room like plane taking ! room cut half lift shaft next we . eventually get move next afternoon sleep one 2 day recover lack sleep ! sink wardrobe ! twin bed barely foot apart pillow pancake ! breakfast warm yogurt , cold toast , warm tin fruit god forbid get pot tea ! pay & quot ; breakfast & quot ; think consider continental- waste money , would prefer go decent breakfast ! told & quot ; management & quot ; complaint see could get extra check - out time were'nt considerite noisy room mad we miss one day 2 day holiday ! avoid cost ! big let ! shop around ! 
 Jun 30 2009 	 good value . friendly 	 clean , staff helpful , quiet . review correct ! 
 Jun 27 2009 	 clean tidy pleasant staff room rather small though 	 stay London day . location Byron Hotel convenient , near two tube station sit different line . hotel clean tidy , generally well decorate staff always pleasant . breakfast room , small amount guest hotel accommodate , work rota basis guest book ' sit ' follow morning . work principle would expect everyone turn allocated time , sometimes require book brief wait . book direct via website . room , top floor , appear build attic much small expect , much room swing proverbial cat . room small window overlook rear courtyard , standard facility would expect 3star . appear , contributor picture , much well room available building . hotel lift job lift , although ' cosy ' four occupant . summarise , would stay hotel nice enough back pleasant staff room provide large . 
 Jun 17 2009 	 good value money 	 ideally situate short walk Queensway / bayswater tube . plenty restaurant locality good access shopping tourist site . v Close Hyde Park too . double room small , well present modern furnishing . v clean . Breakfast offer £ 7.95 seem reasonable not time enjoy time . hotel also state bar , not try . reception welcome efficient . only side loud hum electrical circuit board room . light power activate slot card . solve problem remove card - good night sleep ! would recommend short business stay tourist . 
 Jun 16 2009 	 pleased hotel 	 choose hotel Byron positive comment internet agree . hotel staff helpful friendly . stay 6 night one morning start 5 noisy person close , sleep good night . room tiny everything need suitable . keep everything clean . whole hotel smoke nice astmathic person like I . I take Heathrow Connect ( cheap h.express ) Paddington walk 20 minute hotel . easy way even 10 kg trolley . Tuesday Wednesday afternoon buy cheap ticket ( theatre ) westend show 30 minute start . 
 Jun 9 2009 	 nice hotel ideally locate visit London week - end 	 stay Byron Hotel 2 night 2 couple 2 young teenager . staff friendly , room nice clean although room quite small , charming comfortable enough short stay . breakfast ok.the hotel well locate near Hyde Park 2 underground station minute walk also bus facility . many restaurant evening shopping mal 3 min . walk . certainly go back child time . 
 Jun 8 2009 	 nice clean quiet hotel near Hyde Park 	 stay 2 night June 4 - 5 , 2009 . find staff helpful friendly . room small spotless amazingly quiet consider half block bayswater Road . convenient tour bus underground . would stay . 
 Jun 3 2009 	 want place sleep ... 	 stay two night single Hotel Byron late May 2009 . good point -- good bed , in - room bath ( toilet , sink , shower ) , AC , small lift ( good lug bag stair ) , 24 - hour reception desk people knowledgeable area ( steer good indian restaurant 3 block away , two mediocre one close ) , location ( two Tube station , Bayswater Queensway , different line within two block , lot restaurant / store within two block , fairly quiet street near Hyde Park ) , tv , wi - fi internet access ... bad point -- matchbox - sized single room ( big enough luggage rack ) , first night shower door fall hand take shower ( manage fix ) , London lodge plain expensive , include one ( price similar two place look AC lift ) .unknown -- try breakfast . get see double room . conclusion -- stay want place sleep luxuriate . 
 Jun 1 2009 	 nice hotel quiet area 	 stay hotel February / March 2009 friend . initially would give room one bed , object reception staff give we room nearby hotel two separate bed . follow day could check Byron hotel give room two separate bed . staff hotel thus helpful , also advise we train schedule attraction vicinity . room quite small , clean comfortable . hotel quite easy reach Underground . Queensway bayswater station within minute walk hotel . travel Cerntral London Heathrow Express arrive Paddington station , hotel within walking distance . area around hotel pleasant Kensington Gardens Hyde Park within walking distance . would certainly stay hotel ! 
 may 24 2009 	 would definitely stay . 	 first trip London stay Byron 3 seperate occasion . would stay . yes room small like room london . staff helpful , room bathroom clean . price good could find location . location idea 2 minute walk Queensway station 4 Baystwater station . 1 mintue bayswater Rd bus . Queensway Rd shop kind restaurant , couple minute away hotel . hotel couple minute hyde park 20 easy walk Marble Arch . would recommend hotel mother andi plan stay . 
 May 21 2009 	 Budget Hotel do Right 	 get excellent rate February really feel like get great value price . room small , London , yet nicely do renovation detail like flat screen TV 's make not feel like be slum . location uber central easy tube access 's problem lot shop restaurant vicinity . not tempt breakfast truth know lot cafe nearby quick bite ( particularly enjoy Cafe Espana adjacent Queensway tube station ) . one note- store luggage facility essentially security would recommend bring lock deterrent . lovely experience would definitely recommend Byron ( assume rate stay competitive ) . 
 May 5 2009 	 ok budget trip 	 group lady weekend away Byron adequate base we . plus point room rate reasonable London room / hotel generally pleasantly decorate / furnish clean . on not - so - plus side shower screen rather curtain would preferable air conditioning work either room . breakfast sitting stagger book specific breakfast time follow morning - slightly irritate want flexibility . breakfast distinctly average ( ie , canned fruit / mushroom rather fresh ) .We negotiate part room rate would wish pay extra . say , breakfast staff pleasant & amp ; attentive coffee / toast plentiful regularly replenish without ask . also , payment stay require check - in , check - out - problem unusual mention book . the hotel advertise full concierge service license bar see evidence ( bar consist mini - bar fridge lounge staff unlock upon request ) beware luggage store hotel area end corridor open ; lock away label reception staff ( unlike hotel ever stay anywhere world ! ) . daytime reception staff simply interested ( evening staff well friendly ) .The hotel locate Bayswater Road easy access either across Hyde Park Knightsbridge ( 20 min ) along park Oxford Street ( 30 min ) .Two tube station close likely need evening little tempt bayswater ( 1 main street couple pub small selection restaurant ) .In summary , Byron good value budget stay London would recommend special occasion romantic getaway . get pay . 
 May 4 2009 	 great location friendly helpful staff ! 	 business travel couple extra day ' vacation ' end trip , thoroughly enjoy weekend stay Byron Hotel . though room bit small , clean comfortable . hotel locate nice , quiet neighborhood close Hyde Park one direction bayswater Underground station direction , excellent reason stay . easy get anywhere central London use bayswater station , walk Hyde Park hotel pleasant way spend free afternoon . staff friendly helpful , suggest place eat even print ticket voucher last minute . highly recommend Byron Hotel ! 
 Apr 28 2009 	 good experience - absolutely reccommend hotel 	 find Hotel Tripadvisor , fully agree good review find . hotel place quiet street , close tube ( Queensway station ) , street shop restaurant . friendly staff , clean cozy , nice breakfast . triple room , course could sqf large , jusr use room place sleep . recommend Hotel ... absolutely ! 
 Apr 25 2009 	 nice clean quite small 	 originally book 7 night , spare & amp ; 4 night decide come hotel , take last minute booking ( via email ) give internet rate well full breakfast , staff alway courteous helpful , breakfast substantial day manage breakfast either lunch dinner , not seem hungry breakfast . check lady front office see amount luggage we change we large room , bit surprised definition large come Australia use large hotel room take little bit getting use . double bed single , put luggage single else put . bed probably 2nd bad bed sleep away , like hard mattress , soft . hotel really good location , short walk around queensway two underground bus run end street time . would definitely stay 
 Apr 24 2009 	 Great Hotel Great Location ' ve second time . 	 hotel good link Tube bus . also good Pubs resturant near Hotel . staff friendly breakfest great ! ! normal breakfest choose buffet English Breakfest . room T.V internet conection . 
 Apr 14 2009 	 friendly staff nice hotel 	 nice hotel , friendly staff , near bayswater tube , good restaurant near bye 
 Apr 13 2009 	 clean safe tasteful hotel concern 	 one look Byron 's website statistic representative photo . redecorate do 2005 think take away & quot ; country house city & quot ; character hotel , one compare lot similar hotel area , one find still stand head shoulder other . exterior building set tone . lovely , fresh light blue colour , example , set apart ubiquitous white facade row ubiquitous similar early 19th century middle class home bayswater part London . one approach Byron , one note look clean , neat good repair . although lobby little sparse , clean tasteful , fortunately contain bust Lord Byron & amp ; two poem , simply frame wall . room name & quot ; stately & quot ; english country home still contain charming 19th print home name . seemingly minor , significant touch . room & amp ; bathroom vary exact size detail , make fit original plan two 19th century home . matter size room much one pay , one 's safety comfort great concern staff . fact , three time ' ve stay Byron , find stay , level helpfulness concern staff high . doubt due leadership management one London 's jewel , Carmen Gomez . 
 Apr 13 2009 	 parent parent - in - law like 	 twice March 2009 , bring parent - in - law ( one week later ) parent trip London . first time take family room second time take two double room . say double room well choice . breakfast provide , unless want add extra money . love red decorative piece cloth put bed ; make room look grand . however , dislike old style lock system door need turn key twice open turn opposite way one time take key ; wish could change card much fast convenient . it much cheap book online weekday , weekend place fully book . , reserve advance . bayswater lively low middle class shopping area feel safe hotel 5 minute away foot . go Hyde Park , Bayswater Queensway Tube station . 
 Apr 11 2009 	 second time 	 stay Byron hotel . attend conference later go theatre . this hotel accessible convenient major sight . the staff really friendly helpful . the atmosphere hotel relaxed service much personal corporate / souless place could stay in . admittedly room small well furnish comfy bed great power shower bathroom . everywhere spotlessly cleanbrilliant value money .Will definitely return future trip 
 Mar 14 2009 	 ok hotel 	 spend one night . highlight helpful pleasant chap reception . even upgrade single room reservation double . room ok little tired term carpet look old bed linen fray . location plus , close restaurant etc . do eat hotel comment food . 
