Love 	 hotel gr8 renovation , need gear service standard ............... 
 comfortable 	 stay Lalit brief weekend trip Delhi . positively surprised . room spacious decorate good taste , service discreet much . suit well scandinavian traveller . 
 great stay ... 	 bad stay . location ok , exactly middle thing , be fine . room 22nd floor overlook city nice . complaint reservation not ready get wait input computer again . otherwise , room clean , food service excellent great view . breakfast good real complaint . 
 Nov 23 2009 	 terrible experience 	 do not know start , bad experience begin reservation till check out . I make reservation two room call tell suite 19000 per night . I say would call later confirm . call 2 hour later quote rate 28,000 room . ask person talk manager agree give rate 19000 per night . I give credit card number reservation make . then call later book another room could find reservation adn rebook room . this terrible standard 5 star reservation . then food taste terrible . we function 10 thing menu .Out 10 prespeciife thing 8 taste terrible . then come check process , staff attitude - even person come get luggage . we convey thing hotel manager end . he make concession bad experience . but overall terrible stay , many 5 star hotel area much well service . 
 Nov 23 2009 	 hotel gorgeous service lashit 	 stay four night November 2009 , disappoint despite facelift since last year , service still : slow , unfriendly depressing . real problem hotel staff customer service compare 5 star hotel . Taj put Lalit shame , mind would travel lodge . let us start pick service airport . complimentary . great . nearly go without though ! two name board . book tour company , driver assume first person arrive , could go without .. lady save day ask driver wait behind , otherwise would go . thank lady ! secondly , check . 45 minute process take . request & quot ; quiet , non - smoking room & quot ; call day confirm request . not ! ! eventually much negotiation room , get , face train station , bath . call , show two room another compromise : one smoking , one adjoining room . went & quot ; quiet adjoining & quot ; - god bad choice . hotel might refurbish , soundproof place dire . next door neighbour could heard rustle newspaper stir coffee - joke ! awful . also , decide start smoke non - smoking room smoke smell go right door stank room . call front desk report , know do anything ! laundry service late . trouser 1.5 hour late . breakfast nice bad service , make sit dirty table , one clean . upon check , preauthorise charge another guest 's credit card , one ask stay . do not questionnaire room wonder , know hotel 's problem sure must get lot complaint . PS room nice functional . try figure shower , button hide behind dial . will not stay next trip India . 
 Nov 23 2009 	 Pricey Beautiful 	 stay new room Lalit think amazing . service , food , salon , gym , pool , decor , etc . consider five - star , definitely come high price . 
 Nov 15 2009 	 Cordial comfort convenience 	 impressive entrance reception area make immediate impact . several comfortable seating area wait people , watch world go . busy hotel , suspect quite business people use close business area Delhi . like position hotel ( 10 minute away Connaught Place ) , large average room . ask non - smoking room close top hotel possible , not disappoint fabulous view . air conditioning work well easy control . bed extra king size , incredibly comfortable light duvet . would appreciate sheet duvet - sometimes not want sleep duvet , still need light cover . bed linen towel top quality . ask extra towel , one light bathroom not work , sort pretty quickly call reception . flat screen tv show usual channel , include BBC 24 . breakfast person really appreciate tea make facility room , also amount ( free ) bottled water . bathroom spacious , huge walk shower . curiously , bathroom separate main room see glass wall - could roll fit blind want privacy . restaurant ground floor open 24 hour - grateful able order food something drink arrive hotel 1.30 morning . not like pay use internet business centre ( laptop wifi free ) . like fact give late check could take time leave late flight . pool area good , hardly use seem we ( low season ) change room facility fine , although lady change room could well stock shampoo , conditioner body lotion . service restaurant bit hit miss - sometimes quick , time wait age . security entrance hotel good - fast thorough . 
 Nov 14 2009 	 would live time could ! 	 stay Lalit week September , planning go back couple day next week . travel to- around- India lot work , Lalit far good hotel stay Delhi , also India ( even well Taj Bengal , Hyatt etc ) . issue stay , hotel manager go way resolve , go would expect . room spacious , modern joy work , gym . ah ! gym , pool spa .. would happy living , fact . gym powerplate , late equipment , great view , staff extremely helpful . food = great , wide selection room service . definitely go buffet breakfast . 
 Nov 14 2009 	 Excellent Hotel - good location . value money . 	 enjoy stay Hotel . Centre Delhi , Cannaugt place , walk distance Hotel . my daughter enjoy pool . the room big modern amenity . the breakfast lavish . all staff interact courteous . overall exceiient Hotel . 
 Nov 13 2009 	 SNOTTY reception STAFF 	 attitude display reception staff towards appalling . look forward experience hotel choose credit card person ( debit card instead ) , reception staff force leave cash ( Rs5000 ) deposit : : feel quite insulted . rest travel throughout India stay 5 - star hotel , never experience problem . room modern bathroom light not work . food adequate . 
 Nov 12 2009 	 Lalit 5 star . 	 Service excellent , arrive 1 : 00 credit card refuse still let go room . the room modern really good fitting , superb bathroom . reasonably well locate , short taxi tuk tuk ride Connaught Place many attraction . restraunt breakfast great , outside eat area clen welcome bit noisy road traffic . all good quality 5 star hotel attentive helpful staff . 
 Nov 7 2009 	 Lalit 	 Comfortable , big room , beautiful light entertainment ... helpful friendly stuff . everything Excellent ! 
 Nov 4 2009 	 best - sure request new ROOM dont eat food 	 stay Lalit Oct 09 . arrival check quick ask stay . ask question say yes otherwise give one old room yet refurbish . move room old , date noisy due nearby train station constant train horn wireless internet slow even access email . the new room comfortable modern wired internet fine . still noisy depend side hotel . eat hotel night mostly food fine . grill expensive service slow food acceptable . chinese resturant ok . bistro lobby expensive buffet curry 's nothing special . however carry mild case Salmonella unpleasant way finish trip ! check bill carefully . book room free internet try charge twice . also check date can mini bar . room year date . over acceptable hotel good fitness facility good location . get noise train not get poison fine . 
 Nov 2 2009 	 make sure request new room 	 arrive colleague check together . room amazing , modern , clearly worth 5 star rating . mine old fashioned , bathroom old fitting rust stain , smell stale smoke ( room 1512 ) . ask change room due smell tell hotel fully book would move morning meantime would arrange room air . nothing happen quickly hotel 45 min late man finally turn help . eventually agree nothing could make room smell well move room miraculously become available . overall hotel fixture fitting nice , staff keen meet every need , could take hour ( several reminder ) actually anything . breakfast food ok nothing special one day sit half hour table would clear dirty dish one end ( clean one available ) manage see single waiter ask coffee . 
 Oct 31 2009 	 good 5 - star hotel classy touch 	 Hotel must renovate recently . kept & quot ; old & quot ; feature time put international 5 - star standard . well do . 
 Oct 28 2009 	 would stay ... 	 one night Lalit , choose close railway travel , train , Agra next day . flight Varanasi delay .. arrive hotel 7 30 pm . book room ready ... wait ! ! ! girl type type type computer .. apology reason annoying ! ! finally make room .. room clean fresh . sign request fresh fruit require . next morning really early .. think ... good idea . try ring house dining . phone not work . go stair request front desk . guess ... never arrive . drink downstair bar eat restaurant . fine , exceptional definitely zero warm fuzzy customer service , quite expensive . fair one way , Lalit finalising look like massive renoavation price definitely reflect leeway ... need judge full price tarriff . would stay . would head back Taj 
 Oct 26 2009 	 Comfortable somewhat characterless 	 lalit extremely comfortable , well appoint well run . location handy Connaught Place . standard room spacious , clean comfortable . fact , everything would expect international class hotel . it suffer large international hotel , feel little anonymous impersonal , minor complaint . if secure reasonable rate via one hotel web site , good place stay . watch early check - in charge , though . 
 Oct 21 2009 	 bad hotel exeperience 10 travel year 	 expatriate year , travel many country live various hotel business leisure purpose . summary 3 day stay hotel . upon arrival , discover confirm reservation list hotel . understand sometimes thing pleasant way thus patience front office staff check . sadly , staff take age check booking promise come back us investigation . utterly dismay shock , staff not check book agent thus create another havoc check . believe , unprofessional behaviour indeed reflect positively 5 star rating hotel . space limit , can not continue word . welcome contact we detail . 
 Oct 16 2009 	 diamond rough 	 Lalit remain one lavish hotel every stay . everything hotel modern , stylish sparkle clean . small night club / bar inside hotel well restaurant . make sure try breakfast buffet , awesome ! 
 Oct 3 2009 	 Pretty Decent Good value 	 Lalit within walking distance Connaught Place . nice room , good staff . like gym people use new equipment . coffee shop ok , breakfast buffet grand Taj Radisson , still good . make sure grab waiter 's attention require coffee immediately . strange reason , not figure caffeine need western traveler . really like wire internet . high speed , secure hassle logging . would stay . pay @ $ 140 night . 
 Sep 28 2009 	 nice hotel walking distance Connaught Place 	 nice hotel helpful staff walk distance Connaught Place 
 Sep 20 2009 	 home away home seven night 	 love hotel . home total 7 night 3 week trip India summer . security impressive . feel safe secure city pretty crazy time . full breakfast include . meal 24/7 resturant locate first floor . Desk people beautifully dress helpful . room service immediate . even know name . issue address promptly . pool area breathtaking . lounge chair rest water . service impressive . hair cut service spa first rate . shop owner hotel especially nice . buy sari 's beautiful scarf Kashmiri Arts locate second floor . stay many hotel stay nice lalit class . 
