Great 	 conveniet downtow . hotel quite , clean confortable big lcd tv . hotel park cost little bit much solution , convenient . breakfast Starbucks close hotel . 
 Nov 15 2009 	 satisfactory stay -- price outstanding ! ! 	 stay Essex three night attend conference Hilton Chicago . Hilton could not much close -- right across small sidestreet . would pay $ 182 room Hilton , even conference rate , get room Essex $ 89 night via Hotelicopter.com . I would satisfied Essex have pay considerably , price , outstanding . room smallish comfortable . hotel clearly remodel past year , nowhere near plush ornate Hilton , perfectly pleasant comfortable . king - size bed nice firm cozy duvet . everything clean working order -- one problem ( light burn second day ) fix promptly . wireless internet fast consistent ( price not high business hotel charge , never charge use ! ) staff attentive , friendly helpful . location great -- right Michigan Avenue , easy walk Art Institute short cab ride Miracle Mile . single woman feel safe walk dinner block away , even darkIf name one complaint , would limited control temperature room , little warm would prefer . may something nearly 60 degree mid - November -- hotel may able crank heat dime weather unseasonable . I would absolutely stay Essex Inn another visit Chicago . 
 Nov 10 2009 	 cautious want ... 	 book hotel proximity Soldier Field ( 3/4 mile ) cost bad . choose upgrade King Deluxe room could view Lake Michigan southern downtown area . the theme room certainly 70 's bright color interesting design ... certainly like Andy Warhol . pro : beautiful view park ; walk distance Millenium Park Art Museum ; walk distance Soldier Field Planetarium ( within 1 mile ) . cab plentiful , easy go Michigan Avenue get Magnificent Mile get tired walking . lot brochure local attraction . con : little heat / AC control ... hotel heat , could A / c vice versa . picture deceive website : room barely fit king bed , could stand bathroom touch side ... turn 90 degress touch side . hang toilet close door , exhaust fan . directory hotel service even though website say room service limited time frame . employee friendliest . one bartender talk we learn go Bears game , one say nothing take order . bar manager ( think ) linger around drink Jack Daniels , say nothing . front desk staff nice . 
 Nov 10 2009 	 's good thing 's right Soldier Field ... 	 3 - star hotel , place half click hostel . decor atrocious ( 70 , good kind ) , ' front desk ' random desk hide back ' lobby , ' room not air conditioning ( honestly ? hotel nowadays not A / c ? ? ? ) open window get air - flow , room clean first day , etc . oh , thing -- ' hi , welcome Essex Inn ' type guest book await we . information room service eatery around hotel ... mean , not even hotel phone number fricke phone ! go Bears game really can not get well location Soldier Field Essex , go . go November room warm we sleep well -- imagine would like stay summer . their little bar ( Savoy ) ok , food not bad , overall , place worth money . not expect marble crystal everywhere go 3 - star hotel , goodness , expect A / c fercryingoutloud . 
 Oct 26 2009 	 nice 	 great location , close Loop within walking distance many Chicago sight , include Museums . room large window , make room nice bright . not bother go in - house restaurant . service terrible food . many eat option nearby . 
 Oct 23 2009 	 Decent Hotel 	 go hotel annual science convention . decent stay , up down . service : first staff helpful friendly , never problem get information , could use training surround attraction . ask one hotel worker front desk someplace within walk distance play pool . send we 3 block crowded sport bar one pool table . room : pretty impressed room first walk , modern , decent size flat screen tv ton channel ( though ask channel key lobby ) can not complain cleanliness room . gripe bathroom ( least double suite ) incredibly small . almost someone stick one small ice bucket marble sink , almost small get hand faucet . shower toilet extremely close together , feel little claustrophobic . location : Awesome , close train , nice view park . overall : good stay , would not pay high price ticket stay fun . 
 Oct 16 2009 	 great service location - tired decor 	 first hotel husband stay honeymoon ( 4 week road trip across America ) . location Essex Inn great walk distance tourist attraction close enough l station get elsewhere . staff Essex Inn helpful . husband need Ethernet cable laptop get front desk - problem . also allow we use hotel phone sort walk tour booking . give good recommendation breakfast - Yolk , 5 minute stroll away . the problem hotel tired . could complete makeover , would bring date keep city . 
 Oct 13 2009 	 Reasonable Hotel reasonable price 	 stay three night en route home Hawaii . we arrive 6 30am able check room straight away great . room quite large two queen bed , adequate storage space coffee maker . small area hang space wash hand basin walk smallish bathroom contain bath shower wc.only one bar soap bath basin ! ! ! .No safe room . internet $ 5.95 24 hour quite reasonable . our floor non smoking , go lift , stop third floor tobacco fume instantly fill lift , make sure book non smoking room like smell cigarette ! ! ! hotel great location , Tour Trolley bus stop right outside . hotel Courtesy Bus go town several time day driver helpful . within walking distance lot attraction , museum , place interest shop . if go main door hotel turn right , walk two block come fantastic place call & quot ; Yolk & quot ; good breakfast Chicago , open till 3pm . be warn , go weekend , wait table , well worth it . if come side door , turn leave , walk one block , come Caribou Coffee shop , great coffee free internet . walk another block , turn leave come great Pizza place , name escape , hotel doorman highly recommend it . again , weekend wait , Pizza fantastic . this reasonable hotel great location , price good value 
 Oct 10 2009 	 bad hotel whole life 	 Great Location Chicago . inefficient unfriendly service ever see whole intense travelling . breakfast charge bad quality . reservation software chaos . one friend come run marathon . arrive first arrive late . friend warn reception late arrival provide name . arrive even tell friend have not check ` true . they charge 299 dollar room even make msitake reimburse . iasked manager 3 time vain . a hotel avoid . 
 Oct 10 2009 	 good stay 	 return essex inn , great stay , could fault hotel way , fab room near top , corner room , 2 side room completley glass top bottom ! ! ! , overlook Sears tower L could chicago ! ! good staff check , take min , nice 3 star hotel , good thing position , right Michigan avenue , free shuttle sight , did'nt use though , get conbine transport pass , bus stop directley outside hotel metro min walk away , hotel exceptionly good value money right next door Hilton 4 5 star hotel charge 4 time much , would recommend essex would stay 
 Oct 10 2009 	 Great Location awesome sightseeing . 	 stay two night part Cosmos Bus Tour across States . location perfect we , not Chicago right main strip get good sightseeing spot . plus walk distance Field Museum , Shedd Aquarium Adler Planetarium . end block famous blue bar , Buddy Guys . ask reception , give voucher half price entry Buddy Guys . also walk Sears ( Willis ) Tower , bus go close get shopping district . room nice staff friendly enough . 
