love 	 great hotel , staff lovely , great gym food cool . cheap . 
 Nov 22 2009 	 Miserly grasp hotel concept service . avoid . 	 everything cost extra . staff empower help ( & quot ; Max & quot ; exception ) casual beyond belief . duty manager laugh complain . breakfast chef can not poach egg without make rock hard . can not get wake call within 20 minute time ask . many guest complain ( seem like every time go past front desk someone agitatedly complain , usually rip charge something not expect charge ) , much stonewalling . People run around hotel 4 am shout loudly , effort staff quieten thing . room key not work , load people keep get re - program . in - room internet stop work 20 minute . fitness centre hour not suit work people restrictive London hotel stay . place pretend hip chic actually dowdy pretentious . rip . probably hotel ever stay ( backpack 5 star ) would never stay , either business leisure . really stand ground get take advantage . never write negative review hotel place really greedy disgrace . 
 Nov 9 2009 	 way it´s 4 star hotel ! 	 stay 3 night would never go back . double room small one stay bathroom , could move around . light , exept night table light . breakfast room / entrance lobby actually point food order piece piece counter , access food etc . 
 Nov 9 2009 	 impressed try trendy miss mark 	 good location Shepards Bush station , weird people hand around hotel night . room dark tired looking , room internet work never try fix 3 day stay . staff could hardly speak english do not help much . forget clean room second night , breakfast small & amp ; limited brown bread brown bread . one nice aspect bar area open till late get meet friend live near bar close 11 week . short walk tube stop big shopping centre close nice pub seek . 
 Nov 2 2009 	 nice ! 	 book 3 night stay short notice give great rate hotel . room nice comfortable king size bed . bathroom great though extractor fan not work well bathroom constantly fog . issue tv fix immediately . send something dry clean receive back day . nice , friendly service . close proximity Westfield , great restaurant tube station . hotel locate quiet residential street . hotel 's bar lobby fill people every night , though not hear noise all . the spa refurbish unfortunately jacuzzi sauna close . not breakfast hotel , however many option close include Westfield restaurant strip . great stay overall would happily return next time be town . 
 Oct 30 2009 	 Surprising 	 stay K West friend shopping weekend . ideally place fabulous Westfield centre shop restaurant galore . 5 stop underground Oxford Street Westfield not enough want tourist type thing . the hotel nice room find decor corridor dark gloomy litter room service pot . continental breakfast serve bar area level reception low table chair need breakfast knee . banana seem ration manage one one morning three ! area breakfast also become messy quickly crumb muffin croissant furniture floor early customer . in evening bar area busy strange behaviour tolerate staff , people lie sofas foot furniture friend accost & quot ; lady & quot ; appear local resident come 's place open tell anyone will listen life story wait someone buy drink ! surprised going use gym tell £ 10 charge mention either website in - room information . needless say brisk walk take instead ! 
 Oct 13 2009 	 fantastic staff generally great hang 	 stay k west hotel spa 5 night last week five year wedding anniversary . book room though third party , rate reasonable . room stay regular double , nice size bath tub lot natural light . reception staff decorate room balloon write lovely card congratulatie we anniversary . staff reception , bar , restaurant , house keeping - hepful friendly . definately stay would recommend hotel anyone young / old , stay business pleasure . 
 Oct 12 2009 	 great London Hotel - highly recommend 	 could believe size overall comfort room . everything one need , wi - fi , big flat screen , iron , tea & amp ; coffee making , huge bathroom - list go . need area meet family add bonus new Westfield Centre across road . shopper area offer quality dining bar . great tube access central line . the room service offer far superior poor value money close town , little extra travel time central London small price pay . pleased accidently stumble across K West . 
 Oct 10 2009 	 spacious room Good Service 	 recently stay week visit London . difficult find hotel first time , quiet residential street , close Shephard 's Bush tube station -- make breeze get city . arrive early happy store bag we return ( service many 4 - star hotel state charge ) . room quite spacious , particularly London , maid keep nice clean . odd thing room shower stall bathroom , 4 foot ground half - door tend drip water floor . not terrible , bit strange slightly inconvenient . the staff quite helpful whenever need anything , quite accommodating . continental breakfast adequate nice perk save travel money thing ( yes , 's continental breakfast 's huge -- still fill ) . drink bar overprice , other mention plenty off - license shop around buy wine liquor . finally , room - service restaurant food good exceed expectation hotel food . would definitely stay . 
 Oct 6 2009 	 Average Hotel city break 	 hotel map give helpful . take ask people get know go . hotel nothing special . early check , take bag we , go olympia conference hall day . room clean tidy . gripe would make , breakfast eat lobby ideal eat Continental Breakfast , scrunch little table . drink expensive , plenty shop near buy . 
 Sep 25 2009 	 lovely camp stay 	 recently split Tony , Gary decide spend time London new Chums , John . great time cavort spa many sensuous experince . hotel cater need provide many towel request . one complaint noise room , explain group man can not enjoy game yatzi what s world come too . Great Hotel AAAAA+++++Thanks & amp ; G 
 Sep 23 2009 	 Fantastic Funky 5 Star 	 hotel wonderful place feel pamper relaxed .. stay incredibly spacious double room ( spacious London ) comfortable bed ever sleep . attentive reliable staff ensure early morning trip Heathrow take care perfectly . I stay regularly 5 star hotel London New York rate one fine funky atmosphere without lose attentiveness luxury expect 5 star . certainly stay , 
