dirty 	 spending much time select hotel trip Delhi , would strongly advise anybody stay . room dirty , fill coakroache ( wake one pillow ) , front desk service terrible , make feel awful not book driver Rajasthan Ranauk 's travel desk would not let go , take forever get simple thing like clean towel , hot water almost miss train Delhi man front desk forgot provide we wake - up call ( luckily , set alarm ) instead tell driver take we trainstation , taxi driver try take we airport . overall , room filthy front desk service terrible . good thing hotel 's proximity Metro ... make easy travel around Delhi ... lovely breakfast include price . 
 Perfect Hotel 	 nice stay hotel wife . homely & amp ; clean environment prompt service great . staff kind helpful . People friendly helpful ; area quite centrally locate easy transportation . nice stay sweet memory . 
 " recommend " 	 stay fine . tour assistance good . appreciate guidance give trip . 
 educate Good Staff 	 stay two hotel Delhi pick hotel . Theworst hotel uneducate useless staff . isthis hotel find people great knowledge . boss travelledto 30 country far . everybody great . 
 ` ` great service '' 	 Raunak Hotel definitely one good hotel stay new delhi , India . room simple large clean . room service hotel staff friendly helpful . travel desk within hotel great . Location OK 
 Awesome enjoyable trip 	 hotel good position , staff friendly . housekeeping , Manager really helpful ; staff member really nice helping . even travel desk helpful , organize trip . 
 Best Hotel Good Service 	 stay Raunak hotel new delhi property beautiful . room modern sleek . flat screen tv great although could probably invest satellite tv give we channel . mention give extra charge . lobby bar nice really enjoy hotel get internet situation sort would definitely stay . 
 Nov 26 2009 	 want 	 old age couple third time india . hotel good . wi - fi , lobby restaurant good thing hotel . construction site nearby turn . orver fine . 
 Nov 23 2009 	 would recommend hotel anyone 	 disappointed hotel . stay Delhi three time well hotel price . begin wait airport hour pick . phone twice tell driver . tell airport ouside parking area licience wait inside . sell overpriced tour , find later , tour company licience , tell accident get run . car good bad tire etc . arrive back hotel next night tell stay different hotel actually well , big room . one Raunak International could hardly get . go tour India get back tell another hotel . time pick airport end get taxi . late check available , even though check late evening . restaurant Raunak fairly two hotel own man food dreadful . I definitely would recommend hotel anyone . 
 Nov 23 2009 	 " worth Recommending " 	 ' want spend want value money hotel worth stay . good point location informative staff 
 Nov 22 2009 	 " luxury budget price " 	 book hotel dirctlily via email . charge money advance booking , decide promise pick airpot , reception boy welcome we smile , give good room . bed really comfortable , matress soft good . nice sleep . room big clean . Breakfast serve nicely ( like parta ) . small travel desk near restaurant approach get information city . impressed hospitality book entire 1 month . amazing holiday mix train , bus car . review thank service . recommend everybody want great travel normal price . 
 Nov 21 2009 	 " Comfortable Trip " 	 book malasiya directly hotel friend ' recommendation . get good rate . send good taxi pick nice taxi show we Agra Jaipore . room clean , laundry spark white . staff polite helpful . comfortable trip india becouse . 
 Nov 20 2009 	 Best Best Hotel Raunak 	 book five room hotel Raunak International delhi . come know marriage anniversary . organized party we present we beautiful chocolate cake . enjoy much . good hotel . feel great . place lovely .This place lovely room everything could desire nicely decorate clean possible . warm welcome Staff add great touch breakfast cook order spot . place faultless stay first time would not stay anywhere else delhi . 
 Nov 19 2009 	 Cheap Hotel Near New Delhi City Center 	 stay Raunak International four night refuge busy street Kowloon . despite shopping , restaurant pub area room cozy quiet . room back side street noise . find staff attentive pleasant , always quick open door greet arrival departure . glass bathroom door bite odd reading newspaper real estate story profile luxury suite glass bathroom wall . may common Delhi think . the hotel close New Delhi City Center excellent base exploration 
 Nov 18 2009 	 " promt service " 	 pickup , check checkout swift every body know . like kindness dedication towards make improvement . take care . 
 Nov 16 2009 	 Safe Heaven Female Travelers 	 large room , free internet laptop , flat screen tv ' lobby andin room , DVD provide we free cost . good holiday wasplanne Agra & amp ; Jaipur manager give we car . wewere female 20 - 25 year age safe thishotel . want walk street night , manager send theguard we . 
 Nov 15 2009 	 Smart Service 	 stay raunak hotel family recent visit india . hotel good location close karol bagh metro station . staff always friendly & amp ; helpful room clean , good nice restaurant provide good curry . love hotel . hotel impressive high ceiling modern furnishing modern beautiful lobby home total 6 night 1 week trip India winter . 
 Nov 14 2009 	 Recommend Raunak 	 stay family 3 day . clean room , good food , nicebreakfast , friendly staff , location also good car recommend tofriend come Delhi . 
 Nov 12 2009 	 Good Hotel Great Hospitality 	 go Delhi business trip happen stay HotelRaunak international . surprise find hotel par star hotelsin city . nice ambiance , good interior , soothe music , latestfacilitie , friendly courteous staff - put togethermade stay comfortable . really enjoy stay . woulddefinitely recommend friend colleague . keep thegood work . 
 Nov 10 2009 	 Close heart 	 go honeymoon India . check Hotel RaunakInternational Delhi . moment come know . Wegot special treatment . bunch flower send room . inthe evening boss come , surprise party theroof top restaurant . staff great invite . keep forus . next day hotel organize trip Taj Mahal , symbol oflove . touch gesture . hotel always remainvery close heart . special thank Mr. Singh . 
 Nov 9 2009 	 Awful Hotel 	 recent visit India pass Delhi 3 time far bad hotel stay .... maybe even whole India . start Check . arrival note reception staff tell guest metro far walk . incorrect 10 minute . assume prelude sale pitch sure . whole check - in process take 40 minute . reception staff constantly interrupt , anwere telephone , call staff , speak guest etc completely sideline . need especially 16 hour train journey . finally get room smell stale sheet dirty . pillow case dry food encuste . much . boyfriend complain reception say would wait one hour speak manager . good enough decide go directly manager office . fairness manager kind courteous arranged change room upgrade we . however would say upgrade hardly worth bother new room though big also clean . time beyond complain ruin time arguement . water also never hot . prepay advance wold leave hotel . really like Karol Bagh area . hundred hotel . one thing sure one good value money . charge european price substandard quality service . would never recommend hotel anyone . advice book advance good look around area . 
 Nov 8 2009 	 good place hotel 	 nice feature elegantly appoint room sand suite variety decor quality amenity . spacious accommodation , exceptional service , outstanding good place hotel , make hotel unparallel Royal Experience . 
 Nov 8 2009 	 Value Service 	 Counter staff efficient , centrally locate , near part ofimportant Delhi travelle holiday good hotel willsgood service . pay much room worth thiskind room part worth , save rentwould high . 
 Nov 5 2009 	 Lovely People 	 comfortable room , clean laundry , staff lovely , help every query . intelligent management , thing run perfectly . stay 3 day find worth recommend 
 Nov 4 2009 	 Raunak International Hotel International 	 fortunate find hotel Delhi . doubt service rate less . get world class service beautiful room . surprised . really impressed . everything could think available well place . come please give we room . 403 sweet memory room . good wish try please foreigner like . 
 Nov 1 2009 	 Great Place 	 stay shoestring group . good room , great service helpful staff . nice breakfast dinner happy come 
 Oct 31 2009 	 new home delhi 	 go delhi mid september dancing troop participate inter university feast .. stay hotel raunak arrange organiser only.the hotel really fantastic great time stay there.everythe relate great.my early experience hotel delhi have not great everything good ..... staff cordial provide brilliant service.again food really good restaurant.again accord standard maintain reaaalllly place go . think find place delhi . 
 Oct 29 2009 	 fruitful experience ... 	 friend , Hotel Raunak provide service true sence .. really surprised hospitality show .. delicious food , good ambiance , melodious music good peace architecture ... blend true value good service , reasonable price ... & quot ; 1 would need 2 change mood ... & quot ; wish good 4 hotel managment ... keep good work .. 
 Oct 29 2009 	 Best Place enjoy moment partner 	 stay hotel 3 day . enjoy much . staff friendly helpful . Hotel Clean tidy . manager team helpful always work intent make we comfortable . like food . home service Excellent . 
 Oct 24 2009 	 Best Budget Hotel Centre City 	 good budget hotel stay Delhi . every thing closely connect metro station shopping place . staff Raunak always warm welcoming go stay . room newly do room clean tidy wifi access internet 24 hour restaurant . hotel good value money . romit 
 Oct 24 2009 	 Excellent Hotel Smart Service 	 hotel centrally locate make easy move around delhi city . really enjoy stay hotel , staff helpful provide good service . room clean good . would recommend hotel . 
 Oct 21 2009 	 bad hotel ever stay 	 confirem Raunak Plaza upon arrival end stay hotel own owner . form Con book traveller high rate hotel making stay low rate hotel . management ashame themselves.the follow work : hot water , internet access , shower door AC water dripping pillow , unclean towel , mention bed sheets.worst experience travel . 
 Oct 19 2009 	 thank raunak hotel manager 	 come delhi wife . book luxury room cheap price hotel raunak international three day . enjoy delhi sightseeing wife . hotel good location clean . service , food room excellent quality think like five star hotel . last day suffer fever hotel manager help . hotel manager call doctor treatment . thank hotel manager . would like hotel , come delhi stay hotel . 
 Oct 18 2009 	 comfortable journey delhi 	 travel Delhi several time year generally prefer stay raunak hotel . conveniently locate karol bagh near new Delhi railway station . hotel close shopping market . staff prompt efficient room comfortable extremely well maintain 
 Oct 16 2009 	 good value ; terrible service ( apart Manager ) 	 hotel ok , although hot water shower glass panel sit bath not ideal . manager really helpful arrive arrange train ticket we next day ( train station close ) inflated price . general customer service , poor , firstly not pick we airport ( although much insistence pay taxi fare ) , room service keep knock door rang we whilst sleep give we food / drink not even order . next morning waiter restaurant become really aggressive we keep try insist pay breakfast , even though complimentary . appear none staff actually communicate one another . not stay anywhere else Delhi point reference , perhaps review harsh , bad service pet hate ' m afraid . 
 Oct 15 2009 	 Decent Budget Hotel 	 Hotel raunak international lead economy hotel . convenient place family holiday traveler offer personalized service budget . staff helpful . this hotel ok , Room clean , spacious basic amenity . good value money . 
 Oct 14 2009 	 Splender Budget Hotels Delhi 	 Raunak International . one good view.clean room good food , hospitality excellent , read feedback people book hotel , full satisfied hotel staff , helpful , hotel arrange Tajmahal tour delhi sightseeing also good . recomede friend nice experience hotel . 
 Oct 13 2009 	 thank Raunak staff 	 come delhi friend . Mr Nafish give fresh room Raunak hotel cheap price . stay one day . would like good behavior good service Raunak hotel staff , food nice . Guard properly take care car whole day . happy . opinion come delhi stay Raunak hotel . thank much Mr nafish Raunak staff . 
 Oct 11 2009 	 Excellent service expectation 	 get excellent service low cost .All enjoy moment great joy . end must visit place get leisure time thank staff owner hotel service . 
 Oct 11 2009 	 Splender Property 	 budget hotel conveniently locate meter away karol bagh metro Station close shopping market . staff friendly well train . service quick prompt . room well maintain finely clean , modern amenity . food tasty . location convenient 
 Oct 6 2009 	 Loving nurture care 	 decide travel tour family Delhi - Jaipur- Agra- Delhi- Haridwar - rishikesh 1st week July 2009 , school/ colloge summer holiday time . we want comfortable package tour include sight seeing place couple continuous transport conveyance we stay good hotel accomodation place . to accomplish dream , start surf net enquire requirement fulfill . many travel package contact response offer receive Hotel Raunak international Delhi make surprise good reality want . they everything we . send 25 % advance money line transfer money .They book advance accomodation 4 place INNOVA car A / c conveyance . our stay place lovely nice , hotel room nice clean . provide free breakfast . finally Delhi stay hotel raunak international Delhi two day . hotel nice excellent . staff excellent . service nice prompt . hotel room neat clean good decoration comfort like LCD tv 24 hour room service . hot cold water 24 hour . must appreciate hotel boy thier attitude good behaviour show we . one day dinner hotel room night 12 . food hot fresh . morning breakfast serve many variety include fruit juice . my wife fond shopping . lot shopping . possible hotel raunak locate midst big market shopping place Karol Bagh Delhi , one great market place delhi . even last day purchase fruit available near hotel . this hotel good stay Delhi resonable cost . family member spend nice time Delhi nurture care Hotel raunak International , Delhi , stay there . my sincere thank Madam Pushpa bhamu Hotel raunak International , Delhi , take care stay Delhi arrange tour travel package include accomodation conveyance place resonable competitive price , surprising . look comfort , happiness satisfaction time level . thank madam great co - operation we . with regard , B.DAS FamilyVizag 
 Oct 1 2009 	 Visit Heaven ........... 	 great time Delhi hotel .... choose read review post early . family one couple . place calm room beautiful view . 5 reason stay : 1 ) reasonable priced.2 ) clean , value - for - money rooms3 ) room clean daily4 ) nice friendly staff5 ) Independent balcony & quot ; view & quot ; .6 ) locate peaceful surroundings.7 ) famous Birla temple 15 minute walk away.8 ) nice people make feel " special " best thing hotel location ( far away mall & amp ; heart Delhi ( C.P ) loacte peaceful environment ) , staff friendliness ( arrange cab local sight see ticket return journey well ) , . Hotel Owner Mr. J.P Singh take personal interest serve guest . food ( cook really cool job ) food quite tasty & amp ; homely . overall satisfied hotel quick service . reccomend hotel anybody look comfortable friendly stay without pay exorbitant price . look frill , friendly hotel feel safe look highly recommend it . Liked — room clean daily basis great great food specially home make chapattis nonveg cuisine . thing fantastic . disliked — nothing select hotel top choice 
 Oct 1 2009 	 terrible hotel 	 check hotel recommendation tripadvisor . however dissapointed . I check 11.30 am . I would expect hotel would clean least . the room clean dirty . the room garish blue backdrop one wall . the bathroom sink break leak . we check 6.30 morning . this informed hotel staff previous day . inspite repeat request hot water shower . the hotel staff rude least helpful . 
 Sep 30 2009 	 hotel outstanding service 	 go delhi life partner , stay raunak hotel , find good service friendly environment . make good shopping market close hotel , happy hotel service cleanness .................... 
 Sep 28 2009 	 outstanding service budget hotel 	 Location good also peaceful crowded city delhi , close shopping area karol bagh . room modern clean . service outstanding staff coperative freindly . 
 Sep 26 2009 	 perfect stay delhi 	 come Delhi sep friend . plan stay Raunak Hotel , Karol Bagh . stay good . staff great . helpful . market nearby . enjoy stay Raunak . room neat clean . food delicious . overall everything perfect . get chance definately go 
 Sep 25 2009 	 Excellent trip affordable price 	 great experienced Raunak Hotel , last month stay husband three day . find excellent service , staff welcome we smile . meet miss pushpa bhamu tell major temple historical place delhi like red fort , qutab minar akshardham never see , arrange car we . word express thank . really enjoy romantic trip . 
 Sep 24 2009 	 Value money 	 place hangout freind ... room clean ... location good //////// people helpful .... facility fantastice ........ true sence Value money 
 Sep 23 2009 	 do not expect get marvellous experience 	 excellent experience , little scared enter & quot ; raunak hotel & quot ; beacause good experience area hotel spend half day observe staff cooperative stand 24 7 whenever want , food delecious .my friend also share experience .Furthermore say whenever get chance surely take service without second consideration . wish good .KUNAL MAITHANI 
 Sep 23 2009 	 good location excellent service 	 hotel locate excellent position center India 's capital , within walk distance Karol Bagh Merto Station . room good - clean well decorate . staff Home Stay attentive , enjoy 3 day hotel pleasure . 
 Sep 19 2009 	 low price hotel 	 staff good specially front office staff . hotel good tip change parking locatin near hotel . hotel bussiness hotel low price service good . 
 Sep 19 2009 	 beautiful hotel 	 nice hotel comfortable room , taxi service also promt.kid enjoy stay lovely staff take care . organise small party come know birthday.definetly stay . 
 Sep 18 2009 	 live like king 	 pleasant stay thr .. hotel neat n clean .. staff always thr 4 u n ready fulfil ur demand .. room service quite good ... aaahh ! ! food thy prepared tasty .. n hygnic tooo .... love dat place .. get chance go Karol bagh New Delhi .. will defintly stay thr .... 
 Sep 13 2009 	 awesome experience 	 hey great time stay hotel RAUNAK ... food great .. service well ... could easily say gt value money 
 Sep 12 2009 	 awesum 	 nice stayin dere .... love way treat 
 Sep 1 2009 	 good service - could good small improvement 	 good service manager staff Hotel quiet , safe near metro stationpoint improve : * good infrastructure room need refursbishe sometimes * provide hot water 10:00pm * provide taxi pick without failure ( pay service offer enough ) 
 Aug 25 2009 	 great 	 stay husband book taj mahal tour hotel . give less price great service , good car , driver good room agra hotel . staff perfect want nothing less 100 % customer satisfaction.my husband happy select hotel . 
 Aug 25 2009 	 nice hotel lovely staff 	 Hotel Raunak within easy metro / ricksahw ride main attraction comfostable basic room nice food . staff lovely eager help anything need . 
 Aug 21 2009 	 good business class hotel 	 stay india art summit pragati maidaan . pick time , room spacious well clean . location something dint like much . venue easily approachable hotel via metro.wi - fi room great relief . 
 Aug 20 2009 	 Good service 	 one good five star hotel india , second time visit hotel keep improve everything . staff excellent relate customer , food , really fall love talk environment , well clean good location . security important business , credit Hotel Raunak security , free internet service customer , good job , keep . 
 Aug 20 2009 	 nice hotel excellent service awesome food kind helpful staf 	 good hotel , enjoy much , service top notch , hotel comfortable , food great , place nice , sure one good hotel stay travel around India . 
 Aug 18 2009 	 great place stay ! 	 nice hotel , good location , clean room bathroom . pick service prompt.food taste also good . Good Job , keep ! . 
 Aug 15 2009 	 Great experience around 	 great place stay whether business pleasure . hotel close large market area quick autorickshaw ride everywhere else Delhi . hotel offer great travel package want travel outside Delhi Agra Jaipur good rate . staff friendly helpful . would definitely stay next stay Delhi . 
