robbed 	 place horrible . service terrible first arrive actually rob middle night sleep . think someone staff door lock . report incident follow morning , ignore security actually tell us hope & quot ; money may return & quot ; . could . never stay . money lose . could stay somewhere way well . 
 review pretty much right 	 good reason stay Imperial Palace location - pretty much heart strip middle everything . price main reason stay . would prefer stay somewhere nice , money , hotel good deal . whole lot - nightlife pretty much non existent IP , hotel close always something . room decent - nothing spectacular mean , shower hot water pressure really good . noise level okay unless someone loud hallway ( be Vegas 's go happen ) . room pop machine get little perturb someone fill 7 ! say - & quot ; get pay & quot ; be will get IP . 
 love place .. money 's great 	 right middle BIG casino 's .. be worth ! different kind room everytime go .. can not decide one like good ! be one w/ huge tub .. year stay one w/ & quot ; living room & quot ; ( couch tv ) bedroom do not ' door tho . can not guest . lol 
 good value heart strip 	 read mixed review even advise friend stay Imperial Palace , however get great flight / hotel deal thought would give go . arrive Thursday , check take 5 minute , walk room . inspection room , even check bed bug , thing lack little bit hair bathroom floor . next day clean lady clean bathroom . hotel outdate , restaurant worth eat minute much well restaurant Margaritaville , etc . pool decent get pack small . weekend hit , hotel full elevator line get alittle long , never long 5 - 10min wait know way around hotel could find alternate route room tricky , finally master shortcut day 3 . location ideal , also bus stop right outside hotel . plan spend hotel instead outside enjoy strip hotel suit need . look hotel want stay play without leave , upgrade different hotel ! 
 Bed Bugs Imperial Las Vegas Beware 	 stay 6 night , second night itch third fourth day show clean lady tell lady must develop allergy show back leg . agony week ask new sheet , blanket , bedspread , day would ask something new . look sign see nothing . come home see MD next day say bed bug bite . call hotel look . want stop rent room refund money . respond yet . shocked let manager know hotel ! ! ! many people sabby bed bug cleaning lady say , allergy must develop . besides want man see , embarrase even complain clean lady show bite claw self try get relief . shy post help someone else . tell friend OH got BED BUGS . 
 cheap rate good location nothing . 	 Booked IP quick one - night stay low rate . not expect much , still disappointed . probably uncomfortable bed ' ve every experienced . room , hallway , casino wear dirty . front desk staff casino personnel seem fairly competent . would ' ve miserable extended stay . tip : stay , request room far away Rockhouse Bar , otherwise will hear thump bass early morning . 
 Hey be Vegas .............. get to love ! 	 hey get back Vegas wonderful time . six we go stay Imperial Palace . 4 we regular room friend repete customer compe penthouse ! staff great , room comfy clean restaurant good . can not beat location price . town Sunday CFL play West & amp ; East final Grey Cup . GO rider ! Wynn say would play game us sport bar ....... ....... mandalay Bay conference 2000 Canadians stay would play game either . ask RockHouse IP say bet . 4 tv go , 2 1 drink special we treat we like royalty ! Thry aslso go play Grey Cup Sunday anyone donwn . go see great bunch ! Annie waitress even wear Rider Jersey ! go see Terry Fador Mirage , great showman lot fun ! would go back IP , like sixe place , treat well enjoy right middle everything ! 
 Nov 25 2009 	 Imperial Palace - ho hum 	 Room decent , low cost , noisy outdoor bar next door till 1 . request king get 2 double . casino lot smoking , cheesey lip sinker . central location . 
 Nov 24 2009 	 nothing fancy good price location 	 clean , average room . good water pressure shower . well , be cheap , right middle Strip , near Flamingo across Caesar 's Palace . good place stay want somewhere sleep . be also Monorail stop . one word caution : get room away Strip side building . 's live music outside wee hour , 's though band right room . check 2 am , cover ear , immediately go back front desk . problem get new room . 
 Nov 22 2009 	 work great ! 	 IP part group 139 room night . get picture good , bad evil IP . first remember everything Vegas price upon LOCATION . center strip cost well strip . buffet IP $ 25 whole day , yet go 5 mile Boulder Highway Casino eat day less 10 buck . neither red meat lot chicken product salad . come food , get explore find bargain variety . old hotel . period . feed old dog steak still old dog . room smell last 40 yrs . carpet wear . water flow strange . elevator stop work . fact , except location price . sure people happy other . whine hear group room rough toilet paper . ( duh , bring hotel ) bird poop balcony . yes bird pop outside , surprise ! impress even balcony room . impressed size room , Harrah ' even Bally ' . tuscany win battle hand room size , location cost factor . twice call security elevator service one fix quickly , one never work 10 day visit . locate hide elevator never much wait . noise inside outside hotel . Vegas , town never sleep give away free drink . deal fact . desk clerks fine job well group room sale office , Robert Coppola . always expect bump deal many room many people . maid service great respond quickly ask extra service . employee nice make we feel business welcome . Shaun Tracy Midwest Regional Sales Manager Las Vegas Meetings Harrah ' exceed duty go beyond call duty see great time decent price . price location group back soon ! 
 Nov 21 2009 	 get pay 	 clearly , Las Vegas epitomize & quot ; get pay & quot ; . pay little cheap room , get cheap room . bargain find town stay ! say , want decent room strip could walk around , day night . read review hotel room $ 30 range , say Imperial Palace not bad . although wallpaper peel furniture obviously wipe year , not filthy . room large enough two we . bed bit saggy uncomfortably so . I think property bit rundown - elevator not work surprised call maintenance staff unaware problem ! always get impression someone watch casino operation 2/7 , not seem true ! good part stay 2 - for-1 coupon Matsuri hotel guest . good show $ 30 .... , way , find another coupon vegas go book , guess not exclusive saving ! get room $ 50 , think would recommend . Circus Circus bit far away ....... location Imperial Palace recommend . pay dumpy room , would say get rip . 
 Nov 20 2009 	 hated ... DIDNT even stay second night 	 boyfriend stay imperial palace like stay ghetto AC . open window stare brick wall . room smell like cigarette , not even attach lobby haul back hotel dark alley 5 flight stair motel back parking lot . restaurant worth eating , DANCE CLUBS , HORRRRRIBLE IMPERSONATOR PERFORMANCES , HIDDEN fee 's check out.the SECOND night CHECKED STAYED MONTE CARLO 3 % night - TOTALLY work extra 20 buck however Imperial Palace not even refund money night cancel . RIP OFFFFF . 
 Nov 20 2009 	 tired Hotel 	 stay hotel part tour West Coast area USA . exterior hotel put quite seedy , large disco / bar front hotel . room tired although clean , whole experience stay pleasant . noise outside could hear lot room allocate group . eat hotel use tthe buffet Caesars Palace Hotel across road , although cheap , good . redeem feature hotel location , right centre Las Vegas Strip . 
 Nov 20 2009 	 great value 	 second stay IP . be person need frill hotel , not place . want good basic room great location , excellent choice . can not beat price location like that . the room clean comfortable . shower slow drain 's one home not bother . not problem previous stay might particular room . the main minus legendarily slow elevator . be bad may hear . otherwise , really enjoy stay . staff friendly , room clean . plenty towel good hot water . bed comfortable . tv old bulky style work well pretty good selection channel . there be good variety slot machine dealertainer fun watch . internet connection great , cheap hotel stay much reliable . another plus IP generous comp rate reduction even we low roller . fancy hotel . want frill , hotel . , hand , want basic room friendly staff clean , comfortable accomodation , consider stay IP . great location easy walk distance several casino attraction bus line . 
 Nov 19 2009 	 PLACE GREAT ! ! ! dont WORRY ! ! ! 	 say wow ! ! ! get back las vegas stay many place . find great deal hotel . hotel Great ! ! ! room clean ! ! staff great ! ! really do not worry bad review people nutz ! ! ! check fast ! ! eat buffet 25.00 eat day go back forth much want day ! ! ! food service great ! ! ! night great seafood etc . prime rib great ! ! ! ! really can not beat deal ! ! oh ya one vip thing remember check do not get room night club clerk front desk tell we part hotel loud . give we pool view room 15th floorgreat view ! ! get capri room back hotel dumpy one ! ! ! anyway great stay back already book feb . 2010 ! ! ! ! 
 Nov 18 2009 	 5th time 	 probably last . everything maybe get old ready pay nice place . friend stay Mirage much hotel much nice almost good location . stay 5 time last 5 year negative positives.negative - pool- really Vegas pool like apartment complex poolthe great value hotel bring rif raf stay there- much less eye candy hotels- still great people watching- not get wrong still safe placeelevator minimal / small way slowBuffett awfulShows awfulcasino small , ceiling low way smokytable old dirty game datedburger palace pizza place horriblePositives - service always goodvalue greatlocation beat get lot hotel 5 minute - stay Wynn could get parking garage 5 minutesdealertainer funny entertain -- still miss Louis Armstrong -- greatbettie little snack shack look old good little bagel pastriesclose Harrah 's steal free WIFI think pretty good desciption place fai . like say come back 5 time -- stay Excalibur preferred location IP . would not object go back base value think ready pay little little nice place- would like enjoy next hotel little place sleep get go another property . IP always part though 
 Nov 18 2009 	 not MISSLEAD 	 read bad review p last time ( 3yrs ago2 SEE CARS ) would agree GAVE GR8 DEAL go w/ low expectation do gr8 job make place room nice staff nice & amp ; helpful little construction & amp ; say 2 trying give old girl makeover think GR8 JOB Paris CEASARS good value ! ! ! complaint buffet bad ( 25 $ day eat ) one bad ' ve serve lunch menu along w/ breakfast ( 7 am ) give much confidence lunch 8 lunch could take skip dinner ( lucy server fast & amp ; good job ) lucy good part buffet bad not cook ! ! ! close i.p nice value hotel casino w/ bad buffet stay eat another buffet 
