fantastic 	 stay Michelangelo past Sat . night ( 11/28 ) . hotel inviting , service timely , atmosphere warm elegant . room extremely comfortable , clean quiet ! bed / pillow / linen exceptional . bathroom suite fantastic . everyone assist we doorman concierge helpful , friendly pleasant . morning coffee good , along w/ croissant / scone . would definitely stay without hesitation . convenient location . 
 Thanksgiving NYC 	 daughter ( 23 yrs old ) go NYC Thanksgiving holiday choose Michelangelo Hotel recommendation friend . love five day stay lovely hotel . beautiful , nice room , great location entire staff create atmosphere comfort , safety luxury . conceirge , James , treasure . take care reservation give we great & quot ; inside & quot ; NY tip . hotel take care area guest watch Macy 's Parade Thanksgiving -- -we soooo grateful , event go NY see . thank Jefferey ! ! doorman always helpful cab direction . luggage porter great upon arrival departure . really could walk Rockefellar Center , Broadway , Times Square , NBC studio , Radio City , Central Park shopping . Michelangelo make NY trip special . 
 Nov 25 2009 	 comfortable stay great location . 	 beautitful room . wonderful , accomodate staff . stayed one week husband NYC business trip . one year old . great time . complaint in - room coffee service . complimentary coffee service lobby , not like get dress look decent go get cup coffee . also , air conditioning system bit weird hard regulate temperature room . otherwise , stay great , room comfortable location can not beat . 
 Nov 14 2009 	 Suites BEST City price 	 Suites Michelangelo roomy spacious hotel ' ve stay price . ' ve try hotel New York , Plaza CityClub keep go back Michelangelo . hotel several style decor , choose suit mood . room service concierge staff 5 star customer service . small , luxury , boutique hotel Michelangelo feel grand palace small space . location GREAT . hotel 5 - 10 minute walking distance Broadway , 5th Avenue shop , Rockefellar Center , Diamond District . 
 Nov 13 2009 	 good value perfect 	 key benefit well - cover : great location , generous room size NYC , good price . extremely quiet room face away street narrow alley , fine , would sleep like rock automatic fan switch every five minute night long . , unfortunately , huge sonic difference -- alternate dead silence jet blast night not pleasant . nuisance : tv 's network connection keep flake , would get stuck change channel go back menu . room in - room safe , iron / ironing board . fitness facility small clean ; unfortunately , cup water dispenser . 
 Nov 5 2009 	 WONDERFUL HOTEL great location 	 stay Michelangelo many time never disappoint facet hotel . service absolutely impeccable . entire staff seem excited genuinely happy welcome guest accommodate need come . lobby extremely beautiful room ' ve stay wonderful . fresh linen bed clean luxurious bathroom , room clean , fresh , sumptiously decorate . restaurant rate one top NYC , though never . , wonderful , dependable experience . 
 Nov 3 2009 	 Nice well appoint large room Great Concierge Flat feeling 	 enjoy stay . upgrade Junior Suite , nice , little thing . tv access sit area , dresser per se , etc . concierge , James , give we great advice . somehow otherwise staff tune service . 
 Nov 2 2009 	 great location great room 	 wife short stay Manhattan glad stay Michelangelo Hotel . location perfect , step Time Square short walk Central Park . also around corner 1 line subway station , take anywhere city . room comfortable . comfortable queen sized bed , oversized bathtub inside location ( make quiet ) . HVAC system bit loud , work well . room large , NYC standard . lobby clean stylish coffee scone morning nice touch . would definitely stay , especially bad experience well know chain hotel Manhattan . 
 Oct 30 2009 	 Search 	 I ve stay hotel many many time one favorite NYC , location amazing . close park hotel offer beautiful room reall good rate , room good size NYC , would need roon , staff excellent . I really think great hotel highly recommend . 
 Oct 27 2009 	 exceed expectataion ! 	 search more- Michelangelo Hotel gem heart nyc . staff friendly helpful . room elegant comfortable . close Central Park , Times Square great restaurant . do searching- Michelangelo Hotel first choice stay city price paid- $ 225 + taxis . 
 Oct 25 2009 	 beautiful suite great location 	 wonderful time celebrate birthday NYC find suite Michelangelo extremely comfortable . unfortunately , 1st night room 4th flr , street car alarm sound awake we 3 am . although not Michelangelo 's fault car alarm , manager quick move we interior suite , send flower & amp ; chocolate give we coupon free breakfast . thank make NYC celebration great ! ! ! 
 oct 22 2009 	 TOP SHELF Customer service 	 great staff ! ! ! check - in nightly tear - down .. one exceed expectation . last minute change force we need extra night . suite available , whereas book deluxe . instead make we switch room middle 4 - day stay .. give we suite entire time extra cost . book majority trip month advance thru expecia ... save hundred rate find near arrival date . ( fall touristy time though ) say review , good location .... Deli 's coffee 's block , Rockefeller / Times Sq./Cen park/ close . not eat adjoining rest . .... pretty spendy . place eat NYC ..... can not find one .. probably not ! concierge theater savy ... cool guy good insight . 
