perfection 	 recently travel US Australia family reunion find Affinia exceptional . concierge amazing . Christopher helpful , enthusiastic professional concierge ever meet . concierge know name end first day ( 2 adult , 4 child age 4,5,6,9 ) greet we genuine enthusiasm . australian travel Chicago , hotel remind we home , ' fake ' american service , genuine care ! room big extremely clean . wish coin laundry nearby ! great pizza restaurant next door within 1 block hotel . australian want proper cup coffee ... french bakery nearby great morning meal ! well do Christopher boy Concierge .... thank make long trip pleasant ! 
 Great Boutique Hotel Perfect Location 	 pleasantly surprise nice small hotel . beautifully renovate nice restaurant . eat breakfast think Chicago price , bad . not complimentary coffee lobby pay cup room . not like , every hotel stay , coffee maker room free . great location 1/2 block Michigan Ave 3 block south Water Tower . 
 Nov 24 2009 	 Excellent stay great hotel 	 reading review TA hotel , worried noise elevator . absolutely problem either . 3rd floor face street , sleep soundly window . stay weekday though , maybe weekend good ? bed comfortable , choice pillow nice . the staff helpful curteous , room spotless . expect small room ( book Hotwire $ 99 ) , room huge , standard one . location fantastic , . get one ' experience kit ' not time use really ( nice plus anyway ) . not try bar restaurant . overall great stay nice hotel . satisfied : ) 
 Nov 22 2009 	 convenient location nice place beware ambulance noise 	 Room nice , clean comfortable . great pillow comfortable bed . Roomy space , view ( 24th floor ) bad . extremely conveninet Michigan Ave shopping holiday parade reason go city . Decor interesting , odd combination color , not bother we . fact , daughter love shiny orange bathroom . service great - pleasant stafft , Word caution - light sleeper - ambulance come go nigh ER next door , keep awake . sleep , , , daughter problem . 
 Nov 17 2009 	 Great Hotel 	 read review book hotel trip Chicago decide Affinia . LOVED hotel ! great location .. step away center Magnificant Mile . little noisy night - can not complain choice middle downtown , little noise expect . request early check - in room view . get noon room not ready yet , happy store luggage go back lunch check city . room wonderful ... amazing view city . the bed comfortable . room clean . hotel service great ! Rooftop bar nice . friend stay big , fancy , hotel near river nice still happy decision stay Affinia . stay next visit . highly recommend ! 
 Nov 11 2009 	 great location 	 staff accomodate get two room close floor . end high wonderful view room . suite couple regular . outstanding cleanliness comfortable . love bedding linen . noise hospital ambulance apparently high enough concern . room coffee free , extra . mini bar nice selection drink well snack etc . lot walk along michigan avenue beyond . drink appetizer bar . none four we like either appetizer experience dinner . 
 Oct 30 2009 	 really good hotel slightly disappointing service . 	 good choice traveller . room , junior suite , roomy spotlessly clean . room amenity good , tv , desk , etc . location hotel put right Michigan Avenue heart thing . main avenue must reduce noise quiet hotel . double - glazing might seem sensible investment management team . quibble , sadly , thing could easily fix . hotel staff little brusque & quot ; efficient & quot ; service contrast rather poorly friendly greeting might get , say , seven - eleven . also cost room service , internet etc , little top give mean cheap hotel stay first place . say , room service dinner perfectly fine deliver pleasant courteous member staff . checkout door staff amenable , , little helpful desk - lady . baggage carefully store taxi promptly arrange . rather pleasant styling fact not great monolith beautiful bar restaurant could real destination . , sadly , little let greedy add - on pricing lack basic essential , deliver second arrive - smile . 
 Oct 28 2009 	 fine amazing 	 expectation everything . reasonably price hotel , Affinia Chicago good place stay good location . , well regard ( tripadvisor , least ) , premium property - luxury price tag - Affinia Chicago underwhelming . like Kimpton like Four Seasons / Park Hyatt ? either way , be succeed . want buy quirky , distinctive luxury , want hotel staff personality engage . latter , excellent respects.- Hotel feel & quot ; converted & quot ; - much fit finish element throughout hotel not well integrate . - elevator extremely slow - seem like small thing , be business constantly rush , 's aggravate disappointing.- tout program - free toiletry upon demand , welcome kit upon demand - seem like burden staff . one free toiletry take 45 min show ( evening ) ask welcome kit staff seem like need wake ... never actually & quot ; offer . & quot ; - Clock set wrong room . , bad thing earth , one thing deal with.- charge $ 1 coffee bag room . really ? Hilton not . Tacky.- note , staff not excellent . personality , engage , service . ( interestingly , restaurant c - bar great staff fantastic . ) 
 Oct 26 2009 	 nice place stay 	 arrive early afternoon , try check , room not ready . big deal , able check bag . book room Priceline , get good deal , however not able get proper sleeping arrangement . call hotel , informed would upgrade suite another $ 100 . not check . want roll - away cot upgrade suite , pay another $ 30 plus upgrade charge . not , make . room really nice , complaint . modern decoration , nice flat screen tv centrally locate room , swivel around watch anywhere . room exceptionally clean . view not bad room , definately head bar check view . drink price bar comparable place else city . many people complain hosiptal noise , not notice . however Supieror construction , maybe ambulance use different route . admit elevator bite slow small . would not even consider try drive park . rate start $ 22 hour less , take train city not worry thankfully . good hotel , definately good place stay town shop Magnificent Mile , good location thing . close & quot ; EL & quot ; stop block away , plenty taxi hover around . 
 Oct 25 2009 	 great stay Great City 	 stay two night business terrific stay . hotel offer amazing location - - right door Magnificent Mile ... right fingertip . Famous Gino 's East next door , Neiman 's two door away , Apple Store corner - oh , North Western University Hospital block away . drawback - noise . stay 4th floor , face lovely hospital - suck noise - factor , be fine . think time leave , pretty use . Working NYC , would think would not bother , keep noise factor mind 's something bother . 's pretty constant - 24/7 . say , staff hotel nice - - people front desk , bellman , restaurant staff -- be go way . room nice ! modern great appointment . large , modern bathroom great shower , ( water pressure little low - wonder save planet ) , lot mirror everywhere clean . internet additional charge per day . king size bed comfy - help sleep drown noise ! , would totally stay . hear Priceline great deal . lucky ! - would pay full price stay . would worth ! 
 oct 22 2009 	 Good Loud 	 price ok . room great . bar dine good . location good bad . be right lot thing easily be also right hospital . stay one night not really hotel much still hear siren 10 time room . everything good except siren ! oh huge spider kill window : / overall docked point cleanliness base spider two point location annoyance siren . 's nice place not think would go back . 
 Oct 15 2009 	 second stay great first 	 second stay Affinia great first . stay Columbus Day weekend rate high first stay due Chicago Marathon , worth . gorgeous cheese fruit tray lobby welcome guest Chicago Marathon runner wait check - in . love simple chic design hotel lobby -- euro . elevator work fine . never wait 2 - 3 minute hotel sell - out . room 1207 perfect -- queen bed pull - out sofa , interior room face main street relatively quiet . Columbus Day weekend unseasonably cold , outside rooftop bar hopping first time visit September ( probably good time visit Chicago ) , still enjoy several drink inside view night fantastic . entire staff pleasant happy assist . receive 2 1 admission Underground Wonder Bar , small jazz club Walton St -- show hotel key arrival whole group ( even friend stay hotel ) receive 2 1 admission . upon check - out discrepancy bill , make necessary change fuss attitude . ' m look forward third stay spring . great service Hotel Affinia ! 
