Convenient 	 well locate 2 minute walk Tower London 30 second Tower Hill Underground Station 1 Minute Tower Gate DLR Station . Circle Line operation , not weekend , hotel well locate London . room overlook train line never hear anything . wife light sleeper never issue . bed comfortable , room large bathroom , good shower . staff helpful enough , friendly , probably owe limited grasp english case . continental breakfast include , basic good quality . toast bit let , put basket pre - make , bit cold . apart everything else good . not eat hotel dinner . plenty place around include nice place Marina near Tower Bridge . 
 Nov 20 2009 	 expensive need refresh 	 Stayed Nov 16 . room rate £ 300 night exclude breakfast . huge room include sit area . however bathroom tiny - nowhere put bag shaver etc . sit area television could see one bedroom sit area . mini bar room either although one myriad piece furniture space one . room badly need refresh . hotel nice centrally locate £ 300 expect . 
 Nov 17 2009 	 spacious Hotel way deserve 5 * * * * * 	 book 5 * pay 5 * expect high standard . hotel deserve high rating . look reception nice along bar , live sleep lobby . room large clean , cleaner even knock door wake early ( suppose finish early ) . stayed one night check next day . suggest stay new hotel Grange St Pauls . 
 Nov 17 2009 	 lovely hotel spacious room .great pool great view location 	 WOW hotel surprise . perfectly locate fantastic view Tower London . book cheapie get lovely room little lounge area . quick 24 hour London trip North see great exhibition - Anish Kapoor RA- fun definitely worth travel see - managedto get Tate Modern walk around tower London across Tower Bridge , south bank Bankside Tate , great stuff . but fantastic time hotel - good pool many hotel - 25 metre ! ! quiet . ec1 . highly recommend 
 Nov 4 2009 	 room view ... extremely spacious 	 ask spacious room would able move around wheelchair , expect nice double room . get , 17 meter x 12 meter large suite bathroom real large bath , 3 tub separate shower . stay Friday thru Monday keep curtain closed , view big office railway station . room absolutely sound proof sleep like log . continental breakfast absolutely great never see hotel breakfast many personnel . personnel courteous exception . weekend one pay extra BP 8 . Monday morning cook English breakfast ingredient available without extra charge . the tv set suite rather poor . simple small TFT screen far small look bed . airco good , cold warm . quality bed furniture excellent . the hotel hide behind underground station Tower Hill . find station unaccessable wheelchair , - arrive station - could exit ! ! ! ! travel Westminster Station exit underground take bus . rest stay London utilize bus . whenever visit London , certainly book one Grange hotel . 
 Oct 29 2009 	 beautiful hotel good spa pool 	 stay hotel book online . room upgrade not much offer standard room , save seem good specification quarter standard room stay fantastic . the hotel clean well decorate . spa good deal though overall bit pricey standard treatement . hotel pool far good ' ve see hotel ' ve stay full 25 m long ( accord hotel literature - not measure look way ) .The staff good though find check check little slow . one time ask staff come room come quickly . overall hotel good fantastic location City / Tower Hill area price pay seem reasonable rate standard location . 
 Oct 26 2009 	 Location Location Location 	 stay 2 night Fri / Sat October . hotel boast excellent location 30yard walk Tower Hill Tube , 20 min king Cross . 5 min walk Tower London , 5 min London Bridge ! upmarket safe part London . the booking procedure easy , staff polite professionalthe first room give 423 back onto Fenchurch train station could see platform window 50 foot away . window triple glaze however 6.50am could bing bong train announcement . spoke concierge move fuss 10th floor , room much quieter well view train platform . continental breakfast nice restaurant staff excellent , would use hotel especially swimming pool , 2 x sauna , jacuzzi bath , steam room ! ! ! ! 
 Oct 23 2009 	 nice HOTEL 	 stay hotel 2 night October . hotel smart check fantastic , lady reception friendly anywhere . room well appoint also quite small . stay breakfast find italian Deli round corner great food fairly cheap . hotel breakfast £ 17.50 not bother . on first night meal japanese restaurant ok , would eat . much well walk tower bridge turn right restauarnt bar etc 's nice walk . we try get Jamies Olivers 15 restuarant short taxi ride fully book . location good yo DLR , Tube Fenchurch St station doorstep . Taxi Kings Cross hotel £ 10 ( easily get Tube though prefer ) .All £ 200 good value - recommend . 
 Oct 17 2009 	 Nice hotel good location 	 stay Grange City Hotel four night , good deal lastminute.com Top Secret Hotels . hotel great location , near Tower Hill underground station course Tower London Tower Bridge . Superior Room ( - understand correctly - standard room ) . room face towards Fenchurch Street railway station , could hear noise outside ( however see comment noise inside ) . bed big comfortable plenty pillow . enough space room one person much luggage , bathroom ok well . rate include breakfast normal rate breakfast quite expensive , breakfast outside hotel . example Weatherspoon pub serve nice breakfast close hotel . hotel nice enough , would pay normal rate . however , London sightseeing , e.g . use spa , include room rate . as summary : + good location+ nice , comfortable rooms+ extra plus meet couple personal expectation : good overall lighting room paper basket room ( bathroom ) - may sound funny come long period spend hotel business trips.- door leave open staff one day . nothing miss , still pleasant . apologetic say first time happened.- Paper thin wall . could hear everything neighbour sneeze 3 fight ( tip girl ditch guy ; one deserve talk like ) 
 Oct 11 2009 	 one well hotel area 	 terrible stay one competitor area ( see Tower Guoman ) , decide give one try . nice sized room London , bathroom fine . breakfast include price indeed hearty -- could finish fruit leave come handy mid - day ! hall bit narrow lobby nothing special , much time spend lobby hallway ? go back London business , stay . find bit pricey , company pay , get pretty good value , consider hotel area . one thing find exceptional -- question £ 2 newspaper charge , quickly remove say request newspaper . know fact would happen Tower Guoman ( see review ! ) . little thing like keep come back . 
 oct 8 2009 	 Great Service 	 stay hotel one evening catch flight Luxembourg . stay regular hotel nearby fully book . upon arrival ask ever stay hotel – . well , say clerk , upgrade room . ' upgrade " one penthouse suite – physically huge multiple television , kitchen , etc . , etc . , etc . fantastic suite unblock view Tower London Tower Bridge . wish could stayed long . maybe next time ... 
 Sep 29 2009 	 fabulous hotel amazing veiw soo quiet . 	 brilliant night sleep , shower amazing . room service take half hour cook pizza chip ! upgrade friend bed room 21st birthday . fault cleanliness . reception need staff take 10 mintue get check , concierge keep direct people front we . 
 Sep 27 2009 	 good location want breakfast big wallet 	 hotel good location near Tower london . the room size large bed pull feel like shape like half hula hoopa - good night 's sleep . temperature control bath water come hand try adjust . lot storage room really nice room bed let . also several drawer handle break . the rate room want breakfast astoudne £ 23.00 per person ! ! ! fortunately Wetherspoons 50 yard walk lovely breakfast £ 3.99 . reception staff mainly foreign pleasant enough . would stay hotel food price . 
 Sep 26 2009 	 Service level would expect 3 * hotel 5 * 	 nice enough room hotel , spend lot money create , design not work . hotel staff friendly , experience 5 * hotel service . every request seem answered request bank detail credit card number would need charge . leave small camera charger room ask put taxi could pay end , would not say would need bank detail would post I . also phone call expensive room mobile phone reception terrible hotel choice . £ 30 around 5 min local european call . 
 Sep 24 2009 	 Nice hotel comfy bed tiny bathroom 	 book hotel lastminute.com ' top secret hotel ' deal ( & quot ; 5 Star Hotel near Tower Bridge & quot ; ) get good price ( £ 230 double room 2 night , room ) . end fairly small room ( room 111 ) , , probably get pay , not mind much . bed extremely comfy ( massive - US style king ) , lovely Molton Brown toiletry , hotel nice locate yard away Tower Hill tube stop , 5 - 10 min walk away Aldgate . gripe bathroom literally tiny - could barely get door ! short stay , not really bother we massively . would stay get similar price . 
 Sep 1 2009 	 Perfect location- love ! Tube Tower next door ... 	 travel child 17 21 , spoil great hotel . absolutely loved . get two adjecent room , lovely decoration , daugher use training facility , big , somewhat male orient . spa huge pool give we good morning start , head see London , Tower station - right next hotel . breakfastbuffet good long- fattening - want , take English breakfat instead . we also go & quot ; medival Banquet & quot ; event costume klad actor dinner London underground- next tower . take hotel -Easy get back show . good mood join party . parking problem - walk minute parking house . 
 Aug 31 2009 	 great hotel ex service 	 2 night grange hotel 2 friend . fantastic hotel room clean excellent condition . supieror room also small setee 2 comfortable chair entertain . staff superb friendly helpfull could not enough . spa etc good great service full english breakfast good value . convienent position 100 m tube across Tower London . ' v lot good hotel London one well overall . thing moan provide free internet wirless . pay £ 345 per room 2 night inc breakfast free 30 min masage 
 Aug 29 2009 	 Loved ! 	 go 3 night girlfriend celebrate 40th . book request upgrade possible special occasion . arrive friendly reception staff confirm have upgrade executive room , great . room spacious sofas , desk , Bose radio , spacious bed . nice quiet hotel location great we go explore Butler 's Wharf , Surrey Quays etc . hotel pool lovely great jacuzzi , sauna , steam room aromatherapy room ( not use latter ) - nice use long day foot . last day even get red carpet treatment outside hotel .... except not we ; England cricket team stay win ashe . would definitely love go . 
 Aug 25 2009 	 fantastic location 	 hotel fantastic , location great , book room online via grangehotels.com 92 pound night great cause hotel swimmingpool , wel arrive front desk staff efficient friendly , offer upgrade executive room £ 35 one member ( abu ) look like run smooth shift , wel take upgrade really grateful , brekfast nice healthclub fascilitie fantastic , romantic night hotel special.i think probably good 5star hotel central london . 
 Aug 24 2009 	 great place stay week - end get away ! 	 stay week - end start August attend family wedding far away . get great deal room disappoint . room clean comfortable good facility . hotel still new bathroom great ! although glass not stretch far bath 2 we shower floor soaking ... slight oversight design there . only one strange event ... room 1.30pm house keeping could not make room - problem , completely understandable . however , return early hour next morning find bathroom semi clean bedroom touch . toiletry half replenished towel change ... cleaner sponge still sink ! bizarre - maybe clean get bore half way could not bother cleaning rest ? ! ! anyway not really matter we check next day . there slight error bill - handle well reception . overall great stay 's fantastic location . 
 Aug 22 2009 	 Nice Hotel 	 Nice hotel grand entrance foyer . room nice ample tea / coffee two double bed comfortable . breakfast plentiful tasty - continental include . cheap price directly hotel . some staff friendly could , mistakenly say stay ( couple ) , could raise awkward question girlfriend . think somewhat unproffesional . 
 Aug 17 2009 	 stunning hotel good location 	 book hotel go see concert Wembley work City , easy get right next door Fenchurch Street station ( easy we get home next day ) . book LastMinute.com pay £ 85 room . arrive hotel 1.15pm receptionist ( friendly man call Greg ) inform us room ready , upgrade we suite . room ENORMOUS ! absolutely beautiful decor even though room look onto office , peaceful not hear train Fenchurch Street . unfortunately not spend much time go concert , would not hestiate stay hotel amazing . room , aware breakfast cost £ 20 , decide go somewhere cheap ! 
