unique 	 love staff atmosphere Monaco ! relax , whimsical , great seat area throughout lobby lovely fireplace . wine reception 5:00 great touch , even serve hor d'oeuvre . Grand Cafe honestly good food eat , long time dine pretty extravagant restaurant . highly recommend hotel ! furthermore , great location two block shopping ! 
 always pleasure 	 stay long weekend November 2009 , eight year first stay . hotel keep distinctive guest room ( bright candy - striped wallpaper , dark wood furnishing ) excellent , personable service . free wireless internet ( join Kimpton loyalty program , easy free ) bonus , evening wine reception . location couple block Union Square right next Curran Geary theatre - people might jib proximity Tenderloin , fine . catch bus Golden Gate Park right across street . 
 Outstanding 	 say enough hotel . ' want spoil everyone find , ' able get room ' able afford one . wonderfully comfortable bed bath , breathtaking lobby , large fireplace lounge wine serve 5 pm coffee 5 ( great jet lag ) . 24 hour room service ( albeit somewhat limit wee hour ) ! ! incredible gym spa area . street Union Square action shopping restaurant . theater next block . one complaint would restaurant ( Grand Café ) attach . one order waffle one continental $ 40 . however , many place choose . everyone go Dottie ' around corner ( line door ) . olympic almost next door ' look like much good pancake ! give try . finally , car , park around corner 24 hour lot Taylor . see reason pay valet service believe work twice cost . 
 girl Getaway Weekend 	 5 fellow mom recently stay Hotel Monaco recently 2 night , satisfied . research many hotel ( 5 woman please , ) , relieve everyone thrill w / the choice . 2 adjacent room stylish fun . comfortable bed w /duvet cover good - quality linen . room spotless spacious big city . bathroom nice bright w/ Aveda product . location good w/ popular retail store w / in walking distance . service curbside desk absolutely excellent . Staff allow we leave car late afternoon , w / no extra charge . really appreciated , get car , find parking couple hour would hassle . problem arrive back hotel dinner Sat . night friend want dessert drink restaurant , rather lounge . approach maitre have , abrupt informed restaurant eat dinner . , despite many available table . employee 's credit , inform host 's behavior next morning , shocked , ask we would stay another day . unfortunately , get back home . , Monaco terrific hotel , definitely back ! P.S . small dog welcome . hotel even keep photo album canine guest ! 
 Nov 23 2009 	 Classy Boutique Hotel near Union Square 	 spend four night Hotel Monaco end September . hotel room tastefully decorate , clean modern , ' Medieval ' twist . the hotel walk distance Union Square , soma business district quite hike . at check - in give double room ask change queen room available . next day request honor show several queen room choose . excellent service ! use restaurant , bar , attend free wine taste soiree . WiFi service free require sign use email address . 
 Nov 17 2009 	 whimsical decor excellent service attention small detail guest ` comfort . 	 everything hotel delightful , complimentary wine evening zebra leopard pattern complimentary robe . small comfort provide . pet friendly . want upgrade room one bed two , none available first night . second night , upgrade room without charge . 
 Nov 14 2009 	 icing cake 	 spend 8 glorious day San Francisco ... first time west coast . city wonderful top hotel icing cake . yes , room little small quaint clean . staff Christine desk Benji front door helpful gracious . food Cafe great thank Jose , Eduardo staff attention excellent service . can not wait return ! 
 Nov 7 2009 	 nice hotel 	 Kimpton fan , SF Monaco definitely & quot ; nice & quot ; hotel . ' m certain rave review come , someone travel around US often business , likely stay hotel . everything adequate . location also leave lot desire . city clean edge Tenderloin district , spot could really hop , , be average . staff accommodate friendly , think Kimpton trait ( advantage ) . 
 Nov 2 2009 	 great hotel great location 	 recently stay hotel honeymoon 3 night , perfect . alot reveiw state small room , ok be not big world perfect stay , spend much time room wonderful city explore ? importantly room extremely clean , comfy bed nicely decorate . location perfect union square , 3min walk , round corner dottie true Blue Cafe , good breakfast SF ! staff extremley friendly helpful . love complimentary wine evening hotel evening , perfect way unwind day sightseeing . definately stay . 
 Oct 24 2009 	 Charming hotel 	 recently stay Monaco five night whilst trip California . hotel charming service staff excellent nothing much trouble . really enjoy evening wine reception give we chance meet guest stay . also find breakfast good probably need pay extra cook breakfast delicious . hotel good location San Francisco near Union Square long go right leave hotel otherwise might find Tenderloin , safe place night . would definately stay would pay extra large room rather small especially stay length time . 
 Oct 18 2009 	 good location beautiful hotel small room 	 recently stay Hotel Monaco 3 night business . overall nice stay . hotel good location . Close Union Square shopping . though area little bit shady busy . walgreen across street convenient . hotel lobby beautiful . provide good coffee tea morning nice grab walk work . never deal staff much friendly . the room size real downfall stay . though nicely decorate eccentric way clean . room quite small , least room desk little space floor luggage , window tiny ! first though ' window . view look onto window room much sunlight get . well lighting room quite dim always feel like dark . bit closet feeling . though bed comfortable . provide funny jungle print robe funny . well wifi room . also big tv dvd player . bathroom nice . aveda product supply big bonus . another negative room always quite warm . try turn air conditioner low temperature ' seem make much difference . overall nice stay business travel . maybe ' worth get big room ' romantic getaway . 
 Oct 18 2009 	 New Favorite ? 	 complete two night stay exceptional every way . choose Monaco could not get room within budget Serrano , sister Kimpton property , usual favorite hotel San Francisco . everything check check exactly come expect Kimpton line - high quality . every member staff courteous helpful . room meticulously clean comfortable . room service food arrive early tell delicious . complimentary wine coffee lobby excellent . the previous review mention room small misleading view . queen room fifth floor perfect solo traveler large room ' ve comparable boutique hotel San Francisco New York . Free Internet & quot ; raid minibar & quot ; coupon Kimpton InTouch member another nice touch . will decide Kimpton stay next trip San Francisco . tough choice ! 
 Oct 13 2009 	 great hotel great staff 	 spend 5 fantastic night Hotel Monaco start October . got great deal easyclicktravel reading review Tripadvisor , recomendation family friend work hotel group , decide try see . have read review smallness room , book room accomodate 3 people , even though travel sister . room two double bed big comfortable - comfy bed . location brilliant , couple block away shop Union Square Market Street . but good thing hotel staff - always helpful courteous . one concierge - Tim think - great source good restaurant nightlife recommendation . another bonus wine hour 5 6 guest - great way unwind busy day explore city gear night ahead . 
 oct 9 2009 	 Great Location Great Staff Great Hotel 	 ' ve visit SF September last 6 year stay number Union Square hotel Monaco far way good . room great - clean well appoint quiet even though front hotel overlook Geary Street . lucky enough parlour room seat area plenty space . note other lucky stay small room might change view experience honest not spend much time ( awake ) room not think would issue . the hotel great balance high class comfort funky , relaxed vibe ( adopt goldfish length stay ! ) . evening wine reception 5 6 great really look forward glass chill wine hectic day sightseeingthe staff really friendly could not enough help - note complain staff slightly superior attitude least nothing could truth ! location perfect couple block Union Square area busy enough feel secure matter time night ( early morning ) return hotelI nothing praise Monaco would highly recommend 
