ok 	 frill 4 * hotel . many point , hotel well locate Gloucester Road tube station & amp ; Sainsburys & amp ; Waitrose nearby supply . major though wall thin & amp ; person next door clearly hear even be make much noise , talk , use toilet etc . get wake 4 am couple arrive next door we & amp ; ordinary normal volume conversation . positive , room come iron 4 * hotel & amp ; staff good . stay agin purely basis wake 3 night trot wall thin ! ! 
 room small like wardrobe 	 location hotel bad,10 minute walk Gloucester Road underground station , picadilly line good get city centre . hotel clean , room small feel claustrophobia , single room maybe 9 square meter include bathroom look like corridor . bed comfortable , hairdryer ironing board , small kettle , fridge find adapter reception charge mobile phone , buy it . smoking allow anywhere hotel . continental breakfast poor,3 kind sausage , one eatable,1 kind cheese , cornflake , milk , yoghurt , juice , tea coffee , toast , bread . vegetable , fresh fruit , cake , omlet english breakfast . on weekend possible wait breakfast line 10 minute , much place breakfast hall . staff hotel quite polite , check quick smooth , 11 a.m. early check . 
 Nov 6 2009 	 impressive little Hotel deserve well . 	 swanky place really good value money . room clean quiet even though front hotel . staff encounter polite helpfull , compliment management . oh yes breakfast good ...... get 2nd helping ! ! ! 
 Oct 27 2009 	 Excellent hotel friendly staff great location 	 although first glance hotel seem pricey , take consideration full english breakfast free wifi , plus overall cleanliness , room size , courtesy staff , location -- great place stay . hotel close tube stop give easy access main attraction London , number reasonably price restaurant good pub easy walking distance , staff hotel simply terrific . Lucy Joe hotel particular really helpful friendly . suggestion -- get tub hard short person side high tub slippery . would real issue someone elderly . also , variation breakfast would nice -- stay 8 day get rather tired identical breakfast choice every day . overall though , hotel merit star 's give . 
 Sep 26 2009 	 great night 's sleep clean hotel 's good value money . 	 good location , 10 min Gloucester Road tube . breakfast really good . room clean bed comfortable . 's shame could not get free WiFi room though . would definitely use hotel business pleasure . 
 Jul 27 2009 	 Great Location 	 London hotel famous insanely expensive much service . QCH great compromise stay , mostly business , year now . it fairly modern property everything might want small modern hotel include iron every room . Free Wifi also provide that s big plus . room pretty tight , stay wife 6 night , request large version . room 206 fit bill perfectly . the downside , cope fine , bed two single put together . normally ok one really hard semi - soft , fall minor cliff move one another . also staff , large , friendly helpful , patrticularly breakfast room . & quot ; deal & quot ; include continental breakfast would stick future also . location , can not beat place . five minute walk Earls Court tube station . number 24 bus door Baker Street Station , busy Cromwell Road outside full black cab . also 24 hour sainsbury 's supermarket virtually next door case need anything . my tip would buy Oyster travel card station soon get work train bus . leave cash back money remain . one act save heap time frustration . local restaraunt include & quot ; Little French restaraunt & quot ; , shortcut walk tube , Bistro Benitos Earls Court Road . reasonable . first set price GBP 9.95 3 course menu . Recommend Lamb Wellington ( French ) . benito massive menu family run business since 1979 , recommend King Prawns Filo starter . in short highly recommend hotel great London base explore fantasic city . money will not find well . 
 Jul 10 2009 	 problem thin wall . 	 lovely stay Quality Crown , location great , room clean everything work . except fact wall quite thin , ready bring earplug , recommend hotel . -Riikka , Oulu , Finland- 
 Jul 7 2009 	 ` ` good around staff helpful comfortable accomodation '' 	 enjoy hotel room , keep mind european standard room size not find small . room clean hotel staff pleasant . stayed end room not notice noise except shower run door close . lift little tight tho : ) especially love location close tube Sainsbury 's grocery store use often end long day sightseeing . would stay . 
 Jun 29 2009 	 Hotel short people ! ! 	 straight , hotel quite nice would expect money . however exceed expectation , generally like . book contemporary double not fancy compact double , name suggest , would quite small . however , amazed amuse size room give . automatically assume give compact room , go inquire , tell twice indeed contemporary double . barely room move ! ! also , tall , shower head hair bit struggle . good point . staff friendly , resident bar good room , despite small , clean comfortable . an average hotel , great hotel . 
 Jun 26 2009 	 not forget Ear Plugs ! 	 return five night stay Quality Crown Hotel Kensington look forward good night sleep ! virtually sound proof adjoining room extent hear everything neighbour get mean everything , snore nocturnal activity young couple ! room interconnect door whereby even normal tone conversation hear . overshadow otherwise satisfactory hotel price region . room , executive double , clean , reasonable size nicely furnish ( small would tight squeeze ) possible open window however get fresh air would nice . plus side , staff pleasant , continental breakfast though basic acceptable , foyer bar/ lounge area modern , comfortable nicely decorate . hotel equal distance Gloucester Road Earls Court tube station , ten minute walk . would hesitation return hotel recommend paper thin wall guarantee decent night sleep ! final tip still intend stay hotel , purchase ear plug boot beside Gloucester Road tube station . 
 Jun 22 2009 	 Perfect Location 	 updating report hotel make two year ago , pleased find vast improvement level service since last stay . foyer reception area clean tidy pleasant , friendly welcome receptionist . check smooth efficient allocate room front hotel . room seem well insulated outside noise , despite main road little noise traffic . room fairly small , sufficient room plenty cupboard wardrobe space . room complimentary tea / coffee make facility , trouser press , iron ironing board . standard television good selection free channel internet access room . bathroom clean well stock supply towel supply shower gel , saps shampoo . air con room keep comfortable temperaure . breakfast much improve since last stay standard noticeably high . restaurant well staff wait staff friendly , attentive efficient . guest offfere continetal breakfast seem offer usual fare , although upgrade full cooked breakfast offer modest fee . would highly recommend upgrade full cooked breakfast tasty good value money . the hotel well place Earls Court , Olympia also short walk away Museums . locate quite nice leafy part London short walk tube station handy business tourist . room fairly small , would hesitation stay business leisure . 
 Jun 10 2009 	 nice hotel .. 	 advantage .. beautiful peacful area10min undergound ( 4 stop piccadily ) 5 min bus stop baker streetnear supermarket resturantsclean room bathroomsquite big room ( London ) disadvantagesthe poor breakfast ever see ... one kind cheese , cake , muffin , sweet cereal , fruit sausage .. serve 930 ! ! ! ! ( monday - friday ) u r holiday difficult get early order eat breakfastu pay see tv channel ( moovie satelite .. bbc . ) 
 Jun 10 2009 	 Good Hotel reasonable price 	 hotel locate somewhat quite part London . two room since four we . room small , clean bed comfortable . service great every morning request milk get fresh milk coffee right away . hotel 15 minute walk Harrods Knights Bridge . close main attraction . next time , probably look hotel part London 
 Jun 8 2009 	 average nice ` ` hotel street '' 	 clean modern hotel 500 meter close tube ( Gloucester road ) , decent , unexceptional neighborhood . near big Holiday Inn Raddison , less cher , quite close Earls Court , business . gl road good pub cafe , Kensigton High Street good - 5 block . I disapointe & quot ; one bedroom suite & quot ; , badly dexcribe promise . call States confirm true one bdm seperate living room . want privacy sharing room teenager . assure case , .... triple room privacy . cramp style ; mislead . .. warn . the breakfast buffet fine , room clean nicely furnish . staff good , except mislead phone . would make plan , have know . 
 Jun 3 2009 	 Excellant Location 	 enjoyable stay hotel . staff friendly service excellant . 5 Minute walk underground ideal base start . would definately use hotel . 
 Jun 2 2009 	 Ideal Hotel visit London 	 Brother visit see Cat Stevens concert . hotel ideal location Central . rang little concerned Parking friendly receptionist inform good recommendation park . room clean , tidy well equipped . able log Internet plus ! ! ( be include price ! ) breakfast great , full English lot choice pleasant staff not impose . highly recommend Hotel professional Entertainer stay Hiltons , Sheratons etc , . pleasant stay job ! ! ! 
 Apr 19 2009 	 cute small hotel 	 enjoy stay Quality Crown Hotel . ' cute small hotel , nothing exceptional , room spacious compare London standard , clean well furnish well . stay room 302 . ' know room . two thing complain wall thin , could hear everything room beside . bad thing close underground station . 15 minute walk . great supermarket close Hotel . almost forget mention breakfast nice serve . 
 Mar 19 2009 	 Excellent Hotel good quality ideal location friendly staff Good Value 	 lovely stay hotel . room spacious london standard clean , well furnished , Bathroom clean shower excellent , Staff friendly comfortable lounge/ bar area relax day . excellent location close Earls Court Olympia exhibition centre underground central london Heathrow 5 minute away . I definately use hotel 
 Mar 16 2009 	 terrible experience 4 star hotel 	 terrible experience hotel 4 star . stay 7 night , give small microscopic double room , could not open easly bag , difficult walking not space ( ask porter take away table bag wa not impossible walk ) , 's room share onother one . share door heart every type noise : air drier , ring , voice , moans ! ! ! ask change room , lady long blond hair , tell not impossible insistence tell pay extra charge . room clean also not never change bedding . bedding choccolate spot eat bed ! ! ! room really sleazy need late avoid stay inside room . all towel crash , ruin . there not free italian channel tv , extra charge italian channel . possible watch tv english . the breackfast scanty sleazy . terrible service . ' m unhappy . not sugget hotel find good quality 4 star hotel . 
 Mar 12 2009 	 great location good value . pleasant surprise ! 	 stay Quality Crown friend holiday . North America familiar different hotel standard London . hotel room London general much small North America . Twin bed standard , double . find hotel two double bed per room , will pay heavily . hotel 's location excellent . close Piccadilly Line easy access Heathrow plenty tube bus link anywhere Central London . plus , Science V & amp ; museum within walking distance . be even 24 - hr Sainsbury 's supermarket street . London , point get hotel room explore city . our disappointment could check early morning arrival Canada . otherwise , room clean , comfortable good repair . even decor not bad . yes , room small two us stuff ( acquire lot shopping trip ! ) perfectly adequate . 
 Feb 28 2009 	 Simple Hotel - ok be budget 	 check relatively quick simple . book double room - bed however certainly not double size , luckily room would not coped bed size partner well . room small paper thin could hear everything go conjoin room corridor . tv basic 1 - 5 channel extra film channel could pay . coffee tea facility available . room bathroom ( also small ) clean sufficient standard , room modernly furnish however nothing overly nice . shower massive downfall - half foot short unable stand , point water pressure not usual hotel standard . bottled water room would nice touch . cook breakfast really unappeale - soak grease hot . continental second day well - choice bread / croissant / cereal fruit . tea , coffee toast bring directly table request do quickly . ask milk coffee however , rudely prompt go get breakfast buffet table - surely bring ? ? ? ! ! ! go bar drink one night , member staff behind bar proceed go outside talk mobile phone leave we wait bar 5 minute someone else finally serve us - one wait bar . location hotel good , 5 minute walk Earls Court station . overall ok would not return choice wanting stay Earl 's Court would use Marriott opposite side road . 
 Feb 19 2009 	 Nice Place . 	 first tip stay London pass along friend : ' go purchase London Travel Card ( allow use bus , tube etc . ) make purchase Zone 1 . purchase card cover entire city certain section , ' learn previous trip , Zone 1 major tourist attraction locate . ' make mistake buy expensive travel card really need . we book Quality Crown Hotel Kensington cost , easy access Earl ' Court Tube Station trust / use Choice Hotel chain extensively . [ another word advice Earl ' Court Tube Station . two entrance / exit therefore choose wisely one use . ] stay week August 2003 . hotel close Earl ' Court , Kensington Palace , Hyde Park , Royal Albert Hall , Prince Albert Memorial , Victoria Albert Museum . general area tube station large number chain restaurant . ' difficulty find eat establishment please . would also strongly recommend Dall ' Artista Restaurant locate 243 Old Brompton Road . small family own / operate italian restaurant . we stay Earl ' Court area past due large number gay establishment general area . this facility air condition , great benefit certain time year . breakfast include booking never disappoint variety offer . there safe room large enough store everything want . the facility clean staff helpful / friendly . since trip 2003 , ' back . decide stay hotel distance main attraction London want see most . this nice hotel preference , nothing stop anyone book location . 
 Jan 18 2009 	 Old 	 stay business trip day , good bad point : good : reception staff , polite . furnish ( clean / modern ) .Bad : location - one poor area London ' ve see , size room - small , thickness wall - hear everything room either side corridor . basically build old wall thin architecture reflect age . say , owner try make well bad situation . 
