perfection 	 family 3 stay 4 night long Thanksgiving weekend . warmly greet Frances check we without problem . room excellent , yes , window - seat cool ! nice cuddle blanket cup coffee watch shopper scurry around street . we traditional Thanksgiving dinner McCormick & amp ; Schmick 's , less 5 minute walk hotel . starbuck coffee lobby morning wonderful , wine reception evening nice . hotel set Wii kid enjoy parent sip wine relax . the hotel amazingly friendly comfortable . everyone staff smile face , even Thanksgiving day . mean much . finally , location . else say ? perfection . 
 Good need little updating 	 ' ve stay hotel time always good experience . recent trip , notice floor smell musty . room good wallpaper peel wall generally need little TLC . 
 Nov 25 2009 	 Awesome Hotel - great service even well price / value 	 hotel quite steal - great price good hotel service ' ve awhile . greet everytime enter , hotel staff act pleasure serve . room cozy yet plenty room . rate excellent . even complimentary wine evening . close train , Millenium park . highly recommend . go back Chicago , ' m stay . 
 Nov 22 2009 	 Cozy hotel heart Chicago ! 	 stay Hotel Monaco & quot ; staycation & quot ; base - camp sort Festival Lights activity Michigan Avenue . location beat ... really heart Chicago . queen - queen riverview room nice view Marina City tower & amp ; trump tower . check breeze greet doorman front staff genuinely . young son quite talk front desk staff engage conversation , rather dismiss kid , nice . room clean kid get kick huge , secluded window seat . room good shape ... say thing wear , nice . come & amp ; go day ( room ready 11 am check ) always greet come back . afternoon basket fresh - bake cookie counter take part wine reception evening , meet nice people different area . lobby small , tastefully decorate , fire go nice Christmas decoration . another traveler say liked hotel seem & quot ; cozy & amp ; homey & quot ; , agree . say travel frequently business staff Hotel Monaco among friendly ' ve encounter year ... manager leave nice note room everyone genuine . return watch firework , bed turn , chocolate leave room tidy ... go early wine person must notice bag , wine glass leave ice bucket fill , nice touch . starbuck coffee morning lobby , . , great stay . suburb Chicago , would stay concert party , etc . impressed ! 
 Nov 17 2009 	 Nice Price ! 	 nice place come see chicago . situate close river step Loop Theaters action . room nicely decorate , soundproof high class , even 1st floor face street . would highly recommend place . 
 Nov 14 2009 	 Nice 	 stay hotel one night September 2009 , whilst attend amazing u2 concert Soldier Field .. book priceline , get really good deal . location fantastic , central , Michigan Avenue - next river . hotel lovely touch - nice robe toiletry lovely clean room . complmentary morning Starbucks coffee newspaper reception polite helpful staff . stay hotel certainly contribute wonderful stay beautiful city . would definately look stay . 
 Nov 13 2009 	 Modern Hotel Old World Feel 	 prefer stay Kimpton hotel b / c 's usually high standard customer service , great L'Occtaine bath product , room spacious clean , free Wi - fi InTouch member . stay , Summer Happy Hour event , serve free wine snack lobby . love doormen 's uniform . dress uniform make feel like be step different time place . location perfect . definitely would stay . 
 Nov 10 2009 	 bad Hotel Chicago ! 	 trouble first step inside . ask $ 100 cash deposit , make we fill bunch paper , front desk person not even know , tell call ak HR deprtment week ! ! ! ! ! ? ? ? ? WEIRD ! room horrible , view building ' garage , right garbage , window open ( thank God ) , heat , blow cold air . paper wall come , dirty use bath rope , disgusted put , amenity bathroom , without pay . charge phone call not even use . charge credit card stuff use , instead take deposit , rude thi mistake . seem nice begging come , trouble obviously thir part , not even let speak telphone . bad experience , never million year ever go back , total nightmare . not one go wrongful charge reception . not know make super great remarke hotel , 's lie , probably make write shift cover bad post . WASTE TIME , GIFT CERTIFICATE free ( still put $ 100 deposit ) , STILL HATED , soooo GO FIGURE ! ! ! plus park $ 40 , far , hotel 10 floor . cheap hotel ever ! 
 Nov 9 2009 	 Wonderful 	 stay 5th wedding anniversary perfect every way . Mediterranean suite . love deep spacious two person whirlpool tub , comfortable bed , window seat could climb bathrobe watch world go . also take advantage bring goldfish room , think cute little amenity . nice amenity take advantage evening wine reception . hold nightly lobby great start evening . staff encounter friendly smile face . seem concerned make stay pleasant possible . would highly recommend hotel Chicago area . 
 Nov 5 2009 	 dirty room 	 stay actually compel write review fall asleep . front desk staff brief one chatting friend ( gossip ) check ( unprofessional ) .the room offer ' high ' floor ( 5th .... ha ) check big bag grape leave behind previous guest window sill previous guest hair bathtub .... do . call re - clean room ; make offer compensate upgrade ... even bottle wine . front desk clerk suggest come get key another room ( like time ) . disappointing like Kimpton hotel Kimpton Touch member ( btw ' ve do away amenity ... get free item mini bar ) . 
 Nov 4 2009 	 Awesome Bienvenue 	 french friend visit US first time . visit countryside live , plan visit big city . want budget hotel , love able walk around downtown Chicago , kick bit extra treat we Monaco . totally worth . location excellent , staff wonderful . enjoy wine evening , enjoy breakfast next door much , eat every morning . love view water , glad river view window seat . room comfortable , whole place cozy pleasant . would definitely stay . 
 Nov 4 2009 	 window seat ! ! ! 	 great location , friendly helpful staff , totally cute room cushy window seat plop watch city . 
