perky 	 staff great . be good thing hotel . ' ve stay time business London . previous visit change room room assign not scratch . time , booking , remind reservation not impress previous visit expect might get well room time around . basic , tired shabby . lumpy pillow . poorly order room . Hand hold shower . felt look like upscale hostel . 's pity , use great . 
 Nov 24 2009 	 Excellent Hotel - stylish Clean Comfortable Room 	 stay MyHotel Bloomsbury go theatre break , hotel excellent , really clean contemporary , room big last hotel stay bed proper double really comfortable . mark one point service not tell bar private party evening go back find could not go drink tell would change plan slightly show . value wise we honest excellent reduce rate due we book theatre package . 
 Nov 23 2009 	 Excellent location spotlessly clean 	 partner 's birthday decide ' stay - cation ' weekend London pick myhotel central location east - west fusion theme . ' ve previously stay hotel business trip think hotel strike perfect balance business / leisure customer . 's ideally locate right next Soho , Oxford Street , covent garden make perfect place stay want goto restaurant , bar also shop . room top floor view nice , even see 1000 day olympic countdown BT tower window . room spotlessly clean trendy decor match style boutique hotel . bed big comfy , think one relax deep sleep long time . the fitness room slightly small side quiet sufficient . library one favourite area hotel . go surf internet , read book / magazine sit one comfy chair relax cup coffee / tea . the staff friendly , always smile , good attention detail willing go extra mile . request make reception meet quickly . also day we check ( minute ) late breakfast hotel ' ve would turn we away staff myhotel understanding happy let we ... hesitation , attitude , pull face , smile warm welcome . I ' ve stay hotel business & amp ; leisure purpose would highly recommend hotel . 
 Nov 16 2009 	 friendly hotel 	 friendly courteous staff welcome us arrival . room well equip clean . location ideal facility quiet consider Tottenham Court Road ! ! breakfast room little small amount guest breakfast good quality . 
 Nov 10 2009 	 comfy bed good breakfast shortcoming bathroom . 	 would hope stay Radisson Grafton , full choose hotel want area London . we like : location perfect we ; corner room decent size comfy bed ; good choice food breakfast ; staff friendly ; drop bag early return evening already take room . consider central location find noisy , even window close hot , London hotel often be . we not like : bath slow drain mean stand ankle water take shower ; work knack flush toilet handle slightly loose ; use shampoo shower gel first morning replace follow day ; ask member reception staff direction near bus stop direct stop would taken we opposite direction - need different street . the bar pleasant place drink , little cramp serve breakfast . this bad hotel , be particularly cheap not feel offer great value money . 
 Nov 9 2009 	 pleasant bit old hat . 	 four time grow accustomed . convenient , bad value hassle . many type small hotel lose momentum enthusiasm . would recommend do boutique hotel want something smartish none baroque cumbersome clutter big trad hotel bore predictably modern . 
 Oct 10 2009 	 good location 	 convenient location , room good - spacious nicely decorate . 
 Oct 3 2009 	 bad night sleep - ever ! 	 stay many hotel year plenty average one . think Hotel would safe bet stay one Brighton great , however dissapointed . walk ' Standard Room ' feel like backpacker ' Boutique Hotel ' . tiny room , double glaze window not even close properly imagine noise Tottenham Court Road Friday night Saturday morning ! blind set 6 & quot ; back window may well sleep light . hotel staff offer show we standard room suggest pay upgrade superior not happy , clearly £ 145 enough decent room . girlfriend Birthday Saturday needless say terrible night sleep disaster , want sleep London avoid hotel . 
 Sep 27 2009 	 well locate quiet give Tottenham Court Road 	 lovely well - locate hotel heart London . staff great bar evening . however , outside noise bad ( although unsurpise ) . shame little soudn proffe room either wake next door wake call room . unfortunately upon getting find tv main light work . efficiently fix , disappointing sorted first place 
 Jul 27 2009 	 good service small ( single ) room perfect business quick stay . 	 Lowkey laidback small hotel helpful unobtrusive staff . nice small bar . not check gym . small comfortable library free internet terminal , plentiful newspaper , mineral water fridge excellent coffee machine . small comfortable single room tea / coffee maker , trendy magazine , plasma tv , modern bathroom adequate toiletry . great location minute walk Covent Garden theatre district . close leafy square , large supermarket . would recommend solo , business weekend break traveller . 
 Jul 13 2009 	 Style Substance 	 first glance hotel look stylish classy indeed inside . however room decidedly spartan lack 4 * feel . while bed firm supportive pillow soft decidedly unsupportive . the bathroom small , shower awkward supply toiletry niggardly . although beautifully clean tidy furniture need painting look tired . we feel hotel merit 3 * instead 4 * : seem effort went provide basic service costly charge . 
 Jul 7 2009 	 comfortable good location 	 send nearby hotel overbooke . staff unobtrusive perfectly friendly ; stay one night eat hotel ' m sure service restaurant bar . room small adequate bed comfortable . everything spotlessly clean shower powerful hot . room paint maroon , show every chip otherwise stylish , load storage . close tube british museum . although think pay ( low ) price would pay hotel overbooke think reasonable value standard hotel room part London . might well use hotel special occasion . 
 may 21 2009 	 great hotel small room 	 try avoid room 408 . small room price charge , worth money . say clean . staff friendly , quite efficient , earth posesse buy black chair bar / restaurant . wobble sit . dirch say get something comfortable . guess 's call modern funky . sorry , not work . reception staff efficient , go way make we feel welcome . 
 May 18 2009 	 Waste money ! 	 stay MyHotel Brighton come quite shock stay , Brighton greate smile responsive / helpful reception staff , gruff rebuke welcome we . information breakfast could take time , ask would like newspaper , & quot ; Suite second floor & quot ; .Having enter & quot ; SUITE & quot ; first thing notice bone dry/ half dead money plant give much needed watering need use Facilities .... use go wash hand ( always ! swine flu etc ) find handbasin wc ... leave room across seperate bathroom two door wash hand use toilet ! ! look around SUITE look Curtains hang rail remind DHS doss house , luxurious ? ! need get think waste money ! return brilliant night see Priscilla Queen Desert , brilliant show well recommend ! ..... want use bedside light ( one provide ? ) find work , harsh overhead pendant sorce light . may also ask question credit crunch effect amount pillow one allow guest ? one ! meet friend later follow day stay TRAVEL INN nearby Convent Garden us room , ninety pound cheap .... two pillow , curtain hang toilet sink ! know will stay . a side dissapointment , whole heartilly recommend MYHOTEL Brighton , friendly attentive helpful staff , beautiful room well worth money unlike one . 
 may 16 2009 	 good location comfortable room 	 stay one night exactly describe . check quick efficient room clean , bed comfortable , everything work order breakfast follow good , excellent cappuccino . can not central , yet time fairly quiet street . mean , would want heart London ? ? comment room size , frankly unless want pay nose stay 5 star plus hotel , expect day , even newly build house UK among small world ( read today 's news ... ) ? ? 
 May 15 2009 	 not believe marketing 	 room stay hotel smallest see life . shabby chip furniture wall . overpower purple paint seem style statement . earth would paint wall dark room tiny . like stay inside grape . wardrobe faced wall could not even see reach around side grope whatever want . complimentary water , bathrobe , ' faux fur ' bedspread exist . lcd tv small even tiny space room could not see .. even hugely discount price pay worth . truly awful . 
