great 	 stay three night Thanksgiving . choose Executive room ( high floor ) 12 floor - high go quieter room . street noise get bothersome . clean well furnish room - although trouble tv local station operational ( something change system ) staff cheerful helpful time . tradition put beverage near elevator . day get unusual tea time bowl & quot ; cucumber water & quot ; different refreshing . would describe hotel European , small , new , efficient modern necessity . we would go back . 
 Nov 20 2009 	 really enjoy 	 road trip around CA land comfy hotel : nice design , clean , well locate nearby shopping area ( Union square ) , China Town two street Ruby Skye nightclub . car problem move around town . really like sure come back : - ) Stefania 
 Nov 19 2009 	 average ... yes well option ! ! ! 	 hotel screaming & quot ; AVERAGE & quot ; every sense ... room , decor , location , service cleanness . so average inspire write review decide hope may help . upside : free fruit ( big pile apple ) , coffee tea day near elevator . lobby look chic well maintain . downside : Underneath SOBE chic deco , room look tired . first room might look photogenic like website feel shabby close personal . need fresh paint definitely new carpet . I love S.F . 4th time . IMHO : be hill , bay cable car make city romantic . personally would much preferred stay one victorians hill could grab cable car street corner like fellow san franciscan . also may able get view bay ... 
 Nov 17 2009 	 girl weekend San Francisco 	 minute enter Hotel Adagio know good hand ! lobby beautiful front desk staff awesome ! Steve , bellman give we lot great suggestion place visit Neera ( spelling ? ) front desk sweet excited girl weekend . get us vip guest list club great suggestion dinner place ! room nice comfortable , boutique hotel lot charm ! another girlfriend come visit January stay Adagio , 's perfect location see everything San Francisco offer ! 
 Nov 16 2009 	 ok would try somewhere else next time 	 Hotel locate quite close metro station Westfield shopping centre good food hall , also close Union Square mean also close run area Tenderloin famous Eddys street ( 2 block south ) home large majority homeless people . problem make feel little uneasy surround they . the hotel not get approval forgot pick dry cleaning ask , pick leave somewhere hotel send cleaning next day due leave ( 3 day service dry cleaning say 1 day clean poor ! ) . annoying , especially girl reception try numerous attempt make not fault . gym free adequate , although WiFi cost , search available network find free one relate hotel . hotel staff nice would expect , room size sufficient , although expect bit noise room hear walk around hard heeled shoe wear . 
 Nov 11 2009 	 say wow ! 	 Hotel Adagio gem hotel . get excellent rate stay , impact value selection . room , 14th floor , view SF skyline lovely . bed linen luxurious . room somewhat small , room well appoint , provide little detail good boutique hotel become known . clean staff attentive meticulous . complaint seem like not dust often . closet bathroom roomy , floor pretty quiet ( even though seem almost entirely full . ) front desk staff awesome , restaurant bar good alternative nightcap heading room night . would definitely stay visit SF , able walk place ( Ferry Building Golden Gate Park ) pretty easily minimal uphill . street outside still urban interesting diverse , something always find fun . 
 Nov 11 2009 	 good value discount rate 	 Stayed Executive Suite . not huge , well appoint . great king size bed , extremely quiet room - bonus give location . obtain room heavily discount rate provide value - would pay full value . major issue hotel 's wifi breakfast also extremely poor value . would stay could get discount rate . 
 Nov 8 2009 	 Pleasant Hotel 	 well pretty much everyone say wat wan na say abt hotel , pretty true ... moment check moment check staff pleasant efficient , front desk staff even recommend we join local tour Napa Valley , good . enjoy extra little touch like lemon water available lobby afternoon fragrance tea evening . we stay 12 / F obviously thankfully could not hear street level noise . room indeed spacious love fan ceiling , fact pretty satisfied room general ( mean come NYC room double size place stay ny ) .Now slight negativity - notice first day snack tray mini fridge cover dust , mean snack look like have not touch time ... fact notice 3 day , area have not touch all . the shower curtain draw make shower dim indeed cos lack light ... could not finish shower fast enough . finally , lot homeless people near hotel around union square ... guess cos many tourist area .. really burdensome ... ignore pretty much . oh whilst I m , people familar area pls dun make right turn come hotel , somehow stumble upon Tenderloin area apparently bad side town ... although nothing happen we , walk near short minute , pretty daunting . 
 Nov 6 2009 	 trendy little boutique hotel love ! 	 really like hotel . affordable trendy little boutique option San Francisco . week - long tour Northern Southern California , stay two night . we high level view executive room . room great ! join JDV Club wine wait we enter . love little detail furnishing , be different standard hotel room fare . reason , smitten lamp shade , look lovely ! bathroom roomy hotel price range . bed excellent : soft sheet , firm mattress we like , warm blanket . lovely fluffy towel free CD sound system bonus : ) think hotel succeed communicate cozy personal atmosphere one suppose enjoy boutique hotel . some minor side : not fan neighborhood hotel border . 's tenderloin district , desk clerk basically tell we , go , turn left , never right , right , nothing homeless people . be right , kinda off - putting . also , hard time get taxi . door man call call whistle , like , 20 minute . not know San Francisco thing something specific hotel , pretty cold stand outside September night nice clothe ! previous reviewer point weak shower head agree -- really could use water pressure . also , not fan stand - alone AC unit either . cloth cover arrive , think attempt address traveler ' complaint , not really help ! thing still -- invest window wall unit ? 
 Oct 29 2009 	 Hotel eveything need make business trip complete 	 spend 4 night Hotel Adagio . price great , room honor bar convenient . good coffee available room well . complimentary hot tea lobby evening nice surprise . hotel close Union Square less 5 minute . meet another hotel 3 block away walk meeting easy quick . room comfortable . ceiling fan nice . room lilttle warm day cool night . portable AC seem cool much daytime temp warm . 10th floor room pleasant , clean good value . town car available trip back airport . nice ! 
 Oct 17 2009 	 Excellent Value good location ! 	 book Adagio contact another site member recommend Joie De Vivre hotel take look several calculated cost etc share travel companion . we settle Adagio base mix location price . manage book 6 night 40 % discount normal rate . also cancel without penalty day term . expedia offering room slightly without option . reinforce view always good shop around see good deal be . I notice week travel hotel website indicate restaurant / bar close emailed check indeed closed find next day actually open breakfast – redecorate reply say ' ' transition new concept ' . also inform parcel deliver reply problem deliver promptly room . we receive warm welcome efficient check . lobby decor Mediterranean contrast room much contemporary flat screen TV.I book executive queen - queen room locate 14th floor . amazement look exactly picture hotel website . room spacious plenty walk space etc . the room clean ( keep way ) plenty towel two we need ask ( normally find ) . spiffy coffee maker extra coffee always leave left note ask some . the bed comfortable good quality linen pillow . free Wi - Fi come useful ! bathroom clean must recently update . issue all . after quick wash go walk get go San Francisco card buy snack . ½ bottle wine , newspaper note concierge deliver previously sign JDV club . receive ( daily paper ) even though first stay JDV hotel register . there couple minor irritation . air - con unit build wall / window take floor space give age building obviously possible retro fit it . the curtain never quite close completely light leak around door . there one bedside table middle bed . also bedside light little strange one . possible one side off . that say minor irritation reflect personal taste rather major problem . the hotel 2 - 3 block Union Square . cable car turn round market street 5 minute walk . plenty local diner breakfast restaurant dinner . walgreen close well ' corner shop ' get wine beer . there homeless people quick ' thank ' ' today ' enough get back . departure quick make use hotel ' town car service airport $ 45 + tip . certainly save wait taxi much comfortable . I think Adagio good hotel would highly recommend . 
 Oct 15 2009 	 friendly hotel central location 	 book hotel via Travel 2 part trip US stay 3 night early month . long tiring journey meet really friendly front house team show lovely corner room 5th floor overlook street . room clean nicely furbish , bathroom little date clean nonetheless . porter help we ( Steve ) know local area really well , really friendly give we great recommendation . location excellent 's along road Union Square , however , lot homeless people area daunt first ( however not trouble ) . 
 Oct 13 2009 	 fantastic location trendy chic great amenities- price ! 	 stay Adagio two separate night vacation SF Wine Country early September 2009 . price location ( across Clift block Union Square ) - will definitely return adagio trip San Francisco area . positive : location value- style ! room spacious well outfitted- modern , trendy clean design . husband architect work real estate - always try find pefect mix design value wherever travel . Adagio fit need account . noise : request ' quiet ' room good light . room stay face east- towards Union Square across alley / parking lot . perfectly locate 14th floor 15th floor - and noise guest issue either room stay in . room size / comfort : expect generous room ( compare Monaco ) , exceptionally nice bed ( BEST pillow ever - ' down etc . ' ) good light ( except bathroom- 's big mirror bedroom area work well dress / makeup ) ability open window bit fresh air ( limiter safety course ) . AC separate unit- need it- comment . the furnishing simple clean design- good space suitcase plus place sit read work . good toiletry , nice bar area complimentary water wine join Joy LIfe Club . staff : front desk helpful knowledgeable- offer suggestion dine City activity . they take request heart . parking : parking available less $ hotel 's valet price- garage right next door- save dollar parking .safety : location quite safe ( opinion ) despite tenderloin district block away . San Francisco always ' street people ' ( live 70 's ) but- urban dweller street smart traveler - it be different large urban city - whether NYC , Paris Rome . final thought : San Francisco offer room traveler every price point - could easily pay lux room view city elsewhere - hotel snob picky traveler nature- ' chic style value'- Adagio perfect . negative : one room 's bathroom sink drain well . note desk check out . the closing restaurant : Sadly- restaurant RAVE foodie / chow - hound review hope dine . loose restaurant / bar economy- take vitality away hotel lobby . still lively - have great food place site add liveliness convenience . hopefully will find replacement soon . Still- love , love , love Adagio JDV Hotel group . hotel hard beat style , value , comfort location . hotel fantastic really hit mark front . we would DEFINITELY recommend Adagio anyone travel SF . 
 Oct 8 2009 	 great hotel location city ! 	 great hotel , friendly staff , great location . Bummer restaurant close also good . luckily many choice within walking distance not inconvenient . 
 Oct 8 2009 	 Hotel Adagio still great second time around ! 	 stay Hotel Adagio several year ago first open love ! spring , head California quick 2 day stay San Francisco . fix be break ? ? ? choose stay Hotel Adagio .... disappoint ! arrive late evening warmly welcome upon check . room spacious beautiful . modern , clean line , lovely linen , lot light wonderful toiletry bathroom . excellent location - within walk distance BART line , great restaurant , convenience store Union Square . the restaurant / bar Cortez hot spot night . pour mean cocktail friendly smile . tapas fantastic .... interesting , top . even slice lemon cucumber water ! kind special touch make favorite us - back ! ! ! 
 Oct 3 2009 	 Location Location Location 	 Overrated Hotel eye compare other think site . ideal location think room huge little , bed tiny , room dark , poor facility bar . grand someone viste City first time would go elsewhere next time . 
 Sep 29 2009 	 Exceptional Service accomodation 	 stay Hotel Adagio amazing . 3 night 25th birthday . arrive much early plan , room already ready . graciously allow we check early . recognize celebrate birthday card , small bottle wine room . make request extra towel front desk , houseman room towel hand . staff knowledgeable area ( eat , ) extremely helpful , professional courteous phone person . impressive service attention detail ever experience hotel - use employee Fairmont . think big hotel chain something learn JDV boutique hotel collective . totally exceed expectation . the location perfect well - withe walking distance ( 3 block ) Union square 5 block major transportation terminal ( MUNI , BART , Powell St. Cable car . ) People mention presence homeless people area . many ( ) rest city compare Hotel locate . find presence intimidate fisherman wharf . feel totally safe walk around night area . the room HUGE compare expect . 4 adult double queen room high floor ( room 1203 ) accomodate we comfortably . decor modern bed COMFY ! ! need ride airport , 4 pm afternoon , able stow bag . bellman arrange pickup town car load belonging we , even though long guest hotel . the picture hotel website justice . hotel class style service extremely high caliber hotel without cost . 
 Sep 28 2009 	 Near Union Square reasonably price 	 go San Francisco conference Palace Hotel , expensive stay . stay Adagio , stay 3 night get discount . also upgrade junior suite extra charge . member Joie de vivre club , also give perk paper morning . staff friendly suggest place eat . comfortable bed , nice work desk . like furnishing . comfortable easy live 3 day . 
