great 	 family suite two double bed separate room queen . spacious nice view Coit Tower , Embarcadero bay . front , settle street noise view worth . one block cable car route block Fisherman 's Wharf . love location . would definately stay can not beat free parking ! 
 Nov 17 2009 	 great location / free parking / very clean / great view third floor corner room 	 stay hotel several day november wife,2 teenage daughter 9 yo daughter.we suite one room 2 queen huge flat screen tv another room another queen bed flat screen tv.the hotel luxurious nice , clean , functional . for reason kid love hotel tv little time watch it . from hotel easily walk ghiradelli square wharf . also walk alcatraz ferry pier hotel 10 minute . family rent bike go across GGB blaze saddle Hyde st easy 6 - 7 walk . there also blaze saddle bike shop next hotel . we choose shop close bike path starting point . around corner Taylor street Pats Cafe cute tasty place breakfast . North Beach food place little long walk street . Golden Boy Pizza great pizza .From third floor room great view Coit Tower light night bed could see Alcatraz lighthouse action night . we stay streetside away Bimbos nightclub.yes street noise especially since stay weekend seem bother anyone . but case bring earplugs.the front desk helpful direction bowl apple morning.there coffee maker room . parking secure free . hotel area charge 20 - 50 dollar night parking ! oh yes also free wireless internet . overall great stay would definitely stay . 
 Nov 9 2009 	 nice price 	 hotel get high rating us price convenience . locate Fisherman 's Wharf North Beach , convenient close transportation . park car free access time . also like neighborhood feel area , much different Union Square chain store . couple coffee shop nearby , easy grab latte quick breakfast head day site see . complaint somewhat busy street , quite bit street noise , truthfully long day siteseee tired night never bother we . stay hotel touristy area book , stay one time would definitely say . 
 Nov 6 2009 	 Nice Hotel - Great Value 	 pick hotel base Tripadvisor review . accomodation roomy clean . location hotel perfect walk Fisherman 's Wharf , Little Italy , Cable Car stop , etc . parking secure free ! ! flat screen tv , quiet room balcony . helpful front desk staff . safe neighborhood . without doubt , would stay hotel SF future . 
 Oct 28 2009 	 Great Place stay San Francisco ! 	 spend 4 night San Francisco , want nice hotel , free parking great location . definitely achieve three goal Columbus Motor Inn . 's nice area , easy walk Fisherman 's Wharf . comfortable walk around , even late night . park vehicle free garage arrive not take leave . room quiet , clean comfortable . upstairs room , away street , request . Front Desk efficient helpful . hair dryer bathroom stop work second morning , replace two hour . muni ticket could purchase two block away Powell / Mason Cable Car turnaround , buy 3 day ticket unlimited use cable car , streetcar bus , easy walking distance . really can not think anything negative say place , would definitely stay ! 
 Oct 19 2009 	 great spot room little date 	 drive San Fran LA need accom parking . columbus great location , close wharf , walk distance chinatown great little cafe 's nearby . bathroom little date not in - room fridge provide powdered milk coffee - yuck . absolutely huge flat screen tv , balcony one comfortable bed ' ve ever sleep make old bathroom . 
 Oct 18 2009 	 large room great view good location 	 step cable car room minute ! fog lift , could believe view . hotel great guest car . staff member pleasant . 
 Oct 5 2009 	 nice room great value 	 room spacious flat screen tv . location minute Fisherman 's Wharf . concern name & quot ; Motor Lodge & quot ; mean near bad neighborhood - neighborhood safe . great value San Francisco ! ! 
 Sep 30 2009 	 functional perfection 	 Excellent location , large spotless room ( view Coit Tower Cable car ) , large flat tv , free garage ( rare SF ) . nothing superfluous , need good price . for breakfast : Mama ' wonderful ( Washington square less 0.5 mile ) . go soon otherwise queue outside long . 
 Sep 30 2009 	 Perfect spot tourist driving . 	 everything read right . good spot tourist attraction car want live parking walk . parking ok , even drive large van like we . right heart North Beach . respect request room ( back front street , 2 bed refrigerator ) great price San Francisco . key word : free parking ! ! ! 
 Sep 28 2009 	 Customer service lack noisy street traffic . 	 stay Columbus Motor Inn one night , though book originally 4 night . pay $ 210 / night spacious room 2 double bed one king family 5 . room quite comfortable noise traffic keep we night . location otherwise great access transportation good restaurant without crowd people get Union Square . muni 30 bus run every 15 minute loud . wall also thin could hear people . really lack customer service . attempt change room traffic noise tell & quot ; guess well find another hotel last room book online & quot ; . obviously , patronage truly unappreciated . front desk staff monotone unfriendly therefore create uninvite atmosphere . end go Donatello customer service superb . decide stay , ask quiet room back away street . 
 Sep 20 2009 	 excellent location safe clean . 	 partner recently return road trip California . book hotel base review disappoint . situate great location easy access main attraction San Francisco like Fishermans Wharf , Chinatown , Italian District Lombard Street also couple block walk well worth visit ! car parking excellent basically do not use car walk 15 min Fishermans Wharf area tram etc stop next street take anywhere want go . good pub / indian restaurant across road lot lay back bar . good thing small cafe call Pat 's Cafe round corner great atmosphere serve really good food . go several time breakfast enjoy every one . the hotel staff polite helpful room cleanliness great . free wifi also great want research there . all would stay go back San Francisco . be not cheap think thing consider decent value San Francisco cheap city stay especially like * rough * bit . would put hotel par good 3 star hotel back home . 
 Sep 18 2009 	 Wharf Value 	 would vacation San Francisco , would always stay Cow Hollow Motor Inn . however , due decline cleanliness service , look elsewhere . Columbus Motor Inn choice not disappointed . location convenient want visit Wharf , Ghiradelli 's Alcatraz . within walking distance save incredible amount parking garage fee . even though two floor parking , rather limited . ask manager , say generally run parking event . run room , double park car lot move spot one become available . fortunately , always spot . need take cab , run frequently never problem get one . room quite large ( even not get room balcony ) clean . flat screen tv nice well . mattress could bit firm opinion , like firm mattress . wi - fi service , however , find bit weak iTouch time . real complaint would ( be hotel 's fault ) limit place eat around hotel . nightly fee $ 155 night include parking . be look high scale frill , will not find . be look clean place stay almost remind home , would not hesitate recommend Columbus Motor Inn . 
 Sep 16 2009 	 good clean safe great location 	 first hotel stay first trip USA stay due trip advisor . good thing feel really safe strange city location fantastic - 6 year old need feel safe . wake 6 morning due jet lag walk 2 block cable car turn Taylor get cable car Union Square breakfast - line really friendly ticket collector . room clean , staff friendly enough ( although meet well trip ) course park free city can not park . hotel good would stay cleanliness , location free parking . side be cheap ( SF ) WIFI not reach room . stay well hotel road trip location hard beat 
 Sep 10 2009 	 Great Location 	 stay hotel several time past 8 year . keep come back great location North Beach several reason . , easy . hotel situate far Fisherman 's Wharf , Coit Tower Chinatown , depend direction walk . room spacious clean . great italian restaurant nearby . free parking ! ! ! ! ! enjoy ! 
 Sep 10 2009 	 clean comfortble enjoyable 	 friend travel SF visit theTut exhibit spend day relax . stay comfortable , love fact walk distance wharf . Inn provide free parking , area great deal . want stay area Fisherman 's Wharf . ideal place decent price . 
 Sep 10 2009 	 good location 	 good part location . within 2 block cable car line 5 block Fisherman 's Wharf . ton italian eatery / cafe neighborhood ( well type restaurant ) . Barnes & amp ; Noble Safeway within 2 block well . also , bike rental place one block away , rent ride wherever heart desire . the second good thing free parking . beat typical $ 15 - 20 daily surcharge hotel charge . there be complimentary fresh apple morning . the staff unremarkable not bother . room good enough . thing clean . course , be go brand new place exquisite furnishing plush bed . . middle road hotel . get pay . be good enough . 
 Aug 27 2009 	 Great Location Great Price ! 	 really great place stay price . close North Beach many site within walking distance . room nothing fancy clean nice . car course ( since motor inn ) garage underneath hotel convenient we . 
 Aug 24 2009 	 Great Location Good Value 	 stay Columbus Motor Inn Oct 08 two night . unfamiliar San Francisco , frightfully expensive accommodation , rate 0f $ 200 night one bedroom studio reasonably good value . allow sister husband share bedroom whilst nephew queen bed lounge area . room extremely roomy comfortable .... spotless fact . along dining table big enough four us flat screen tv 's room , accommodation surprisingly good . another bonus fact able park on - site access car anytime day night ( always possible San Fran ) . fisherman Wharf 5 minute walk away , combination Indian / chinese restaurant bar right across street . would not hesitate stay recommend fellow Trip Advisor member without hesitation . 
