Best 	 WOW ! ! ! fantastic hotel . warm welcome staff arrival . room everything would expect 5 star hotel , large room dress room large bathroom . furnishing top quality . staff always helpful courteous could enough maid hotel manager . hotel like step back time impressive lobby seat area . every floor hotel like walk art gallery numerous piece art , well worth go wander check . staff dress uniform similar would worn colonial era . atrium impressive ideal place relax afternoon tea . hotel pool oasis hustle bustle Delhi . 
 Nov 23 2009 	 Exceptional 	 stay couple night begin month check upgrade we basic room junior suite . room /s perfect since do not need use sitting room , dress room & amp ; spare bathroom , I m sure I d pay go back delhi . highlight ; hotel immaculate , incredible staff , beautiful pool , location ( short walk connaught pl , next tibetan market ) & amp ; sheer joy stay non corporate / chain hotel . go spice route good dinner . Ignore guide book go indoor table , also , expensive warn food asian indian , stay can not bother go - will not dissapointe . second night go Bukhara - hated ! firstly sheraton ugly airport style hotel ( 45 min away ) restaurant like flintstone theme park . cutlery - seat tree trunk stool table slightly big tree trunk - neither hollow - there s nowhere put leg . food quite good well every restauarant subsequently visiite trip - cost £ 200 cheap bottle wine 2 starter 2 main . we really like delhi love stay hotel provide welcome peaceful escape mayhem old bustle new delhi .. 
 Nov 19 2009 	 well overpriced 	 not mind big name historical background : hotel way pretentious overpriced . hotel management still live dream aware city change : find jus good middle - range place stay , comfort , reasonably price service even modern facility . though service remain friendly room comfortable beautifully decorate , difficult understand charge much . ordinary Wifi connection charge 200 r every 30 mns ? price Sunday buffet triple last year reach least 2000 r ( drink extra ) ridiculously small share food ? simple drink Atrium get expensive ? watch 2010 : Commonwealth Games rush , one able afford room even drink place . problem staff not know difference helpful intrusive . feel like cup tea , will insist expensive cake ( train commercial , guess ) . want work quietly room , keep ' do not diisturb ' tag door time , roomkeepe staff would ring time offer service , leave nasty impression be take tip cash machine . would even follow corridor help open room door ( thank , manage key … ) . much attention also mean less privacy sometimes feel be « watch » time . last detail : avoid room opposite fitness room not want wake early morning sound loud - speak staff customer gather . whole , would advise forget stay afford meal one restaurant time Delhi . : find beautiful guest houses/ hotel city nice garden , free Wifi nice rooftop restaurant ... 
 Nov 17 2009 	 beautiful stuffy 	 atmosphere imperial bit stuffy taste . love opulence accompany warm , friendly atmosphere . fact want charge whole day early checkin shocking . like size hotel , big get lose . food outstanding restaurant service attentive . 
 Nov 14 2009 	 good hotel World 	 ' ve several time year India . 's refreshing hotel middle town . staff professional high standard client service . invite people spend time see wonderful art museum hotel invite family friend brunch special event ! amazing desert ! 
 Nov 13 2009 	 overrate 	 dissapointe Imperial . feel we like big impersonal commercial hotel ... room ( upgrade junior suite ) lovely comfort , size amenity one could want one big problem , two window face directly wall couple foot window . accord desk manager regular room face atrium . look outside configuration doubt mmany room view . staff fine , except wanted take tour art collection , could not bother get back we time . the Spice Garden restaurant excellentour last time Dehli stay Oberoi would recommend Imperial , except imperial location somewhat well . 
 Nov 7 2009 	 Historical Grandeur disappoint 	 stay incredible hotel sadly 2 night . stay heritage suite . unbelievable . ceiling tower vast sitting room large bedroom . beautiful furniture room cool white . historic picture wall . bed perfect bed luxurious . outdoor face windows care room look onto fountain courtyard . staff could helpful nothing much problem guide hotel find take partner around old Delhi tour guide president king . excellent . hotel even lay hotel car extremely comfortable rather grand hotel logo emblazene side . security hotel tight bag luggage screen arrival . never hotel check car come hotel drive ( include ) one pass metal detector get hotel . room service efficient . phone , promise , answer almost immediately . simply many place eat hotel one disappoint one invite dinner lose valuable night try hotel various eatery . try 1911 restaurant dinner wonderfully historic room . curry fiance go australian lamb chop . London price afraid almost 4 time cost curry . beware . beautifully decorate spice route restaurant sad time try . apparently take 7 year decorate natural colour . however get opportunity try beautiful pool refreshing spectacular . breakfast real treat . trail delight offer curry pain au chocolat ; banana smoothie green tea . take outside famous terrace overlook hotel lawn . hussle bussle Delhi hear beyond tranqui heaven greet one . it partition India work 1947 . often breakfast venue claim fame . staff even morning assist well . hotel seriously grow hotel aplace back packer . deserve respect good european hotel . try though budget might place . one help feel somewhat superior one pass delux hotel Delhi none majesty Imperial 
 Nov 4 2009 	 Great Service 	 visit Delhi last month . one memorable tour life . reach Delhi fly country , feel warm spirit city . tree - line road first surprised . think city concrete building , vanish see line tree Delhi road . travel Delhi business purpose . complete business work , enjoy day - long tour . really nice ! hang India Gate one evening till 10 amazing place . tour Humayun ' Tomb , Qutub Minar , Red Fort , Chandi Chowk market , Jama Masjid , many . enjoy Bollywood movie PVR . eat good restaurant . typical indian food little bit spicy , tasty lot . indian city , see many european scene 
 Nov 2 2009 	 unbelievable 	 stay 3 week june 2007 hotel amazing . food great , accommodation great , staff great friendly . except money take room reckon know staff clean . basically bring attention . not . pursue obviously need . stay place must . bit pricey well worth . porter front good craic 1911 bar home away home . spice route fine cuisine pool great place relax listen world go janpath fence . breakfast also brilliant 
 Oct 30 2009 	 Flawless 	 spend one half day imperial 2 week trip around Rajasthan . short stay ice cake one good trip ever . our room beautiful guess particularly appealle 18 hour rail trip Jaisalmer . we love pool spend large proportion time around . food restuarant good pricey . all staff member come across utterly charming , helpful speak excellent English , indeed hotel India . all wonderful hotel would lover re - visit one day . 
 Oct 17 2009 	 imperial 	 fortunate enough stay many time stunning hotel 
