Friendly 	 close everything would want . located heart Union Square , lot great dining choice nearby , close cable car line public transportation . large room San Francisco comfortable bed ! staff extra friendly helpful . free room coffee newspaper daily . certainly stay visit San Francisco ! 
 Nov 25 2009 	 great Time San Francisco 	 arrive Donatello room ready plan lunch night trip Alcatraz . front desk say problem bag room get back . ask direction waterfront say want walk . give we good direction stay flat ground . fun night & quot ; Rock & quot ; , make way back hotel via cable car . bag set room promise . next day ask good way freeway get Napa . direction accuarte . hard day taste wine arrive back comfortable room bed . staff accomadating encourage use concierge need anything . hotel heart city . close Union Square , shopping , cable car dining . would highly recommend stay Donatello go San Francisco . 
 Nov 25 2009 	 Amazing Hotel 	 Donatello nice hotel . room huge clean . good new bed . staff polite . close Union Square , 2 block . trolley pass 1 block restaurant good alive music . 
 Nov 23 2009 	 look value friendliness semi - luxury 	 overly luxurious ( Ritz ) right , clean , spacious room microwave refrigerator . clean , wonderful location , probably one good 2 minute Union square noisy . union square tour leave , public transportation cable car everywhere . the staff incredibly well train courteous . actually encourage use concierge . call point restaurant map help anything need smile . exceed expectation , pay $ 140 per night hotels.com . felt good pay bill , worth . 
 Nov 17 2009 	 great location room service 	 group 6 girl stay hotel day October . really enjoy stay . check , kind gentleman check we room spacious clean . location great , min walk union square ( close thye shop ) min bus tram . hotel great value money breakfast . eat hotel also treat well lovely meal . room clean daily . staff friendly helpful . really recommend hotel . 
 Nov 16 2009 	 nice clean spacious room great location 	 hotel definitely age -- especially elevator , nice clean spacious room , great location ( block Union Square close everything ) , attentive staff make . room comfortable , turn - down service every evening . bathroom nice , great water pressure shower . only two complaint : 1 . 10th floor could still hear lot street noise . turn fan block could sleep , be price pay right middle everything . 2 . relatively pricey , especially car park . also , would skip $ 7 breakfast ... be worth . 
 Nov 16 2009 	 Prefect Hotel 	 visit San Francisco several time good hotel stay inclean comfortable helpful friendly staff . would happy recommend . 
 Nov 15 2009 	 great location great hotel 	 friend & quot ; girl & quot ; weekend away San Francisco . thrid year row ' ve stay Donatello Hotel enjoy . husband stay whenever be San Francisco . room always spacious , clean quiet . location perfect shopping dining . nice guest floor serve coffed morning . staff friendly extremely helpful . look forward every year . 
 Nov 13 2009 	 Perfect experience 	 hotel perfect . brilliant location - lovely building , REALLY close Union Square trouble noise . block two away street get little mroe dodgy ideal . the room lovely enormous window , service excellent . would definetly go back . 
 Nov 12 2009 	 Excellent Experience stay Donatello 6 - 8 time 	 room spacious & quot ; top & quot ; superior bed . travel great night sleep important . amenity cleanliness excellent , also . I feel staff : housekeeping , bellman , front desk people always treat like anxious assist guest hotel . stay Donatello 6 8 time , sometimes husband , daughter , granddaughter girlfriend guest impress Hotel . especially enjoy fact one block Union Square shopping , theater great restaurant . 
 Nov 11 2009 	 great staff corporate attitude towards guest 	 large , newly update room , convenient Union Square location . staff accommodate . 
 Nov 11 2009 	 Lots Bang Buck 	 Excellent hotel - second time ' ve stay . room spacious , immaculately clean . comfortable bed . front desk staff concierge friendly , knowledgeable helpful . location , one block Union Square , can not beat . small quibble - bathroom small - ish somewhat date , personally prefer comforter heavy bedspread . Donatello offer large clean comfortable room , excellent stay great value . 
 Nov 10 2009 	 always pleasure 	 always enjoy stay Donatello . staff helpful accommodate . room comfortable first class . thank wonderful stay . 
 Nov 10 2009 	 PLACE ! ! ! 	 ever come back San Francisco stay . delightful experience . staff excellent way . help we find way around cable car , bus , streetcar Bart . room clean large nice cramp small hotel room . restaurant good food also . 
