good 	 good stay even Front Desk meet expectation : quiet room = share room door common another room . Front Desk pretend hotel ( 100 room ) fully book wednesday night 11th November ! ! ! easy cross check try book available room internet ! want waist time non well train educate staff ( 4 5 star hotel ! ) . suppose move another room day ( anymore 6th floor 2nd ! ! ! super trade ! ! ! good way convince client come back anymore requirement ) . anyway find solution make noise neighbor could complain anymore noise next door hahahah ( stupid rude french ! ! ! ) .The hotel brand new , clean , noisy cleaning staff , well situated ... certainly come back even choice dozen hotel NYC already try they . tribeca place stay ! ! ! ha way : funny coincidence one night stay : fire alarm 2.00 A.M. 6 Fire Trucks come hotel dozen fireman per truck ! ! ! ! excuse Management Front Desk Non Event . chance real fire . would imagine staff would manage situation ! ! ! 
 fear .... 	 weekend getaway could happy hotel . location excellent ... , hotel new , clean comfortable killer bathroom , bed tv . frosted glass shower wall issue floor never wet . staff attentive without face every minute hand pleasant surprise . Darker vibe also non - issue . room enough light available . want pleasant stay away BS mid - town , place brainer bargain . 
 Nov 13 2009 	 Perfect Hotel 	 hotel great ! get really good deal book Perfect Escapes , think soft opening period . the concierge front desk ( really nice Eslovaquia lady , forgot name ... sorry ! ! ) help we lot , able advise really good stuff even weird taste ( coney island + freak show , rock concert , good cheap food ! ) minor problem room ( small leak bathroom , AC not collaborate lot ) think due soft opening ! room great ! ! ! actually look exactly like picture post web site ! ! ! really big , perfect bed nice fresh flower beside ! perfectly locate front subway , SOHO , touristy part ! 
 Nov 7 2009 	 prefect NYC hotel ... great location great staff great vibe 	 1 well NYC hotel stay ' ve . location perfect like downtown ... proximity west village , meat packing , soho , etcstaff helpful / friendly & amp ; room specious amenity . also quite affordable . complaint bar bit tired , , would rather away hotel anyways 
 Oct 29 2009 	 great location cool hotel slightly lacking wow factor 	 stay weekend good rate source internet ( $ 290 ) . give limited number cool modern hotel TriBeCa Smyth good addition . restaurant not yet open , room service seem limited , plenty option nearby . relative boutique hotel , room bit disappointment - slightly predictable interior ( boutique hotel number , ) , monochrome modern , lacking wow factor . would say Chambers Hotel Hudson Hotel cooler room . frosted - glass wall bathroom stand part room design , work well . Kiehl 's product bonus . 
 Oct 26 2009 	 Great Location - poor sound control design 	 plan book double room Smyth , warn adjoining room bad sound insulate imaginable . note early post ; however , contribute fact hotel new assume problem would resolve time . , plan stay one room , prepared hear everything go next room . , treat nephew night Smythe , although adjoining room , report blast bed 2 am neighbour Reggae music . front desk call room go unanswered , hotel staff spend 5 minute door try get guest attention . loud music bring control 2:30am . resume 6:45am . nephew girlfriend impressed , fact live college dorm , assume noise tolerance level would exceed . , nice hotel nice area , warn noise continue issue adjoining room throughout hotel . * checkout , desk staff apologetic situation make effort compensation sort . bill two room ( combine 3 night ) almost $ 1500 
 Oct 17 2009 	 thank Complimentary Upgrade 	 book Smyth Thompson Manhattan one night regular rate . check - in tell we get complimentary upgrade king Suite . enjoy view roof terrace , spacious room suite facility gym locate basement . staff helpful . thank give we perfect entrée short trip Manhattan . wifi $ 10 / day . 
 Sep 23 2009 	 amazing room location staff 	 Smyth Tribeca excellent hotel new first choice visit Manhattan . entire staff , especially Mary reception , extremely welcome friendly throughout stay . hotel beautifully design . room gorgeous spotless , iconic view West Broadway Empire State Building . love Kiehl ' bath product . location Smyth Tribeca perfect , : every major subway line converge within block hotel . 1 - 2 - 3 line directly front hotel , make effortless travel Penn Station , West Village , contemporary art gallery Chelsea , Theater District , Central Park . 4 - 5 - 6 train three block away City Hall allow equally easy travel Grand Central Station museum Upper East Side ( Metropolitan , Whitney , etc . ) . course , tribeca nearby SoHo excellent explore foot , endless parade shop , restaurant , cafe , bar . ' already book return reservation Smyth Tribeca next trip NYC October . 
 Sep 22 2009 	 great find ! 	 want downtown nice hotel husband 's birthday . newly open hotel , everything ship shape . got great internet rate king deluxe room . despite , upgrade we suite ! . really nice , good look staff , none & quot ; ' m hip & quot ; . hotel modern ( room furniture tad cheap danish modern looking- small nit ) . huge modern bathroom walk - in shower Kiehl 's toiletry . close great restaurant hip boutique . west side subway right , Lexington Avenue line short walk away . 
 Sep 21 2009 	 Loved Smyth ! 	 husband thoroughly enjoy stay Smyth . admit kind anal hotel cleanliness room exceptionally clean comfortable . also spacious New York City , beautifully decorate . hotel staff also particularly courteous helpful . arrive early morning ( 2 am ) greet bright , warm smile -- stay way throughout time hotel . location great - 10 min walk shopping Soho 10 min cab ride Midtown . be also close several great restaurant . definitely back ! 
 Sep 16 2009 	 chic surprisingly comfortable ! 	 first stay , pleasantly surprised : ) . hotel stylish , room comfortable large ( compare typical NY room ) extremely well - light ( many & quot ; chic & quot ; hotel keep room dark taste ) . 2nd floor street noise problem . Wi - Fi $ 10 24 hour - relative bargain ! room service available small unique menu , try . staff extremely helpful , friendly , responsive . complaint completely unrelated hotel specifically , area - hotel small middle block difficult get cab times day . 
 Sep 15 2009 	 stay Multiple Times 	 ' ve stay multiple Thompson hotel NYC Smyth hnds favorite . extremely friendly attentive staff . door boy attractive : ) ' m way back October 4th time . great central location shopping Soho . always wonderful stay Smyth . 
