perfect 	 Hotel quiet , street quiet night . hotel close pretty much everywhere will want go . short walk Bryant Park , Grand Central Station . little long walk short subway cab ride Rockefeller Center , Central Park Lower East Side . room pleasant enough room move around , leave luggage floor , put thing away , etc . window actually open nice touch hotel offer . able easily open window get little cool air packing . bed comfortable lot extra pillow ; side bed little table lamp . hotel decor happen exactly style bright color ; make everything feel cheery . excellent breakfast buffet reasonable price NYC . complaint . staff friendly helpful . seem brief problem heat . least be tell deliver space heater notice problem . never need use . heat work fine hour later . also nice find superb rate Kayak . offer park reasonable rate Manhattan , not even need use . got great advice park car get free parking space within 2 block hotel weekday weekend . not know will ever able afford hotel , would love go back . 
 small room yes comfortable . 	 go New York City third time October mom great aunt . teenager , quite bit travel experience . say , Roger Williams hotel second hotel one trip . switch two day stay Novotel . arrive Roger Williams , kind concerned location ( location time square ) , not know nearby . walk hotel impressed . exactly like website show ( sometimes website bit improved ) , comfortable feel , warm lighting . pleased entire stay . yes , hotel room small , compare last hotel not mind . hallway colourful , room white colour . bathroom quite small , yes , light not good . still like . modern , comfy . shower leak floor , detachable shower head over - head one not work . veiw not good , room service kind weird . still , nice hotel compare leave . look feel safety hotel room , guarenteed . oh , add : bed amazingly comfy ! 
 Nov 23 2009 	 Hotel ` ` ordinary '' location good 	 spend wonderful weekend New York city spouse adult son . little disappointed size room bathroom verse hotel rate ; however quite happy 's location . service good ; though not require much tourist information ; staff front desk helpful regard . 
 Nov 16 2009 	 disappointed cost - cheaper rate reason ... 	 small room even small bathroom ... suppose romantic getaway weekend Mid Town Manhattan & quot ; Boutique & quot ; hotel somewhat underwhelming ... mention room small go hall change mind ? bathroom like outhouse indoor ... room anything toilet paper pleasantly suprise find additional charge ... everything Hotel cost extra , not fool cheap rate . housekeeping not make round early , actually walk we 8 ... staff friendly , location good , far anything . would suggest stay want , oppose opt cheap line rate ... get pay case , ... ' ve stay nice mom pop motel . 
 Nov 12 2009 	 nice place not mind sleep sauna 	 go Roger William hotel weekend November 7 . balmy 70 degree NYC , whop 80 degree 10th floor room . turn air conditioner crank low would go , settle sleep . poor 5 year old sweaty hot husband peel sheet try sleep - avail . could not figure open window either . turn , air conditioning & quot ; winter & quot ; therefore not control temperature room unless wish make hot . complain receptionist waive $ 18 service fee- service fee never tell begin . refuse anything else accommodate we . , be think stay , would request low - floor room may cooler , though first - hand way know . , wait spring . 
 Nov 10 2009 	 solid hotel ; careful ` ` service fee '' 	 ' ve stay twice work personal travel . hotel nice . be clean ; room smallish ( NYC ) ; get decent deal online . Murray Hill nice little neighborhood . like stay be far enough away Times Square whole mess close really good korean indian restaurant ( Mandangsui really good korean bbq nearby ) . good boutique hotel 's reasonable centrally locate . that say , * * * watch $ 18 & quot ; service fee & quot ; * * * -- something sneak end . 's & quot ; facility & quot ; -- mean guess gym 's pool free business center think . basically be charge extra $ 18 use hallway elevator . be kind bs . also , breakfast worth $ 25 . would go crepe place door south call Neko Keno Cafe something like . crepes omelettes delicious whole lot cheap well crappy buffet hotel . I would recommend hotel , keep two caveat ( service fee ; breaky ) mind . 
 Nov 4 2009 	 underwhelme 	 natural light 15th floor ( top floor besides PH ) small , clean room . Decor leave lot desire - try make seem chic put big screen front window look brick wall fluorescent light behind it . safe break - locking could open simply turn handle . bathroom clean bit small side ( typical NY hotel room ) .Flatscreen tv seem aged poor resolution , maybe ' m accustom high quality hd.i travel NY often would recommend hotel not plan stay . 
 Nov 1 2009 	 user friendly small comfortable 	 hotel well locate Murray Hill . area fairly quiet . room small functionally furnish . first unsure window shoji screen behind bed hide window . color scheme little jar we . room fill various amenity available charge . staff extremely friendly helpful . clearly service priority . difficulty get taxi doorman try hard usually find one within minute . wireless internet available room plus . bathroom decent size lot privacy frosted glass door sound proof . get good rate would recommend although think lot nice hotel area . 
 Oct 19 2009 	 great location 	 weekend NY unexpectant business trip . Roger Williams Hotel make experience much pleasurable . take minute check - in , service excellent . simply love hotel . 's block shopping corridor Manhattan . decor eclectic feel trendy . hotel lobby bar hide gem . spot two superstar lounge area drink . I ' m stay hotel return Manhattan future . 
 Oct 16 2009 	 trendy boutique hotel great staff 	 stay one night group rate wedding please stay . room large hotel NYC . trendy design . hotel also clean gym nice equipment . staff excellent , allow we check early . location good close subway . king size bed comfortable , although hate puffy pillow hotel . prepare plain cup coffee cost 3.50 . , lovely hotel would recommend 
 Oct 12 2009 	 near everything Quiet Comfortable 	 extend stay hotel two week ' whilst vacation NYC Sydney Australia . hotel convenient subway , shopping , within easy reach nightlife , yet neighbourhood quiet , even day ( important & quot ; jet lag & quot ; aussie need catch bit sleep long flight ! ) . staff friendly room spotless smartly decorate . bed superbly comfortable . bathroom small spend lot time anyway ? not eat hotel prefer spend much time outside hotel possible ( explore sight ) , . great eating choice around immediate area include reasonably price delis diner ( thank Guy & amp ; Gallard & amp ; Murry Hill Diner ! ) great NY Pizza Restaurant ( Vezzo ) , countless restaurant 2nd & amp ; 3rd Avenue ; smart restaurant Chelsea Gramercy within walking distance . hotel within walk distance Central Park Times Square point interest midtown downtown . would highly recommend hotel anyone wish high standard accommodation without completely blow budget ! 
 Oct 8 2009 	 Shop ' til drop relax style Hotel Roger Williams 	 love Hotel Roger Williams ! doorman meet cab carry bag , not see get room . lobby gorgeous could stay ! people front desk friendly yet professional . room decorate beautifully tastefully -- artsy yet warm . wish could stayed much long . room pricey , 's midtown Manhattan , expect ? , would stay heartbeat ! 
