great 	 staff amazing . the breakfast dinner perfect . save we ton money perfect kid . great location ! 
 Nov 17 2009 	 Great Hotel right center Chicago 	 really make welcome moment arrive . lobby high floor room good view . 16th floor room incredibly quiet center city . take breakfast room everything available . one little defect would swimming pool look like need resurfaced- paint peel side . every morning stay go Swim no - one else . nice indoor right top hotel . staff friendly also great Business Center print boarding pass free . internet also free room . would definitely stay hotel . right Hotel Garden Inn compare hotel . 
 Nov 17 2009 	 Superb location everything be include staff awesome . 	 meet girlfriend Chicago weekend birthday celebration stay Homewood Suites . not sure expect , love . room huge , full kitchen , pullout sofa monster king size bed . bathroom large enough 3 woman get ready go night without stepping . staff great . dine table 52 , Art Smith 's ( Oprah 's former chef ) restaurant stop Le Colonial one night walk easily . first night bit tired , simply walk across street PF Chang 's - also provide room service hotel . entrance Nordstrom across street hotel 's front door discount shopping , walk loop shop State Street easy morning jaunt river . , good price nice hotel charming staff magnificent location . internet breakfast include room rate . will definitely come back bring kid next time ... load family staying weekend . 
 Nov 14 2009 	 Boring comfortable roomy convenient 	 hotel look like originally another hotel join two small room make suite . half suite kitchen sit area , bath bedroom . two tv , plenty nearby restaurant , view Wrigley building . breakfast dinner include weekday , prefer buy fresh veggie grocery store block away comfort food serve . client get great deal room give location amenity ; & quot ; value & quot ; rating would significantly low have pay rack rate . note light sleeper : must fire station near , regularly hear siren south - face room . 
 Nov 1 2009 	 Felt much like home ... 	 visit Chicago two teenage daughter . Homewood suite amazing . complimentary breakfast reception offer much variety . hotel within walk distance many place eat shop . get catch thunderstorm , get soak wet . dry clothe dryer right hotel ! Homewood Suites much like home . suite spacious everything need . hotel lot brochure suggestion dining activity . staff friendly helpful . Chicago amazing place Homewood Suites place stay . would definitely stay . 
 Oct 26 2009 	 Great Hotel conveniently locate 	 husband stay two night could happy . corner room wonderful view . staff polite helpful . complimentary breakfast save we time money . two block mm short bus trip away theatre art museum . walk Navy Pier road free trolley back hotel . would stay next trip Chicago . 
 Oct 26 2009 	 Poor Service Valet Check 	 Dissatisfied service upon arrival hotel . pour rain , 3 - 4 valet employee watch 15 foot away front door colleague unload vehicle 6 bag , laptop computer , roll file box , etc . pour rain . complain hotel ' sfront desk clerk request speak manager . well , be nearly two hour since check one speak we address complaint yet . needless say , hesitant future stay Hilton probably une hotel future business pleasure trip . 
 Oct 14 2009 	 Great Location Shopping Chicago - land Fun 	 stay 3 night Homewood Suites mid - August great time . love suite layout- since provide nice pull - out couch two boy king bed separate room hubby . poor experience check - in ( Friday ) room ready . people camp lobby wait room ready staff seem frazzle . appreciate wait 45 minute room- stay go fine . small indoor pool upper floor kid really enjoy . go couple time never 10 people ( weekend ) - enjoy fact . location hotel great- right across back door Nordstroms close many great restaurants- within walk distance kid . Bucco di Beppo right across street PF Changs kitty corner- 2 example . also free breakfast buffet a.m. bit chaotic . let take breakfast item room to - go container ... avoid chaos . Trader Joes 3 block away case would like stock kitchenette healthy stuff . definitely stay . 
 Oct 14 2009 	 Excellent location amenity 	 stay hotel four night visit friend site see . location perfect - close El within walk distance downtown site . suite comfortable well appoint . wifi not work room , able use lobby . appreciate breakfast . light dinner offer Mon - Thursday , not take advantage . staff friendly helpful . good , wonderful view city skyline 19th floor room . , good experience . 
 Oct 12 2009 	 great location . great hotel . return . 	 great location heart downtown . spacious room . full kitchern . wonderful breakfast evening meal . awesome staff . return visit Chicago . 
 oct 9 2009 	 Center 	 hotel beautiful . go group 4 friend blast . centrally locate close sort transportation . continental breakfast magnificent ! not see much staff man front door extremely helpful . 
