enjoy 	 good thing say Chelsea Pines Inn . moment arrive treat guest . friendly , helpful show resturant recommendation . extend breakfast hour morning help alot . make feel welcome well take care . thank staff Chelsea PInes Inn . definitley back see . Regina 
 Perfect Location - Clean - Great Hosts 	 title say ! place spectacular ! go ny business class not sure stay . check homestay.com see great place money Chelsea Pines keep call . review amazing ease location well concierge . can not say enough locale . trip stay uptown pleasure close everything time . one bedroom suite picture work great employee . guy front desk gracious check check ( even though accidentally steal H2O fridge ) . become home away home never hesitate recommend other return ! thank everyone - blast ! ! ! 
 good job Jay ! 	 clean , friendly , idiosyncratic [ showered closet , work ] [ relatively ] quiet . great location away snooty people upper 5th . felt like real ny experience . Jay crew great host . will go backa tip . european like light breakfast bit ham smoke salmon would not go amiss ; look rear garden , could real treasure ; warn we old folk climb offer room 2nd floor 
 Nov 25 2009 	 really .... 	 read several ' great ' review place trip - advisor , Gay time online really look forward stay unfortunatley , overall dissapointe review live really thing . always take trip advisor review pinch salt take alot make we ' complain ' moan occassion spending quite alot money room think neccessary . opt deluxe room opinion apart arty film poster wall nothing deluxe day Inn - 5th floor mean hard lugg case long journey - offer help either . stair wells land tatty also room name film star star plaque door - one not paint splash around like paint rush look really bad . one occassion room not make get back day - not get much apology either shove afew new shampoo . nothing special staff - least really . hi / Bye kinda thing read great staff make wonder . breakfast fine although could one small toaster morning rush toast bagel . positive note - location excellent 50metres metro station right heart gay district bar , club restuarant . great time NY Chelsea Pines Inn although perfectly comfortable price pay really live hype ! 
 Nov 24 2009 	 glow charm ! 	 sick usual service composition see every time travel , Chelsea Pines Inn must - try every curious traveler New York City . simply put , review ' lie . yes hotel exceedingly clean , perfectly situated perhaps cozy place away home could imagine ; but … the real blessing staff could go way accommodate never - end question first visit NYC . event ticket , restaurant recommendation subway direction , truly feel like guest hotel . quality service leave smile , guarantee . we wait go back . elavator ? ! care , step represent much well hotel must NYC . truly gem . 
 Nov 24 2009 	 find ! ! ! 	 find brilliant little hotel Trip Adviser pick great review . good ! ! ! love movie movie star hotel ! ! hotel fill wonderful old movie poster . minute walk minute leave staff great ! room clean . great sheet bed ! ! ! breakfast area lovely good mix thing eat . go back next week stay another night ! ! great location . 
 Nov 24 2009 	 could not live Hype 	 danger many five star review , facility term least , modest hotel raise expectation , sometimes unrealistically . the excellent service welcome well document review find distinctly patchy visit , level service helpfulness vary greatly staff ( owner total starton every occasion , say ) . cut finger breakfast face someone seem little urgency help could not even find first aid kit . recommendation give also less enthusiastic , first time visitor little disappointing - 's kind service 's suppose make Chelsea Pines stand . also room mix lead we move one night confused tax final bill find one staff pretty hand . again , document , room original see would make welcome change stay faceless brand hotel regularly , , speak friend since , price 's totally value option - offer large hotel match would pay here . overall , 's hotel experience want not really work we despite excellent location , friendly staff friendly guest . advice would consider hotel similar price bracket / package deal set realistic expectation . not look , be clearly lot right lot people . 
 Nov 19 2009 	 perfect place stay New York 	 NY 5 time always stay mid town keen stay close area spend fo time . 7 month pregnant lady want make trip memorable last twosome . we find hotel New York Times website ( always good start ) could not fault thing . moment arrive warm welcome guy could not enough make we feel home . hotel realy nicely do . collection old movie poster everywhere lovely touch thrill ot Tony Curtis room ( next door doris day room natch ) .The room spotless big comfy bed , nice ensuite bathroom good power shower . huge big many boutique hotel ' ve stay ny.the breakfast include great - lovely fresh coffee , muffin , bagel doughnut plus cereal , yoghurt fruit set we well day out . and location perfect . 10 minute walk magnolia Bakery gorgeousness west village doorstep . Pastis Meatpacking district bar restaurant end street . do not miss highline walk whilst be . beautiful way see city right doorstep . I coud not recommend place . use stay lovely boutique hotel cost twice much warm welcome . 
 Nov 17 2009 	 Amazing New York Experience ! 	 stay vacation make break great trip . service receive honeymoon phenomenal . Jay staff great . receive nothing courteous helpful service whole stay . everything eat get we ticket Broadway show . room perfect . do Silver Screen memorabilia . importantly , room clean ! whole hotel clean new feeling old building . complimentary media room also great plus . the surround area good NYC . ' ve friend wedding . funny find we area end night stag wedding night group . incredible restaurant , funky / chill nightclub regular amenity literally stone throw away . the personal touch ice cake we . thing like staff take time research find good deal Broadway show , jay homemade bread morning fresh bouquet show room honeymoon . plan stay every time go New York would definitely recommend Chelsea Pines inn anyone everyone ! thank guy great trip ! 
 Nov 8 2009 	 Loved 	 stay five night Donna Reed room , super room plenty space character . Al staff ( Charlie ) make we feel moore guest . fantastic help hockey musical ticket everything . really make stay NYC priceless . come back next time definitely know stayStefan & amp ; Katarina 
 Nov 8 2009 	 pleasant would return 	 young couple stay Chelsea Pines Inn 5 night May . enjoy stay would return hotel . price range , significantly well 2 small New York hotel try . pro : - room comfortable clean film star picture give character- window could open fresh air pleasant view courtyard- New York hotel , pretty quiet , minimal street noise noise guest hallway go room , room themselves- pleasant self - serve breakfast , though fairly minimal options- well locate , close subway station , restaurant , shop etc , walkable quite lot tourist destinations- great service - staff reception go way helpful , find restaurant etccon : - air conditioner slightly noisy ( big issue ) - third floor manageable pleasant getting suitcase , would not recommend upper floor elderly mobility impair guest 
 Nov 7 2009 	 Great Location quaint film star room ! ! 	 hotel perfect location many subway line , basically walk distance tourist area . breakfast included- muffin , bread yogurt be not varied . room small , bed comfortable do not spend much time anyway ! helpfull staff super atmosphere make stay enjoyable ! 
 Nov 6 2009 	 Clean Quiet Comfortable Convenient . 	 moderately price Inn nicely appoint room West 14th Street . Wifi breakfast include , great value . l train half block away make transfer uptown Union Square snap . service stellar , go way make short stay extremely comfortable . great alternative business traveler tire big boxy expensive ( twice price ) mid town hotel 
