good 	 make reservation take advice traveller site . arrive 11 hour flight midday , quiet room look court yard ready we . room overly big , clean comfortable bed , great shower clean bathroom . nice decor good amenity . thoroughly recommend Cafe Pescatore adjacent hotel food good . ideally locate Fishermans wharf , cable car , plus supermarket across road . staff friendly helpful ( even buy we English Tea hot water ) .The wine reception great idea nice meet traveller great access free internet access room . 
 Nov 25 2009 	 Great Location - Nice ( small ) Rooms - Helpless Concierge 	 extensive research day San Fran , finally select Tuscan Inn . great choice ! location can not beat . room bright , clean window open . noticed room ( king size ) small . difficult find spot put two big suitcase -- - live several day . constantly step around . in - room safe great . room also small refrigerator keep behind lock key . ? not know busy really care , find odd . another odd thing notice majority room door open hallway , rather room . open inward , definitely notice open . room quiet window open overlook cute courtyard . lobby also several great gathering area meet party sitting enjoy book outside room . next door Safeway Barnes & amp ; noble bookstore . great stocking either water grab coffee morning . wharf short walk street , laundry mat need stop muni car . the several gentleman work front desk evening great helpful stay . also patient explain direction map etc ! staff morning seem need another cup coffee not excited see we . difference personality would assume . we ask Concierge , locate lobby , question one morning realize mistake . we work tourism 14 year disappointed level service provide gentleman . suggestion & quot ; would recommend , part SF try eat dinner , . option sightseeing would X , , Z. & quot ; apparent we beneath level worthy tourist . the Room Attendants excellent friendly - accommodate late morning departure make room - room always clean fresh towel request . I would stay . 
 Nov 12 2009 	 want love okay 	 base review TripAdvisor , expect love Tuscan Inn , say underwhelmed . location good , overall decor nice , nothing really rave about . this first trip San Francisco ( , husband , two teenage child ) stay Tuscan Inn two night -- Saturday Sunday . first night room outside perimeter building , face Mason St. , street noise absolutely unbearable . car traffic ( would understand ) scream , yell , honking , kind commotion -- especially 2 am , ' m assume local bar let . noise inside hotel much well . wall paper thin , son wake panic one point think voice hear INSIDE room . ask move quieter room next day , front desk accommodate ( get feeling happen time ) . second room small , inconvenient bathroom layout , least quieter able sleep . never try coffee / tea morning manager 's reception afternoon ( sightseeing time ) , though nice touch . room rate include breakfast , croissant fruit site restaurant . fine , , nothing rave . overall , good location , average hotel serious noise issue . 
 Nov 11 2009 	 perfect hotel perfect location perfect staff ! 	 wife , along sister , stay best western Tuscan Inn Fisherman 's Wharf . stay November 6 November 10 , 2009 . first ever visit San Francisco , Tennessee sister North Carolina . many place , many state , even country time . leave San Francisco Tuscan Inn , happy highly impressed . tell single bad thing hotel . everything perfect minute arrive , leave go home . highly recommend urge stay great hotel . place exceptionally clean area , date nice . front desk staff eager help , smile , make happy . always greet big smile happiness , even busy . location perfect pier 39 surround area . proud pick hotel , assure would stay nowhere else San Francisco , Best western Tuscan Inn . question get somewhere , front desk people knowledgeable always print we precise direction get we go fast safe . room 2nd floor spotless cozy . room nice quiet . complaint . right beside vend machine , great get drink , walk ! elevator fast clean . outside hotel clean well . would like say thank everyone Best western Tuscan Inn , make first trip San Francisco perfect , memorable time live . lady gentlemen fantastic job , family back San Francisco soon , stay best western Tuscan Inn . read review , recommend stay well , exceed expectation . 
 Nov 11 2009 	 nice convenient 	 nice hotel convieniently locate cable car , f line , wharf , etc . clean comfortable . 
 Nov 11 2009 	 great location ! 	 go San Francisco September decide stay close Fisherman 's Wharf stay downtown 17 year ago spend time Fisherman 's Wharf enjoy much . husband find hotel Trip Advisor rank high not disappoint great location nice hotel . room small side be still big enough comfortable decorate nicely . staff friendly go one & quot ; Happy Hours & quot ; glass wine either baseball game ( much fun ) two tour take - busy time ! also computer available free internet nice bonus not find till day leave still able get check flight Vegas next day . lot restaurant close plus Safeway across street handy . definitely stay recommend hotel other be plan trip SF ! 
 Nov 7 2009 	 tuscan INN - WONDERFUL HOTEL 	 friend high school go San Francisco week Oct 25 – Nov 1 . stay wonderful Tuscan Inn . time get leave treat superbly . front desk concierge staff helpful question . morning coffee tea afternoon reception wonderful . housekeeping efficient friendly . one night problem television . call front desk man send room get problem fix immediately . room spacious clean . restaurant waiter waitress friendly extremely professional . downside Tuscan Inn ice machine floor stay break whole week . the hotel location perfect . Everyday would start day coffee tea . would walk front door walk Pier 39 two block away . could get anywhere want go San Francisco . bus trolley stop Pier 39 . also boat Sausalito leave Pier 39 . cost plus Market next Tuscan Inn go get great wine . across street Tuscan Inn Northpoint Shopping Center Walgreens , grocery store hair salon . ask man work grocery store direction another store walk grocery store show we store . nice person ! go hair salon fabulous job hair . we see show Beach Blanket Babylon fabulous . must see San Francisco . 
 Nov 4 2009 	 great location service ! 	 husband stay two night Tuscan Inn enjoy 's great location Fisherman Wharf proximity San Francisco 's streetcar . able get anywhere want easily . room clean tidy . staff helpful knowledgable . enjoyed every minute visit definitely stay Tuscan Inn next time San Francisco . 
 Nov 3 2009 	 Perfect Location Cruising San Francisco 	 stay Tuscan Inn one night pre cruise find hotel excellent choice . reserve direct hotel well advance stay get good rate . room clean comfortable staff friendly helpful . location perfect perusing shop Fishermans Wharf , dinner Nicks 's Lighthouse - food fine rest room horrendous state , completely put we . supermarket locate opposite hotel ideal last minute purchase . we problem internet access , not report time , still charge however minor inconvenience we . if return San Francisco would definately stay good recomendation . 
 Nov 3 2009 	 great hotel terrific location ! 	 town AAO conference , Tuscan Inn 2nd half ( leisure half ) trip . consider rate $ 165 nite , location , 2 blocks Fisherman 's Warf , terrific value . stayed & quot ; back ' , sound . large comfortable room , wonderful bathroom . complimentary wine 5 - 6 lobby nice treat , sit fire make even well ! staff helpful , get two great suggestion dinner water , book shuttle back Airport , way cheap taxi ! heck , adjacent Cafe Pescatore need one night , surprisingly good . 
 Nov 3 2009 	 great location would stay 	 stay 2 night please hotel . excellent location , need short stay . able walk everywhere want go least walk tram station go downtown . service good , friendly staff love free wine reception night . room nice , comfy bed clean bathroom . parking expensive think common San Fran . check check timely . greate welcome note chocolate room arrival nice touch . would highly recommend hotel . hire bike ride golden gate bridge , alcatraz tour wander around fisherman 's Wharf . excellent activity . love Fisherman 's wharf . recommend go Boudin Bakery lunch Lou 's Blue 's bar great dinner entertainment . would definitely stay would hope get bit cheaper price next time . overall great hotel , awesome location , feel safe everywhere go . 
 Oct 27 2009 	 great location value 	 husband would highly recommend hotel . spend two night begin week long journey Highway 1 Los Angeles . could not happy location room . certainly appreciate upgrade room bottle champagne waiting room arrive celebrate 25th wedding anniversary . nice touch . Fisherman 's Wharf two block away 's drug store grocery store across street . also , thank Ken concierge recommend Grand Limo service . hire town car three hour take we private tour city . Sal driver nice informative . would highly recommend Sal Grand Limo . can not wait return San Francisco Tuscan Inn . 
 Oct 26 2009 	 great location 	 good stay hotel , everything clean modern , absolutely great location tourist attraction . the staff desk rarely welcome back day sightseeing etc . also hear people elevator talk get discount voucher evening meal hotel , offer anything , say , still good time San Francisco . 
 Oct 17 2009 	 nice hotel 	 2 block fisherman wharf , close tourist attrraction . free wireless help transportation need . definitely would stay . 
 Oct 16 2009 	 great place stay . 	 stay hotel three day way Hawaii suspect not long enough . hotel ideally situate Fishermans Wharf literally 5 - 10 minute walk Embarcadero pier . bed continental breakfast excellent . nightly free wine taste 5 - 6 pm brilliant idea get guest together socialise witheach . restaurant cheap well patronise service good food . could fault hotel certainly stay return beautiful city 
 Oct 13 2009 	 Nice Hotel 	 hotel great . lot , location great . two block fisherman 's wharf ! 
 Oct 11 2009 	 fabulous find 	 third time San Fran first time hotel . find . it 2 minute wharf fabulous italian restaurant usedtwice short stay . happy hour couple offree drink 5 6 give chance meet traveller . a great idea , take advantage . would definitely return hotel . 
 Oct 10 2009 	 amazingly like home 	 Tyler , front desk manager make weekend get away amazing . answer question even arrive upgrade we suite extra cost . day walk sightseeing wonderful welcome back hotel glass wine fireplace chance share day ' story traveler . locate near tourist attraction hotel perfect catch tour bus , cab , etc lot sightseeing . 
 oct 9 2009 	 perfect location 	 hotel perfect location . within walk distance shop , dining , cable car fisherman wharf . fee parking well worth see park car . free wi - fi happy hour wine every afternoon ! staff helpful . room somewhat small clean comfortable . would recommend hotel ! 
 Oct 8 2009 	 enjoy Tuscan Inn location large room 	 book 1 bdrm suite fold sofa kid . bedroom King nice sized living area . can not beat location . bit pricey , hey , San Francisco . overall , pleased . food manager 's reception skimpy , especially consider full house . service spotty ; front desk marginally helpful . housekeep good . one concierge great , bad . Valet great ... usually ! business center construction ( guess ) . one computer lobby either always busy work . 's ! ? 
 Oct 8 2009 	 Tuscan Inn make First Trip San Francisco Hit 	 Location fantastic ! 3 block Fisherman 's Wharf , Boudin 's fresh sour dough , Pier 39 easy walk access everything else area include CVS Pharmacy Cost plus ( purchase wine one winery visit Sonoma . ) short walk take cable car turnaround , sure stop across street crab melt Ramus fizz ! tuscan - theme hotel charming , clean & amp ; comfortable complimentary concierge service helpful . daily wine taste hold lobby also welcome perk . room clean newly furnish , could ' ve use sheet fit bed bit well . overall , great experience . 
 Sep 29 2009 	 Simple 	 nicely locate , clean , simple hotel . although arrive 3 pm , room ready ask wait . 2 room , clean ok , strangely set ( open bathroom door block passage room 's door ) sparstly equip ( enough hanger , towel , etc . ) .Do not think deserve 4 * , 3 * like , 
 Sep 29 2009 	 lovely place 	 great time ! would definetley come ! 
 Sep 28 2009 	 would recommend ! 	 stay 2 night , room lovely , clean , modern , comfy ! room look onto pretty kinda courtyard area , feel bit overlook , keep blind close shame . parking free , great , hotel conveniently locate public transport , local attraction . , itchy sore eye whilst stay , think may pet friendly hotel , suffer allegie , may wish stay clear ! however , reiterate room look clean ! 
 Sep 27 2009 	 well 2007 Pretty Good ! 	 stay hotel November 2007 , return early month . four hotel use San Francisco , one far good . my major complaint two year ago lack public access internet computer guest , correct . complaint time phone book room 2 year old . be room small ? small London hotel , primarily sleep ; time . do room great view ? , want see San Francisco look window , might well stay home watch travelogue TV.As in - and - out parking , see lot San Francisco car . city outstanding public transportation , 's great place walk , too . it be hard sympathize whiner write derogatory review hotel . find concierge front desk staff helpful housekeeper quite good . I stay pathetic hotel US abroad ; one . 
