trendy 	 hotel excellent location , couple block away Broadway ( Time Square ) choose hotel cool picture website . altough cool website , hotel still modern stylish . as use hotel sleep , give opinion regard room impression . use facility also chance experience either restaurant bar . the room book standard room . clean stylish , little small taste . the bathroom pretty decent provide brand toiletry L'Occitaine . as almost never hotel express much staff . guy bring bag room friendly helpful . guy escort departed . , interaction staff basically he . as mention early location excellent , reach anywhere NY midtown foot . also undergorund station outside hotel 's entrance . in opinion hotel suitable young crowd ( 18 - 30 ) Overall enjoy stay Dream . 
 Nov 20 2009 	 Definately Dream 	 stay hotel change usual hotel NY website look pretty cool ...... wrong . room would call luxury one week unable unpack clothe wardrobe space make fro people less 4 ft , unable even hang coat . sorry price expect able unpack . room minimilast bare , well travel lodge ! offence Travel Lodge price could stay London . arrive Halloween party go bar downstair spill onto reception ok , holiday . little know oman noise expect nightly . small window view brick wall . door room close properly put something front night , outside look close , hang properly make we feel though valuable safe . lighting room absolutely rubbish impossible put make full length mirror . noisy sky bar , sorry live city want look people 's live room go live high rise . recover jet lag check early , difficult get hotel room go Radisson service much well internet FREE save $ 900 ! plus side location place trade description act . work partnership lot & quot ; boutique & quot ; hotel sorry expect description website Time . young clubber perhaps use room sleep hour not want nice hotel bar luxury holiday might suit . oh yeah , ship reception , spot last day tiny far could make spa hotel around corner . not let spoil trip would never recommend hotel . 
 Nov 19 2009 	 Stylish perfectly locate 	 nice hotel , modern , stylish , clean friendly . good location : room could look Broadway Times Square . small wellness area cool bar top floor great view ! 
 Nov 10 2009 	 great location cool hotel overprice . 	 great location close Central Park . room good big enough . a / C noisy since stay November ok keep turn . third floor noice street bit disturbing . ' m sure would nicer building . nice enough hotel good value . 
 Nov 10 2009 	 great location great hotel 	 spend six night Dream hotel husband spend 2 night New Rochelle . love stay . room perfect , small kinda prepare far small pleasently surprised could swing cat . ' m mean like spend hour hour there- meant sleep . closet drawer great- get unpack completely . use spa massage- slightly expensive well worth , probably nice massae ever get . location ideal- pretty much walk distance everything tired lazy ( time ! ) 57th Street Subway right outside . would recomme hotel anyone intend stay next time be back- love . 
 Nov 9 2009 	 stay 	 book online excited magic hotel website promise . arrive hour prior check- two lady front desk friendly prompt . surprisingly , not turn we away get we room right away . husband happy see three work elevator . lobby chic constant hub guest driver . room 10th floor wonderful view 55th street . not mind room small bed could invite ! kid ' m 5 ' 3 & quot ; husband 6 ' .... difficult time sleep . immediately notice hot room . happen 65 degree city weekend room 86 degree ! ! ! ! Air Conditioning Hubby prop bathroom window open . bathroom shower . check dropping luggage , spend time shopping return room & quot ; fluffed . & quot ; leave two bruise rotting apple room service menu pillow ... could please skip beat apple ? want place pass booze club place ... money pay expect well ! 
 Nov 7 2009 	 Total Rip - Off go elsewhere 	 stay one weekend experience terrible . could not sleep night much noise come A / C , street outside , paper thin wall . wake night hear guest ' fight middle night . say something type people stay too . the final blow check - out time , charge $ 200 extra top bill less 15 min phone call make friend NYC ! apparently add $ 10 connection fee , WRITTEN anywhere . talk time 15 min total : 2 short conversation voicemail message leave . this treat customer . trashy place poor value money . advise stay elsewhere . 
 Nov 1 2009 	 Dream Hotel 	 love dream hotel not cozy type hotel , like modren hi - tech sorta thing . 
 Oct 25 2009 	 totally satisfied 	 absolutely complaint regard stay Dream Hotel . large room decent sized bathroom include large shower area , lovely Loccitane product extremely comfortable bed describe like sleep marshmallow ! reception staff friendly , bar funky location Times Square Central Park . 
 Oct 17 2009 	 nice view airshaft 	 stay dream Columbus day week - end . travel wife another couple . stay 4 night . read different review , seem nice small room . also sign become prefer member offer free upgrade available . our room indeed small , ( 118 ) small friend view window air shaft . express displeasure otherwise interesting hotel avail . so want spend 300 400 dollar undersized room view air shaft place New York find . 
 oct 8 2009 	 Location Location 	 Perfect location Times Sq , Central Park , etc . near NYC Sightseeing bus stop . clean well appoint room . helpful staff good italian restaurant site . 
 Oct 6 2009 	 great location roof bar 	 hotel place heart Manhatten great bar roof , try get room least 3 floor top get noisy night . great value money trendy room excellent interior decoration . the young receptionist encounter helpfull , rest staff great . 
 Oct 5 2009 	 Hotel 30 Clubbers 	 wife stay past weekend . positive end location . hotel 2 club ; one lobby level one penthouse . room door slam night long club set go party scene . 30 NYC party , hotel . plan sleep night Dream Nightmare . 
 Sep 18 2009 	 great hotel ! 	 stay 3 night month , read negative review little worried , . arrival staff front desk lovey , upgrade large room 2 bed ( room 507 ) really nice . hotel lobby amazing massive tropical fish tank centre piece , really look totally different hotel . room lovely . bed comfortable actually like sleep cloud ! bathroom great complimentary toiletry l'occitane nice touch . unlike review read hear noise , problem lift either . lobby get fairly busy people wait lift bar be not enough bother you . the concierge also great , really helpful polite , staff . I would highly recommend hotel anyone want stay somewhere personality another chain hotel ! 
 Sep 4 2009 	 not stay 	 room small , noisy air conditioning work well . stay two room first night first room ransack several valuable steal . good place stay be business . concierge staff run kid seem like want roof top bar anywhere help . people come hotel go rooftop bar room not safe . 
 Aug 28 2009 	 great location great hotel 	 stay Dream five night , book Priceline ( @ $ 100 per night ) . room decent size , travel alone . New York City hotel room small case , fine . clean , quiet ( room look rooftop shop 7th Avenue ) wonderfully locate subway doorstep , Times Square 10 minute walk , Central Park couple block away . there also free wireless internet service lobby ( although room ) .The downside lift could slow time - otherwise fine . staff friendly helpful . 
 Aug 27 2009 	 bedroom closet big room Dream 	 enjoy stay hip property . overall work fine , caveat room size - bedroom closet indeed big : ) 
 Aug 20 2009 	 well expect ...... 	 teenage daughter & amp ; book 5 night Dream Priceline . , become concerned read review - especially bed size . share double bed may little close comfort unless newlywe couple ! request email different room configuration , ( 2 twin queen sized bed ) would cash - sort peeved . anyhow , thought would tough give try . our first impression hotel friendly staff , always nice long day travel delay flight etc . give room 109 - make wonder get & quot ; Priceline Punishment & quot ; . read reviews street noise noise main floor night club wonder would nightmare . turn - not hear thing - garbage truck one morning . room quiet , however staff reading - room 109 big running toilet problem - flush , keep go .... go .... bed comfortable - tired every day long day sightseeing walk - surprised ability adapt small bed . the room tiny - rarely , not matter . we ask towel clean every day - anyway . location outstanding - crowded , tacky , price Times Square area block - close Central Park , Columbas Circle Carnegie Deli . we eat dinner Serafina twice enjoy immensely . our 5 night experience positive afterall . 
 Aug 17 2009 	 ok couple 	 book Hotwire ( never ) , not know booking & quot ; boutique & quot ; hotel . spend 3 night 15 year old daughter 15 year old cousin . locate good , central spot Manhattan - convenient . room clean , extremely small , usually not bother we , ridiculously small . room view another wall , sunlight ever enter room . bed comfortable , double bed take entire room . literally room walk around put luggage . light dim , feel like cave cell . we need use printer print boarding pass , find business center . concierge pleasant , could accomodate we , printer work , technician working problem . think odd , hotel class able accomodate request . the lobby impressive staff . rude , disintereste helpful . the hotel would fine young couple , look bed sleep . definitely good child teen . Hotwire label 3.5 star - would rate high . 
