nice 	 usually use Hilton New York , newly open Hilton Garden Inn two block office make sense try out . I book two week back find room 2 night $ 219 night + tax seem like bargain . due personal reason delay trip one day change resevation online price go $ 359 + tax would make room little pricey considering . helpful reception quick checking . room nice ( albeit little small ) hd flat screen tv , microwave , coffee machine , iron board , etc . wifi perfect free . breakfast good include make order omelette . would certainly use would expect pay little less $ 359PS . bad point breakfast coffee ( european ) terrible . tea taste coffee expresso available : - ) 
 Excellant Hotel Location 	 clean , attentive staff well service room . outside front door Hotel see Macys right Empire state leave . Superb . 10 - 15 min 's walk Times sq . easy reach & quot ; attraction & quot ; Rockerfeller centre , 5th Avenue , central station , etc etc .compact reception area bar certainly adequate . not eat restaraunt far many great place eat outside . ! would hesitate reccomend . 
 Perfect choice 	 Hilton Garden Inn strategically locate heart Midtown Manhattan perfect location business leisure purpose . the whole property 100 % smoke free facility . cleanliness outstanding ( change bedlinen every 3 night ) . room quiet , though small medium size seem rule NYC.Neighborhood lively apparently safe ; subway station around corner major bus stop ( MTA ) front Hotel . Trusty website / brochure . we definitely recommend Hotel ! 
 Nov 25 2009 	 good value could well 	 husband NY time say hotel much well . first time Hilton NYC , though room decent size NY hotel staff friendly , issue . first , not valet . not NYC ? ! actually dodge traffic pull garage across street . second , not room safe . mean honestly . ' ve never hear hotel . call ask say could store valuable behind front desk , bring husband 's laptop tell safe not big enough ! hmm . third , three elevator seem take forever get lobby incredibly tiny . fourth , staff not offer idea thing do / see city , tell NY see parade , not offer tip . bright side , lot cheap many hotel - actually one well find time year ( Thanksgiving ) . room pretty small , NY . small fridge microwave , nice bathroom . front elevator not noisy . plus free Wifi . 
 Nov 23 2009 	 perfect 	 choose hotel new ( basically new construction ) location block Penn Station place work . location perfect - easy walk everywhere need be . check - in tad slow staff polite . breakfast expensive side quite fill ( eat ) .No problem elevator . we two double bed room slightly large king bed . room clean tidy , bed comfortable . although essentially behind elevator shaft elevator noise intrude room . good deal , would stay . 
 Nov 23 2009 	 Fantastic Location ! 	 great place stay . key requirement room quiet . ! room next elevator , worry noise machinery . problem . since hotel 6th Ave , whole lot traffic keep noise also . room clean , bed nice , bathroom great . shower pressure much well expect NYC hotel . small fridge microwave room . another plus family travel . good location ! could see Macy 's hotel 's front door ! Times Square quick 5 - 10 minute walk . train station another quick 10 minute walk . room small , care ! sleep ! would definitely stay . 
 Nov 16 2009 	 Favorite Hotel NYC 	 stay Hilton Garden Inn 35th Street least 5 6 time year . hotel new ( Feb 09 , believe ) service great . ' ve stay time Hampton Inn next door ( HGI bit pricey ) , much prefer stay HGI . room clean , bed comfy front desk staff wonderful . quick walk Penn Station right next Macy 's . small exercise room ( 2 treadmill , 2 elliptical , free weight , etc . ) , nothing fancy , nice . , little pantry buy drink , snack . , internet free ! 
 Nov 16 2009 	 nice stay 	 wife stay hotel 2 night . clean fantastic position . room touch small nothing grumble . bathroom nice shower fab . would stay ? yes would . wee bit expensive though . 
 Nov 14 2009 	 fabulous good value cleanliness courtesy location 	 hotel less year old . second stay . would highly recommend anyone look reasonably price hotel NYC absolutely immaculate . staff can not enough help pleasant . mattress perfection top notch linen . definately value . restaurant serve breakfast . bar lobby . room service breakfast . 
 Nov 13 2009 	 Clean Truly Pleasant Staff Central Location WeeBit overly price 	 Excellent Stay way around . hotel fairly new ( open Feb. 2009 , believe ) . entire staff impeccably polite cordial , welcome friendly time . stand front desk overhear employee state 99 % capacity . excellent customer service , would hae never know busy . impressive . five star customer service ! ! room clean include small refrigerator micorwave . visit NYC , size room may seem small find , NYC , quite large . bed comfortable . view ( upgrade ' city view ' ) office building across street glorious view Empire State Building well . the location right next subway station ( think N R W ) couple block Penn Station . Macy 's , along H & amp ; , forever 21 , etc ... 1 minute walk away . eat food hotel can not comment except say visit culinary capital world - go outside find something wonderful not eat home ! ! give hotel 4 star instead 5 spend $ 3500 six night . although NYC , find equivilant hotel much less money , ' m sure . however , 99 % capacity must something right . 
 Nov 13 2009 	 clean comfortable unglamourous hotel good location . 	 primarily choose hotel room 2 double bed handy teenager want bed . also location - 30 second walk Macy 's , American Eagle Victoria Secret , 5 min Empire State Building . bit disappoint City View room quite expensive . bed however comfortable . book front hotel directly tell big birthday trip - 50th , daughter 's 18th son 's 16th , however little touch treat let lone upgrade ! . given pay $ 1600 3 month arrive think small gesture would not hurt . reception small unimpressive bar literally couple seat - not bother . way , turn leave hotel 's really nice irish pub good food be quite handy . previous trip stay Grand Central Hyatt money ( although dollar weak fairness ) much well hotel time could not get room want . can not particularly recommend Hilton time big problem comfortable well locate . bit pricey bad choice . 
 Nov 12 2009 	 Nice Hotel Great Location . 	 spend four night hotel November . want close proximity Madison Square Garden , town see two Springsteen concert . the hotel less year old obviously everything new . room 21st floor . hear noise hallway , little street . yes room somewhat small wife plenty space two we . really like fact room fridge microwave . bed comfortable . the location hotel terrific . 's safe area . two block Macy 's . less ten minute walk Madison Square Garden . subway stop literally right outside front door . be one stop Times Square . the staff hotel friendly helpful . concierge lobby day answer question have . we good experience hotel would definitely return . value good can not beat location . 
 Nov 12 2009 	 clean modern functional . great base explore NYC ! 	 echo reviewer . great place stay New York . find strange think great facility immediate access sight etc . 5 star - claim , price reflect . opinion , fantastic hotel provide everything need short break city . ideally place start , right next subway station city wide access , Macys almost across road , lot shop restaurant within walk distance hotel itself . even Times Square leisurely 15 min walk away . room provide great view Empire State , also close . hotel relatively new , clean throughout . room adequate - bathroom big enough . - remember capital city hotel - be go to get massive room , huge bathroom unless pay equally huge price ! fridge , coffee maker , comfortable bedding , large flat screen tv . breakfast buffet , think little pricey tho , $ 18 , not eat - plenty choice nearby . hotel provide exactly claim - functional , clean , unpretentious . staff young friendly . great base explore New York , would happy stay - great endorsement ! 
