Great 	 parent stay visit China fantastic time . two notable aspect hotel service location . the location excellent walk take subway - great not speak much chinese subway good backup plan can not get cabbie understand tire Beijing traffic ( ) . hotel practically top Dengshikou station Line 5 , stop away line Temple Heaven Hongqiao Pearl Market . also walk distance wangfuje Shopping Street Donghuamen Night Market . technically walk distance Tiananmen Square Forbidden City short walk , especially already walk around day . couple convenience store within 2 3 block snack , etc . also . neighborhood appear sterile first ( nice hotel , department store ) interesting hutong street also walk around bit . the staff hotel excellent , especially restaurant . concierge helpful making booking arrange tour well give direction . reason recommend take taxi oppose subway everywhere maybe be not trust get around subway - really quite easy not hesitate take even tell cab recommendation . the room nice bed pillow comfortable . food good - particularly steak restaurant ( break chinese food night ) . gym also well - equip large expect . my complaint room street side hotel pretty noisy . although nice view be sensitive noise recommend stay courtyard side . for money can not imagine could find well hotel Beijing . rate find least US $ 100 less five star hotel look . 
 Wonderful 	 stay Peninsula two previous trip Beijing . decide try Regent time $ 100 night cheap suite look wonderful . true ! suite nice ever - even two bathroom ! President Korea short time stay - security tight - fact , everyone floor . club room option also wonderful . thing find different Peninsula staff good grasp english language . difficult time get thought across . fantastic bargain stay next trip . 
 Nov 14 2009 	 Fine Choice Beijing 	 Prior book hotel , schedule stay Westin Chaoyang . would free stay ton Starwood point . however , review mixed thought location seem really inconvenient . also though stay Hotel Kapok , great location , great price modern design like . however , serious swimmer want pool , end stay Regent Beijing , largely base good review board . it turn good choice . location top notch . 6 minute walk Wangfuging shopping , 20 minute walk Forbidden City . despite other say board , believe location really key pick hotel Beijing . subway efficient cheap , extremely crowded unpleasant ride . taxis cheap , Beijing traffic awful . , real bonus able walk many attraction . plus take subway subway , tend short ride ( exception Summer Palace ) stay Regent . note subway ( Line 5 ) adjacent hotel . ' get convenient ! design hotel modern opposed traditional , room cheerful . one wall bathroom glass , put automatic blind full privacy . the 26 meter pool real bonus – nice temperature hardly use . great go swim chaotic day sightseeing , follow Jacuzzi sauna . Jacuzzi godsend climb Great Wall ! service generally good . staff ' english perfect could speak well enough understand helpful . I minor problem room , minor . Free Intnet ( via cable ) room make trip much easy . supposedly free wi - fi lobby , try use iPhone never luck . so , summary , enjoyable stay . would recommend hotel would certainly stay ever return Beijing . 
 Nov 7 2009 	 look great first need work 	 first look hotel look great : beautiful lobby great location , service would expect quality furnishing first rate . two room , one two double bed one king bed ; beautifully decorate huge , furniture wooden door dinge tile one bathroom come . location great , amidst great shopping Beijing far form Forbidden City . Rolls Royce dealership locate right lobby . breakfast buffet good plenty variety ; 4 night not tie selection . experience hotel China , think good get , would hesitate booking trip . 
 Nov 3 2009 	 Excellent Hotel Excellent Service 	 choose Regent base review . 1st day step hotel check - out , know pick right ! good location hotel , nice buffet breakfast , well design equip bedroom touch service . need make special & quot ; thank & quot ; bellboy great job ; especially need taxi difficult communication driver . definitely stay Regent return Beijing truly recommend other . hotel worth price . 
 Nov 3 2009 	 really really impressive 	 book Regent strength previous positive review tripadvisor , embolden reasonable offer web ( £ 95 deluxe room per night ) . wonder whether reality could possibly live expectation , easily do . excellent base first ever stay Beijing . hotel modern comfortable . room real highlight , price bracket , offer excellent facility . location central , metro station right next door trip afield . find concierge team extremely helpful , make genuine difference quality trip Great Wall , negotiate tricky process purchase chinese rail ticket . on last point , echo remark previous reviewer take Great Wall taxi Robin Kong ( arrange concierge ) . tremendous . great English . clean cab . not try ( many tour / taxis ) take we shop / restaurant stopoff not request , charge hide extras end day . make day exceptionally comfortable easy , would recommend other heartbeat . charge 600 yen trip last 7 am 3 pm Mutianyu section . 
 Oct 27 2009 	 well worth ! ! 	 recently stay Regent 5 night part 2 center holiday Beijing Tokyo . 2008 Olympics mean boom new hotel city every well know chain feel need open hotel lot choose ; however decide go lesser know name high end market ( however learnt ' quite well know Asia ) . think strike gold , hotel perfect . Regent fairly new live promise quality luxury . check -in quick pleasant English well speak . room spacious , fantastic bathroom , comfy bed floor ceiling window . breakfast buffet offer good choice european asian food plenty choose include fantastic selection chinese tea . eat dinner hotel price drink lobby bar pleasant lack atmosphere . service great bottle complimentary mineral water leave room every day . concierge helpful arranged trip great wall . car pick we give we bag bottle water inside journey ; simple yet impressive gesture . overall love stay Regent plus point lovely room , great health club / spa , good breakfast helpful staff . two criticism location although central walking distance shopping area forbid city , little around hotel night secondly feel bath product low quality look place nice bathroom . , would stay ? yes ! ! 
 Oct 24 2009 	 one favorite hotel China . 	 3rd stay Regent Beijing . first stay almost 2 year ago newly open . like ambiance decor hotel . service quality steadily improve well . good feature perhaps bathroom , certainly one good price category . 
 Oct 24 2009 	 Excellent Choice 	 beautiful hotel comfortable room luxurious amenity extensive buffet breakfast . great pool spa facility location convient shop Forbidden City . 
 Oct 23 2009 	 nice 	 travel lot around world , one good . service superb . also room perfect nice design . get free upgrade . stay President Korea stay hotel ... lot safety measure , still 100 % customer mind . location also perfect . funny thing Beijing Lamborghini Rolls Royce dealership hotel ...... 
 Oct 21 2009 	 wonderful hotel - would definitely recommend 	 husband two friend stay Regent Beijing 4 night . arrive night train Shanghai hotel 9 am check immediately conversation check - in time later etc really lovely . addition friend we upgrade executive room . room fantastic , really large massive bed large & quot ; living & quot ; area couch , tv , coffee table , desk etc . bathroom also large beautifully appoint seperate shower bath tub . furnishing tasteful excellent condition . order room service breakfast couple time fine reasonable enough , although not order tea / coffee etc expensive . however lot free water provide room also cafetiere make coffee . hotel pool jacuzzi , well sauna steam room ( separate man woman ) , use . find location hotel pretty good . 's easy cheap travel everywhere Beijing taxi time get Forbidden City 15 minute ( depend traffic ) . be also metro right beside hotel ( be exit literally hotel ground ) use time really cheap convenient e.g . Temple Heaven direct line 3 - 4 stop away , cost 2 yuan get . 's small shop across road hotel buy drink , snack etc not want buy hotel . ( small ) criticism housekeep little ad hoc time ( want different expression ) e.g . use cafetiere 2nd morning although housekeeping give we clean coffee cup not wash cafetiere . thought might oversight , however happen consistently every day ! not bother complaining wash slightly odd ! also 3rd day , housekeeping not leave we towel bit strange call ask . would absolutely recommend hotel ever return Beijing , definitely stay . 
 Oct 18 2009 	 C'est genial ! 	 wonderful time stay hotel . hospitality staff great . hotel locate next subway . convenient get around also within walk distance shopping district , Wang Fu Jing . the hotel staff always hand whenever need help . room spacious nice bathtub separate shower cubicle . also provide different range pillow ( ie soft , hard , medium ... ) guest . the concierge staff also helpful give direction pointer place nearby . also give packed towel bottled water whenever go jog . not stingy bottled mineral water all . will definitely stay also recommend people stay : - ) 
