nice 	 recently stay Excalibur Thanksgiving week . upon enter hotel able go straight check - in , plenty friendly attendent take care we . ask view thing airport , hubby plane watch gambling ... lol ... request meet easily . arrive early due time change ... 10 am , check til 3 pm able get room immediately . room one old room yet remodel . neat clean , exception little finger print window . bed comfortable clean . casino bright active , drink service could alittle available . nice place great location . 
 great spot cheap price ! ! ! 	 location perfect . price great . time share propaganda annoying . $ 29.95 eat day buffet excellent . 
 beware Mandatory charge 	 book trip cheaptickets.com go online print confirmation , find unwelcome surprise - & quot ; mandatory hotel charge collect hotel checkout : resort fee $ 20.00USD per Night taxable - include fitness center access , free drink more . & quot ; know mandatory charge time booking , would able compare option well . far concerned , dishonest pricing policy - include fee part hotel charge ? will not stay will certainly lookout hotel future . 
 Nice Hotel full kid 	 bad hotel find room 23rd floor tower 2 playground kid nighttime think hold elevator funny ! ! hound upon check go claim free gift redeemable give $ 40 deposit attend time share meeting new resort next day tell bring credit card form idendity ! ! go figure ! ! 
 Excellent Excalibur Experience 	 arrive & quot ; remodel widescreen room & quot ; find partial remodel . new tv , low - end remodel bath , new pillowtop mattress . warn thin pillowtop . sheet clean , stain . blanket dirty double sheet . however , request extra sheet . room furniture appear original . third day , hall fill 8 scream kid run knock door . security arrive contact security manager 2nd time thing calm . cocktail service casino horrible . plus find excellent maintenance staff ; good service Sherwood Cafe , location . overall , recommend hotel unless budget - conscious . step Circus Circus , stay elsewhere next visit . 
 great Time Las Vegas 	 problem Excalibur even though comment make negative . book online get great deal price include admission & quot ; Defending Caveman & quot ; .The staff relax friendly reception , room , 25th floor , Tower 2 , face tower , clean quiet . issue whatsoever . the one thing bit annoying fact people look like work hotel approach offer free show ticket turn try get attend & quot ; time - share meeting & quot ; . not hotel 's fault , annoying . 
 Nov 25 2009 	 Excellent location 	 basically expect hotel Strip . moment walk bell ring nothing wedding chapel . reason choose hotel location . hotel either side , virtually walk straight one . walk Strip , see quite part offer nothing souvenir tattoo . , rather enjoy constant stream absurd hotel end strip . real 
 Nov 25 2009 	 dirty room attempt address issue notification . 	 spend two night Excalibur . stained sheet brown ' water ' spot toilet seat lid . hair dryer either moldy layered dampt grey dust . dirty carpet . inform front desk follow early morning return late next night nothing change towel change . two sleepless night compensation Excalibur ... book Expedia . lack response complaint time similar lack response recent email quite frustrating ! 
 Nov 25 2009 	 excalibur hotel lasvegas child friendly 	 stay hotel recently child friendly much see perfect place stop away outlett mall fashion mall etc lovly 
 Nov 23 2009 	 go Vegas budget place stay 	 & quot ; get pay & quot ; say true Vegas anywhere else world . hotel cheap central . go Vegas budget mind walk would recommend hotel . acroos road NY NY MGM . plan go see show Mirage like everynight , bit task walk . also fan fast food , many 2nd floor . everyone pick town budget . get standard room , cheap , tower 1 . grand . clean basic need . window look center hotel view , noise either . Bad.1 . time share people , go short taxi airport . Striaght get door catch time share people offer we & quot ; free ticket & quot ; 22 hour travel fool go time share presentation last 3 hour big scam world . get half price show ticket though . every hotel time share people , cheap one . ignore first time tell book go ever ask.2 . Smokey Bar Casino . still smoke bar casino Vegas , may find hard take none smoker use smoke indoor . Excalibur smokeist casino strip . Summary , go Vegas budget place stay . stay Circus Circus , long walk main strip walk dirt . if cash want pleasured stay would stay caesar palace . 
 Nov 22 2009 	 adequate 	 many people stay large hotel , think easy become lose another guest . probably Hotels Vegas . not feel special . hotel adequate . room nice . staff friendly actually encounter . restaurant site standard . 
 Nov 21 2009 	 Spend - will spend ! 	 first - come stop give timeshare schpeel . will not quit bugging time walk casino / lobby area . want & quot ; free & quot ; show put 40 dollar deposit , show 3 hour schpeel , give back spend 3 hour listening tell ( hopefully ) not want spend 200 month rare chance come back Vegas ( monthly ) ... come ! Yea not want spend 3 hour vacation listening way drain cash month , right ? 2 : room face strip night sound . listen sound traffic throughout night , band , people , loud noise . hard sleep . get earplug take benadryl . helped make drowsy help allergy . get kinda sick allergy typically one fo & quot ; allergy & quot ; .3 : cleanliness : get spa room ( 130 buck per night ) . & quot ; hot tub & quot ; dirty . run finger around edge feel grime . imagine dermis hang around . yummy ! water pool bottom other probably & quot ; great & quot ; time . image cross mind . sanitation come mind . 4 : customer service : ask another room ( standard one ) waay strip . not care tub thing nasty ( ) . lady customer hear complain ask service desk & quot ; face strip & quot ; lady confirm says & quot ; time ever hear complaint ' okay not read review ! maybe deaf blind ( least dumb ) make comment . not care will not come back . tell well . check people give sarcastic & quot ; go hell & quot ; smile . stringent check - wait noon get new room ( even stay night ) - say smile . Awesome make staying night ( lie obviously - customer like tell ) ... must add decor pretty shabby . blind wear hole . paint chip door . make look pretty cheap . place make La Quinta look really good . actually type sit room . . leave tomorrow . go Cesars Palace , fun . gambler give we something besides blow money 4 minute . suppose anniversary . Bummer ! hopefully omen . you also get internet 13.99 24 hour use business center $ 5/10 minute . $ 4 room service fee . cell phone charger cost 5/10mins . not work . 
 Nov 20 2009 	 Great Accomodation ; Great Location ; Great Price ! 	 Excalibur Hotel provide great accomodation reasonable price . if want stay location heart action ! quick access Tropicana , Luxor , Mandalay Bay , New York New York mgm.want go downtown ? try Duece ( Double Decker Bus ) .The Excalibur Staff friendly helpful provide lesson mostof game . take Craps lesson favourite game ; next timeI will try Poker . if enjoy gambling , , table minimum low theExcalibur stretch dollar . also , need break stillwant gamble ... try Excalibur Keno Lounge ... think 's Hotel end Strip still Keno Lounge . so closing , say , & quot ; unsheath dollar come Excalibur & quot ; lucky may even become Knight Damsel Realm ... enjoy ! 
 Nov 19 2009 	 LV 	 room view beautiful casino area could update , entertainment class situate prime position 
 Nov 18 2009 	 good value hotel 	 wife stay parent brother great time . wide screen tv room clean . television not work , fix . hotel connect Luxor Madalay Bay Casinos monorail walking skyway , easily travel upscale hotel entertainment . Excalibur buffet $ 29 eat day good tasty . 
 Nov 17 2009 	 Great Hotel 	 stay Excalibur great . book online website get stay play package . money food coupon really help food cost . employee friendly helpful direction . room clean comfortable . tv remote not work someone bring another one problem . go see Criss Angel Believe , husband go downstairs free cocktail thank stay play coupon . all - around positive experience . 
