disappoint 	 like boutique hotel . , one feel cheap 's clean . first ask could quiet room - yes , respond . get corner room full window face main street . 's impossible block light ( noise ) many pair curtain could get stay closed . bathroom , use towel hang shower curtain . let front desk know , actually next day well . phone long black hair panel phone . rug dingy - feel clean anyway . 's real room service & quot ; free & quot ; continental breakfast even good like Hampton Inn . check check bill rate 50 % colleague - ask say travel agent fault book corporate rate . unhelpful actually quite rude . $ 365 , kid . . . . 
 great spot Chicago weekend 	 stay Amalfi pre - turkey day weekend getaway husband . we check little noon Saturday pleasantly surprised room ready . check process smooth , professional welcoming . even chair check desk guest use register . our room expect . huge lavish , great rate , quite pleased . decor modern , room flat - screen plasma tv , I - home alarm clock etc . go lunch Harry Carrey 's italian steakhouse across street split huge italian beef sandwich bar , plus cup soup . couple Stellas , ready shop Macy 's ( three four block south ) along Miracle Mile -- couple block east . attend free reception . crowd , everyone friendly enjoy wine provide snack . little disappointed not view reception room firework along river evening . the next day breakfast available elevator -- type juice , bagel , sweet roll , etc . plus coffee tea . overall , satisfied hotel , service , etc . 
 expect 	 wife stay Amalfi trip visit son friend Norway vacation City . excited stay Amalfi reading review , really disappointed accommodation . web site photo 18 story building house hotel . not state hotel occupy first 6 floor building . rest office . room 4th floor view blank brick wall 16 foot distant . room unremarkable , standard furnishing equivalent Holiday Inn . although close good part City , tuck behind new Trump Tower open surprisingly sketchy stretch road / sidewalk . norwegian friend , contrast , stay 33rd floor swissotel view Lake Navy Pier . 
 bad taste mouth ..... 	 letter management ..... Sir Madam : write give feedback recent stay Amalfi . we guest 11/20 11/23.dure stay use & quot ; Valet & quot ; Service operate Standard Parking . vehicle return steal item glove compartment . much chagrin , $ 44 / day valet service include proper security / monitoring , despite premium & quot ; self park & quot ; .I understand parking service sub - contract hotel , would think worthy hotel would remedy situation . case . I hope staff able take measure rectify situation future guest 
 disappoint 	 book Amalfi base rave trip advisor find hotel tired disappointing . the towel robe old throw away . dresser break feel redone office . the room fine cocktail hour hotel over - rate many . 
 Nov 16 2009 	 WONDERFUL experience - go back ! 	 Excellent Location ! wonderful Ambiance ! romantic ! trendy ! great , comfortable Beds ! Valet Parking ! LOVELY BOUTIQUE HOTEL ! 
 Nov 15 2009 	 quiet room friendly staff noisy outside . 	 stay Nov. 11 - 15 regular room , second floor . hear noise room ; time hear shower adjoining room bathroom . fact strip across bottom door room hallway definitely help block hallway noise . however , unfortunately hotel can not anything outside noise ; i.e. , kid yell sidewalk , especially Harry Caray be across street ; idiotic cabdriver honk horn heck ; siren ; etc . be light sleeper room face Kinzie noise definitely wake up . it not seem like room big advertised ; , seem small . however , everything clean room smell fresh . double shower definitely nice ! bellman recognize pretty quickly be go greet smile warm hello every time ! definitely seem like enjoy help visitor . the front desk personnel also friendly greet smile . I love breakfast every floor ! normally not get time , 3 4 day time . nice get elevator go breakfast area . wish hotel would copy ! croissant delicious ! would like see yogurt colder , though . not drink coffee , can not comment that . go manager 's reception 1 night . not drink , bar not big deal , thing eat cheese little toast bite . friend several piece meat , tapinade , artichoke , go back second . would agree ... small room , would get tight pretty quick . prefer spread Homewood Suites put ... change food every night . I wish room little refrigerator , newspaper sell lobby . always buy newspaper wherever go . USA Today hang door every day , would nice walk around block 7 - 11 get Tribune Sun - Times . housekeeping quirk . first day put dirty plate breakfast green coffee glass cup floor outside door . plate take , green cup leave last day ... 2 day later . wait see long would stay . dirty glass always replace ; coffee tea packet also always replace . always take toiletry Ronald McDonald house ; replace every day . however , leave note ask extra towel & amp ; glass , 2 extra towel 2 extra glass leave . first day leave happen see housekeeping go hall , tell could room time convenient . go straight room take care ! feel safe ( single female ) . hall well light , walk past front desk get elevator . wish room bright lighting , though . even light room hard read bed . chair decoration functional ; friend say uncomfortable . the wi - fi room slow sometimes , fast other . problem log stay . alarm clock easy program . fyi : parking rate Chicago go ! self - park garage State & amp ; Kinzie $ 37 / day . move car garage Kinzie west Clark ( little block away ) . be $ 28 / day . lot Rush & amp ; Wabash also go $ 35- $ 38 . place 's less wabash behind big church state ; be $ 25 / day ( probably long , though ! ) definitely worth $ 119 night ( Travelzoo special ) . would certainly stay ! 
 Nov 15 2009 	 impeccable service 	 stay six night son . get deal 119us per night double queen room travel ticker , great resource Chicago hotel . want something breakfast teenager always hungry . we get early able check right away . request fan room , like noise help sleep , already set could tip guy ! front desk also concierge knowledgable sight want see . check sit staff seem remember , due small room number imagine . during visit experiment drink ' coupon ' .... go happy hour give upon check inthey discontinued day later , still souveni . think try restrict guest order much top shelf liquor . enjoy italian beer house drink , lemonish martini . worth dollar drink tip , require . son would order coke not like evening offering . could change around bit , finger food offering could messy socializing . perhaps gourmet pizza bit . hotel two night manager welcome sure switch around menu . notice ' hoard ' continental breakfast , excellent . good quality baked good , juice coffee / tea . also nicely present . see many people unaware could go another floor something , perhaps note place floor explane alleviate frustration . also able use free computer printer business center two mac 3 window wait either . like good close proximity Andys jazz club around corner . I read review location . be bad , little scraggly improve proximity Trump tower even become well area . my room sixth , top floor nice view , directly across lounge . nice quiet 8 . return , would stay somewhere else would highly recommend anyone visit Chicago . also flight later evening bell hop watch luggage . when return , not even ask ticket ready . great service , buck tip go long way property . 
 Nov 9 2009 	 Great Location ok room ok staff 	 beat location . walkable everything Chicago . great bed -- comfy , dvd player room cds dvds choose . decent breakfast buffet roll , pastry , etc , coffee bad . cocktail lounge decent drink free happy hour . staff doorman / porter nice friendly . problem : * old product mini - bar , even back June 2008 * loud mini - bar * could hear everything vent room -- clearly word word * cold air flow -- could not figure come -- * glass sink dirty upon check - in . * call front desk dirty glass tell go buffet / credenza hall get clean cup would not come upstairs , buffet lock . staff know policy . * in- room robe rough scratchy wear * room 2 queen sized bed enough towel / hook space one person unless want towel rest toilet . also , enough product one person . all could take care FD supervisor choose . list issue chalk & quot ; good ideas management & quot ; know seem anything . communicate issue night ask would able anything we compensate say . say compe taxi airport would good say since hotel 's company could not . say taxis take cash hotel could pay . say would talk manager come time we leave , nothing mention upon checkout girl check we new nothing issue . so , management would change provide service well take care properly maintain hotel could property think : unbeatable ! , swanky look hotel great location , excellence surface . need get nice guest matter great location . 
 Nov 3 2009 	 Excellent Hotel ! ! ! 	 get back husband excellent stay Amalfi , room large , think good decision could . amenity attractive , free internet , continental breakfast turn day ! , afternoon happy hour ... delicious snack drink , try & quot ; Amalfitini & quot ; house specialty . hotel 8 - 10 minute walk Clark station , need take taxi get , many restaurant nearby , convenience store , recommend place good pizza chicago & quot ; Lou Malnati 's & quot ; try pizza & quot ; deep dish & quot ; specialty . 
 Nov 3 2009 	 great place stay 	 another trip Chicago Amalfi hotel choice . disappointed . staff greet we warmly cheerfully aid we planning day night town . seem good feel good way combine activity want explore direct way get they . we purchase visitor pass airport take orange line hotel feel centrally locate tourist location intend visit . time take train see house Frank Lloyd Wright design direction give hotel staff perfect . nice come back greet Manager ' evening reception delicious cheese , italian cold cut , nice variety roast vegetable cracker . complimentary drink cheerfully provide always smile bartender . the room nicely appoint , bed comfortable slipper robe perfect visit delicious continental breakfast provide floor outside elevator every morning . pleased see exactly remember one good continental breakfast hotel . we already start plan next trip Chicago Amalfi hotel consider . continue recommend everyone include travel agent ask stay last trip . Bob Betsy Halifax , 
 Nov 2 2009 	 Beds Legendary . 	 stay 2004 think incredible , excited return . little worried overhype , would not quite live expectation young , easily impressed . wrong . amalfi one good hotel experience person possibly ( outside people drop like 5k night room ) . upon enter , lobby nice music play , checkin smooth . room great . bed comfortable bed ever . mattress , sheet , pillow , everything . go bed , comfortable . Nice LCD tv leave book jazz cd room really cool ! read library dvd cd want . do not check minibar last experience think really like . 's much view , care . nice robe slipper room also . hotel gym basically treadmill , help . USA today door every morning . floor breakfast station really cool . juice , bagel , pastry , etc . hotel complimentary happy hour also , 530 - 7 free alcohol ( tip bartender nice hook ) food . cheese , foccaccia , salami , brushetta , etc . $ hotel good . area , plenty bar , grill , restaurant etc . business traveler , $ 7 cab ride sears tower . hotel perfect business travel visit chicago spouse . definitely return ! 
 oct 9 2009 	 pleasant relaxing stay 	 staff professional helpful . complimentary breakfast drink evening add bonus already great deal . already plan next trip Chicago , definitely include another stay Amalfi Hotel . 
 Oct 8 2009 	 Love Amalfi ! 	 great time Amalfi & quot ; girl weekend & quot ; . see great rating review Trip Advisor first begin check price several online booking agent . find good price online call Amalfi directly . match price -- beat price 10 % ! , get really good deal room ! four female one room two double bed , little tight 's expect . room neat clean loved bathroom . love breakfast floor not trek downstairs get ready morning . the location great trip . situated half - way mile theater district . also , good thai restaurant Chicago right behind Amalfi ( vong Thai Kitchen ) .Had super experience would love stay ! 
 Oct 8 2009 	 Chic Hip Hotel great service amenity 	 stay , greet check hotel associate . box check make we feel like priority . staff knowledgeable , courteous helpful direction give suggestion place go . unfortunately , lounge restaurant ; however , accomodate guest happy hour everyday . receive 4 ticket entitle drink complimentary appetizer . room spacious design modern decor . clean ready unpon arrival . enjoy stay plan go back soon ! although be locate beat path ( directly Michigan Ave ) close . 
 oct 8 2009 	 AmalfiTini great room great bathroom great everthing 	 Close Gold Coast , Mag Mile . everything super wonderful . would stay every time go Chicago forever ! 
 oct 8 2009 	 wonderful 	 hotel great location reasonable get amenity , free coctail hour include appetizer free continental breakfast delicious pastry 
 Oct 8 2009 	 Excellent ! 	 pick hotel due Tripadvisor review dissapointe ! 
 Sep 17 2009 	 nice ! 	 stay amalfi one night , really like . greeter doormen friendly , nice . check - in nice , friendly . manager 's reception , excellent place relax go dinner . appetizer nice , drink plus . bartender nice , helpful . room view kenzie street , nice . harry carey 's across street , go twice ! room beautiful bed , rest furniture pretty sparce . morning breakfast really great , every floor , great idea ! ! ! nice place stay great location . 
 Sep 15 2009 	 Amalfi nice hotel ... 	 boyfriend Chicago first time go Cubs game . hotel right across road Harry Caray 's . hotel lobby gorgeous modern . room beautiful date well . include cd player cd collection jazz music nice touch . bathroom nice . bed incredibly comfortable . would definitely stay . 
 Sep 11 2009 	 great central Chicago hotel 	 spend 3 enjoyable night recover jet lag Amalfi Hotel Chicago . hotel look - central location , good comfort large room reasonable rate . hotel tv DVD player , reception lend movie request . dry cleaner close bank holiday , hotel staff wash clothe free ! concern previous guest seem sick upper part bathroom door , something cleaner fail notice . there several restaurant block away , check good . 
