value 	 hotel look location , price , cleanliness , 5 star . hotel central park west , 2 block subway , basic clean , helpful staff , fuzzy tv reception , private bath , request room balcony overlook central park , get . pay tax $ 134 nyc november . see hostel share bathroom price . 
 Nov 24 2009 	 GREAT HOTEL 	 go NY together sister end June begin July 2009 . came hotel evening meet door man take luggage . get key room take elevator up . find room surprised BIG be . everyone employ hotel great . got good service . we get good contact doorman chat outside smoke . one doorman could loads language . we even think Norwegian . he tell we go see . he even recommend top rock inste Empire state building Empire state building wait long line do not see good wiev . top rock jsut great on . the destination hotel Time Square be not bad . even walk back day . the subway be not fare hotel trip be not bad ... people hope willstay here . , , , , , , , , , , , , , , GREAT HOTEL 
 Nov 24 2009 	 nice clean hotel friendly helpful staff 	 stay hotel long weekend shopping sightseeing . location great , room not big clean maid come everyday . all staff extremely helpful friendly , especially Sam doorman , lovely guy ! subway five minute walk hotel . basically , hotel clean , cheap cheerful would definately stay . 
 Nov 23 2009 	 Brilliant stay hotel 	 hotel opposite central park subway centre 3 block away . friend stay . clean , bathroom , room small not spend much time , somewhere sleep wash . hotel staff helpful , book sightseeing bus tour hotel . great little din 2 block away recommend hotel even book cab back airport , price yellow cab licoln car , look like limo . price good could not fault place . definately recommend other . 
 Nov 10 2009 	 excellent location even well price ! 	 search week hotel could afford first trip city , give come across Astor $ 55 dollar night ! weary quality location hotel cheap , perfect . room small , perfect boyfriend . even veiw park ( directly across street ) city , though far away . nice quit snowy couple night . good place eat right arounfd corner . I m go back december ' ve book hotel ! 
 Oct 16 2009 	 Great Choice money 	 stay three night trip NYC find hotel clean , staff extremely helpful . hotel similar many european hotel stay past . location good can not afford $ 300 plus night per person stay Manhattan , not wish spend kind money . although breakfast hotel restaurant within easy walk distance hotel neighborhood clean safe . use subway , block away , maintenance find cab fare downtown Manhattan reasonable . definitely would stay visit New York . 
 Oct 12 2009 	 great deal price ... 	 bit way downtown certainly issue . near subway station make get around easy . touristy ... authentic New Yorker feel . hotel great home base right across Central Park West . not stress negative review , great . 
 Sep 30 2009 	 minimalist accomodation 	 book one - night stay hotel whim lastminutetravel.com obscenely low rate . check - in painless 2:30 p.m. weekday afternoon ; offer smoke non - smoking room time . give room view park request upon booking , make issue intend spend much time room ( sleep ) . check 7 a.m. , wait minute clerk ( shift change ) . staff encounter pleasant friendly . room : give room two bed , enough room stuff ( solo traveler ) . storage space limit wall unit double tv stand . bathroom look modern , immaculate like rest room . many old building , hot water take several minute become available . wait long one minute elevator , although car move quite slow . , see one guest stay , hotel probably far book . location : opposite several entrance north end Central Park ( 106th 107th Central Park West ) , beautiful relax pond woode trail . area quite populate even off - hour evening , seemingly posh doorman building along drag , seem attact many troublemaker . b C subway stop locate block 103rd 110th Streets ... convienient . 103rd Street station actually live person ticket booth ( tourist need help , etc . ) ; use 110th Street station . 15 minute ride midtown either line . walk around area survey restaurant , quite honestly , find place would go need meal . bottom line : snag hotel $ 50- $ 100 per night , think disappointed . internet access lobby , hotel offer ammenitie . need creature comfort ( like 10 tv channel ) , recommend book room chain hotel . 
 Sep 22 2009 	 Clean Efficient Hotel 	 get good deal hotel lastminutetravel.com happy get room private bath price hostel NYC ! hotel locate 106th Central Park West , convenient 110th 103rd subway station well plenty bus run near . arrive really early NYC since catch red eye plane show hotel around 9 am drop bag . initially tell could not check 1 pm early . husband last minute stuff work sit downstairs small computer station area . manager see waiting room able give we room around 11:30 am . the room small , bit claustrophobic two us room luggage serve purpose place sleep we . private bathroom small clean . shower glass half way make take shower bit hard since try make sure splashing place . the staff friendly see mostly european tourist around . old building convert hotel hear people walk water pipe go . it be bit action subway bus right outside really nice stroll Central Park across street . not spend much time room suffice need place crash night . 
 Sep 13 2009 	 ok 's money not 3 star hotel 	 LastMinuteTravel claim 3 star hotel , not . be look 2 - ish - star hotel private facility , fine money . near subway station bring fast mid- downtown Manhattan , affordable , clean enough . 
 Sep 13 2009 	 Astor Park represent good value money form ideal base sightseeing New York 	 First let us get negative point way . yes , lift slow sometimes easy use stair . room small , clean bathroom decorate high standard , hotel refurbish 2005 . individual air conditioning unit fit room effective little noisy . facility hotel apart bedroom , reception area drink machine internet station ( expensive ) basement . positive point friendly small hotel . well place Central Park West reasonably price . staff tend friendly helpful happy engage conversation offer advice place go thing see . hotel frequent mainly european guest make feel comfortable visitor UK / Europe . able walk hotel straight park real bonus . even north end , park really well use , many jogger people exercise daylight hour . relatively short walk across park Guggenheim Museum ( 90th Street east side ) . hotel well place subway ( b c line ) locate stop 103rd 110th Street ( 110th Street slightly close ) . trip downtown take around 10 - 15 minute , weekly ticket subway bus ( $ 27 ) make get around NewYork cheap easy . modern well - stock Supermarket 110th Street ( Cathedral View ) small american dinner one block back 107th Street ( La Exquisite ) convenient breakfast typical meal omelette coffee cost around $ 10 / head . short walk away Central Park Louis Armstrong Avenue ( across Manhattan , Columbus , Amsterdam Avenues ) bring Broadway good range reasonable restaurant sensible price . area Central Park West Broadway little rundown , although seem safe enough we . two place worth mention within easy reach hotel Hungarian Pastry Shop ( near junction 110th Amsterdam Avenue ) cake coffee Miss Mimmis Café ( corner 110th Columbus Avenue ) really good taste southern kitchen . overall , really good stay Astor Park Hotel would certainly stay future . 
 Sep 12 2009 	 excellent value money 	 husband stay 3 night last december , read review really worried even concidere change hotel , arrive hotel think fab , pretty basic really excellent value u budget.i worried location do not subway minute walk away cheap use get use fab save u load taxis.i would def stay hotel ! ! ! 
 Sep 3 2009 	 Great Value hotel 	 book hotel look reciew , bit nervous arrive . arrive long flight nearly long journey airport ( not book share cab last stop battle rush hour traffic ! ) . staff friendly welcoming . room back hotel , view , room clean surprised quiet ! tired trip receptionist order we pizza deliver straight room . although bit centre , able cross road straight central park jog walk wonderful . small cafe corner hotel breakfast pancake bagle . 2 subway station 103rd 110th street ( less 5 min walk away ) quick get action downtown . taxi back Times Sq approx $ 11 , bad get back end night . would certainly recommend hotel people budget not bother travel subway get hub city . 
 Sep 2 2009 	 WYSIWYG - Value Money 	 Hotel pretty simple , clean . clean everyday , new linnen towel also every day . air conditionning bit stress , work ( pretty loud ) . friendly staff . location nice , directly opposite Central Park , within 5 walk minute subway bus . ideal sightseeing Manhattan . cheap Shops Restaurants walk distance . absolutely satisfied . mix Astor Astoria expect low price latter , happy . 
 Aug 26 2009 	 Great Location 	 husband , 15 yr old daughter recently spend 7 night Astor satisfied accommodation , basic clean fit need somewhere sleep long hectic day . staff friendly helpful . I love location hotel opposite park , walk distance Mornington Heights area hispanic amazing restaurant . after noise city Hotel great place retire , little outside noise room back , perfect night sleep . the Hotel locate two subway station 103 109th Street great get hub city .I would deffinately , recommend hotel want good value money somewhere lie head . 
 Aug 19 2009 	 enjoy quiet respite close hustle bustle NYC ! 	 stay Astor Park three night thoroughly enjoy time . book king room inexpensive rate nice room view Central Park directly across street . wish take Bright Lights , Big City , easily take subway 3 block away Times Square within 15 minute . great hotel wish duplicate & quot ; big box & quot ; experience large chain hotel instead want low - key , european - style hotel . neighborhood around Astor Park Upper West Side NYC one sell feature hotel . walk jog around Central Park Reservoir , rent row boat sit lake Boat House Restaurant bar enjoy drink snack . within walk distance short subway ride uptown Metropolitan Museum Art , Cathedral St. John Divine ( large cathedral world ) , Grant 's tomb , Columbia University Tom 's Restaurant -- -the diner inspire set Seinfeld TV series . the room grandiose , clean , quiet comfortably cozy . multilingual staff extremely helpful courteous give we utmost personal attention . Astor Park serve great base explore New York City would definitely stay . 
 Aug 7 2009 	 true ` ` good value '' hotel 	 - 106th W. Central Parkway - 3 block subway stop go straight midtown good neighborhood . really basic , clean basic . go NYC not plan anything nap room , perfect . lot europeans seem stay . 
 Jul 28 2009 	 pay little stay else . 	 many review hotel rave location . well location be not great . hotel situate around 105th street . that s atleast 1 hour walk Times Sq ( 60 block away ) . subway station might far , bar / restaurant around hotel , spend every morning every evening metro . that say , get hotel , even stay here . I book twin room ( travel father ) arrival give small double room . bed even double bed . woman reception cheek send we room , know twin room . room dark , look pretty unclean . father say bathroom ok , never look . straight complain . show woman reception print hotel booking show pay twin room , capable sleep 4 people . care ? . say , book form show double room . great customer relation . ask could move we twin . say fully book . so force move different hotel , get refund . claim refund credit card . many mention budget hotel . well be cheap . move hotel opposite madisson Sq garden 34th street , right middle action . yes pay around £ 125 4 night , worth . ny do not think , hotel good value . hotel bad location . close park . get subway morning night , room get look awful . plenty cheap well locate hotel ny.dont fool positive review . hotel rubbish . fool review , & quot ; great location & quot ; . guess people never NY , simply do not know much big city . location suck . hotel suck . girl reception suck . 
 Jul 21 2009 	 GREAT rate CLEAN 	 stay 3 night love rate great clean couple block subway right across form Central Park . suggestion take cab hotel u luggage subway close not elevator cab port authourity $ 12.00 . would definitely stay . 
 Jul 9 2009 	 excellent budget hotel 	 3 friend stay week astor park consider pay low price stay absolutely delighted hotel . service excellent really nice porter help we bag room straight taxi . fairly small room 2 comfortable double bed friend never top bathroom roomy , modern clean . room clean bed change every day . friend 2 double bed also nice large room view park . never problem noise , even air conditioning . vend machine internet facility well atm staff excellent always ready help ( 24h/7 ) . feel like leave good review think hotel deserve . never mind bad review , want luxury pay . location nice central park quiet neighbourhood within 5min subway bar restaurant . say definitely stay ! ( 30yr old travel lot stay lot budget place one beat ) 
 Jul 8 2009 	 recommend 	 small , clean , nice . ' ve hotel world fit perfectly category . location much well expect . walk distance everywhere . restaraunt , plenty cafés dinner fail please . would recommend , would go back . exactly expect . place stay NYC . 
 Jul 6 2009 	 terrific value : comfortable budget hotel 	 ' ve return 5 night stay hotel reading review pleasantly surprised . first location . might say 's bit way 's situated overlook top left hand corner Central Park . however be 3 min walk subway bus regularly stop directly outside . go see couple show Times Square take we 25min leave theatre enter room . there several deli close already say park directly opposite - great relaxing walk ! ( want even walk New York ! ) room quite small bed , bed pillow comfortable . also , bathroom relatively small shower hot powerful . lovely selection toileterie bathroom top day . the staff reception helpful friendly . check - in 3 pm arrive 2 pm . not problem give room straight away . the drawback heat room . 's fan room quite noisy . keep window open hear noise road outside night . despite think hotel offer terrific value comfortable budget hotel . 
 Jun 28 2009 	 ! 	 people expect much know pay peanut ! travel New York son back April , like lot people budget . eventually find Astor . ( reader remember budget hotel get exactly pay ! ) arrive 11.00am , cab ride airport JFK ( expensive ! ) driver know exactly hotel location . the hotel main road do not effect be stay , reception light airey small hotel , greet helpful manager even though early checkin find room ready straight ! fourth floor room functional quiet clean , maid daily , do not much view need New York ! location excellant right across road central park subway station couple block away , get heart Times Square 15/20 min . US hotel room Astor perfect people budget like , not quite know lot people expect arrive , read thing like ' DISASTOR PARK ' what s matter do not stay downtown Manhatten pay hundred dollar night .Locally cafe shop feel like local area apose tourist trap ! hope help will not dissapointe , remember much pay ! NYC 
 Jun 4 2009 	 reviewer must stay somewhere else 	 place fine . really near amenity 3 blk . subway . modern , functional clean . absolutely ok ! 
 May 29 2009 	 Nice hotel stay 	 friend stay hotel mid - May . room small functional . get clean sheet & amp ; towel everyday . view park okey . read review noise night get bit worried problem . noise whatsoever . staff friendly & amp ; helpful . room could use new paint though . the near subway 103rd street , maybe 3 minute walk . would stay . 
 May 23 2009 	 little bit peace big busy city 	 hotel situate right opposite Central Park . fabulous introduction NYC walk length park city . hotel close have miss half park , be big . within 3 minute walk jump Subway 10 minute ride Times Square , practically right outside hotel catch bus get anyway Manhatten Island $ 2 - really help get bearing see place . get bus everywhere really enjoy see various part city would would miss subway . hotel location great . short , easy ride city major attraction yet sufficiently far away able get quiet night 's sleep . taxi home night reasonably price , night - bus equally ok , take slightly long . review state hotel Harlem conjure pretty negative feeling - not worry ! hotel surrounding feel safe , cafe 2 min walk road serve fab sandwich , snack breakfast fantastic place sit real New - Yorkers get feel place - cheap internet access . hotel reception desk , stairwell lift seem little small tired , room great . small , yes . big enough unpack leave stuff consider pretty much will sleep wash . bed huge - not even know husband share ! also comfy perfect good night 's sleep foot day . bathroom good - clean everything good work order lovely complimentary toilettrie . basement get snack , can drink hot drink vend machine well internet access . order pizza one night Dominoes deliver right room - fantastic be exhausted ! stay Astor Park 7 night , agree would definitely stay . 500 quid include flight bargain holiday hotel far exceed expectation - especially would read review ! actually honeymoon , whilst not chocolate pillow rose - petal bath two , fabulous base explore city would make conscious decision save penny sight - see . would hesitation recommend hotel budget - conscious traveller . 
 May 22 2009 	 probably good value money Manhattan 	 hotel locate Manhattan , Astor Park provide good value money . stay three night girlfriend real problem . room small functional : ' say size par ' expect basic european pension . room , bed , bathroom spotlessly clean , quite impressed selection free toiletry provide . complaint soundproof room quite par . group rather rambunctious college kid stay hall we first night stay , obnoxious behaviour keep we well night resort earplug . ' happy report ' problem noise department second third night -- even though ' quite light sleeper often resort earplug home . great deal $ 99 night double occupancy -- ' think well anywhere else Manhattan ! 
 May 17 2009 	 Spend bit 	 stay hotel time list 3 star , would say probably 1 2 star . although clean , be pretty much could say . noisy pipe keep night , seriously sleep badly life live Central London use noise , repetitive bang range tempo time like torture chamber . room size small not bother , get really hot , air conditioning unit , noisy level side bed , soon turn boil hot . staff not particuarly friendly un - friendly , mostly indifferent . complain noise , say could not anything . not feel comfortable hotel glad 7th floor , can not say unsafe not seem anyone would know visitor hotel not , reception corner away entrance stair lift directly front . lift break 3 day 7 day trip mean go narrow staircase ever see . particuarly frustrating luggage wait 45 minute could get lift nobody , luckily give enough time get airport . 's long walk Times Square , unbearable , pretty much travel subway day get taxi back night . hindsight , probably would work price book hotel close centre , would save taxi fare probably would do evening activity . not much around term restaurant place eat breakfast etc .. wait get centre . expect 1 star hotel pleasantly surprise , expect 3 star bitterly dissappointe . advice spend little stay close centre , will probably find price overall . 
 may 17 2009 	 balanced review 	 book hotel spur moment little concerned critical review read . pleased say concern unnecessary thoroughly enjoy stay . firstly staff friendly , helpfuland professional even face dopey question answer quickly . decor hotel far plush might concern important however personally find clean tidy . room adequate size comfortable certainly large expect read review .there not much closet space however content operate suitcase work well . the bathroom decent size well clean ( room ) every day . we also good view Central Park road . hotel subway good 2 block away however type prefer walk hotel door main city / nightlife hotel probably little far .There shop , cafe ( deliver hotel decent menu hotel room ) however decent walk short taxi ride lively area evening . would recommend walk park opposite however scenic 
 May 13 2009 	 say 	 husband book trip new york surprise must admit read review hotel look forward . however , day arrive hot , arrogant taxi driver pick we airport drop we two block away hotel lug heavy case hot time get . check go room pleasantly surprised . air con room lovely cool . room clean bed clean comfortable , never sleep well ... lol bathroom spotless room , plenty space . fourth floor lovely view central park window . tv reception brilliant watch tv . staff pleasant helpful time one problem deal within 5 minute . lift small stay 4star hotel small lift . fantastic time please do not let bad review put . there s two subway close within walking distance . complaint like go lincoln tunnel , fume traffic bad . lovely driver end stay way back airport take us bridge instead avoid tunnel . brilliant week would stay 
 Apr 24 2009 	 good money 	 hotel good money ; BUDGET hotel , say bathroom free toiletry good ! ! tip hotel:1 ) two subway station close : 103rd 110th street : go b train ! use , walk central park times square quite long - nice long ! 2 ) shower pull bath tap nossel ( ? ? ) thewater shower work ! that s get work : D3 ) lobby hotel stair right beside front door ; computer , vend machine phone card machine . I hope help , good clean hotel , one problem issue heating fix especially room 712 . problem noise ; light sleeper wake funny noise come pipe manage go back sleep within 10 min . hope enjoy do not worry bad review , quite bad hostel ! 
