's 	 •Clean•Good Location parade & amp ; museum , local food 24x7•close enough Subway lines•good mattress•desk helpful responsive•toilet close wall side , … & lt ; censored & gt ; … ( ' use ) •wind loudly whistle close / locked window one night•No window screen allow room cool w/o risk bird entry•Bed short – need queen size , room small•nobody desk time one morning 
 Nov 26 2009 	 nice quiet good locate 	 Hotel locate nice also quiet district . foot take like 5 minute Central Park maybe 10 - 15 minute Time Square . course also Subway Station close Hotel . hotel clean employee friendly helpful ! private bathroom small clean . negativ aspect first night , hotel room & quot ; connect door & quot ; could hear every singel word neighbours baby . problem get ( quiet ) room rest stay ! 
 Nov 17 2009 	 Park 79 excellent place stay NYC 	 go NYC year several year stay many hotel , everything Paramount Waldorf . park 79 great place we room large ( 6th floor ) , quiet , handy upper Westside , great service , easy hotel get . matter taste , like hotel without small lobby . grant small bathroom flat dresser desk space make . good , nothing go wrong . lack hot water ( Waldorf ) lack space ( Paramount Muse ) chain ( Hilton Doubletree ) smoke odor ( Wellington ) . old building , formerly house , style sleek modern , like it . well , price reasonable , neighborhood great . transportation easy . 
 Nov 12 2009 	 tiny tidy nothing marvellous ! 	 stay Park 79 seem nice write photo . bit mislead staff tidiness wonderful little bathroom make it . as first visit NYC hard book hotel far away internet , exactly right arrive check breeze . room miniature compare ' ve stay South Africa get see , be actually bad NYC standard . problem be paper thin understand spanish could great conversation wall next room . really enjoy location couple block subway close Broadway walk mile shop way Statue Liberty ... bathroom nicely do always clean well . bed comfortable . internet access brilliant . check guy helpful offer keep luggage us cab arrive pick we , afford we couple hour last minute shopping . overall pretty good . 
 Nov 5 2009 	 get pay ... 	 good location , be upper west side person . ( personally , prefer Greenwich Village , Larchmont sell , Washington Square go price . ) ... first room put claustrophobically cramp , also dirty . stay world , sketchy place , ' m princess . never complain room 's cleanliness , sorry , touch floor shower hand get dirty , happy . but ... least accommodate . immediately move we well room . bed comfortable . woman desk morning doll . the guy desk night strange . easy get Subway . wonderfully close Central Park Zabars . from outside ( photo website ) , place look lot charming . nevertheless ... would stay , even beeyotche ? would . 's NYC , be good deal . would sure request room one low floor ( place seem less well - care high floor ) , definitely check room carefully unpack bag ! 
 Oct 25 2009 	 great neighborhood good value 	 stay weekend high season last summer happy . sure small room , tiny bathroom clean . location ideal , close Central Park subway station . service would expect hotel price category . would recommend be plan spend much sleeping hour room . 
 Oct 25 2009 	 good reasonable 	 come back ny , first visit , park 79 well price excellent location , ( mad busy centre Manhatten ) lot good price eatery walk distance park two minute away , subway , cheap . room although quite small , spotless clean every day , fresh towel daily staff really helpful . I would stay hotel . 
 Sep 25 2009 	 good hotel NYC 	 stay two night NYC hotel perfect . hotel price around $ 300 time frame . Park79 $ 129 plus tax budget room . location could well , go Lincoln Center twice , walk time . many good place eat shop . room small ( keep mind , New York City ) clean quiet . bed comfy a / c great . & quot ; budget room & quot ; share bathroom locate step away hall . ( big deal season traveler ) shear one room never problem . bath room nice size keep clean . front desk staff helpful ask cab fare back EWR tell hire car instead cab . taxi would around $ 40 $ 60 , cab running meter livere car hire set price matter . get private town car airport $ 40 plus tip . would happy stay Park79 . 
 Sep 22 2009 	 mislead information Overpriced 	 hear good review hotel ( inexpensive , clean , good location ) make reservation 79 Hotel phone . ask standard budget room two night . tell rate , ask total price , tax , person phone say yes . tell would give email address confirmation , person phone say not necessary confirmation number enough . boyfriend get hotel 8 hour drive tell price pay double initially tell . person reception desk unwilling help clear misunderstanding tell we could leave not want pay . end stay night overprice tiny room not even room book . location great , room clean , weekend NYC cut short due misleading information website phone unhelpful staff . next time book hotel phone will sure demand email confirmation . 
 Sep 21 2009 	 good thing 	 well value money many hotel . newly restaure , modern , clean tea coffee morning hall free . friendly helpfull stuff . 
 Aug 26 2009 	 great stay NYC ! 	 Park 79 go - to hotel NYC almost every visit ! beat location upper west side , price fantastic . staff always willing hold bag check - in check - out spend time NYC . trip particularly satisfy upgrade free private room share bathroom room private bath . read review Park 79 , would say complaint people unfamiliar NYC . NYC dirty kind city ; fluff , nothing hide , exactly draw people . be kind person deal small room boutique hotel may require sharing bathroom one guest room , recommend prepare pay . NYC , price , will hard - press find well ! 
