ask 	 first positive ... short walk Grand Central Station . upon enter 70 Park Avenue not get & quot ; Kimpton & quot ; scent Kimptons ( sorry think Kimpton propertie distinct fresh scent ) . lobby check - in area cramp feel claustophobic . dog lover purposesly stay Kimptons pet friendly , find odd ask front desk person dog not know ask front door man ? check request fish bring room . six hour later , still fish , place phone call transfer manager 's voicemail , politely leave message request fish would like one bring room Wednesday . upon check - out Friday never see fin friend Room 709 , way would never stay . room locate right near elevator door use constantly housekeep staff open close make sound someone knock door . apparently hotel housekeeping closet storage . whole three day line hall right outside room various cart towel , etc . television room serious malfunction . set temperature room 65 , consistent 75 ? ? never use room service think breakfast average $ 24 worth . silverleaf lounge offer customary Kimpton Happy Hour $ 5 drink 5 - 7 p.m. nightly . tell live music lounge , not hear not start time advertize . love Kimpton hotel , definitely stay one one NYC next time . 
 Nov 8 2009 	 Great New York Boutique Hotel quiet Neighbourhood 	 70 Park Avenue lovely hotel great area Manhattan . able walk everywhere . Grand Central min away various bar restaurant etc ... thoroughly recommend Moonstruck 244 Madison avenue good value burger like .... room size good bed absolutely fabulously comfy lovely surprise husband receive bottle bubbly small birthday cake shortly check . thank much ! ! room keep lovely clean glass wine evening & quot ; house & quot ; 5 6 another lovely touch . would thoroughly recommend hotel next time visit New York definitely hotel . 
 Oct 19 2009 	 great location overall nice experience minor caveat 	 overall , nicely - appoint good mid - price hotel Midtown . before book , ask room high floor avoid street noise . 3 sleeples first night . Staff move we next day . also aware heat not turn unless drop 45 degree ( friendly staff share we . ) ask heat , bring space heater . cozt rest stay - problem correct . would stay business Midtown nearby . would not first choice . 
 Oct 19 2009 	 good choice Murray Hill / Grand Central area 	 Hotel well locate close Grand Central -- room & quot ; non - view & quot ; side decent sized ( everyone else say ) NYC , 3 foot around bed , okay . mini - bar well stock hear noise room . nice desk fixture room . bathroom great shower low pressure , bed extremely comfortable . staff strange - seem like 2 people work - bell captain reception desk person , hard time handle 4 people lobby get - sure Sunday . 
 Oct 15 2009 	 not go 	 first room give dark , small extremely noisy . staff leave radio room vain attempt drown ! tell could not move hotel full night . receptionist seem expect complaint move we next day . source noise huge air conditioning unit belong another hotel . move room ten floor directly noise still annoying . stay like sleep night ! would surprise room stay would meet UK standard due noise level . 
 Oct 14 2009 	 Excellent Location Comfortable Friendly Hotel 	 perfect hotel girl shopping trip Big Apple . locate short walk Lord & amp ; Taylor Macys block subway Grand Central Station express train Uptown Downtown Manhattan . room good size ( New York standard ) comfortable bed . staff friendly helpful check - in / check - out quick straightforward . rate excellent include adequate buffet style breakfast . would happily stay hotel . 
 Oct 13 2009 	 extremely comfortable 	 like 70 Park Avenue , room spacious comfortable , B & amp ; b rate ( travelzoo ) reasonable situation close Grand Central great . breakfast enjoyable . position hotel quiet although could hear air conditioning unit not stop we sleep . load useful touch think , eg availability umbrella . staff helpful , need help ! wine reception welcome ... , wish hotel London compare . 
 Oct 12 2009 	 nice space spot right Park Ave 	 return 70 Park Avenue Hotel find . 's terrific hotel small ( NYC typical ) room well lay comfortable . Kimpton touch , make one feel home quickly . plus away tumult Times Square ten minute walk across town Penn Station . 's four bock Grand Central . 
 Oct 8 2009 	 good Kimpton standard 	 ' ve stay number Kimpton hotel generally like . service Kimpton hotel generally good , 70 Park consistent . hotel small footprint , example , elevator small somewhat slow , lobby smallish etc . 70 Park get low grade overall appearance . note several review , place bit rundown feeling , carpet fixture wear , room seem need spruce . room rate pretty good promotion ( $ 280 / night ) , location great , bad ( would give sort 3.5 5 ) . might incline try new Kimpton property NYC could get roughly rate . 
 Oct 5 2009 	 excellent location decent hotel 	 spend 1 night 70 Park Avenue October - overall stay great , especially price pay ( & lt ; $ 200 ) .We arrive depart Grand central - location perfect ( literally 2 - 3 block away ) . lobby relatively small - include small seating area , table laptop use ( free wifi also available throughout hotel ) . miss afternoon wine reception , seem like nice touch . check - in quick easy , desk staff friendly helpful . room 2nd floor face street , end hallway . street noise issue . ' m assume not one well room ( 2nd floor ) , completely acceptable . room decent size NYC - certainly cramp . bathroom large clean . bed comfortable . huge plasma screen tv ipod dock nice . overall not blow away room , amount time spend job - complaint . when check ask want store bag hotel , great since catch train afternoon not look forward carry bag around NYC day . overall - highly recommend , especially be arrive / depart Grand Central want stay midtown . 
 Sep 24 2009 	 never ... 	 second visit manhattan.70 Park avenue Hotel check confirm reservation king deluxe room . give key send room 7th floor . find odd room step half right front elevator door . first think go noisy stay . walk suppose king deluxe room find tiny bed . room terribly small . know could not right go back downstairs ask girl reception type room . play computer minute admit & quot ; downgraded & quot ; . however , price room remain rate king deluxe . offer free continental breakfast make . quite angry . downgrade try pass rate king deluxe . could get breakfast starbucks street . demand king room reserve confirm . tell room leave . demand find something upgrade case . go back computer miraculously find king deluxe room . go new room . nobody help move stuff go bring key move bag . service . bring key old room back , upon arrival back new room man , say & quot ; check mini bar technical difficulty & quot ; like . not trust poke around stuff . mini bar lock anyhow . never & quot ; fix & quot ; . well stay previous one size shoebox big bed . come realize soon place right beside maintenance room heavy door would slam least every 20 minute throughout entire night entire duration stay . needless say sleep much jolt every 20 minute . consider go back reception change room afraid would come next , wonder strange people would pop room unexpectedly . room dark , many light . bathroom miniscule . blind brown stain . bed hole , well sheet . housekeeping change towel clean sink bathtub . stay Manhattan Hilton Garden Inn , room immaculate huge , luxury . partake wine reception . tired lack sleep really not want much anything else hotel . instead take cab lounge Time hotel ... lovely . 
 Sep 24 2009 	 good hotel quiet area 	 nice , cosy hotel . walk distance city center . bed big great ! bathroom however bit small . 
 Sep 24 2009 	 think 	 well situate hotel two different room two recent stay within day other . the bathroom one room difficult enter , almost contortionist . my real complaint fact receive pay two separate bill charge credit card , receive card account item several dollar charge day leave . there absolutely extras account , onemaile manager hotel reason fail reply . not sort treatment one expect so - call boutique hotel describe 
 Sep 21 2009 	 nice - noisy air conditioner next building side 	 good value money include breakfast - great location ! 
 Sep 21 2009 	 comfortable 	 friend stay 3 night celebrate & quot ; girlfriend birthday weekend NYC & quot ; pleasantly surprised hotel lovely . & quot ; double double & quot ; room high floor face quiet back courtyard . room light & amp ; airy , confortable bed , conforter luxurious linen . bathroom little small , quite adequate , clean , quality amenity . location short 2 - 3 block walk airport bus Grand Central , block shopping Empire State Building . wine reception every afternoon 5pm lobby , allow guest meet nice friendly atmosphere . staff could not accommodate friendly , give direction recommendation restaurant , event city . breakfast buffet great . take advantage special add $ 1 room rate continental breakfast , perfect . coffee , juice , cereal , yogurt , selection roll & amp ; bagel , hard - boil egg , fresh fruit salad could not well . also available extra charge , hot breakfast egg , meat , etc . I definately back ! 
 Sep 18 2009 	 Best Service NYC 	 return New York wedding anniversary welcome 70 Park Avenue bottle champagne management . room spacious clean view Empire State Building window . bed huge really comfortable . bathroom also good size NYC L'Occitane toiletry really nice touch . location good couple minute walk Grand Central . nothing much trouble staff hotel , forget blackberry charger within 5 minute concierge locate one send room . would highly recommend . 
 Sep 14 2009 	 Swanky ! 	 stay hotel one evening pleasantly surprised experience . unpleasantly surprise hotel New York City certainly exception rule . room one nice ever stay . room spacious , bed comfortable well decorate . 's large tv pleasant room design . hotel also bar ( food ) nice surprise . be within easy walk distance Grand Central 's snap get taxi , even early morning hour . also great deal cheap place find short notice . ' ve almost pay much stay place far inferior . would love stay . 
 Sep 11 2009 	 great boutique hotel heart Midtown 	 stay 70 Park Avenue Hotel six night town US Open . first time stay hotel , well first trip New York City . fantastic time City love everything hotel . location ideal ....... four block Grand Central walk distance several sight , shop , restaurant . every single employee staff friendly beyond expectation . Sophia ( front desk ) always greet name make feel welcome . Christopher ( concierge ) also friendly helpful . doormen housekeep friendly ..... always say hello smile whenever pass . room small , standard size New York . find room rather quaint , relax , quiet . definitely hotel choice next time visit New York City . 
 Sep 8 2009 	 small space recommend 	 stay location multiple occasion work travel , experience positive . nice location close Grand Central Station within walk distance many resturant . personally love wine ' happy ' hour offer late afternoon . great walk long day work travel offer glass wine relax welcome hotel . eat resturant , glass wine friend , staff always nice willing meet every need . would highly recomme hotel work leisure , especially travel without child . 
 Sep 4 2009 	 standard hotel / fantastic service 	 stay three night start honeymoon . we arrive 1 am nightmare trip uk travel agent thomas cook good ruin honeymoon find fairly standard hotel good location tourist friendly staff . second morning ask reception message transfer fron airport arrive force pay cab . the receptionist say message would contact shuttle company find happen pre - pay voucher give thomas cook actual shuttle company name receptionist google voucher ring first three company search could help rang thomas cook uk find go . put hold several minute tell fault phoning shuttle company arrive jfk.showe customer care lack thomas cook tell stupid able find firm contact shuttle company even access Google . she demand know name shuttle company could find go wrong . completion call rang shuttle company tell know nothing trip . she tell good enough need return transfer JFK next morning go stay line sort thomas cook 10mins later transfer thomas cook sort . lady spend almost hour make five phone call sort problem nothing hotel understand mean word customer service way thomas cook would know start that s go back hotel never spend another penny thomas cook . HINT ( look customer cheap advertising new one ) staff also helpful get us fantastic steak house pack hour notice get back room find bottle cava ice chocs congratulation card staff . complete service next morning shuttle ten min late pick we staff notice without asked rang ask guest keep wait . service make break trip that s will gioe back hotel 
 Aug 25 2009 	 good location that s DISAPPOINTING 	 wife choose hotel great experience past Kimpton Hotels ( DC & amp ; Vancouver ) . location conveniently locate close Grand Central , there s much else area . bad : wife go breakfast Silverleaf Tavern hostess busy acknowledge we , sit . finally come greet we , ask we & quot ; discount voucher breakfast & quot ; . assume something & quot ; TOUCH & quot ; member plus also receive envelope arrival . inquire suppose receive front desk check , said & quot ; yes & quot ; direct front desk . inquire @ front desk , girl rude unattentive . instead explain breakfast voucher option prepay choice booking , rudely deny voucher explanation . hungry stay breakfast anyways . service terrible & quot ; buffet & quot ; limited option . server never come refresh coffee offer we refill OJ . surprise bill $ 64 + 18 % gratuity add . RIDICULOUS ! ! ! ! ! ! ! room small lack lighting . ' ve stay dozen hotel Manhattan expect room smaller choose Kimpton Hotels , expect certain standard . hotel meet expectation Kimpton name . wine reception : serve dirty glass twice . one lipstick still . checkout slow unorganized door attendant unhelpful bag . I doubt will return . 
 Aug 25 2009 	 five star service ! 	 come back 4 night stay 70 Park avenue hotel . always good time New York hotel stay important . love stay hotel ! first time particular one . list pros con establishment . PROS : * service : hotel get 5 star service offer client . employee go way make stay enjoyable . everyone professional courteous . concierge even call ask could something . wine reception 5 6 lobby offer complimentary glass wine . nice way meet guest . * location : next door Grand Central terminal , subway , bus . central . * peacefulness : hotel cater old clientele not hear yell hallway 3 partygoer . enjoy go bed early enjoy full day city . hear single thing room even though occupy . appreciate much . * Kimpton loyalty program : get perk enroll loyalty program . get free wifi room ..... 15 $ minibar .... free night eligible stay ... CONS : * room : hotel definitely see well day . design many year ago show . traditional . assign room queen room know queen bed one ! double bed . think room would big . since alone , fine couple would find bit snuggly . armoire clothe drawer underwear . put bottom armoire . paint peel bathroom ceiling , fan door could use coat paint . minor thing irritate hell pay 300 $ . since get excellent rate , 159 $ per night even though hotel full , complain . say , would go back service location . like say , hotel give 5 star service commend . stay hotel luxurious one would go back think service next non - existent . Paint put great service hard find . 
 Aug 20 2009 	 incredible stay 70 Park Ave ! 	 Wonderful Boutique hotel NYC ! review long overdue . stay whirlwind weekend visit February 2008 , celebration boyfriend 's birthday . ( see Eddie Izzard Union Sq Theater ! ) . boyfriend 's first trip NYC , memorable . we beautiful corner room 17th floor , view Empire State Building Park Ave . concierge , Jennifer , amazing . help make stay completely unforgettable . really go extra mile make trip special . can not thank enough ! issue plumbing bathroom upon arrival , maintenance arrive within 15 min alert front desk problem . Prompt service ! bed comfortable ... slipper , robe lovely touch . , pleased stay . would love stay upcoming trip NYC , unable find room price range January 2010 . not know thing change since visit Feb. 2008 , unfortunately price certainly . 
 Aug 18 2009 	 disappointing ! 	 husband & amp ; stay Kimpton hotel Washington DC , love ! 's decide try hotel spontaneous trip NYC day . room old , small dingy . bathroom tiny human could sit toilet conventional way . shocked YES cable channel . could not watch end Yankee game return room dinner . 
 Aug 17 2009 	 Wow- expect . two thumb WAY . 	 fiance stay Kimpton hotel ( NYC , stay Muse service impeccable ) , 70 Park Ave par . thing major inconvenience:1 . air conditioner room cool anticipate . apparently , sort wireless system shut movement room . fair , someone come change air filter , still mediocre . 2 . concierge give we instruction catch train run weekend . wait 45 minute swelter subway station , miss plan friend meeting , remain off - track entire day.3 . free ice cream bar . know seem petty , advertise 50 sign throughout hotel , someone run street Duane Reed get pack keep hand , integrity 's sake.4 . ask extra sheet room ( tiny , cramp like photograph ) . wait hour call back second time request .. 5 . ask fan . send rickety fan work properly . end buy travel fan use .. overall , location good thing . really disappointed hotel . feel like Red Roof Inn , Kimpton hotel . probably spend money Hilton on . good Luck ! 
 Aug 10 2009 	 anniversary sadly ... hotel put damper .... 	 loyal Kimpton hotel , positive experience city , expect book hotel overnight stay celebrate anniversary . arrive hotel check , one greet we curb . wait bit someone come take car one come . eventually drive around , find parking lot , park car , walk hotel bag . get desk check , first thing tell go move another hotel overbooke hotel . clearly upset , nowhere , tell someone cancel , hand key room . room get tiny , would fine , except tv break . give plan night celebrate anniversary , look least relax enjoy day night . certainly say hotel portion stay opposite relax enjoyable , due check process handle moment walk hotel . addition , receive little help doorman , etc . hail cab , one offer help we , witness doorman texte pay little attention guest . experience would bad not start badly . think terribly inappropriate overbook hotel try ship people somewhere else make mistake . opposite good customer service . make customer feel unwanted . would stay would recommend hotel anyone else . 
