absolutely 	 hotel recently renovate beautifully do . locate Upper West Side across street Fairway market one great grocery store . hotel room come complete kitchen . really enjoy stay . 
 great place stay do not wan na slap bang city centre .... 	 stay hotel two week .. turn great location holiday .. subway use time ideal we .... staff helpful pleasent ... even meet fellow thin lizzy fan reception good oman ! ha .... lovely view hotel room nite .... clean .. quiet .. ( except jerk decide start play trumpet early hour sunday morning .. phone reception nobody arrive .. small gripe though ) ... laundry room bonus ... great wee cafe rite beside hotel .. close central park john lennon old place bonus ! do not wan na locate heart city .. would welcome quieter area nite .. would highly recommend hotel .. 
 great hotel certaintly live expectation 	 arrive Hotel Beacon sense expectation would hotel cut rest disappoint . stay 8 night lucky enough upgrade one bedroom suite - roomy well appoint need . service great find staff professional helpful everything need include little thing make difference . upper West Side neighbourhood wonderful hard day pound NY pavement load great restaurant within easy walk distance fabulous delis , supermarket bottle shop across street . 
 Nov 21 2009 	 train across America ( first stop ) 	 hotel splendid place stay . lucky enough comfortable suite . well equip fridge , cooker microwave . also fantastic mega market across street . fresh fruit display need see believe . the location convenient Central Park 77th Street tube within 3 min walk 72nd Street take we direct Time Square . we would certainly stay . 
 Nov 21 2009 	 Beacon Hotel well keep secret . 	 stay Beacon Oct 30 Nov 3 . second time . excellent room , good size , lovely comfortable bed . good bathroom shower etc . staff pleasant helpful , unlike review state . gripe lack sufficient coffee room enable use coffee maker ! reception staff provide ask would expect cleaner replenish . small thing know . everything else greatsubway block away , easy access everywhere . Central Park 5 minute walk . Amsterdam Avenue , parallel Broadway , excellent restaurant . dine Nice Matin , really good food . wine list 20 page , one bottle list $ 14000 . need say more . lively bar , good fun area NY.Manhattan Diner block north , wonderful breakfast really good price . packed day , say . two egg special ham , potato hash , squeeze juice , toast usual gallon coffee . perfect . really enjoyable stay , good base . 
 Nov 18 2009 	 Perfect us kid 	 husband 2 young child ( age 1 3 ) stay Hotel Beacon 3 night impressed . 2 room suite kitchenette . room good size door could closed 2 . staff helpful , especially provide infant crib rearrange furniture room . everything well appoint , comfortable , spotlessly clean , include kitchenette . also , room quiet . really perfect we kid , especially since kitchenette 9and large grocery store across street ) allow we breakfast room . NYC , price reasonable . 
 Nov 14 2009 	 excellent place stay 	 stay Beacon times choose stay late trip July . ( ' m late post ! ) since previous time , room get major overhaul . look hotel 's website , room show look exactly like room . studio room , bedroom bathroom , fine . small room ' ve hotel , not matter . everything upgrade , bed linen , dishware small kitchen area . probably well upgrade hotel elevator ! nice push elevator button actually elevator show shortly , unlike past wait interminable . desk staff courteous helpful . in - room safe would not lock , , upon reporting problem , someone show 5 minute fix . complaint . as usual , location excellent . block subway station express stop , get express train could downtown quickly . Fairway Market across street still amaze . lot restaurant choice nearby . short walk main entrance Central Park , block Lincoln Center . 
 Nov 13 2009 	 really good hotel clean reasonably price comfortable 	 stay Beacon September 2009 , good base , room good size , lovely facility make cup tea . huge bed comfortable . block Metro express train Time Square , great location . last visit New York stay near Grand Central noisy day night . beacon quiet relaxed , staff friendly helpful , short stroll Central Park huge bonus . would recommend hotel without hesitation would stay . 
 Nov 9 2009 	 fantastic city great hotel 	 come back nyc . husband fantastic time . site . Hotel Beacon great place stay , location good restaurant market , forget big nick 24hr diner . room clean tidy well maintain little kitchen area good coffee snack . location great getting near Time square . really feel welcome nyc . hotel Beacon great place stay . 
 Nov 7 2009 	 new favorite NYC hotel 	 sibling take parent NYC celebrate 60th wedding anniversary perfect stay Hotel Beacon . incredible location -- 2 short block express subway stop near Central Park Riverside Park , lot great restaurant good food shopping Manhattan ( like Zabar 's , Fairway Market , H & amp ; H Bagels -- yum ! ) . get 2 bed room suite give we lot room full kitchen . parent lovely corner room , king size bed 2 large window walk - in closet . despite location , room quiet . staff helpful pleasant . downside ( minor ) trouble adjust thermostat room , one day kitchen clean less perfect . but overall , price , roominess ( Manhattan , , ' ve stay plenty tiny room NYC ) , pleasant room , location , would highly recommend hotel . 
 Nov 6 2009 	 back ! 	 travel NY leat one time year since 15 year first stay hotel . find great . , nice room ( one bedroom suite family 4 , couple 2 kid ) excellent neighborhood . we back ! 
 Nov 3 2009 	 absolutely brilliant ! 	 stay friend one bedroom suite five night last month fantastic hotel . pull sofabe living room seperate bathroom could privacy . email ahead book nice reply say could make sure would room bathroom hallway would lower floor . perfect 12th floor anyway . location fantastic , couple minute subway ( safe ) many reviewer say wonderful market opposite frequently use . staff friendly without pushy , help we get bus tour ticket , room great . kitchen handy bed incredibly comfortable . thing think improve room toilet seat cheap plastic not really suit nice bathroom . I would recommend hotel anyone , definitely come back . 
 Nov 3 2009 	 Excellent 	 husband stay Hotel Beacon June year find excellent aspect . close subway , great supermarket right across road , cafe corner big plus we , laundromat - easy find large city . staff great . room good , kitchenette mean supermarket also bonus . would not hesitate recommend hotel traveller . 
 Nov 2 2009 	 real gem apartment hotel locate Upper Westside 	 stay seven night one room apartment . quiet , staff courteous location excellent . subway 1 minute hotel . want save money spend sightseeing , prepare daily meal . good deli fresh food market NYC directly opposite . although kitchenette facility fairly basic , able buy semi - prepared food deli reheat add sparkle fresh salad dessert treat great evening meal . cereal fresh fruit breakfast , make bread roll salad take we sightsee we spend US $ 25 day two . good ! good tip : slice NY cheesecake $ 1.99 Fairways market opposite . there huge laundry 7th floor , wash dry $ 3.50.the saving meal cost certainly help offset accommodation bill . negative comment ( not bring front desk ) small table two chair dine ( one room apartment ) would make easy we try eat sit desk one chair stool . oh , kingsize bed dream sleep in . we would definitely stay recommend Aussie friend . 
