purely 	 stay throughout 10 day stay along colleague , say pleasant stay . stay single room , though hotel big family room spacious comfort , even though spend much time work sightseeing . hotel one quite by - lane main london , tell one bomb blast happen right front hotel . actually not take taxi even bus get client 's place matter wherever wanted go , restaurant dinner near tube station , much with - in 5 - 10 minute walking distance . could walk crowd place London , Piccadilly square 10 min still come back hotel , right opposite silent beautiful park Mahatma Gandhi statue . overall hotel conveniently place kind activity mention helpful staff helped advise rightly we everything approach , direction indian restaurant nearby book we taxi odd time airport . thank well - define process place guest . 
 quite comfortable . 	 stay Tavistock week comfortable . room clean , water bathroom hot , bed fine , thankfully , lot light bed read . check really hot ask turn heat immediately . breakfast copious . 's true be friendly not need lot personal attention . want stay spring concerned review single traveler bunk people someone show door middle night . hope management read review . 
 value money great location 	 friend stay overnight way Eurostar , arrive 11 pm leave 6.30 follow morning . rather worried mixed review , room perfectly adequate , clean well - equip bathroom . staff friendly helpful . although leave far early breakfast , start 7 , staff reception anxious least try arrive ten minute early could probably accomodate - happen , leave early tea coffee facility room need . staff reception cheerful friendly left , could not fault . would happy stay . 
 good money 	 book Tavistock last minute give good room 8th floor , complaint clean adequate , face front hotel bit road noise not keep we awake . room warm cosy tea coffee make facility , haridryer tv . stay apparently switch tv near bed . the Bathroom clean well equip towel soap shower gelThe reception staff helpful courteous , lifts fine , restaurant staff friendly , breakfast good - plenty eat complaint tin tomato ! ! excellent location near EustonWe not read hotel would not stay would miss good clean reasonably price hotel London . 
 Nov 21 2009 	 Bloody awful ! 	 think trust customer treat respect core value hospitality industry . TH find neither . staff surly unfriendly find practice bizarre . haridryer collect housekeeping 20 pound deposit payable . get deposit back produce receipt ; one would think put precious hairdryer desk would enough . make phone call line unblocked call make , deal get little reminder note ' extra ' door . grown - up , think deal expense . continental breakfast order room service consist 4 slice toast jam . WiFi available foyer bar . excellent location , horrible hotel ! 
 Nov 20 2009 	 demolish 	 's tip , reception , bar meal fine room tiny . window jammed open thought sleep street noisy . 
 Nov 13 2009 	 terrible hotel 	 small room , bathroom bad condition . triple room really triple room size . they put small cod double room even walk around . breakfast bad . 
 Nov 11 2009 	 gross stay away ancient ruin ! ! ! 	 hotel need major overhaul . be stuffy , old , dirty & amp ; moldy . beware lift slow room bad , ' ve never see room bad , bathroom door slide never close . old ugly , take money elsewhere . 
 Nov 10 2009 	 decent enough hotel 	 find hotel ok overall . well get pay . location great . close good place London safe enough area night . warm room though seem problem hotel staff control . pretty small room too . if want somewhere clean safe sleep arnt expect brilliant service food would recommend place . probably well suit young people . also bowl alley underneath great ! 
 Nov 5 2009 	 Excellent location 	 hotel perfectly situate sight seeing , shop etc . room clean comfortable . breakfast really good , plenty choice tasty ! complimentary meal first night good Jaques Bistro , go Poppadom Express instead ( choice venue ) . staff friendly . lounge bar pleasant . would stay . 
 Nov 3 2009 	 great ! 	 stay 3 night . small dull room , warm stuffy ( Oct ) . noisy street hard sleep even window close . basic thing like hairdryer sachet shampoo miss . small bathroom bath / shower , clean . breakfast - ok great - staff service pretty poor due general attitude , especially manager point general direction walk room . one girl sit designate table abruptly tell move staff member . staff clear people sit would not happen . Coffee taste ' off ' , orange juice water - 1st experience . about good thing hotel location Bloomsbury - 15mins walk St Pancras Station , direct bus route tube city centre . would recommend use bus tube , sis get purse steal tube . 
 Nov 2 2009 	 terrible ! ! ! 	 someone call room telephone 03.51am two minute later , someone attempt enter room . go confront front house work happen , filipino staff extremely unhelpful . Ricky , filipino night supervisor accuse stay vacant room - question card room . shout friend say ' not speak ' , threaten say ' will charge room go back ! ' utterly disappointed frustrated night time staff completely diabolical . day staff professional , breakfast staff difficultly customer service ( Filipino ) AWFUL incident 4 am morning , move straight away much well hotel Hyde Park service good , room much well . use TAVISTOCK HOTEL ESPECIALLY lone FEMALE TRAVELER ! 
 Oct 20 2009 	 Shame breakfast staff attitude 	 Nice Hotel location . room clean smallBreakfast food ok . staff breakfast , rush foot , make rude . we advise seat area . seat friend see cutlery . ask member staff . tell abruptly table do already make . course feel like inconvience . expect . also Tea coffee offeredhotel breakfast staff let establishment . return recommend . 
 oct 13 2009 	 central location soul - less rude staff 	 boyfriend manage get night 's stay hotel last minute good . room clean clean sheet towel . however feel staff rude even bother present friendly welcoming face . go ask question reception , not look face answering question . staff dining area appear busy even breakfast , even bother greet morning . bad concierge give we good rate taxi airport Londoner friend mine probe . way speak we also veyr rude . would rather stay small hotel , personalise friendly service , even pay stay hotel London . 
