charge 	 unfortunately relative pass away urgently need use phone call home . - information due warning regard potential extortion price one phone call . one 12 minute call could stay well hotel night . when ask speak manager avaliable would avaliable tomorrow either . walk upset yet another crampy hotel service . the way speak joke , walk vow write review inform everybody else wrong ... bring phone card , urgent matter arise think good deal situation hand . I would tell manager , can not charge price , without due information avaliable hand , price list US hotel , stay .. 
 Nov 22 2009 	 spend ? 	 be go New York City want spend money see sight ( rather hotel room ) hotel 31 perfect answer . yes , room bit small , clean , quiet , tv , safe , sink . bathroom hall , clean , always available . location hard beat - empire State Building 8 block away , subway 2 block away , good , moderately price restaurant nearby . staff helpful . definitely stay visit New York , hopefully soon . 
 Nov 22 2009 	 clean nice . 	 stay Hotel 31 three night . comfy room nice bed bathroom hallway wich never busy . window see typical NY backyard , ok charming , especially since also perfect wiev Empire State Building . the location great , room clean , bathroom . bed make every day , clean towel etc . I certainly recommend hotel people come NY see city , great value money . the pizzeria corner 31st Lexington great beer pizza nice atmosphere , two minute entrance hotel . I will back . ( fun fact : also stay Millenium hotel Times sq . week NY , & quot ; nice & quot ; hotel clean Hotel 31 ! ) 
 Nov 6 2009 	 need refurb 	 gentleman check helpful great knowledge surround area . room , however , date hard bed . bathroom nothing special . place need serious refurb . would recommend couple wan na save money little privacy . 
 Nov 1 2009 	 terrible bed contaminate tick 	 dear potential guest Hotel 31 , East 31st Street Park Avenue Lexington , hope comment photo evidence help make good hotel choice . there search web , affordable hotel two week trip New York . hotel 31 East 31st Street , Lexington Park Avenue often appear choice . seem perfect . hotel pleasant neighborhood close customer . stay NY , one week luckily able get room four night -- weekend book . room 711 7th floor share bathroom , small bedroom queen size bed beige sink leave side , window view Chrysler building . bad thought . New York excite ; give lot energy . first two day productive end day eager return Hotel 31 rest . however 3rd night nightly rest become torture , agonize itching force wake several time night . something bite I … first thought — mosquito ! turn light , look around , close window go back bed . next night hour get bed , awful feeling would wake tormenting . time window stay close , decide thorough inspection room . turn pillow in - side - out , turn cover sheet bed , enrage , become obsession find keep sleep even turn mattress side . surprise able trace little dropping appear blood … bring little insect hide corner wood bed frame . trap little insect paper napkin squeeze , blood ooze napkin . afraid disgusted . body huge swollen red spot every place get bite . swell pain last week . morning take photo bed ( bed insect , tick , parasite whatever ) go straight front desk . show evidence person charge , immediately take insect , alarmed manner tell I … he would switch room , fumigate room 711on 7th floor . sure fumigation actually do , witness move sign post -- otherwise whole building would empty . nevertheless , still scratch death traumatize nasty bite , feel afraid bring insect home . moreover , even though extend stay pay full price weekend excuse present Hotel 31 East 31st Street . guest never come back . next time rather sleep new mattress Hotel 31 . 
 Oct 29 2009 	 WOW back ! ! ! 	 love Hotel ! staff location excellent really clean ! ! ! ! 
 Oct 23 2009 	 back ! ! ! 	 clean cozy . close everything . beat price . cheer . 
 Oct 18 2009 	 Perfect NYC Hotel 	 spending one night NYC not want pay outrageous amount money . hotel 31 prefect solution . be look budget hotel Hotel 31 . be clean , staff friendly location excellent . select room share bathroom . figure one night could manage . really not bad . bathroom clean never problem get . always available . staff also really friendly willing help way could . 
 Oct 18 2009 	 basic central 	 fine base explore ny want pay much - although every hotel room ny expensive ! room clean share bathroom problem - always clean usually empty . reception staff helpful . 
 oct 9 2009 	 Beat Location Price ! 	 pleasantly surprised location hotel , relatively happy appearance . travel NYC , great place plan day night want decent place sleep night . private bath , shower truly trickle water ..... worth extra . share bath hallway look fine use . 
 Oct 8 2009 	 hotel staff helpful hotel room clean . 	 think hotel locate great location . to get subway station , go leave exit hotel next corner , turn right subway station . share bath 5 day two occasion close one occupy . go bathroom floor available . sink room brush tooth face bed . elevator small take long time , believe exercise take stair leave come back late day elevator usually occupy ! ! Loved NY City ! 
 Oct 8 2009 	 good value great location 	 hotel great location , right 33rd st metro station . one stop away Grand central station . room decent size ensuite bathroom nice clean . price ( $ 200 per night 4 we ) fine . downside hallway absolutely stank smoke , pretty grim morning . share bathroom soap hand towel pretty gross . 
 Oct 6 2009 	 clean comfortable safe 	 room clean , comfortable adequate budget rate . share bathroom always available clean , build old style charm . east midtown location ideal travel Manhattan spot # 6 subway block away . negative might poor indirect lighting room . 
 Sep 22 2009 	 adequate clean budget hotel 	 3 friend stay hotel 3 night Labor Day weekend ' 09 . town US Open want place stay good subway connection , good location , comfortable stay day . hotel 31 . get owner tell we one room share bath available instead two . promptly give we another room private bath price . tell we would move next day cheap room become available . return long day watch tennis say could stay room extra charge . room clean shared baths hall . location right next Empire State build one block subway . also , Times Square short walk . great italian restaurant right street corner would highly recommend pizza lasagna . thing could never figure tv staton seem completely different two room . would definately recommend Hotel 31 base value location . 
