Better 	 basically reason stay Las Vegas Hilton could enjoy one fantastic option around town . first , hotel reminiscent 1970 's , decor , patronage , amenity . case point - Barry Manilow ABBA show Hilton time visit spot . room break , outdated decor , old television , dirty tapestry , . crowd cheesy old ... prepare see interesting character wacky clothing . lastly , hotel locate Strip basically way action . this typical , upscale Hilton , budget Vegas hotel hide behind positive brand name . look affordable option , would suggest check Flamingo , Tropicana , Bally 's , something actually Strip . might similar & quot ; cheese - factor & quot ; ( like call ) , least enjoy nice pool well location . 
 dirty pit ... customer service ... avoid like Plague ! ! 	 go convention think would good stay host hotel convenience Hilton 's prior reputation one excellence ... ugh ! check nightmare . day convention know many people going check understaffed . feel like Disney line high season . room adequate size etc . jet tub excited . fill hot water , get turn jet , lean back closed eye .... aaaahhhh .... open eye EEEEWWWW black foamy crap ... come jet , jump jump shower scrub .. heck , someone else 's dirt skin ... still feel ick talk ! . go front desk response repulsive event ... & quot ; hmm ... be odd .. anything else help ? ? ? & quot ; ? ? ? ? even apology , let alone compensation even free drink .... wow ! Buffet absolutely disgusting ... McDonald 's could do well . actually take tram Planet Hollywood buffet awesome .. avoid eat hotel . would not recommend keep dog .... 
 Pleasant surprise - well expect 	 attend weekend event attach LV Conf Ctr daughter stay Hilton . know go remove Strip , pleasantly surprised on - site food value ( sandwich shop sport book really good ) well in - and - out Burger Sahara . let state room experience greatly influence Hilton Honors status . receive complimentary upgrade Grand Room ( 600 sq ft ) couch mini - fridge seem reasonably freshen - room really need make great , relax stay . another hhonor benefit complimentary breakfast buffet 2 - save major buck ! valet service reasonably quick compare place ' ve stay Vegas . all , think nice place stay nice non - themed place good value . 
 Good Hhonors perk 	 stay LVH last week one night . booked rate $ 38.xx Visa 25 % special , use AMEX pay get . check vip room next front desk ' m Hhonors Diamond member . upgrade offer ask - heck , one night . ask Diamond amenity check clerk go look pre - printed sheet . room basic Hilton quality room . bed comfortable . tub huge . nice west face view strip 20th floor . glass elevator north end north tower ( close parking deck ) quick little wait fun able look ride down . the spa nice , free Diamond member . also use Diamond card get free breakfast buffet . parking free convenient , although three & quot ; 15 minute limit & quot ; space check appear long term parker . enjoyed walk around hotel , check restaurant , casino sport room , although also go sight see Caesars Palace quite impressive . pleasant experience well worth cost . 
 Met Requirements 	 travel Las Vegas Birthday Bash adult child . husband member Hilton Honors use point holiday . request room North Tower adjacent . arrive hotel quick pleasant allocation room helpful receptionist . bag quickly bring we problem room adequate need . problem encounter dripping shower ( waste water ! ) . room well appoint , bed comfortable keep clean promptly cleaner . the hotel little tired , one old . buffet breakfast excellent vast array fresh fruit , cook breakfast mountain cake bun . certainly could eat fill . try Paradise Cafe first night food brilliant . never eat restaurant hotel prefer visit strip restaurant Paradise Road . eat good chinese P F Changs hotel good steak Ruth Chris Steak House . casino hotel quite small compare other find loose winning , well luck Mirage other strip . all read review quite happy stay , would prefer stay strip convenient get around night . hotel get busy stay convention , prehap good tourist want leisurely time . 
 Good Value money - need updating 	 book stay Hotels.com find fabulous rate ( note folk would try invoke Hilton ' Best Rate Guarantee – hotel exclude policy ) . check quick easy since Hilton Honors member . person check give we room face strip 18th floor center tower . room large - large . amentias room modern , nice new desk , chairs dresser hold large flat screen tv . bathroom , clean , salmon color tile wall floor rust tub / shower . way keep shower dripping constantly put lot pressure single knob control water flow . carpet atrocious orange color stain middle large go front desk let know not . front desk offer move we another room , big deal . king bed plenty pillow comfy . finally decide get bed quickly learn water pipe room around loud squeak harsh tone someone flush toilet take shower . in morning opportunity use spa / workout facility . workout room 5 treadmill 2 elliptical 4 bike . however 3 machine order . also set weightlifting machine dumbbell use . fresh fruit available guest spa charge . food / coffee expensive property . wife pay $ 6USD large coffee morning . opt walk across street AM / PM mini market soda fix . checkout leave lot desire - front desk person deal downright rude . hotel strip ' big deal . always rent car money save hotel basically pay rental car . not get car monorail stop hotel . overall good experience . bit update would great experience . 
 Nov 21 2009 	 fine ! 	 due economy good fortune , able grab room $ 35 night real deal . place massive , room quiet well - appoint . bed quality excellent linen comfort . one would expect major luxury chain . suppose not bell whistle new fine luxury chain area , price pay ... deal . the benfit step lobby onto monorail nice convenient . wait expensive taxi buzz strip . bus stop Deuce ( double - decker public transport ) right front hotel well . we dine Benihana 's one night . teribly over - price , nice . pay attention flier give check - in voucher signifigant discount restaurant attentive . 
 Nov 21 2009 	 great room .... finally get . 	 stay business two night early December . hotel situate fifteen minute walk Strip good 25 minute would consider main part LVB Harrah 's , Belaggio , Imperial Flamingo etc . however , be well connected via monorail . say , find monorail one big rip - offs side Appalachians . five buck one hotel another ? pah . take cab - 's easy 's door - to - door ( station bit treck neighbouring hotel - seldom much expensive . plus Vegas cabbie good story tell time . hotel set nicely landscape ground give nice sense space relaxation away bussle Strip . pool area superb , gym - pay use ( yes - , guest , must pay use hotel 's gym ... ) room spacious , well appoint , nicely decorate offer nice view ( albeit vastly different subject - range Strip mountain golf course ) . bathroom large shower pressure fantastic . say , get right temperature bit challenge . food hotel superb unless visit Pizza Hut ( north tower , ground floor ) buffet , cheap place eat drink . hotel 's casino leave lot desire . staff hotel seem nice overly . professional seem draw line . infact , vip suite , staff even smile much ask . find staff leave personable , least friendly hotel employee ' ve find anywhere world ( particularly old ( well , late 40s/50s ) asian woman ..... - hope read cheer ) . major beef hotel , though , provision elevator ... simply not ENOUGHI regularly find wait 10 - 15 minute get elevator . , , wait another 10 minute reach floor , high floor , seem stop counless time way let people . four elevator whole North Tower ( guess close 1,000 room ) ? ? ? come , Hilton . 's poor . would absolutely come back LVH future business ( company book stay ) vacation would like give themed hotel shoot first . 
 Nov 19 2009 	 Typicial Hilton 	 strip easy access monorail . Hilton large offer siginature service casino favorite overall good hotel . 
 Nov 16 2009 	 LOVE Hilton 	 go vegas often pocketbook allow ( shoot 2 - 3 time year ) husband can not say enough great thing place ! ! ! ! ! ! room , food , pool , location , TERRIFIC STAFF ( Tad casino host , Linda a.k.a . frog lady cocktail waitress ) everyone ... Hilton place ever stay . look forward trip March plan husband 60th August know Hilton treat we like royalty ALWAYS ! ! ! ! ! ! ! ! Teri . 
 Nov 13 2009 	 blood sheet 	 blood sheets . Hotel seem blame we say look like fresh blood . anniversary ! 
 Nov 13 2009 	 Change Shower Curtain 	 room Central Tower . enter room , mildew smell . look shower curtain stinky culprit . streak mold . know economy rough , tough hotel can not afford keep fresh shower curtain bathroom ? gross . sink drain slowly , time water hot , sink nearly overflow . try remove sink stopper pull gobs hair grossitie . otherwise , room old , clean . the buffet good staff friendly . chinese restaurant overprice . cafe fine , staff complain management staff member right within earshot customer . the casino pretty tight , player club pretty good offer good comp . cocktail waitress tell hotel hire new ceo would starting soon hope change . hope . LV Hilton need change . probably will not stay can not really recommend hotel . many much well choice much well value town . 
 Nov 11 2009 	 good value strip 	 Hilton offer excellent value not mind strip . room large usual facility . hotel connect strip monorail stop way actual main strip , therefore still fair walk reach hotel Bellagio , Mirage , Luxor etc . , good hotel price feel . 
 Nov 11 2009 	 Hotel need modernization 	 stay hotel couple night , room next lift , , bit noisy . room spacious , big LCD tv , king size bed , bathroom could light ; last day problem hot water , , shower ( rest colleague floor ) lukewarm water . buffet breakfast lunch good value money , good selection hot food , load cake average selection starter ( salad , smoke salmon , cheese etc ) . coffee shop lobby find bit expensive also fast food outlet sport gaming area . nice spacious pool area ( not peak time , plenty empty chair choose ) . monorail station next hotel run 2 am , single ticket cheap 5 $ ! ! ! 
 Nov 10 2009 	 Servicable Hotel '' 	 spend 4 night , burn Hilton Honors point . since hotel connect conventon center , really get lot traffic trade show - that be fine - I stay purpose . , hotel get little worn around edge , since one old one LV . & quot ; up - grade & quot ; -for $ 19 / night extra - to North Tower one well room . well , one stay pretty nice Hiltons Houston , Minneapolis , LA , etc , like Holiday Inn level room . not expect kind nice appointment LV . clean though , room bathroom . not impressed see overflow trash can outside near garage North Tower 1st floor hallway , however . & quot ; scenic glass elevator & quot ; bad need good window washing . around 4 6 pm , Trade Show , expect see line elevator . lot food option , casino big , lot choice . great Sunday NFL Party type thing also . course , location little way . really need use cab over - price monorail . find cab cheap 2 people go somewhere main Strip . all , not expect Paris , Bellagio Mirage type setting room , work reasonable place stay . 
 Nov 5 2009 	 nice value - underrate 	 get back stay time MGM & amp ; Bally 's . decide write review Las Vegas Hilton last year think review site bias negative side . stay hotel least 6 time last 10 year . also stay Mirage , Bellagio , Wynn , Stratosphere , Circus Circus . location good , monorail convenient . hotel nice Bellagio Wynn , always find room clean comfortable . twenty - something , may find nightlife well Planet Hollywood MGM property tend young crowd . music blare loud casino , plus . slot player , comp ( 4 night compe room include weekend ) moderate play good Strip . slot bit looser . perhaps picky other , never bad stay . last time check - in room ready & amp ; wait hour 10 pm , apologetic & amp ; give 2 free buffet ( even though room compe ) . think come across one rude employee last 10 year . Paradise Cafe basic affordable food available 24 hrs nice option . buffet average , fine ( Bellagio favorite ) . think room service good , though exceptional . never use hotel pool , can not comment . find nice deal price , take review grain salt . personally , think hotel great value . 
