Quiet 	 locate quiet , residential street Gold Coast , Hotel Indigo always pleasure return four night stay hectic city . the room peaceful soothe decor wicker furniture mural shell . bit small place everything . room quiet -- noise hallway outside . hotel also good place travel dog . dog park one block away Lake Michigan boardwalk four block away . restaurant close also short walk shop Michigan Avenue . look small hotel quiet area versus large hotel central downtown , Hotel Indigo right . door man always greet we smile ! 
 Oct 26 2009 	 beautiful getaway 	 would go back heartbeat ! take daughter 15th birthday trip , two we . stay Hotel Indigo , remind favorite book , & quot ; Alice Wonderland & quot ; chair oversized color bright blue green . room bit small , service great ambiance fun friendly . great location , great little cafe right street . 
 Oct 26 2009 	 relax fun close action ! 	 great place stay ! check breeze . get early staff helpful , change we non - smoking queen room king smoking room ! room not ready yet hold bag we recommene place area grab drink & amp ; bite eat . come back go room 4th floor elevator . worried would noisy , ! : ) room comfortable everything need . love shower , lot pressure & amp ; hot water . hotel locate close action . ton place eat , drink & amp ; shop close . Red Line block away always taxis front not like walk . take short stroll Magnificent Mile right shopping could want . plenty see & amp ; within block hotel . hotel locate residential area beautiful old brownstone . area well light seem totally safe walk . would recommend Indigo anyone ! 
 oct 22 2009 	 great decor - great staff 	 go Chicago long weekend group 8 woman want see Chicago . Hotel Indigo locate great street block metra close enough take taxi home end day walk Rush St. great restaurant . arrival , able leave bag could get rest day & amp ; return around 8 o'clock , room wait & amp ; luggage send . since 4 room , give we lager room right next . loved & quot ; beach decor & quot ; room , bright wall , white bed & amp ; furniture & amp ; large window . stay staff front desk could helpful . help we arrange tour , get cab airport answer question eagerness help . qall love Chicago & amp ; Hotel Indigo . 
 Oct 13 2009 	 wonderful experience 	 moment arrive impressed . hotel beautiful , clean , staff could not nicer . room large clean . hotel quiet . locate near train not need rent car . would highly recommend establishment . 
 Oct 13 2009 	 bright color cheer we dreary drive . 	 two free night via Priority Club , use Hotel Indigo Chicago . originally ask king room , later , step - daughter decide go along , ask change double queen . problem . dreary , rainy drive , bright color , great smell , fun look lobby really cheer we . staff treat we like pay customer , courteous , friendly helpful . get early able get room right away . use valet parking make everything simple unloading car , actually never take leave . see room truly delight . room large , ( Chicago , huge ! ) two queen bed , sit area table , two chair armchair bathroom ( admittedly small , downside room ) . front side building , Dearborn Parkway , 9th floor , could even see Lake -- great view . find goody bag cashews chocolate , another nice thing drive , wait we pleasant note . bed comfortable , show , although small , great water pressure nice hot . aveda product plus . ' ve also stay Hotel Indigo Fishers , Indianapolis find good experience -- fun , lively , bright color , lot different chain hotel , make stay relaxing , interesting visit . really can not find anything complain ! 
 Oct 8 2009 	 fun trendy hotel . . .just not look closely . 	 Fun , bold color really make hotel room pop . not look closely will discover everything put together rather cheaply . shower wall plastic make look like stone . polished hardwood floor really particle type board . not get Priceline , would disappoint pay full price . fortunate receive room two queen bed . pretty spacious Chicago hotel . however , someone else party one queen bed room TINY . far Lincoln park zoo . parking expensive get privilege 's valet . 
 Oct 8 2009 	 average hotel 	 stay two girlfriend girl weekend trip ( be 40 ) . location great staff nice enough . huge spill wall near bathroom send someone right away clean call . cleanliness average . stay standard two - bed room . room nothing special . bright , european - type decor pretty standard otherwise . nice little table chair sit . room face street nice peer gorgeous apartment across street ! breakfast area food look good would recommend . 
 Sep 30 2009 	 Great Experience ! 	 want say moment arrive left feel take care great experience . door man sorry forgot name work night friendly knowledgable . liza font desk amazing ! upon arrival remember call early , check nice room , call make sure everything great , also next night remember name send fruit card room ! great asset hotel . hotel beautiful even was'nt staff make stay ! thank ! Justine Alexander 
 Sep 29 2009 	 great location value 	 hotel quaint , cozy inviting . room adorable . free internet print great city . room carry Aveda product another plus ! location great ... right next bar restaurant subway . 's great location gold coast without pay expensive downtown chicago price . staff helpful , esp . management . professional complain something handle right away professionally expeditiously courtesy . 's huge plus management present , visible active . also get room right away despite check early internet let use one office could get business email send . would def . recommend hotel stay . 
 Sep 18 2009 	 stay 	 really suprise see people rate 3 4 star hotel . place creepy . check hotel around 9:30 pm exhausted . get ready bed 1/2 late front desk call want know everything thing okay ..... kind wierd . actually get bed find drop dry blood comforter size quarter . mention never really fall asleep air conditioner loud . make matter bad blow dryer not work , leave work wet hair run late know front desk would take year bring new one . checkout : front desk say comforter wash guest ? ? ? reaction blow dryer : hit hit reset button ? ummm yeah try different plug well fault go work wet hair call ask new blow dryer . 
 Sep 14 2009 	 Perfect Location 	 stay week please location hotel . easy get anything want . lot place within walking distance . train within couple block easy get anywhere . convenience store , restaurant night life close . hotel locate nice , safe residential neighborhood . staff attentive helpful . even bother car whole time need . 
 Aug 25 2009 	 Delightful Hotel - Fabulous Location 	 find Hotel Indigo upon realize old , cheap , fav , day Inn N. Clark , close ... Indigo expensive , considerably less Gold Coast location , parking ramp next door , locate one block subway . great surprise ! decor base aesthetic , Golden Mean , art symbolism , Indigo treat sense - funky , comfortable furniture , unique wall covering , interesting space , awesome color . like visit comfortable home artist stay hotel . staff wonderful . ' ve find wonderful place go back Hotel Indigo ! 
 Aug 22 2009 	 happy service 	 return 2 night Chicago stay Indigo Gold Coast area . great area stay within walk distance lot great restaurant , EL , sight . choose Indigo . & quot ; cute & quot ; hotel doorman could helpful . stop doorman ! husband frequent traveller upgrade & quot ; suite & quot ; 14th floor . mind , know beforehand room quite small also go & quot ; suite & quot ; fine 2 night town . go sightseeing morning return around 3 pm room still service . call front desk clean towel still arrive , find attendant 's cart get towel , shampoo etc . also , wake night step puddle water malfunction air conditioner . notify front desk leave morning , never attend puddle water near bed use clean towel mop . would recommend stay nice neighboor atmosphere , not recommend Indigo . 
 Aug 22 2009 	 perfect every way 	 visit Chicago weekend getaway . Jersey Boys , Great Food Nightlife . hotel really afterthought pleasantly surprised . staff absolute good room spacious terrific view city . neighborhood can not beat - visit chicago lot ! never write review friend suggest tell stay . & quot ; oh , night ! & quot ; . 
 Aug 21 2009 	 cut hotel ever ! 	 get great price Indigo Gold Coast Priceline . usually stay close Wacker Chicago like idea experience different part downtown . the hotel lobby bright welcoming . front desk folk attentive get room assignment quickly . open door , let little & quot ; oh ! & quot ; see room . decoration would see typical hotel chain . fresh , unique , bright beachy . ice bucket tin pail ! like wood floor ( much clean ) bed super comfortable . white pillowcase & quot ; Curl Up . & quot ; embroider . Awwww ! ' Melitta one : one ' coffee maker awesome going purchase one like it . I think room clean , hotel general . the complaint - pen paper room need jot phone number . maybe one , could not find . ice snack machine locate one floor , 2nd , stay 14th floor , take . ( elevator little slow . ) stay room someone else , would ask room two bed get room . think room ( Rm 1412 ) little small would prefer , stay alone . still , smallish room would not keep come back husband . 
 Aug 17 2009 	 fantastic little hotel 	 great location , superior service , clean comfy . great rate get Hotwire , would say well option Chicago price range . folk front desk , bellman bartender friendly accommodating . hotel around ton restaurant bar nice neighborhood even couple drugstore grocery within block two . four five block walk lakefront . perfect spot weekend getaway would definitely stay recommend friend . 
 Aug 10 2009 	 Pretty average 	 great price booking on - line , nothing fancy , parking , great doorman lobby staff . 
 Aug 3 2009 	 average good 	 family find hotel Priceline last minute pleased location price , ' m glad not pay . website give impression double room queen , double room double , king room . arrive , however , tell give single queen room . ask anything else available tell could double queen room upcharge . ask could rollaway bed , also indicate website , woman desk say , & quot ; already two bed & quot ; offer explanation . ask matter , say law put another bed room . overall , condescend rude , stereotypical & quot ; city snob . & quot ; room nice show wear . fitness center diverse collection equipment well - maintain . good part hotel convenient location . the convenient parking option valet garage next door . garage clearly give discount patron get ticket validate 10 nearby store , hotel guest pay full price -- $ 37 24 hour . rude staff , good location , definitely nice people well place stay Chicago . 
