Great 	 hotel great find consider Manhattan , love Broadway part reason come NYC , stay . close broadway theatre ( especially Gershwin , & quot ; Wicked & quot ; play .. one block away ) . room small great travel alone spouse . would recommend hotel child room single twin bed double twin bed . , rate great although hotel restaurant , find expensive cheap place eat , need walk around explore find something appeal . 
 Nov 24 2009 	 great location reasonable price 	 girlfriend ( fiancée trip ) book hotel , spend countless hour research hotel around New York area . look break bank 1 week stay , far away everything either . hotel meet criterion . room small adequate clean . within 5 - 10 min walk Time Square 15 min walk southern boundry Central Park . short block great food H & amp ; ' Kitchen neighborhood . walk ' suit bill , metro 1 block entrance hotel . while Big Apple also take Mid - Town walking tour & quot ; food - on - Foot & quot ; part NY Pass really great way see neighbourhood sample little family run food location . 
 Nov 14 2009 	 great location close great restaurant clean small . 	 pick hotel location price - cheap , well price relative New York hotel . room small , clean . hotel little poky , staff friendly . excellent location access mid town , Times Square , central park restaurant 9th Ave . 
 Oct 29 2009 	 ancient facility ; small room ; vastly overprice 	 Lobby small date ; ambience . one elevator , hold 3 adult ; slow ; take stair time . room tiny ; clothe dresser ; small sofa . bed box spring . mattress sit atop wooden board ! Mattress like sleep army cot . room ventilation except open window . offer install window air conditioner want . ( decline . ) loud , industrial noise downstairs 4 a.m. ; difficult sleep . food service . stay one night plan 4 - day stay ; cancel remain night move true 4 - star hotel actually cost less $ 340 per night wj . friendly staff ; new , large , clean bathroom . good experience . 
 Oct 15 2009 	 Awesome location 	 really enjoy stay Washington Jefferson would stay . location good New York - couple block times square , theatre right around hotel easy access metro . also great bar couple door , good food great selection drink . staff , although relaxed service , friendly give great recommendation thing eat . yes room small room New York city - really need room sleep . 
 Oct 14 2009 	 clean small hotel 	 room small . look room space , good selection . clean . Recepsionists friendly helpful case need something .... close time square , lot attraction , restaurant .... 
 oct 9 2009 	 good location small clean friendly staff . 	 find hotel room hotels.com get great deal consider last minute booking . think around $ 125 per night . room newly renovate although small , clean ! 's frill place NYC , need . close theatre district lot shopping . room right street side not remember bother noise . notice AC not need Feb . would not hesitate go back . bellman super cute friendly ! 
 Sep 30 2009 	 amazing location SMALL ROOMS 	 good point amazing location - take left Port Authority keep go . room brand new , flatscreen tv , selection channel , clean . bad point tiny room . mean tiny . move side th ebathroom able close door ! view either . 
 Sep 24 2009 	 Nice Hotel 	 stay Washington Jefferson Hotel weekend trip New York . hotel great location , close central park times square . also block subway stop close pharmacy almost everything . room Washington Jefferson small simple . New York city price reasonable extent get pay , room small clean everything need . hotel ice machine every floor room service . front desk staff helpful direction whatever need . would definitely go back stay . 
 Sep 20 2009 	 fantastic location friendly helpful staff 	 stay 4 night 30th birthday first trip New York . location hotel perfect . 's really close Times Square Radio City short walk Central Park subway also close . room little bit small could benefit drawer fridge apart could not fault . clean comfortable . staff desk downstairs helpful make reservation we etc . door staff , especially London , really good recommend place go also really friendly . fault could not get room near apart would definitely stay . 
 Sep 13 2009 	 horrible 	 book room two twin bed . expect small view , size closet . bed one mattress board - box spring ! bed 18 inch apart jammed wall - room bedside table - pole lamp two . small wardrobe small desk flat screen mount wall . move chair front wardrobe , make unusable , order room two suitcase floor . one we literally sit bed move around small cramp room . light really bad - two small pole lamp entire room - keep bathroom light door open help we see read ! noisy a / c stuck window inch away . bathroom wide 3 foot sink mount wall - place put stuff except floor . blame Cheaptickets difference definition deluxe . may three - star hotel , dump one - star room use cheapticket Expedia - guy check another room also find . 
 Sep 11 2009 	 do not ever stay - mice hallway 	 bad hotel I´we ever stay . room small couldn´t even open suitcase hang clothe . complain , could´t care less . book priceline.com , put flat screen tv room , dosen´t make big . never use priceline . mouse run around hallway , tell concierge didn´t bother . 
 Aug 25 2009 	 great location great staff great price great find ! 	 staff friendly , accommodate helpful . room spacious bathroom modern - clean wonderful . nice sanctuary explore New York City . location ideal , close Times Square , yet far enough away 's little bit quieter , scary walk home night . my husband travel mother - hard time find affordable room two double bed near Times Square , delight find two queen bed $ 165 night . fear room might small , base previous post , really pleased space ! good thing stay location . little disappointed japanese restaurant limited hour . 
 Aug 11 2009 	 Pleasant stay unassume deliciously locate hotel 	 hotel fairly unassuming , occupy large building well integrated surround neighbourhood , leafy bustle dinner - time . lobby simple elegant , even bit date . door - man pleasant engage we friendly banter front person check we . room third floor , overlook interior courtyard . room fairly spacious ( read : 's room wall mount tv , desk , two night stand walk room around bed ) New York bathroom recently upgrade . classic sushi restaurant , Shimizu , locate within base hotel think not try , appear popular hotel guest , local staff 's friend gather closing time . hotel well locate ( 15 minute walk Columbus Circle Subway Station , among other ) within walk distance Port Authority . nearby plenty restaurant , include delicious Braai , serve south african barbecue - style dish other restaurant row , locate south . be even gourmet delicatessen several delicious bagel shop 9th Avenue 52nd 58th . would stay ! 
 Aug 10 2009 	 Great Location Great Staff Great round 	 travel one friend share standard room small , however fit fine clean everything needed- 3 friend stay double room 2 double bed , quite large fit comfortably . staff great always helpful . London bellboy always cheerful helpful suggesting place go give direction . Ivan Manager excellent lovely . would recommend anyone stay . 
