Fantastic 	 stay auberge 3 night November . great experience start finish . breakfast include room rate sufficient enough get we start day . we room 5th floor , room great . comment room & quot ; jacuzzi & quot ; much small bath ( shower fine ! ) .it great base stay Montreal . Old Port bit touristy , be easy enough find good restaurant dinner . 
 Nov 25 2009 	 Charmed jaded traveler 	 frequent business traveler , 's fun stay non - big - chain hotel , work . time , ' m glad . montreal different north american city know , want we stay somewhere would remind we not Kansas . place trick . historic feel throughout , display many interesting relic past , narrative plaque . 's intimate cozy . 's one main inn , plus loft nice bar , friend stay , city block away . room spacious clean , also say friend ' loft . loft could sleep 6 -- one bedroom , plus sleep area foot living room sofabe ( think ) . could easily crash , except loft / living room sleep area offer little privacy . you see room look like other ' photo . will add mine clean , comfortable quaint , ultra luxurious . little dark night -- high wattage bulb , least proper reading lamp would nice place start , people . stay relaxing , staff friendly polite helpful . hotel character charm typically trade - off . a / c summer ( true ) could problem . front entrance awkward 3 stairs sidewalk . Canada 's accessibility law anything like , assume accommodate wheel back entrance , charmingly cobblestone slightly touristy Rue St. Paul . way , noise complaint right . rename street Rue Bourbon ; crunke loud , even cold November weeknight . window old hotel keep weather , shout singing . easy solution : request room front building ( port view ) , much quieter . option , happen renovation work side , ear plugs remember travel kit enough get back sleep . nighttime reveler aside , enjoy location . chinatown restaurant Champ - de - Mars Metro station 5 - minute walk , although inclement weather . montreal proper city , cab ( rent - a - bike , would seem ) practically every corner . 
 Nov 14 2009 	 Disappointing experience 	 usually stay downtown Montreal , thought would try Old Port area variety 's sake choose Auberge du Vieux - Port seem like nice place good value . select ' deluxe loft ' suite locate main building , roughly five minute walk hotel . seem chic charming website much less reality . build beautiful old stone building , great look outside . inside , access suite via staircase - three flight . elevator , forewarned lot bag , heavy bag , difficulty walk . hallway suite also serve suites house hotel guest . hear family come go scream hall odd hour . suite large , decent great furnishing condition well expectation . maintenance poor , evidence shoddy construction upkeep . wall also quite thin , sleep portion loft hang hallway , quite easy hear everybody coming go . another problem design unit . specifically bathroom main level sleep loft upstairs use bathroom night must navigate staircase dark . dangerous , opinion . another problem relate temperature control suite . short , ability control temperature . thermostat , turn accord hotel temperature regulate ' build ' level , individual suite level . happen quite warm , window inoperable way cool . also problematic huge industrial air duct locate directly bed loud , shut , blow warm air 24/7 . loud literally impossible sleep . combine warm temperature suite create situation walk main building 2:30am ask hotel management could change room . management accommodate , 3 am leave suite bag regular room main building . regular room much well , consistent expect . summary , would avoid high price suite stay main building . experience ' m sure would return . also internet connection room unreliable service spotty . 
 Nov 12 2009 	 love place ! 	 hotel charming ! grand way spend time Montreal . room spacious comfortable . staff warm hospitable . computer use lobby . surround area lovely walk touring . rate include breakfast cheese wine early evening ! look forward stay ! 
 Nov 5 2009 	 excellent place stay 	 visit Montreal five day business stay one loft Rue St Paul . fantastic location , nice bar / restaurant picturesque street . hotel staff friendly help every possible way , include get colleague ticket sell ice hockey match . breakfast , additional charge , incredibly reasonably price ( $ 10 ) plentiful ( help nothing open 11 am ! ! ) . part stay use gym facility one nearby sister hotel one great benefit loft ; feel like apartment use facility hotel . get great deal ; great time would stay business pleasure . 
 Oct 25 2009 	 can not ask anything well ! 	 stay room 201 3 night honeymoon . auberge locate old city , far train station ( arrive Montreal ) . greet warmly desk attendant doorman . able check easily doorman help we luggage room . the room absolutely beautiful . expose rock wall wooden beam , two enormous window look onto park St. Lawrence river ( tell hotel offer view ) . really , everything picture promise . large mini - bar available robe slipper well . from 5 - 7pm offer free wine cheese guest , take advantage day . bar / restaurant outfit dark wood dark wall set nice mood . breakfast ! guest lead basement , expose rock wall , treat continental hot breakfast . munched croissant chocolate muffin fruit crepe egg arrive . blow away generous meal staff friendly , polite try bad french they . the auberge close museum , restaurant art market . not think anything negative say hotel experience . give room 4/5 wish bathtub instead shower . even toiletry great ( provide spa hotel also own ) . definitely plan go back Montreal stay hotel next year . 
 Oct 15 2009 	 ` ` Old World '' without Charm 	 staff helpful , friendly accommodating . way , let us clear loft ( # 704 ) charming . old , date , building lack maintenance upkeep . leather couch , hardwood floor , nice potted plant retro painting wall hide ceramic tile fall bathroom wall , crack counter , toilet continuously run ( mention thing ) . add , hear dog bark day night , loud footstep head , party street hour , constant garbage truck , street cleaner ... get picture may place romantic , charming , quiet night ( ) look . course , young heart love stay frat house , might enjoy # 704 loft . return . pay 1 hour uninterrupted sleep abit steep ! 
 Oct 11 2009 	 Wished could stay long ! 	 love hotel Old Montreal . room excellent , breakfast good good service staff . free internet access . valet parking bit pricey worth parking available near hotel . near lot excellent touristy restaurant . pity rain spoil stay Montreal . 
 Oct 8 2009 	 find discount price would not bother stay anywhere else 	 2 bedroom apartment- friend bail whole place ourselves- however layout would easy share . timeshare like , bathroom date , overall apartment charming . comfy bed , lot window , 2 tv 's free internet . see open door , neighbor 's place decorate even well . apartment mean pool , spa etc , believe stay main hotel may get service . breakfast available price . great location walk everything . multiple theater , restaurant , Chinatown Port area . square nearby touristy not eat ( seem pricey average - think Little Italy , nyc ) maybe shame we try . Service / Staff great . night porter take car valet walk us apartment arrive 4:30 . friendly courteous . 
 Oct 7 2009 	 hope ! ! ! 	 great get away husband reward close huge project work . beautiful setting , walk distance old town Montreal Metro go far . staff great , go way make stay perfect . great breakfast every morning make even relaxing , give time plan day . can not wait go back . 
 Sep 19 2009 	 Perfect ! 	 boyfriend stay loft ( 713 - luxury loft ) 4 night . good accomdation ever ! room beautiful romantic . good part hotel breakfast morning . definately worth get morning ( stay loft need pay 10 dollar breakfast ..... include stay hotel ) 10 dollar definately worth ! Julie Michael ( conceirge ) excellent ! every morning would ask help we plan day ..... know local hang out ....... even ask help we call reserve table two restaurant need day advance reservation ( au pie du cochon ) ..... able get we table two celebrate anniversary . excellent service ....... reminder hotel loft elevator okay fact day sightseeing will climb stair . overall great experience ! ! ! ! 
