great 	 spend 3 night hotel November 2008 refurbishment provide feedback site hotel contact assure problem rectifice agree stay visit year . true word problem sort return fabulous 4 night stay hotel . room excellent view Empire State Building , clean spacious door staff extremely helfpul , pleasant informative especially Tarek . I defintely stay future . 
 amazing hotel ! 	 Affinia amazing hotel stay whilst trip Big Apple . centrally locate , yet far enough hussle bussle . be far Grand central station ( attraction self ! ) get tube train easy . also Chrysler building doorstep . room could see Empire State lovely surprise . the room beatifully decorate , feel luxuary . bed ... wow bed ! ! comfortable , much look forward get end busy day .. pillow also good . bathroom also gorgeous ( seem odd say ! ) clean . housekeeping keep room immaculate , not see spot dust . bed change make every day . room service - poor not bother . food yuck - like cook 3 hour previously sit hot plate waiting bring , also expensive worth . instead go Scottys cafe open 24hours day locate short walk hotel ( go main enterance take right , cross road look leave will see , blue yellow ) . location ideal , short walk sight . walk hotel normal tourist site central park , Rockafeller . Empire State cool , yet Chrylser building Rockafeller building give amazing view Empire . empire build nightmare quee ! ! queue get , queue get security , queue get lift 80th floor , queue get another lift 86th ( observation ) get queue get . think spend 3 hour total queuing leave plenty time ! ! also Staute Liberty - make sure pre reserve go observation deck ( 2 week advance ) want go crown need reserve least 2 MONTHS advance ! also make sure cruise Hudson world yacht - amazing food amazing view ! hotel really good value money chic , classy brilliantly locate truely unforgettable experience ! 
 13 night Shelburne ... want leave ! ! 	 get back 2 week stay Affinia Shelburne . take husband New York surprise 50th birthday want more . stay queen suite 15th floor fantastic view Empire State Bldg New York skyline . fantastic balcony ( proper sized balcony , sit drink sunset watch city 's colour change ) heaven ! ! room spotless staff helpful especially Jada front desk jolly doorman ! ! location fantastic . New York 3 time far good location . safe walk around night problem walk fact everywhere New York with . even though Rooftop bar close go look view breathtaking . memorable birthday back next year stay Shelburne ! ! 
 everything expected 	 stay Shelburne 12 night good friend 50th birthday . picky real clean freak . have book standard room upgrade 15th floor suite ( balcony ! ) arrival . fabulous experience . hotel modern , clean quiet , plus great location . staff deal helpful , kind friendly - concierge houskeeping . great kitchen , load space include huge closet , bathroom lovely . spend age internet look reasonably price hotel NYC tick box - Shelburne . would stay recommend everyone . fabulous girlie birthday holiday NYC - thanks large part Shelburne . 
 lovely NYC experience 	 daughter stay Affinia Shelburne two night Thanksgiving Holiday . prior stay read trip advisor review want make sure could get room 2 bed . contact hotel directly tell request could make guarantee . notice assistant general manager respond trip advisor review decide contact request directly . e - mail answer day please guarantee room two bed . upon arrival greet extremely friendly doorman follow one pleasant reception clerk ever meet . wonderful treatment continue entire stay include every single person come contact ( housekeeping , maintenance staff hall , bellman , check ) . find extraordinary . travel NY many time meet friendly people every single person . room clean , bed comfortable nice workspace . restaurant next door ( get without go outside ) yummy breakfast . plus excellent location . would hesitate stay . 
 business model seem base generate repeat customer ... 	 fact : Booked Priceline reasonable price . greet front desk friendly helpful . notice small grafitti wall upon exit elevator floor . long something like wall 3.5 star hotel ? bad oman think . that nothing compare TOILET BRUSH , ( hopefully fall maintenance cart ) , hallway outside room . informed front desk take time remove , guess not bother . long would something like hallway 3.5 star hotel ? enter room use shower . exit shower happen look ceiling notice large 16 & quot ; pizza size miss piece plaster bed , loose material still attach . would real 3.5 star property room service ? think not . first call mention hole meet bad already shower use room approach . later call make front desk switch different room . . 30 minute initial TOILET BRUSH HALLWAY mention . Brush remove employee bring new room key . later mention problem Priceline meet denial Hotel . ( photo hole bed denial seem poor strategy . bottom line : not bid 3.5 star Priceline MTE may end here . the hotel seem mostly fill tour overseas one time Priceline buyer . stay away 
 Nov 25 2009 	 Excellent Deal Location 	 spend weekend partner birthday say GREAT CHOICE . location , room , good price great . great view Empire State building well . room service bit expensive great service . also cost internet ( $ 14 US ) - big drawback slow internet response . plus include walking distance , block train . front desk staff also excellent , attentive , always big smile . would stay . 
 Nov 21 2009 	 HIGHLY recommend 	 Excellent hotel close Grand central station , Times Square etc ... room modern clean good size Manhattan . go 16th floor see Empire State Chrysler building night . also , not hear much traffic night really good Manhattan . I would definitely stay next time New York . 
 Nov 19 2009 	 Fab - u - lous ! 	 travel buddy look last minute fun NYC . suggestion Trip Advisor , call Magellan Vacations , advertise specialize luxury hotel . Sandra recommend Shelburne . nice , clean , quiet , great linen , comfortable bed , Aveda bath amenity . request double double view Empire State Building . one available , upgrade we suite instead ! restaurant rare good . get room service burger fry , amazing ! 
 Nov 19 2009 	 modern spacious - great hotel 	 wife , teenage daughter spend 5 night hotel could please room service provide . room clean , spacious main bedroom supplement fold bed kid large comfortable . similarly kitchenette bathroom offer space anticipate time feel lack space issue . location excellent , 5 minute walk Grand central station view 13th floor room balcony Empire State Chrysler Buildings . little noise street night generally relax environment . plenty good deli / eatery nearby . the staff efficient courteous - internet wifi access expensive complaint especially many hotel offer free wifi register guest . however price clearly state intention dupe guest use service . do not eat b / fast hotel & quot ; Rare grill / bar & quot ; ground floor offer good menu although slightly pricey ( beer $ 8 , wine $ 10 / glass ) although clearly list one can not complain . overall hotel offer good value money would definitely stay . 
 Nov 18 2009 	 Excellent ! 	 first time visitor new york spend age research hotel . get hotel pretty cheap internet rate main reason choose . think good base explore nyc , clean , really modern decor like rare burger ! think receptionist ok , seem arrive busy time . just one minor complaint , not like hot room get , phone front desk think aircon broken inform we cold outside aircon run neutral , however , not think cold outside room definately average temperature . 
 Nov 18 2009 	 terrible hotel ! ! ! ! ! 	 believe hotel high review . they charge internet $ 14 per day . front desk wrongly spell last name , log internet long time . call need wait long time reply . finally go front desk ask why . my room dark close traffic , night , could still hear noise outside . also , wall make odd noise night , creepy . important nobody tell phone free . even call customer service ask call outside , remind call go charge local long distance different . spend 30 min , charge $ 80 ! ! ! offer coffee maker require . this hotel nightmare live service bad expensive ! ! ! 
 Nov 17 2009 	 Fantastic ! 	 stay hotel August 2009 Sister teenage daughter . fantastic location upgrade one bed apartment sofa bed 2 bedroomed apartment sofa bed lounge two bathroom bedroom . can not recommend hotel enough - staff fantastic , would definately go back . 
 Nov 8 2009 	 good location east side 	 quiet , comfortable room . lobby really , really busy . staff give we great recommendation dinner breakfast , also help we direction . room quiet fancy , comfortable . breakfast area attach nice , complimentary coffee guest . would stay like Affinia Gardens well . INTERNET EXPENSIVE . good hotel complimentary internet access . 
 Nov 7 2009 	 check reservation hotel leave home 	 book trip Travelocity August year . call hotel September confirm room everything fine . arrive hotel , tell long room . husband shocked explain confirmed hotel . hotel state notify Travelocity problem one get contact we . hotel work something we wait 6 pm night get suite . suggestion book hotel , confirm hotel get name person speak . lot thing go NYC weekend think book hotel . room ok , could clean little well . Lobby smell decorate weird . chair uncomfortable sit . Doorman helpful . bad get room , stay someplace else next time . 
 Nov 7 2009 	 would highly recommend hotel anyone ! 	 wonderful room , great service great location could want . want go back ! ! 
 Nov 5 2009 	 Great Place 	 confess dubious hotel , review correct -- -it great place . way Murray Hill , close many site yet maintain good tranquility . would stay ? recommend ? yes ! 
