pricy 	 forget many time ' hotel . location convenient we . this peaceful hotel ; ' big busy , however well locate restaurant , bar , disco , shop etc . like Sheraton Hotel room refurbish , clean cozy . overall service staff decent , great , due language barrier ' fully bilingual . staff member would require refresher course customer relationship . overnight interior self - serve parking $ 20.00 , park nearby exterior parking lot less $ 10.00 . food quality price venture local restaurant vicinity , choice variety remarkable . M & amp ; L , Ottawa 
 Nov 25 2009 	 great hotel location ! 	 Starwood Preferred Guest Gold Member , upgrade available check - in . however , provide complimentary access Club Lounge . upon enter lounge , give hotel room number , attendant call front desk advise eligible . rather embarrassing ! 
 Nov 23 2009 	 great location - sloppy maintenance 	 hotel great location , central everything . room amazing view mountain , bed comfortable . however , room , despite apparently recently update , look tired . weird decor & amp ; color combination , carpet feel nasty ( rough ) underfoot , well ugly . renovation , get money back . mini - fridge room . housekeep sloppy erratic - one day , wet towel leave side tub . another day , towel dust rag leave room . ice bucket ( full melt ice morning ) empty two day . sometimes get new tea bag , day not get new tea bag . someone else 's room service cart leftover food leave sit outside room day . pop machine floor order day arrive , fix leave , 7 day later ..... front desk folk helpful friendly , impressed overall maintenance housekeeping . food hotel generally good , one day serve Montreal bagel conference - yesterday 's bagel stale / hard . local Montreal folk mortify . consider much everything cost hotel , would think could get fresh bagel morning . meeting room nice - good hotel conference , would likely stay not conference hotel . 
 Nov 20 2009 	 Decent weekend Sheraton 	 husband stay 9 month old weekend . use Starwood point stay booked room club floor . day stay , get email offer upgrade suite $ 20.00 / night , course take advantage . travel baby , space well . get really nice suite club floor . basically 2 room open door . one room set bedroom living room . club lounge amazing view city nice place start day breakfast unwind drink snack long day sightseeing . breakfast fine - typical thing would find continental breakfast buffet . night , though , good selection food - mozzarella stick stay long , stale , odd choice . free , complain ? ! alcoholic drink , however , free , expect pay typical hotel price . location good , right middle everything Downtown area . order room service , exactly would expect room service , disappointing . all , good stay complaint , would definitely stay . 
 Nov 10 2009 	 great renovation 	 live south canadian border Upstate New York , wife time time go Montreal nice getaway . year ago , Expos , start stay Sheraton visit baseball team stay . year pass , happend stay hotel , sometimes site conference attend . kind forgot Sheraton . notice drive hotel lobby redone go inside take look . last week , go dinner Montreal stay night . decide stay Sheraton glad . do wonderful job renovate hotel , particularly lobby . front hotel Rue Rene Levesque glass side first two story . previous arrangement , guest get experience spectacular could . bar tuck side windowless area . move front lobby . anyone sit bar table sofas throughout area treat . wife drink finger food sit sofa people watch pedestrian go . table wing - back chair also pleasant ( nightcap dinner . ) lest concentrate much lobby bar , entire hotel spiffe . room good size since member Starwood Preferre Guest program , place separate floor . not precisely affect room amenity , room nice . Sheraton always great location , close everything downtown yet way hub bub St. Catherine Street . Bonaventure ( Hilton ) Chateau Champlain ( Marriott ) lovely hotel slightly way short incline downtown . Sheraton , think would worth check change , particularly get good rate . 
 Nov 8 2009 	 Excellent weekend getaway 	 Thanksgiving weekend , decide last minute head Montreal , think would try Centre Sheraton . ' ve , though hear whole hotel recently renovate look forward see ( newly ) offer . surprised , expectation surpass . 's breakdown stay : Parking check : check quick , efficient , front desk worker efficient friendly . ' ve stay many hotel Montreal , say one good value ( 20 $ ) parking cost , central location , impressed . room : book Deluxe room put one top SPG floor . deluxe room probably 10 $ standard room , full sized couch ( also pull - out ) think worth . website still picture entire hotel renovate , room large , comfortable bed , LCD television , interesting wire set could connect medium laptop directly tv , well usb connector ( able charge iPod cord without need adapter plug wall ) pretty sure room would come mp3 dock , apparently be Club room ( ) . bathroom also nicely update ! see pool gym briefly , though not use . look decent , though . definitely would recommend stay Centre Sheraton great value , be right NEXT Bell Centre 's game concert want check . will glad ! 
 Nov 7 2009 	 great location service value 	 someone spend five year live Montreal , know need trip . look online find hotel great deal ! $ 120 CAD night , include taxis . can not go wrong . hotel centrally locate , easy walk train station . head hockey game , hotel across STREET . great hotel , really really quiet . can not say use amenity hotel , even service per se , great stay around . HIGHLY RECOMMENDED . 
 Nov 7 2009 	 Perfect place nice weekend town 	 nice staff , helpfull planing weekend ( museum activity little one ) . food bit pricy many good restaurant around . room perfect . pool - sauna area really nice quiet . 
 Oct 30 2009 	 amazing hotel amazing customer service ... 	 arrive morning able check without trouble . excellent customer service attend almost instantly walk turn - about entrance . we receive corner room face west , view Mont - Royal . room clean comfortable large LCD tv . hotel within walk distance metro station within walk distance great nightlife shopping . 
 Oct 26 2009 	 great Stay .... 	 good location , good staff , nice room restaurant hotel evening meal child . child direct & quot ; family & quot ; area three small table , basically lobby . would stay know . course , room service available . 
 Oct 26 2009 	 great hotel great location . 	 nice hotel heart downtown Montreal . ' ve stay pretty much four star property downtown area ( Fairmont , Marriott Chateau Champlain , etc ) think one nice . be connect directly metro like Fairmont , Hilton Marriott great location convenient nightlife , restaurant , St. Catherine 's , etc . room though can not beat . ' ve recently update , great furnishing , huge LCD tv , giant granite slate bathroom comfortable bed will sleep hotel . room clean , staff friendly helpful . parking conveniently hotel average price ( $ 20 CAD ) . not try restaurant bar look nice . think may new go - to place Montreal . 
