Dog 	 good Western Mornington average hotel - stay allow dog stay Best Western 's tend pet friendly travel large dog , know rely Best western . location good - near 2 tube stop 5 minute walk Hyde Park , also good dog . parking , easy find street parking . room small , even London standard look like need bit clean / refurbish . internet awful . could get work computer notice several people problem - staff could help . overall , hotel average . expensive since regular visitor London , fine we . look somewhere safe clean spend night , fine . look luxury new London , try somewhere else . 
 Oct 5 2009 	 Good 	 Hotel not even come Travel Lodge standard . why would want laminate flooring bedroom , put rug ? ! dangerous thought . the shower fixing hang wall flood whole bathroom . the wardrobe ! whole new experience I . not even Travel Lodge standard , would never recommend hotel . 
 Sep 19 2009 	 convenient location generally good value 	 Mornington Hotel centrally locate , handy Hyde Park Lancaster Gate tube station , within walking distance Marble Arch end Oxford Street . frontage hotel impressive , particularly since hotel adjoin empty , run - down building . however , walk front door restore confidence . reception area pleasant , rather dreary abundance dark wood . check - in efficient take small , modern lift fifth floor . the room decent sized single , reasonably cheerful decor adequately furnish ( rough edge ) . outside noise could hear room , excessive London . room facility include tea coffee make facility closet , large floor - stand fan , old tv range satellite channel ( not work ) . carpet noticeably stain / soil infront bathroom door really replace . particular annoyance read lamp mount far low wall bed - easy hit head bed . one pillow provide bed extra pillow room . however , request additional pillow soap ( miss ) reception , item deliver promptly . single bed reasonably comfortable seem slope slightly across width , sleep feel bit like cling ledge . room warm night not sleep well . the ensuite bathroom nicely finish white suite include bath ( though quite full - sized ) . unusual feature bathroom ( hotel room ) window . immediate hot water available . negative side , towel rather rough little way soap / gel / shampoo provide . breakfast include room rate available basement dining room . walk breakfast room , seem little chaotic , nobody greet even serve tea / coffee toast . breakfast completely self - service . mainly cold option available , choice seem adequate fresh fruit yogurt absolutely delicious . however , whole , find breakfast satisfy relax experience . this fairly good central London hotel ( reservation ) B & amp ; b price £ 62 pay booking.com , consider good value money . 
 Sep 9 2009 	 somewhere would choose stay ! 	 stay work lot availability since last minute . location good arrival look pretty good . get room . 3 start hotel room basic . 's mention step room bathroom ( reason ) stub foot trip every time go bathroom . air conditioning fan could give we keep window open make noisy time , especially room overlook local pub . floor carpet noisy creak every time move , great . the bar tiny limited selection drink feel like interrupt conversation bar staff boyfriend dare ask drink ! ! breakfast next morning good ! breakfast room quiet laminate flooring , really noisy walk fro buffet table , could really background music . fruit salad tin , bacon ! ! ! tomatoes hot buffet container completely raw ! ! say sausage odd ! definitely bad breakfast experience ever ! sorry will not back ! 
 Sep 8 2009 	 Great Breakfast 	 visit mornington 2003 could not write date stay correctly . hotel really fine , location nice , next hyde park . one thing remember good breakfast really awesome . room also clean enough , little bit dust bed important bathroom clean . would recommend friend , although bit expencive . 
 Aug 10 2009 	 extactly want 	 visit London ( UK general ) business regularily , privilege stay high end hotels client 's expense . case however , want treat 14 - year - old daughter 3 - day London trip , first time . father - daughter quality time trip , expectation high budget low thus spend lot time check various hotel three - star range TripAdvisor - shock massive amount unfavourable review segment ! Mornington list SAS hotel booking site , end seem least unfavourable review among many , good price . stay best western hotel many time , choose it . you say lot price hotel room London , expensive 's . also say lot tiny room , labyrinth corridor , lack air conditioning maybe so - so housekeeping , budget town - house hotel London , crave traveller need realize . Mornington give we exactly look . reasonable rate , convenient location - send message hotel ask smoking room , also room next daughter - course need non - smoking . much surprise , get make happy . room small desk could hook free wireless network relax daughter go bed , bathroom clean equipped necesssary basic . bed fully adequate , reception beautiful classic british library / club style . daughter find spider bed , prove earth live planet . probably get open window . we choose rate without breakfast ; find much nice find local street cafe morning , look hustle bustle . hotel breakfast always over - price , wherever world . one small observation : evening reception staff smile welcoming , receptionist receive we arrival Tuesday afternoon business - like expressionless . small thing , welcome smile effortless make difference ! wonderful stay London , hesitate book hotel . 
 Jul 15 2009 	 Excellent Location Friendly Staff . extremly convenient travel everywhere . 	 enjoyed stay lovely hotel . Ideal Shopping London . great Breakfast . stay group friends- we good room except one .would definately return 
 Jul 5 2009 	 Hotel horrible state neglect : filthy carpet water damage uncare staff 	 first , live central Florida , already familiar tourist hotel accomdation . also live Europe past travel extensively overseas . never encounter hotel like one . believe Best Western would allow rental hotel room experience . room filthy disrepair go . pay $ 1247.67 5 night advance Expedia ( average $ 249.53 per night ) . could get money back Expedia Best Western Mornington hotel discover bad room . complaint : • water damage . tile wall shower head crack water allow leak wall . obviously allow go time side , wall baseboard distort . portion bottom wall collapse inward previous water damage mildew present . since wire wall , leak shower represent fire hazard well . • filthy carpeting . carpet , dirty rip , tear , excessive staining bad not want walk carpet without shoe . never stay best western hotel carpeting severe state neglect . • uncomfortable bed . bed like sleep rock . put sheet mattress – pad underneath sheet . see padding available , make put bed . however , ridiculous would even ask mattress pad put bed ! even put pad , housekeeping staff wrap bottom sheet around pad lay bed . , rest mattress expose . bed - skirt around 3 bed , bottom bed completely expose . unattractive unprofessional . even put mattress pad , sleep top blanket - sheet combo top sheet provide . use bedspread like sheet . • uncomfortably hot room . Europe air conditioning . one small fan provide split level room . room one window little air circulation . go purchase oscillate fan expense £ 19.99 ( $ 35.98 ) .• breakfast . arrive , tell rate pay include breakfast . ' good western hotel yet ' allow we eat continental breakfast free . charge £ 10 ( English Pounds ) = ( $ 16 ) per person breakfast . hotel charge pay cheap mean . complain condition bed , staff front desk ask complain first day room . arrive Tuesday later afternoon . complain Wednesday morning . , implication inform displeasure timely enough manner inexcusable . know beds comfortable sleep ? lady front desk act fault room unacceptable . start tell filthiness room , say , " many complaint room , write give manager . " entire attitude uninterested hearing wrong room go fix anything ' . houskeeping supervisor look around room point water damage mildew , along dirty carpeting . reply " room one slate renovation , " " would try clean you . " tell ' know plan clean ground dirt stain carpet single round housekeeping since take year accumulate amount dirt carpet go fix mildew crumble wall . housekeeping supervisor state could move we different room wooden floor ( parkay ) , attempt really make . instead , vacuum room , vacuum clean track mark , much change filthiness carpeting . ' believe good room good Western offer we even rent room ! disgusting ! would expect hotel slum area , certainly 3 - star hotel certainly Best Western . complain corporate office upon return United States , Best Western Mornington insult we offer reimburse we paltry £ 50 ( $ 90 ) everything experience , complain offer insult , Best western corporate offer send $ 100 gift card redeemable stay Best western . way ! never ! know best western corporate treat complain hotel , stay away . 
 Jul 3 2009 	 worst hotel ' VE EVER STOPPED 	 truly awful hotel opinion . I will summarise main issues:1 - small rooms2- damp sheets3- poorly secure door4- bar sell couple bottle beer ( tiny ) 5- cold , part cook breakfast6- small breakfast area limit seating6- mould bathroom7- secure luggage room unlockedI ' ve stop world hovel believe take biscuit . would stronly urgen pay quid stop corus hotel across road ... 
 Jun 19 2009 	 Disgusting Best Western . dirty Carpets wear tiny room 	 hotel lobby look nice give impression fine hotel . staff polite everything look good . walk past lobby . carpet wear , dirty old . book 2 room room wear dirty carpet . room horrible stain carpet . room small . hotel worth £ 135 per room ! breakfast disappointing . BACON ! poor silly little sausage look like something Iceland 50 99p . overcooked poor . yet best western website state full extensive english breakfast ! bad hotel stay incredibly poor Best western ! [ -- ] 
 Mar 28 2009 	 Nice hotel good location 	 month spend 3 night Mornington enjoy stay . bathroom nice clean room appeared paint long ago . ( not like carpet floor , though .... ) breakfast ( buffet ) good . ( plus bread fresh orange juice . ) hotel locate Bayswater area subway station Lancaster Gate 2 - 3 minute walk away hotel . thus easy get place city . Paddington station 10 minute walk away hotel since Heathrow Express go directly Paddington access hotel easy . also enjoy Hyde Park close . nice little walk park evening good way calm busy sightseeing day . 
