great 	 stay hotel 3 night friend . incredible . staff amazing , room beautiful , breakfast lovely get special offer quite reasonable cost wise . like everywhere else San Francisco , climb uphill bit get , really good location centre city . 
 Nov 26 2009 	 Gem Hotel 	 stay 3 night everything perfect . room spacious bed really comfortable . good bathroom - clean , well light bright , necessary amenity . Front desk staff friendly helpful service impeccable . minor problem tv problem sort within 15 minute . complimentary wireless internet work flawlessly . location great - couple block Union Square lot eat place shop . will definitely stay next trip San Francisco . 
 Nov 24 2009 	 Beautiful Eco Friendly Hotel 	 can not say enough good thing Orchard . everything beautiful . green hotel locate bottom Nob Hill . Loved every minute . flawless service . excellent restaurant right near Chinatown . definitely go back . 
 Nov 20 2009 	 peaceful clean hotel 	 husband recently stay Orchard Hotel visit San Francisco . stay numerous hotel S.F . year decide try Orchard Hotel great review read . room clean spacious , bed comfortable . although hotel two block heart Union Square hotel quiet respite away noise honk car cable car bell . hotel great value look forward stay . 
 Nov 20 2009 	 live expectation 	 charming eco - friendly hotel locate excellent spot easily acessible Nob Hill / China town / Financial District / Union sq exceptionally comfortable room service . 
 Nov 20 2009 	 Meet expectation - will back ! 	 Orchard Hotel great - clean , well - appoint , good location , friendly staff , decent price comparison . second visit ( first year ago ) will definitely back next year annual mother - daughter trip SF . detail particular order : - hotel 20 minute BART ride SF airport quick 5 minute cab ride Powell ( mean ... hill near hotel much steep pull luggage ) . not make mistake take cable car hotel line long ride crowd , especially luggage ( ride cable car least trip ... 's fun ) .- 's smallish hotel , check - in quick easy.- Space premium SF , provide two oversized twin ( & quot ; three - quarter & quot ; ) bed double room instead two full- queen - sized bed . honestly not notice much difference comfortable still quite roomy . - give one wheelchair accessible room , pro ( well view city large room corner ) one con ( awkward hand - hold shower low water pressure ) . - unlike first visit , difficulty set free wi - fi time around , somewhat lengthy involved call help desk get we run . - not order room service eat lovely - look restaurant , decent enough restaurant within walk distance Chinatown Financial District.-The hotel not vend machine , slightly overprice neighborhood convenience store half block away crave snack ( minibar room lock didi not request key ) .- last night , guest ( ) start smoke somewhere near room ( be non - smoking hotel ) , smell come room vent . guess guest also notice call complain , front desk say aware problem security working catch whoever . definitely mar otherwise nice stay , smell dissipate within hour able fall back asleep.- doorman super friendly helpful , give good restaurant recommendation , get cab we , help luggage , etc.- Cabs sometimes confuse Orchard Hotel Orchard Garden Hotel , sure know address intersection . 's . happy Travels ! 
 Nov 19 2009 	 excellent value hotel excellent location . 	 stay Orchard Hotel three night . hotel clean , well - maintain , safe convenient location . stay king deluxe room . two light traveler , room spacious include necessary amenity . could ask . hotel well - manage deliver balanced experience guest . 
 Nov 14 2009 	 good location - nice room 	 stay Orchard Hotel 3 night August ( read review TA ) . disappointed . room spacious great bathroom . stay one top floor windy / draughty hallway outside room . wind blow sound cold hallway ! location convenient , central quiet . always eat breakfast place corner Bush St. Powell St. Doormen friendly reception staff . 
 Nov 10 2009 	 Amazing Service 	 hotel lovely submit review amazing service hotel staff provide . Davis other staff member incredibly helpful friendly . Davis , doorman , go way give we direction easy follow save we time . entire staff display amazing geniune concern need make we feel special add wonderful experience visit SF.The hotel room exceed expectation . quiet , clean , comfy . the hotel location perfect . close everything noisy touristy locale . able walk absolutely everything . 
 Nov 9 2009 	 Quiet Good Location 	 Quiet , comfortable Beds , & amp ; clean . within walking distance Union Square China Town trolley stop right front . shower good valve wall water would practically burn freeze . Room Service slow unorganized , choose dinner restaurant . overall would stay . 
 Nov 6 2009 	 Excellant Hotel perfect location . 	 Orchard Hotel Bush St perfect hotel stay . staff friendly helpful . room , typical , good size , comfortable bed pillow , important . could walk heart city time . special mention concierge , , helpful friendly . would certainly stay hotel next time ' m San Francisco . 
 Nov 4 2009 	 great place perfect location - Hotel Perfeito 	 book hotel , ' imagine nice ... stay perfect . the front desk guy friendly nice , room spacious , clear pretty comfortable . the location perfect … block Chinatown , Central Square Dow Hill . many restaurant around , neighborhood pretty quiet , night even hear noise . I would go back . hotel muito bom , com quarto amplo , limpo e arejado , pessoal de recepção atencioso e educado . localização é singular , muito próximo dos principais pontos turísticos de São Francisco . Se voltar para lá , certamente ficarei hospedado neste hotel . 
 Oct 29 2009 	 beautiful hotel great location 	 Orchard Hotel exceed expectation . huge suite huge bathroom . bed soft comfy . Cable Car run right outside building , easy take scenic ride waterfront . 's also close buisness / shopping district , Chinatown North Beach ( Little Italy ) .I not realize left , hotel Kristin stay visit Steven Laguna Beach . little cheese bit trivia ! parking ( 's city ) valet car $ 40/24 hour , several parking garage right near , plenty choose . 
 Oct 28 2009 	 would stay anywhere else SF 	 second stay Orchard Hotel Bush St disappoint time , 2 year ago . the location fantastic , walk 5 min downhill Union Square , 5 min Chinatown , great walk ( 20 min ? ) Fisherman 's Wharf . the hotel small number room , ammenitie traveller need . room immaculate generous size . the king size bed comfortable , staff friendly helpful . we stay 3 night one time , travel north coast choose return Orchard last night San Francisco ; 's location price great compare hotel look last minute booking . we love San Francisco , plan return lot- honestly would even consider stay elsewhere ' ve happy Orchard Hotel . 
 Oct 24 2009 	 Comfortable Friendly Stay Pleasant Location 	 lovely boutique - type hotel 3 min Chinatown , Nob Hill right next Hyde - Powell cable car stop . 3 day business get upgrade suite ( room 301 ) . great space gargantuan bathroom . hotel staff wonderful , pleasant greeting door staff cleaner , really top notch . could not helpful . the hotel central one day , great start place walk Chinatown North Beach Fisherman 's Wharf . room clean , tidy , well decorate bed fantastic , could ' ve sneak room house , would . would definitely come back . 
 Oct 20 2009 	 great small hotel ; convenient location 	 stay Orchard Hotel week early October love . second visit hotel time staff friendly helpful ; room bed comfortable location convenient . the restaurant also nice -- meatloaf great ! not time breakfast day look nice enough . 
 Oct 20 2009 	 Experience hotel start badly deteriorate 	 book two day stay base TA review . arrival tell guest book room availability we , result arrange we stay one night Club Quarters would refund we cost one night 's stay compensation inconvenience . lot could do situation although fairly annoying choose Orchard proximity Union Square Club Quarters Financial District . upon check Club Quarters give tiny room queen bed , - apparently CQ room two bed claim . certainly small hotel room stay bathroom similarly minute . follow day around 2.30 pm duly turn Orchard check , tell room still make . eventually get room , wireless internet work . spend half hour talk wireless service provider without solution , find issue due room far wireless node strong enough signal detect laptop . time later another network set work . on check hotel , enquire refund first night 's stay going make booked travel web site pre - pay . tell refund would forthcoming book online . needless say less amuse renege word . also maid come barging room despite Disturb sign hung doorknob . want check minibar fridge say use anything leave , grumble away dialect . put issue aside , would say staff overly friendly , service ( little saw ) average , room , furnishing , tv bathroom date . will not bother future . 
 Oct 17 2009 	 first class service elegantly appoint maintain excellent dining . 	 Orchard Hotel favorite San Francisco . ' ve stay Park 55 , Hyatt , ANA , other find small property jewel stand major hotel . service first class , room elegantly maintain large SF property . bathroom spacious beautifully do marble contemporary fixture , etc . I frequently travel alone business dining experience provide attentive service excellent food . friendly wait staff alleviate awkwardness woman dine alone may feel . would recommend property business pleasure . connectivity need business , conveniently locate near Union Square within walk distance financial district , comfort relax vacation stay . 
