quite 	 stay 4 night Thanksgiving holiday slightly apprehensive base review . however , find Landmark almost perfect every regard . hotel beautiful , spotlessly clean , terrific public area lounge . unable check immediately flight arrive quite early , leave bag go explore London . upon return , room ready bag already deliver , kind reception staff member show we personally room . book low price , queen room , large ( swear bed large queen ) two armchair , desk , two large window overlook Marylebone Road , lovely bathroom nice amenity . issue road noise ( could barely hear odd ambulance go ) . service impeccable -- repeatedly order ice deliver within 5 minute every time . as location , bit beat track ; however , nice neighborhood number excellent restaurant within walking distance ( try Veyna excellent North Indian / Pakistani also marvelous experience ultra - sophisticated Orerry Marylebone High Street - also great shopping ) . convenience Tube station key , station also contain number food drink option coffee kiosk not want pay Landmark price . concierge service outstanding well . I book hotel via Expedia get good rate . give location , level service , beautiful public area excellent room , would highly recommend Landmark anyone travel London . 
 FANTASTIC ! ! ! EXCELENT HOTEL 	 come hotel back entrance , ( accross station ) staff carry bag reception , greate lovely receptionist . upgrade delux room executive room . our bag carry room we . place rack . staff EXCELENT thus hotel ! room fantastic ! big bath room fantastic ! breakfast hotel even super , staff bring amazing ! hotel fantasic , beautiful . and right accross station . I definatly return . Super hotel , super staff ! 
 Nov 25 2009 	 Everything perfection check - in room massage meal porter door man . perfection . 	 add shop gym customer could purchase work - out clothing , short , legging , shirt , hat , etc . 
 Nov 17 2009 	 breast feeding allow 	 wife stay two night 14/15 nov . 2009 ouir two daughter 3 month 2 year family room another friend help . I book they . the reception appal , check rude finger wave lift somewhere unknown they . no one else help sight . not great start . room expect , comfortable well sized family . Off go shopping . the next morning breakfast order take waiter ask wife stop breastfeeding.shocke embarassed ask manager . he stupidity offer private room feed could public area hotel . the option bring milk kitchen . we still wait appology , compensation . do bring small kid rude obviously not like natural thing world.to happen . 
 Nov 16 2009 	 fine hotel . service issue efficiently deal 	 book three room twin daughter 21st birthday party . book pod London Eye food wine . highly recommend , be another story . use Landmark several occasion . location excellent , directly opposite Marylebone Station . check efficient . room comfortable . porter slow deliver bag , duty manager chase complimentary bottle champagne help we enjoy wait .. disappointed tell bar would allow child ( 18:00 ) . meet guest move Eye wind big argument ( wife hide behind pillar pretend ) another manager charmingly offer set we drink large fire one lobby area , take wind sail . eat restaurant later , fine , breakfast next day . highly recommend , especially get deal room . check website . 
 Nov 15 2009 	 Great Service classic environment 	 stay one night upgrade check Junior suite ( executive room ) quite confusing website navigate marry different room type picture etc . , junior suite nice . hotel classic style although prefer modern style recent build hotel , not feel date desperate need renovation . ( note review complain CRT Televisions - horror flatscreen ! earth come great city London watch tv anyway ? lol ) dvd 's room handy kid . all staff come across really helpful pleasant . 's true free amenity would not kill hotel 's really thing would not make award 5 star . £ 300 night would prudent offer customer ; - free wi - fi room- free water - kettle tea / coffeeOtherwise Landmark great deal go ; great location great service . 
 Nov 14 2009 	 Landmark want attract people money sense . 	 landmark without doubt one good hotel London , afraid greed take . stay number year see drastic change . staff hotel get say nice , however reception staff . judgmental uninformative arrogance second none . comparison lovely staff greet we breakfast would think different hotel . stay room breakfast basis tell champagne would room . tell reception champagne supply offer say oh well can not ? ? however breakfast lovely would recommend . room book executive disappoint spacious clean . we drink barley hot drink could make due supply tea coffee make room . ask reception kettle available tell guest mind pay drink ! make feel uncomfortable ask iron bring room , advise usually guest let we iron . ask direction pool tell pool chargeable ask direction ! always respect money never let get catch world money nothing . Landmark want attract people money sense careful go far . shame beautiful hotel . 
 Nov 13 2009 	 beautiful old world classic ... ... 	 absolutely beautiful hotel . elegant ... great food ... incredible room size ... lousy internet . a bit far action . I would recommend business traveler . 
 Oct 25 2009 	 worth money ! ! 	 book hotel honeymoon great review assume would good due 5 star ... room nice , hotel beautiful apart half room not window outside inside courtyard , make pretty dark light day , good be claustrophobic ! main complaint WAY EXPENSIVE get = TEA COFFEE room - order room service pay like $ 7 cup even bottled water cost around $ 6 . basically pay everything breakfast ridiculously expensive , not go unless lot spare cash ... ! must well value hotel London surely ... come ... free tea coffee ? ? wouldv think give complimentary thing pay around $ 350 / night ! also tv really old small ... 's flat screen tv u find 2 * hotel day ? mean 5 * .... = S 
 Oct 24 2009 	 lovely hotel shame service 	 stay Landmark four time easy access live ( 20 mile London ) last experience plan return . occasion attend wedding nearby . firstly , arrive 10 am ask leave bag concierge . take time oblige . check get late check say course could . as reception road , husband return 5:30pm check wedding breakfast . return 7 pm , & quot ; lost & quot ; bag ( apparently never give , even though ticket ) room sub - standard rather high price . our friend stay Holiday Inn get well service . plan join next time . landmark beautiful previous experience great . shame one night change . 
 Oct 23 2009 	 top End Hotel 	 stay hotel one night mid - October . room sixth floor top floor consequence , room slope roof . however , room large sit area good sized desk / dressing table . may well put single top floor room small other ( gather colleague ) , two people would find adequate . bathroom huge , sink area , shower bath area toilet slightly separate one another . top class toiletry White Company plenty . room absolutely spotless nicely decorate . despite centre London , glaze window mean hear noise . would agree poster site thing room would really benefit would tea coffee making . all public area decorate high standard atrium stunning . food good service attentive . anything ' like ? well , ' time use pool spa understand £ 10 charge use pool . whatever hotel say , personally think ' unacceptable charge pay guest extra hotel facility . finally , despite 5 - star ( 5 - star doubt ) , stunning building , find rather soulless would rather somewhere atmosphere . 
 Oct 20 2009 	 work well . good value ( London ) 	 family room easily large enough 2 adult 2 child . breakfast excellent include family package . hotel immediately adjacent Marlebone underground station travel easy . would recommend hotel other travel child ( ) would stay . publicize , spa facility open child limited hour represent significant extra charge . consider join hotel 's club get free internet spa access . 
 Oct 18 2009 	 big room ! 	 stay weekend 2 child room , room really big ! hear noise outside , 's London . not expect country side like quietness , anyway . during stay , breakfast , afternoon tea dinner hotel quite good . not appreciate restaurant Lonon often get bad food , Landmark , food not bad . service good well . I one spa treatment refreshing . esthetician sweet . my problem location . think 's bit far place tourist want visit . 
