3 	 husband stay 3 night . location good . lobby probably 20 sqm . staff polite welcoming . the room : really really small . bathroom : really really small . bed : really really small soft 's 2 prepare cudle night long will sink midle . view . so , try another hotel . amount money shoreham cost will find hotel , also well locate ( well ) bed actually sleep . it take white wall funny lamp modern luxury hotel . would recommend . 
 Oct 21 2009 	 Left early would never go back . 	 hotel gross . room miniscule . switch room upgrade suite still feel like sleep night club / frat house . feel use , dirty cheap . leave immediately next day would never go back . 
 Oct 16 2009 	 Location Location Location 	 usually step safe zone travel . let explain , chain hotel give & quot ; safe & quot ; feel strange place . actually cancel safe hotel Shoreham . disappointed . convenient shopping , museum , food subway . shoreham interesting place . something different mostly good way . great staff lobby . pass complimentary drink checkin . elevator small room average NYC . bad . see small . massage chair great . shower temp pressure oh nice . bed comfortable . the strange . sink toilet close together reach sink flush . one instal think moment . hotel shower nozzle meet belly button . wtf major issue . convenient . grocery store right around corner avoid mini bar surprise checkout . subway block away . beware . hotel bill someone food drink bar first night . front promptly take . mistake happen . would definitely stay . wish part loyalty program . 
 Oct 12 2009 	 Feel cheat 	 first time NY suggestion AA vocation agent book 2 night , hotel centrally locate find anything place could justify amount money charge . lobby contemporary one person front desk dingy elevator room one hardly turn around without hit bump something Bathroom pit small minuscule steel basin ( one see tv prison ) carpet room not feel like step , yes bed pillow acceptable , Wifi horrible stay away place future 
 oct 8 2009 	 great location decent service reasonable amenity 	 hotel perfectly locate mid - town ; close Fifth avenue shopping , moca attraction . walk see thoguht mail center realize reception . lobby could use spruce one elevator work . room smallish efficient . center courtyard room look across someone apartment , bit odd . room overall nicely appoint , even though could use bit paint repair . restaurant actually quite good staff nice . good value location . lot foreign traveller ecclectic crowd ususal business hotel . 
 Sep 21 2009 	 pretty cool minute past prime set . 	 pretty cool , minute , past prime set . service great , might make , 3 night hotel , pretty much ignore . least not pay much room empty bar ( , although modern swanky ) serve moderately price drink ( NYC ) .best part room massage chair , Aveda product comfortable bed . otherwise , room pretty small bathroom totally sterile . moverover , metal sink shelf remind bit prison . flat screen tv standard high end hotel room , mine old Dell model take turn poor reception . note : free internet access 24 hr espresso . 
 Sep 8 2009 	 excellent spot get away ! 	 shoreham excellent pick . arrive front desk staff friendly offer choice water champagne ( choose latter ) . stay queen deluxe room massage chair . room clean comfortable . get reasonable price room airfare last minute package . ' m extremely happy chose option . would stay even though difficult find . 
 Aug 25 2009 	 make good bad situation 	 first time make effort write review hotel could pick well one start . decide surprise boyfriend overnight get - away New York find great deal overnight stay Shoreham . unbeknowst boyfrend hate city much suggest several time would take & quot ; L & quot ; cost hotel could head back Maryland . well decide would proceed trip get Hotel upon check offer either bottled water glass Champagne hotel representative checking inquires bring city tell surprise surprise really hate city smile make suggestion doubt would enjoy . make long story short go ot grab bite eat upon return hotel rep send complimentary bottle champagne strawberry room . regret get hotel rep name thank make sure name mention review . 
 Aug 6 2009 	 great location 	 second time stay Shoreham . flight arrive 6 am morning couple day arrival , email hotel ask chance early check - in . receive response day - promise hotel say would accomodate I . upon arrival , greet person respond email ( think manager ) . give room right away , upgrade standard room suite . stay 3 day go Washington , DC . return Shoreham another 3 - night stay get upgrade suite . I please hotel . room ( 3 time stay ) clean expresso machine ( lobby ) really come handy . I definitely stay hotel again . PS . supermarket around corner 55th Street Madison , 1/2 block hotel . 
 Aug 2 2009 	 Nice Hotel 	 great location good price nice , modern room . would definitely stay . 
 Jul 29 2009 	 Fun 	 stay Shoreham one night friend fun night NYC Saturday night . shoreham pretty hip type hotel , give nice extra like Complimentary 24 - hour cappuccino & amp ; espresso guest . put Penthouse Suite decent size room small balcony . ( overlook anything worth see ) hotel 's feel small , hip boutique . hotel good location subway 2 block way . nice safe area . bar restaurant though use . also gym premise notice computer lobby use . hotel clean , safe , well keep would definately recommend . 
 Jul 18 2009 	 Charming hotel good location ! 	 like single room since comfortable trendy . good food wine bar restaurant ! 
 Jun 1 2009 	 good location 	 Mid - town location good within easy walk distance Central Park , 5th Avenue various site plus number Subway station go afield . stay superior king room think pretty good size bother noise night . free tea coffee facility quite useful however not use bar restaurant can not comment . not find hotel staff particularly friendly helpful fairly efficient big deal . 
 May 22 2009 	 Great Accomodations Perfect Location . 	 friend end booking room Hotwire get shoreham great price . room small , compare chain hotel ' ve stay , past 3 trip NYC room , location service well worth pay ! wouldn't / could not upgrade we price pay Hotwire , room , 1 queen size bed , enough space 2 we able maneuver around luggage . room face back another building , not go New York get room view honestly , quiet room ' ve ever stay , NYC . hear obnoxious honk emergency siren , rarity New York . our first night , hot water shower , upon report front desk next day , remedied afternoon . simple clean room , stylish lobby lounge area great amenity ... would definitely stay ! 
 May 22 2009 	 Great Location small room 	 shoreham stylish hotel . room small really clean . 
 may 18 2009 	 Chic hotel pricey 	 stay Nov 2007 , 3 night . get suite sit area bedroom . accommodation excellent , bathroom ridiculously small . Desk service non - existent . place believe cater celebrity , want prompt attention , may need wear shade act like prima donna . otherwise , location great . well value money , stay uptown Upper West Side . 
 Apr 1 2009 	 Perfect Hotel 	 stay Shoreham Hotel 7 night say doubt hotel turn good choice accomodation New York good price ( comparison hotel neighborhood much expensive ) . hotel centrally locate 55th str ( surprisingly rather quiet street ) next moma , 5th avenue , Central Park close Rockefeller Center . also 2 nearby subway station . also many nearby cheap place quick good food ( self - service delicatessen bar etc ) decoration hotel 's lobby decoration room minimal stylish simplicity exaggeration . the room quiet large , extremely clean , 2 double extra - comfortable bed , nice simple bathroom , plasma tv radio / cd player . give complimentary glass champagne upon check - in , also everyday unlimited complimentary capuccino espresso day long , plus complimentary press everyday door ( New York Times & amp ; weekly TimeOut New York magazine ) . also free wifi / internet ( 2 pc available guest + printer ) . also gym never use . staff polite smile . upon check - out ( 12 noon ) luggage keep hour extra cost . come back hotel pick luggage , hotel staff immediately help we find taxi JFK airport . overall good hotel experience ! definitely recommend ! 
 Mar 25 2009 	 long not spend much time room place great 	 12 yr old son spend couple night weekend . room thursday literally small room , still queen size bed . pretty sure bathroom big bedroom . & quot ; window & quot ; look ventilation shaft . check fri morn ( commitment fri nite ) come back shoreham saturday . guess not busy , get free upgrade huge suite . staff helpful friendly . get room thru online deal ( $ 159 ) not expect good room , suite nice surprise . location ideal -- be right middle theatre / times square area 
 Jan 3 2009 	 Perfect location 	 upgrade Penthouse room , nice balcony , street noise , fantastic massage - armchair , two big flat screen .. fantastic experience . the hotel locate step away MoMa , block Rockfeller Center , strategic position visit ny . Aveda shampoo , nice staff , design element little lobby cherry cake . I really recommend hotel ! 
 Dec 19 2008 	 Price Surprize arrival 	 reserve Air France flight Paris - New York hotel lastminute.com . clear order need room two bed travel young son 14 . pay flight reservation : 2400 euro , cheap . arrive , attendant say never hear request pay 100 dollar four night , 400 dollar . how nice . the attendant say order hotel websight . so , never reserve Shoreham another website , like Expedia , like , Lastminute.com ( mistake ) .The hotel ok , nothing remarquable . Hervé Le Tellier 
 Nov 15 2008 	 Nice hotel - tiny room . 	 lovely hotel - contemporary chic . staff welcome service great . good buffet breakfast serve bar . location also great . room lovely .... small room even see hotel - even new york standard . could barely get end bed wardrobe ( like cupboard ) . really nice hotel - climb wall minute room . everything else great - be shopping / siteseee etc likely spend time room , be perfect . 
