nice 	 husband sepnd three day NYC friend 's wedding ; Millenium Hilton chose hotel wedding party guest . first . plus : hotel elegant well appoint ; stay junior suite 21st floor , view Manhattan WTC construction site , well Hudson river - can not beat ! compare average NYC room , Millenium Hilton spacious room ; even bathroom large . bed comfortable . for minus : construction WTC site go overnight interruption - first night sleep ! addition unbeliavable construction noise , fact hotel facade completely open expose wind - strong gust wind - feel like window break . , despite comfy bed , sleep . thsi really ruin experience .... another ( small ) issue restaurant close 2 5 pm , time frame even room service - arrive 1:45 refuse service . minor point go local eatery , hurry get somewhare time spare . also , concierge recommend nearby italain restaurant fact close ( least know concierge ! ) would recomme hotel people bother loud , constant noise throughout night ; would suggest wait major contruction WTC ( couple year ? ) 
 Excellent Stay 	 happy stay Millenium Hilton , especially since get $ 130 per night Priceline Thanksgiving weekend . since holiday weekend , noise really issue we although jackhammere hour Friday afternoon . go day , see people would upset . hotel try make thing right - even check room , offer we sound machine earplug . think current price probably reflect noise inconvenience . the location fine easy take subway anywhere . Cortlandt Station right front hotel . also walk across Brooklyn Bridge , nearby . lot go area not really matter NYC since easy get part town . the tv remote annoying . first thought need new battery , turn hold certain angle change channel . would nice would something . small nitpick , love stay would happy stay . 
 Nov 24 2009 	 never stay hotel 	 might sound bit extreme experience hote terribly . first time NY first time Hilton chain . arrive long trip , 24 hrs sleepless bf arrive early morning . frequent client status Hilton advice would arrive early . room still ready ... ask room high floor avoid ground zero noise say would mind wait bit long . travel NY work leave lobby give cell phone number advice room ready . ask information credit card . receptionist advice everything fine . pass 3 hrs never call let know anything . even sit front reception . ask news room . receptionist realize supposse call . try check ask another credit card cause bf 's credit card work . give 3 different credit card none work strange cause use around world ' ve never problem Hilton . even use ny pay everything . call bf ask try another credit card demand personally . they say way could check call bank front authorize charge bf go hotel . verify information website realize credit card profile wrong expiration date . advice front desk staff insist could try charge credit card demand check phyisically . finally call manager agree try charge credit card work . spend lot time try convince change expiration date . ask bag storage guy . one helped take bag room even see could handle pull two huge bag . guest lobby help take stuff elevator . boyfriend complain arrive hotel give voucher breakfast poor . service bar 3rd floor poor staff service . would even offer drink . slow . Menu bad , food quality bad poor . the room really nothing special , room service poor staff service ( say ? ) make bed change towel clear would even clean floor . ask couple thing room service like sewing kit small fridge drink one room could use due electronic inventory would understand ask . send water instead sew kit send someone take room fridge instead instal one we . I understand probably credit card work beyond hand customer service agent deal everyday way handle thing . totally careless would even look option solve thing suggestion refuse . give impression enough guest want waste energy keep customer . make feel unwanted . know gold customer bf do not even treat average guest would deserve treat . really would stay doubt would ever try hilton chain . 
 Nov 10 2009 	 great service cool room 	 hotel wonderful service cool large sized manhattan room . view bit surreal overlook gape hole groundzero . price per night steal city . bit way times square easy access part city . wonderful concierge bell hop service . would stay visit city . 
 Nov 8 2009 	 great location 	 Remote tv terrible everything else great . 20th floor overlook WTC construction - high enough noise . 
 Nov 7 2009 	 absolutely love even noise 	 honestly love hotel . room 30th floor spectacular view river Ground Zero . expect noise , bargain . luckily , earplug . spite into - the - evening construction noise , would stay heartbeat . can not beat location historic value , old New York Ground Zero . would not miss world . within easy walking distance Battery Park , Battery Park City , Wall Street , many thing . watch construction Ground Zero fascinating . entire area around Ground Zero atmosphere could felt every american experience . unique experience . 
 Nov 5 2009 	 clean convenient location good business travel choice 	 nice hotel business - relate trip Financial District surround area . everything clean , check - in staff friendly , location great subway entrance across street plenty tribeca restaurant within easy walk distance . ( check Blaue Gans something different . ) room rate high , be Manhattan . make sure not overcharge eat breakfast hotel - buffet price include coffee / juice choice hot entree menu , be well say want buffet rather one individual hot breakfast . would definitely stay . 
 Nov 1 2009 	 noisy 	 ' ve stay hotel time remember Hilton Diamond VIP . last visit give low fron face room noise WTC site bad .. could not sleep noise loud 10:00pm night . complain tell could move hotel full , ask speak manager eventually get move corner room service . so ne everything fine bit forward planning , could much nice stay 
 Oct 25 2009 	 stay deligthful : staff housekeeping restaurant lounge 	 stay Plaza Hotel part honeymoon set high expectation . visit NYC several time many year discover charm downtown , hotel , desire stay Midtown . stay Millinium past 2 october long weekend ( Thursday - Sunday ) highly recommend . noise issue either stay typically town 9:00 's wonderfully quiet night . ' ve always top - level service everyone past year seem many change , recognize several people make fist stay , second stay , enjoyable . stay Andrey front desk standout helping set initial reservation helpful make change . many review point , room large , even bathroom , view downtown , river , etc . remarkable . husband Hilton Honor member wifi free . we comfortable take subway quick ride Times Square , Central Park , Theaters , Met , etc . importantly we , hotel within walk distance tribeca long walk even short subway ride , span across island visit Soho , Village , Little Italy ( wonderful nighttime walk ) , Chinatown ( must Saturday morning ) . trip take nephew , firt visit NYC , could walk Battery Park traditional tour Lady Liberty Ellis Island . enjoy see , even run across , Brooklyn Bridge , stunning engineering accomplishment . previous trip use fitness center well maintain . pool . 21 year old nephew , dress night town we , go first floor lounge return back hotel dinner . bartender chat nephews upcoming life plan make good & quot ; ' m finally adult & quot ; experience . solidify nephew easy visit NYC people friendly . 
 Oct 25 2009 	 nice room good view good location 	 stay stopover - good location close subway . although construction go ground zero do not notice noise room ( high floor ) , make aware hotel note ( ahead booking ) .the breakfast good room clean modern . nice large LCD tv . 
 Oct 24 2009 	 Excellent stay Millenium Hilton 	 excellent stay Hilton Millenium . I stay 39th floor , overlook Hudson river WTC ground zero . the room large size NYC comfortable . large bathroom necessary amenity . room : large flat screen tv ; minibar ( automatically charge ) , coffee maker lavazza coffee , comfortable bed , internet ( ask checking , room ) , ottoman chair , work table . the hotel nice swimming pool , gym small sauna , get room key card . the hotel location convenient : lot thing walk distance . you walk financial centre , brookly bridge , city hall , SoHo , ... shopping ; century21 outlet next doors.public transport : different metro line pass next hotel . there PATH station train Newark NJ nextdoor . 
 Oct 21 2009 	 great hotel- noise us problem 	 great stay hotel . high level floor overlook WTC . Friday jackhammere something , annoy noisy . stop 6 pm never hear construction remainder stay . well appoint room . decent bathroom . lot thing night , go regular haunt West Village . easy subway access . I would stay . 
