affordable 	 stay Allegro Chicago 3 day thanksgiving break . book hotel priceline cheaply worried quality hotel . well , worry disappear soon walk hotel . large room family , spacious , clean , modern looking . hotel employee friendly housekeeping lady great job everyday ! ! impress control quality hotel low rate . recommend place travel family , significant other , etc . 
 great 	 minus hotel provide free morning coffee Kimpton hotel . great place stay theater rate say morning coffee . the robe room take long time ( hour ) great place . concierge excellent . 
 different side Chicago 	 want try little different hotel mega hotel Wacker Michigan Avenue area , via travelzoo , find excellent deal huge room Hotel Allegro . super location Theatre district , hotel boutique hotel upscale & quot ; neo & quot ; urban feel . funky decoration lobby , loud ( loud really ) new techno - type music , fast paced feel good service greet door . reason dinge service Restaurant 312 corner connect hotel bad service one day , otherwise bellman , desk people , housekeeper security great . trendy look lobby seat area , complimentary wine service early evening complimentary continental breakfast morning . hotel also lot old / historic charm recently undergo large scare upgrade . room well however . suite , great seat area 60 's style couch light fixture , inroom bar , flat panel HD tv ( not work great ) table sit one office work . bedroom large kind sized bed ( comfy ) , high end pillow , sheet mattress , huge armoire hd tv . bedroom view building , nothing special , great & quot ; blackout & quot ; blind . bath awesome giant , two person whirlpool tub . high end fixture , funky flooring decorate . different feel sure . great time friend would say fit top 5 Chicago hotel sure . thing would tell management -- -turn crazy euro - tech muszak ... exepecte see Hans Franz work lobby least skinny white guy dancing . 
 Nov 22 2009 	 great place stay 	 get back stay Hotel Allegro Chicago . town see Young Frankestein musical . allegro great location , right next Cadillac Palace theatre . room clean hotel staff friendly . would highly recommend hotel 
 Nov 15 2009 	 nice stay Hotel Allegro 	 wife stay Hotel Allegro long weekend couple week back think overall hotel nice worthy class review see . book PL although Allegro first choice , please . the hotel right next Palace Theater Chicago City Hall number service nearby short walk State Street . conveniently access Kennedy Expressway L , two block away Clark / Lake . self - parking $ 35 day ramp nearby ( $ 49 valet ) , save buck park Grant Park ( $ 29 ) walk six block . the lobby registration upstairs one floor street , plenty valet bell help street level . check , head room 8th floor , find double . decide Ozzie & amp ; harriet weekend , go back quickly change king without fuss . as post mention , room bit small side little like might find Europe . think room clean good use make space available not feel cramp . two small closet hang clothe three - drawer dresser . bed also comfortable . room northwestern corner building , sit corner Wells Randolph . western leg Loop L run Wells , really not much trouble noise street . possible complaint room mini - bar refrigerator , cycle almost constantly , audible & quot ; pop & quot ; condenser . we not avail hotel amenity stay . hotel bar look like would expect hotel bar , restaurant look like might possibly attract non - hotel guest clientele . overall , please stay would stay Hotel Allegro . 
 Nov 12 2009 	 great stay 	 Hotel Allegro super nice . every bit clean . lobby area open inviting . staff really friendly . love favorite movie name tag . concierge help we booking comedy show Second City explain we get . also wine reception 5 pm lobby cheese Wii . guess 's pet friendly hotel cause bowl everywhere picture dog everywhere . the room good size , also really clean . interesting wallpaper nice carpet . iPod dock bed iPod . bathroom small side still decent . free Wifi room always plus . fitness center good size clean . 3 treadmill eliptical . weight . tv room well . location good . close transportation also within walk distance lot . would definitely recommend hotel . the problem printer business center . try print boarding pass not work . know know printer Mac use pc not work . ' m sure will fix . restaurant hooked hotel never seem open either plenty dining option . 
 Nov 9 2009 	 great time plan go back 	 everyone helpful nice . absolute first time ever Chicago everyone show go get . tell stay away . let know eat see . room bit small expect whatever , use sleep . room clean , bathroom fancy . thing not like wedding stay ton people run around everywhere biggie . plan come back . 
 Nov 6 2009 	 Best Holiday ever 	 ever return Chicago , Hotel Allegro Place would like stay . very friendly & amp ; efficent staff . single complaint 10 night stay . 
 Nov 2 2009 	 ` ` 're worth ! '' 	 stay Allegro Hotel 4 night last October : well situated , nice quiet room perfectly clean , expensive room service ( food good ! ) , good value overall . recommend hotel people look nice good hotel downtown Chicago , far public transportation . allegro definitely special touch ... worth experience ! 
 Nov 2 2009 	 nice location funky - look hotel 	 Allegro hotel nicely locate Theater District easily walk many attraction nearby . service friendly , room clean , bed comfy since suite , could enjoy jacuzzi bathroom . decor quite modern , reminded bit W hotel . two thing wish coffee / tea maker swimming pool . 
 Nov 1 2009 	 great hotel location 	 love hotel . location great price reasonable well . easy access airport train ( pay $ 40 cab , take train $ 2.25 ) . staff hotel friendly helpful . arrive 11:30 able check ( never happen ! ) . concierge staff awesome , helpful knowledgeable . free wine cheese happy hour every night 5 - 6 . great way rest long day sight seeing get ready fun night town . room bathroom small much time really spend anyway . also love Art Deco décor hotel . love Chicago hotel part reason . 
 Oct 29 2009 	 nicely Apointed Tiny room High Price 	 re - do Mod decore , taste , really not matter overall reason like hotel . bed bed comfortable , though double bed small husband foot hung end , sleep diagonal , funny . room TINY , bathroom TINY , large person , will not like . really nice big tv . stock wet bar over - price ' ve see . complimentary coffee morning . free wine beer Lobby 5 , different . staff exceptional , 5 star way . good business suppose . room compe , would pay go rate hotel . park across street $ 36 24 hour , hotel $ 44 $ 50 valet . 
 Oct 27 2009 	 appreciated modern amenity 	 actually pleasantly surprised hotel . one travel companion real Kimpton ' afficionado & quot ; insist stay Chicago stay Kimpton Hotels . favorite , Hotel Monaco prohibitively expensive first leg trip decide Allegro new we . arrive day ahead travel friend check room spacious expect reading review . mean not Taj Mahal , easy move around part , furniture well place . check clerk kindly let know two closet one hanger behind door look like connect room . advice , closet problem . the bathroom indeed pintsize , mitigate nice Aveda product , good shower fixture good pressure , cute little modern sink area . bed comfortable . clock radio IPod dock really appreciate travel recharge mine , desk provide good need work space bring office work get do waiting friend arrive . desk also outlet carousel appreciate laptop phone charging . join Kimpton & quot ; Touch & quot ; loyalty program gain free wireless internet access . even application process kind fun answer question preference priority travel . I not much view - be surround side tall office building , not unpleasant . the decor nice modern . comfortable place sleep , work relax excursion . even minibar good wine enjoy bed . the hotel bar nice , food drink good , reasonably price serve friendly professional . employee courteous helpful . although not center touristy part city , find restaurant , bar , breakfast cafe , shop Starbucks within block ' walk . also wine hour late afternoon nice touch . it opposite & quot ; old money & quot ; feel establish , large hotel Intercontinental , Fairmont , etc , cookie cutter business traveler 's hotel . seem design young clientele . ' m spring chicken , feel comfortable . need meet , price , good choice . although not bring pet along , see pretty cute little doggie guest elevator . would recommend hotel young friend particular . 
