know 	 well , hotel real pleasant surprise ... make reservation caution ... seek great value watch budget two day NYC Holiday experience . usually stay Omni Bershire Michaelangelo , rate still steep recession . park hotel 's official lot instruct ( self park ) one block hotel . hotel 's entrance say .... artsey unique little signage . lobby small adorable decor steep music . staff accomodate help we get early , matinee ticket Wicked . room turn entire one bedroom NY City apartment spectacular view 6th Avenue 57th Street . & quot ; suite & quot ; hugh high ceiling crown molding , closet large NYC hotel room fully appoint kitchen . suite clean immediately feel home . know performer Carnegie Hall love hotel . oh yes ... Carnegie Deli deliver suite . the hotel entire bank washer dryer guest get ... soda machine cost 85 cent ! ! ! ! property well locate one wonder folk across street live multi million dollar condo not sell move Buckingham . explore area city direction find former Coliseum Columbus Circle treasure . check huge sculpture & quot ; Somebody & quot ; lobby , can not stop laugh . 's fun watch reaction shopper first gaze upon formidable male sculpture . back hotel ... Director Front Office , Sandra Arias GEM ... simply leave hotel unsatisfied let know need help . 's live like NYC millionaire recession budget get ... can not miss stay . 
 Great Location not mind sleep Noise 	 love NYC . many time . keep simple . close $ 300 / night , would expect able sleep . oh ! ! sleep pullout couch son , wife daughter bedroom . turn , put we 4th floor , face 6th ave . take word , busy avenue . window latch quite right , regardless , need double pane window . beyond loud 24/7 . room sauna , heat shut open window increase noise level . bed spring basically cushion / padding . Marvin , lovely gentleman helped bag bright spot . location great long 17th floor face nothing resemble activity . sad turn way first time take family together NYC . 
 Nov 22 2009 	 great location room size need attention good value price 	 staff helpful other . room great size - large suite separate bedroom . kitchen fully equip good size , adjoining living room settee , lounge chair desk dining table chair surprising . lot cupboard space walk - in wardrobe great advantage . bath , bathroom definitely need renovation one day terrible experience dirty brown water gush tap . location excellent , easy get around - could walk many place want go subway around corner . not use gym seem quite well equip internet lounge . happy kitchen generally prepare breakfast numerous supermarket shop nearby could buy fresh bread , bagel , fruit anything else want . even find two good coffee shop nearby - one Meridian Hotel , tiny italian style hole wall , 6th street around corner . would definitely stay . 
 Nov 21 2009 	 first time traveller New York ? great place stay . 	 hotel recommend random website , hour look place first one see . want feel home hotel , would definitely recommend stay . upon arrival , offer upgrade much pay studio room , studio room fine , room get like apartment . room bathroom always clean kitchen great could cook feel like . location excellent New York virgin . Central Park less 5 minute walk away , Rockefeller Centre Times Square 10 minute , 5th avenue next block , Carnegie Hall street , list go . master subway , major stop quick walk away . downside street noisy bit light sleeper like , need earplug fine . be . would definitely stay rather & quot ; trendy & quot ; area need transport get place right doorstep . staff friendly helpful get we place could not find . can not wait go back , Buckingham shortlist sure . definitely consider hotel ! 
 Nov 12 2009 	 well Kept Secret 	 stay hotel base review . do not want stay chain hotel . service outstanding . staff friendly , well informed . room large , clean quiet . location perfect two stop F train downtown , 42nd street . complete time square , broadway hustle bustle . several dining spot , delie . starbuck , grocery store even block away hotel . great little new york style diner across street 6th 57th , get great breakfast 4 buck . close central park , Tiffany 's , Trump tower , ffith avenue shop block away lovely hotel . travel alone , feel safe , security issue whatsoever . price decent New York hotel . keep mind New york . , may seem pricey folk book hotel past . travel back New York January . plan stay Buckingham . 
 Nov 5 2009 	 Great Place 	 Hotel friendly - accommodate staff . eager take care need . contact e - mail leave home prepare arrive . Buckingham locate walk distance Time Square , Carnegie Hall Central Park . . pleasant stay . wife leave jacket behind mail we within couple day . thank Staff Buckingham . stay come back New York . thank , Dennis Ricken 
 Oct 22 2009 	 need update 	 one hotel kitchen find Manhattan . nice kitchen , especially kid . space large Manhattan well . location great ... close central park ; subway entrance close . build old old window keep street noise . space furnishing desperately need update . bed hard floor . pull - out couch nothing spring . long day run around one thing want comfortable bed rest .... ! furnishing old dirty . place could nice spend money update . next time head big apple stay elsewhere . 
 Oct 19 2009 	 choice NYC - space location gimmick 	 historically Buckingham people perform Carnegie Hall ( across street ) stay . play work New York would like hotel 100 % get way , stay . likely elevator overhear discussion language negotiation composer musician see tourist . fancy lobby shop , hundred restaurant store within block . room renovate fancy bathroom fixture , like ordinary nice New York apartment . big , two party share suite easily ( kitchen ) little midtown hotel charge double room . window room soundproof -- Manhattan personally would prefer . mostly hardwood floor , excellent bed linen . free wi - fi except lounge second floor convenient place meet . staff unobtrusive , professional expert ( request ' ve need make year stay one every year two ) . 
 Sep 24 2009 	 Outstanding Service 	 ' ve stay Buckingham many time , always enjoy large apartment - style room . particular stay however , really chance see staff make , quite impressed . plan 2 - week September Birthday trip NY mid - July , realize day flight have scamme Craigslist attempt rent apartment . , last minute flight Las Vegas , husband book Buckingham one night . show 10 a.m. pull hamstring due packing injury . also , distraught idea would stay 13 night . immediately give one nice room , send cool russian male masseuse work hamstring . even though hotel could not accommodate every night ( Labor Day U.S. Open ) , well accommodate night . employee make feel well - being matter , truly sympathize dilemma . make problem problem . highly recommend establishment , can not imagine stay NY hotel . VeraB - Las Vegas 
 Sep 23 2009 	 great value friendly hotel 	 New York , time take parent special anniversary present . not NY , want suite could share . get really nice room . parent bedroom get pull - out bed living area . cost amazingly good value NY , parent love near Central Park ( 2 min walk away ) . 2 good subway route nearby handy want go Empire State Battery Park . the staff hotel v friendly v responsive . contact advance check ok booking . little hesitant get hotel read less complimentary review , say hotel really good . parent love . suite pretty big , clean meet expectation . if be look hotel nr Central Park pleasant 20min walk Times Sq , want get really good value money , . 
 Sep 22 2009 	 Huge room great large family trip 	 family meet New York vacation . place bunch Condos turn hotel room , one different . old building hit miss 3 room see , really decent place stay group . also kitchen make breakfast get pizza eat dinner . window old expect hear sound New York City . 
 Sep 18 2009 	 great location bit basic 	 arrival , friend give key room 5th floor decor look tired paintwork mark grubby ; feel depressing . having read early review , go back reception ask whether could refurbish room give key room 6th floor , lot well , though still nothing write home about . we still unpack couple let room , key give mistakenly , message not pass move room - good job not go ! friend sleep bed sofa bed pretty uncomfortable , manage . it brilliant location , central , hotel ordinary , & amp ; staff seem bit bored . go NY , would take chance another hotel rather go back one . 
