Sep 	 Front desk 	 Front desk staff check wonderful well kitchen staff ! ! 
 Jul 27 2009 	 tiny room dirty not feel safe 	 never tiny hotel room life , travel business frequently ! room twin bed push wall desk . barely enough room suitcase . check ( late night ) ask clerk direction , tell talk anyone street ask anyone direction ! stay one night , can not really comment anything neighborhood feel iffy ( couple block King 's Cross , convenient train catch first thing morning ) . room not feel clean , kind place check bedbug first thing ( not ) . also sleep light . must pre - pay internet access block hour , not terribly convenient . sign bathroom sink illustrating & quot ; not drink tap water & quot ; . would not recommend hotel . feel like pay get little well . 
 Apr 29 2009 	 not honour confirm prepaid booking . not REFUND . LEFT STRANDED ! 	 confirm prepaid booking arrive cold tired long journey 2200hrs inform full could not find booking . wait around nearly 40 min transpire mistakenly make booking follow night . confirmation show correct night . young man suggest go Comfort Inn around corner couldn't / would not transfer payment , pay night 's accommodation . assure credit card would refunded leave early morning Eurostar . I return 3 week later see young man assure credit card would refunded authority . tell return next day someone would authority . when return next morning person charge know nothing defensive become frustrated angry complete lack customer service . still refund . be aware happen . 
 Apr 2 2009 	 great budget choice 	 stay 2 night 2 teenage daughter . reception staff friendly efficient . able use luggage store arrival day departure , save pay £ 8 per bag King 's CrossThe suite clean fairly spacious . one room double single room single , also sofa bed little kitchen area fridge microwave . shower room tiny , adequate pay Ritz price ! shower rather weak water lukewarm , not awful . breakfast fine , not know reviewer expect price . machine dispense coffee , hot chocolate etc , another one juice , well bread make toast , croissant , danish pastry , roll , cereal , cheese , hard boil egg apple . I would definitely stay excellent budget choice . 
 Mar 12 2009 	 really nice b b 	 partner go London couple night break see show Tina Turner concert ( arrive , find tina reschedule - never mind ) . otel stone throw away king Cross statikon . staff nice friendly reception . room decent size , spotless . breakfast nice everymorning . Maid clean room day ( be not expect 2 night , come go please . realy central , min tube Leicester Square , Picadilly etc . I d reccomend hotel anyone . 
 Oct 8 2008 	 Good cheap 	 facility locate within 2 block king Cross St Pancras station tube . quiet residential section lot B & amp ; B 's . staff helpful , direct we neighborhood pub , laundromat call cab need early morning . elevator step problem . price less call Comfort Inn 's US phone number website . room clean spacious , coffee / tea service room little cookie tide till get nearby restaurant . not fancy , exchange rate right - clean important fancy . 
 Aug 17 2008 	 great love mildew 	 room top hotel , guess somebody leave window open rug get wet ... room half hour , stench mildew became overpower . pay $ 300 US , room lack bedside light , free internet , noisy street life , stinky besides , leave space ( good ) location thing recommend hotel . payment policy make change impossible , alternative could offer basement room unsecured window . clerk appear care anyway . love Bloomsbury , will not come back . seriously recommend . 
 Jun 23 2008 	 Great Price ! ! ! 	 stay 2 night come back another 2 night remainder time London . self well . bed double barely fit ( 6 ft 200 lb ) hey bed . cozy small room use , sleep shower , perfect price . staff friendly breakfast , well um like , find another place like burger king alike . barely hear subway that s bathroom exhaust fan block external noise . close everything love 5 minute walk underground eurostar : ) problem double charge card remedie . 
 Jun 15 2008 	 Plenty Comfort king 	 stay night go Disneyland Paris also stay 2 night come back there.5 minute walk away St Pancras . easily accomodate family 5 . stay suite 2 room . one double bed 2 single . also contain double sofa bed . plenty room . good safe charge fee . lift lug suitcase stair . a little kitchen area sink , microwave fridge / freezer . also tea make facility . bathroom good condition . Shower bite tricky get hot water patience manage get right temperature . breakfast good we burger king road . it hard find hotel take 5 people & quot ; one room & quot ; . definitely book hotel future . 
 Nov 20 2007 	 great location decent standard price 	 book hotel recommendation review website search age find somewhere central expensive . bit wary would bad hotel , pleasantly surprised . at £ 115 not cheap hope find something , ' m well aware anything £ 100 mark central London likely six - legged inhabitant sharing room . however , room big enough wife , bathroom small , stay one night use shower , fine . everywhere clean , hot water shower , staff friendly helpful . term location , less 5 minute walk away King 's Cross tube station , within easy reach central attraction . if be London weekend want somewhere stay ( relative ) budget , can not go wrong place . 
 Jul 31 2007 	 nice affordable hotel convenient location 	 Comfort Inn & amp ; suite block half king cross train underground station . block away either direction king cross Thameslink station Euston station hotel great hub day trip multiple train line use tube . 's good value London . the hotel nice renovate feature include bathroom . room small ( stay two different room separate stay week ) date far european hotel go quite clean . room tv refrigerator . even air conditioning make sure ask remote control desk . I problem reservation staff able resolve problem adjust rate . may warmest staff efficient helpful . would definitely stay . 
