Beijing 	 march 2009 stay Beijing sleep Forbidden day Beijing . the place center city , nearby Tienanmen Forbidden City . this hotel good - clean staff quintly . when go back Beijing absolute stay hotel . 
 Nov 8 2009 	 Decent Value Beijing 	 ROOMIn May , stay Budget Queen book Agoda $ 50USD / night include taxis . room " half - basement " , fact basement . small window top ceiling . drape however ' reach top ceiling sun rise 5 am , bright . elevator get basement , lug suitcase stair . room small – enough space queen bed , small desk one chair . bathroom also small , tub . everything clean , plumb rusty . bathroom two slide door , ' provide much privacy . bed hard , standard Asia . there wireless connection basement , provide LAN line room use connect . work , slow . the room small flat screen tv ( 4 english speaking channel ) , blowdryer , hot water boiler safe . Aircon work well . SERVICEWe ask change sheet one night 4 night stay , . refill toiletry every almost night . ask simple map Beijing . charge us 8 Yuan map normally get free filled advertisement . friendly ask anything . english good enough get basic . locationthe hotel locate Tiannenmen East subway station wangfujing station – 8 - 9 minute walk . ' possible walk ticket booth Forbidden City – 20 - 25 minute . snack market ( night market ) 10 minute walk hotel . get breakfast Mall Wangfujing Street ( Bread Talk ) , good . never try hotel breakfast . dinner go dumple place Nanheyan Street , north hotel ( 3 minute walk ) . , cheap ( 10 delicious dumpling $ 1us - $ 50us night basement room finally pretty pricey Beijing ) OTHERWe travel Summer Palace via subway ' recommend ' tight budget . subway ride interchange take hour . ' hire taxi get Bagou ( last station ) summer palace none would take we short distance ( use meter ) . take bus Bagou station – 374 . ' walk . take we 20 minute walk entrance another 20 walk East Gate entrance . return trip , take bike draw carriage . tell we 20 yuan subway station arrive tell we 40 yuan two people . end get huge argument , unpleasant . 
 Nov 6 2009 	 wonderful location wonderful hotel 	 stay 6 night love . area wonderful hotel staff helpful . graduate student budget price right , feel like get first - class treatment . one night , one staff member even walk we main street flag us taxi make sure understand take we . speak excellent english breakfast ( cost extra ) yummy be interested eat hotel . 
 Nov 4 2009 	 location great room could well 	 stay two night October standard , king size bed upper floor . bed hard , shower clogged carpet dirty . certainly use makeover . size decent . window view close elevator hear door open close . staff helpful depend get . ask map one would tell need buy another would offer free . lobby nice clean , pay effort room . aside , everything else great . location fantastic ! other indicate , be close lot attraction shopping . buffet breakfast plentiful lot choice . love buffet breakfast . overall , good place day . make sure get room far away elevator ! 
 Oct 18 2009 	 Location location location 	 hotel wonderful location , easy 10 minute walk Forbidden City , Wangfujing , metro station . family room large comfortable , good breakfast include staff helpful . bed hard taxi driver not know hotel yet , take advice previous reviewer regret stay gem hotel . quiet oasis buzzing city . 
 Oct 15 2009 	 live review 	 get recommend hotel Trip Advisor disappointed department . great location , good staff , free comprehensive breakfast choose carefully - great room . also negative prove true- hard bed taxi seem difficulty find address . hint - 2 want room move , book family room . plenty space well equip expensive . problem get taxi recognise address , ask take Wangfujing Mall . drop easily walk 2 3 side road bring across street hotel ( cross light use ! ) Beijing buzz , location key see city well . 
 Oct 11 2009 	 one amazing location excellent value 	 budget traveller concerned find quality , affordable accomodation central Beijing without stay hostel . hotel quite possibly amazing combination . hotel central Wangfujing St. - 8 minute walk east , Tianamen Square , Mao 's Maseoleum , Forbidden City 10 - 12 minute walk west . right middle hutong , plenty eat tourist site visit foot . hotel set courtyard , lobby restaurant nice , open clean . stay underground room perfectly fine , past sunset night view not neccesary . bathroom decent size asian standard , bed also comfortable . room internet connection , tv mini fridge . hotel offer tour major site , short money suggest look tour offer Forbidden City Hostel , 5 minute walk north hotel . book day trip walk great Wall Jinshanling Simatai . good value . suggest take black taxi hotel , much expensive take . look main street , ton taxis drive around . 
 Oct 6 2009 	 good location room bit dim 	 go stay day Inn 20th till 25th Sept 2009 2 kid age 12 8 . room give family room queen bed single bed . the room quite dim ; be 2 table lamp 2 ceiling light . but breakfast good , location , be 7 - 8 minute walk popular shopping Wangfujing area . the hotel staff helpful especially lady name May . help we make itinerary 5days stay . 
 Sep 30 2009 	 friendly helpful service clean surrounding 	 locate main road make quiet location right heart Beijing . one block Forbidden City access beautiful garden . staff helpful room keep clean . comfortable room . restaurant hotel bit overstretch one night eat curfew impose authority prepare big 60th cpr celebration . food ok - take arrive . perhaps not normally many guest . time plenty restaurant nearby Night Food Market ten minute walk away . 
 Sep 29 2009 	 great choice 	 hotel perfect place , near get Tienanmen square , next wanfunje road minute metro station . room nice breakfast ok ( china standard ) . people reception always kind ready help . spoke quite good english well . thing do not like visit arrange we great wall ming tomb . guide do not get we tomb , small museum stop two factory make we shop long time . hotal good choice quite cheap offer . 
 Sep 25 2009 	 good price / perfomance ration ; ideal location heart Beijing 	 double room little bit small . 2 person 1 chair . good equiped TV , electric kettle , coffee , tea minibar reasonable price . bathroom black dot mold . room service ok . breakfast buffet ist great chinese western food . well 4 week . internet access 10 rmb / hour ok . print page also 10 rmb ! people front desk friendly helpful speak sufficient englishbruno und Helga ( Germany ) Sept. 2009 
