love 	 hello , stay Soho Grand one time fantastic experience . room noisy first day ask change room give one 15th floor great view . staff nice helpful left good tip ; ) go back January book there . relation quality - price : excellent . 
 Nov 21 2009 	 Nice hotel beware waitress ' attitude ' 	 stay SoHo Grand 3 night . hotel well locate downtown midtown various subway line close . overall hotel live expectation good stay . couple thing cause we annoyance . despite book deluxe king room advertise 8th floor , try give we room 4th floor reduction . hour wait bar sort room 16th floor fine . Saturday evening buy bottle wine bar go sit table ( unreserved ) . minute waitress came demand know get bottle wine , even though bar six foot away . tell we table reserve ' by host ' would move . point fact resident buy bottle wine ( $ 58 ) bar make difference . stand bar drunk bottle whilst watch people subject attitude dare sit . 
 Nov 3 2009 	 stay 	 actual hotel great , however , leave phone change room due noisy outside - hotel kindly change we room side hotel lot quieter . phone left charge 5 minute call hotel get phone not call we back hour miss . obviously steal . hotel deny steal reimburse we sum phone . partner work phone lose great deal business phone steal . matter poorly manage hotel customer service chasing matter expect hotel calibre . 
 Oct 23 2009 	 Gone dog 	 stay Soho Grand approximately 6 - year last visit will not go back . although lobby bar restaurant great , staff wonderful , last experience disturbing can not risk go back ! unfortunately room , particular bed linen , dirty health hazzard .. duvet stain , reach bed - side phone call help , encounter incredibly filthy bedside table . all - in - all disgusting experience hotel definitely recommend . 
 Oct 20 2009 	 nice location -- ... 	 want enjoy Soho , great location . room small . price high . come two service flub . first -- tv main thing , business need catch news , cable not work room . Front desk say would send someone . 40 minute , nobody come , gave go bed . morning , early train catch . Breakfast suppose serve 6 a.m . go 6:15 a.m. waiter hand . one busboy offer give coffee wait . cold . time concern finally give . check 7 -- look nice , , need go catch train . it be sometimes small thing convince customer go back ! 
 Oct 19 2009 	 convenience right price 	 stay either Soho Grand Tribeca Grand almost every visit New York . must stay 80 night past 2 year . read negative review . yes , faultless , great place stay , staff great , food bar great far less expensive luxury hotel NYC . 
 Oct 12 2009 	 get little rough around edge 	 ' ve stay hotel alot year mixed service time . love lobby can not beat location , room become little grubby , service often lazy snooty . ' ve start stay 60 Thompson Thompson LES instead . hotel less character , staff much friendly . 
 Sep 30 2009 	 's favourite New York 	 back 5 day business trip New York London . Soho Grand GRAND cool street helpful staff . like Soho , Wall Street bohemian life village ' place stay - although cheap worth every dollar grand guest even get gold fish company ! . bar buzz evening room great . get one city view ! 
 Sep 17 2009 	 Great Location stylish 	 wife notice alot review state staff rude complacent . expect & quot ; cool , wannabee uptown attitude & quot ; . everyone speak pleasant , helpful gracious working hotel . love location decor nice . great atmosphere . 
 Sep 9 2009 	 Great Hotel ! ! ! 	 really good hotel , location , staff , food etc . only concern ugly carpet floor outside hotelroom doorhall , rom luxury room , ok . 
 Sep 5 2009 	 great location good hotel 	 New York office company recently move Soho area , first time stay Soho . choose Soho Grand seem nice hotel close work , yet reasonably price . upon arrival must walk 6 8 stair reach ground floor lobby area . one available help carry bag stair . keep walk straight ahead elevator go one floor reach reception lobby area . check fast man wait nice . think room size fine . , be big , New York . bed bed comfortable ; towel nice . bathroom fine . clean . Malin + Goetz toiletry nice . stock mini - fridge . not hear room - to - room noise . neighborhood great . ton restaurant shopping . my complaint : hear street bar noise 's generally bad . hairdryer room ( 1233 ) would run less minute shutting . put top a / c resume dry . water shower come weird angle , hit shoulder level -- ' m 5 ' 4 & quot ; . shower might problem someone tall . I plan stay whenever ' m NY business . 
 Sep 3 2009 	 Love Soho Grand 	 okay , moment walk door know make right choice . the hotel ultra hip staff fabulous . travel lot expect cool hotel actually . start night city early come back dinner chill lounge 2:00am . music great much fun lounge actually leave lounge close go dance 5:30am ! great time Soho Grand . definitely back ! 
 Sep 2 2009 	 love 	 Location great - staff helpful - quiet ( wedding hotel night ) Clean Comfortable can not wait go back 
 Sep 2 2009 	 stay Tribeca Grand instead 	 hotel location really cool place , however attitude staff disgrace . lounge seat often reserve busy day , want sit chill bit often can not , make bad ask staff lounge look though spat face . I previously stay Tribeca Grand , sister hotel , fantastic . minute walk away south . stay instead . 
 Aug 23 2009 	 nice 	 everything need : comfort , clean , high tech good location 
 Aug 23 2009 	 good location miss something 	 situated basically right SOHO , can not go wrong location . say , room small , service not fantastic seem something missing . would probably go back nothing else available , not kind place say ' we go back ' . sure else put , miss something . 
 Aug 21 2009 	 disappointment 	 yes , be get hip reputation , 's glory day clearly : 1.reported light break upon check . five night later , still not fix . 2.Bfast service restaurant GLACIAL . plus nerve automatically add 20 % tip single diner . restaurant , room service ! 3.newspaper finally show 3 morning stay . 4.only one window ( 2 ) room would open . 5.picture tv awful 6.no a / c hallway 7 . a / c unit room sound ancient -- noisy . 8.single stairmaster gym clunky / have see well day . stay 's close office rate much well option area , include simple Hamptons Inn Hilton Garden Inn , brand new . 
 Aug 17 2009 	 Love Soho Soho Grand 	 place great . perfect location drive south 2 minute Holland tunnell . whole place casual vibe staff nice . bar also nice surprisingly quiet . every time stay feel like guest even be full . place stay opinion . super fancy right . 
 Aug 12 2009 	 can not beat Location 	 arrive redeye 7 a.m. immediately allow check room ( wait ' till 3 pm ) - 's service . Doormen always friendly . one bellguy be give we good recommendation nearby bar check . room , course , tiny , give . first night sheet smell smoke , seem go away ( maybe get use ) . slight musty smell room bathroom , not bother we much . bathroom counter space non - existent definitely chore two people try get ready time . also , lady , beware : light horrible makeup . might consider instal high quality light mirror . eat hotel visit bar -- many place see ! can not beat location - really pay . Wifi spotty . check breeze - small phone charge bill ( ) lady take care without slight hesitation . bag store we walk around city hour . hassle . overall , great trip . 
 Jul 28 2009 	 friendly hotel 	 room fairly small , overall ambience great - nice bar , good business centre , staff helpful . lot good restaurant around . wireless internet bit slow . 
 Jun 15 2009 	 not stay ... 	 price small room . food ok , price . trouble check could not find we system . save room credit card , pay cash , still not give we money back credit card . air not work room . whole place funk smell . staff nice though . 
 Jun 1 2009 	 great location - trendy hotel ! 	 husband spend one night Soho Grand celebrate first wedding anniversary . book Romantic Weekend package include bottle champagne , chocolate , strawberry , breakfast bed nice corner suite . service great get complimentary drink bar miss give we glass champagne upon arrival . bad thing extra charge fof 11 dollar wi - fi internet . 
 may 28 2009 	 Great Location - Bargain 	 stay Grand combine 3 night business / leisure trip . location perfect explore SoHo surround area . area perfect shopping - ton boutique shop trendy store around . ' ve stay lot NYC hotel room room SoHO Grand definitely lot small . shower bit grungy par hotel price range ~ water pressure almost non existent . room clean bed exceptionally comfortable . television work properly first 1.5 day due private code clicker - hotel could not even figure everything . gym adequate 3 treadmill , 1 bike , 1 elliptical free weight . overall , & quot ; ok & quot ; hotel - guess well deal . 
 May 19 2009 	 Great want pay lot closet 	 good thing hotel location . otherwise , room small , be loud , be fill stupid hipster 's way , way price . ask quite room decide put near pantry free coffee ( be right -- & quot ; four star & quot ; hotel without coffee room ) every morning would hear dozen slam door . hotel sell weekend move . the bed tiny , room crappy -- not even well decorate . bottom line find another hotel want good time NYC . 
 May 16 2009 	 huge hotel 	 love hotel- beautiful suite - incredible design quite comfortable . staff friendly professional . . location great- soho , little italy , china town . would recommend hotel . 
 Apr 28 2009 	 another solid stay 	 4th stay Soho Grand past 2 year . location beat room always adequate . service always excellent . would hesitate come back . 
 Apr 23 2009 	 Loved Soho Grand 	 return week New York , stay Soho Grand hotel . love location ! be edgy , hip hotel , great lobby bar area . lobby busy time , people coming go , meet friend , etc . food good , light meal available least midnight . room comfortable , although small , amenity excellent . staff unsurpasse ! excellent service , alot attention , helpful , pleasant . location perfect . two subway station - one around corner , one block away . always taxi 's available front . concierge could not helpful , well informed . breakfast hotel terrific , also go Pain Quotidien , 3 block away . location ABC Carpet Home , always love . Soho outpost good . many great restaurant nearby . Walk Greenwich Village , low east side , tribeca ( film festival one block away ) . wonderful 5 day ! 
 Apr 19 2009 	 past glory day 	 Soho Grand , be hard imagine exciting hip place must first open . common space ( lounge bar ) still beautiful . however , room interior due update . pro : * Decent Soho location * good bar area * 24 hour gym * overall sophisticated ambiancecon : * small room , atypical NYC less tolerable since room also date . bathroom particular could upgrade . * slow wireless access ( time work ) . perhaps typical leisure guest care much this . overall , would suggest check price option commit hotel . 
 Apr 11 2009 	 Excellent Stay 	 lean room , big - for - ny , amazing location . bed comfortable . free wireless internet . 
 Mar 30 2009 	 long day fade Glory 	 remember Soho Grand first open 1990 . super trendy spot medium entertainment type stay visit NYC . first cool hotel open downtown . bar buzz night , power breakfast happen lobby , actor junket demand stay there . but since , variety hotel option open 14th Street -- Bowery , Tribeca Grand , Mercer , . Soho Grand update since open . stay recently town business , move one night . the location good -- intersection Soho , Chinatown , Tribeca . good mention hotel middle neighborhood , fringe . the room tiny . first open , could forgive truly option downtown . option spacious room . all would ok owner keep hotel . lobby still good condition ( although decor date . ) room dump . mine smell like cigarette smoke . assure management room always non - smoking , clear lot people smoke -- carpet / vent not replace age . AC , smell stale smoke hold air . AC unit noisy uneven . window filthy . tv ( flatscreen ) get fuzzy reception cable illegal . sheet scratchy . ( come , people , even W hotel high thread count sheet day . ) mattress old , worn , sink towards middle . restless night 's sleep sink bed scratchy sheet loud AC . woke neckache stuffy nose smoke smell . co - worker stay another room say & quot ; world happen place ? & quot ; experience . I move friend next night . it feel like management know can not compete nice hotel open not put money place . judge Euros holiday lobby , package hotel . cool actor model . rate good NY -- $ 225 night -- room stay Chinatown Holiday Inn . the owner can not improve room size could : rip old carpet put wood floor room , wash window ( interior exterior ) , brighten room , upgrade AC unit , get new mattress sheet fumigate . service good . bathroom nice calm ( use bathroom example make small space feel comfortable ) . 
 Mar 17 2009 	 poor housekeeping ... watch mini bar 	 hotel ok get good discount pay rack rate . location excellent like seedy fringe Soho next China Town ( ) , need mid town early meet nervous dingy part Manhattan . room small comfortable housekeeping consistently poor . lobby hallway grimy need refurbishment . recent stay clean removed soap toilet paper two light bulb , replace . another occasion , television remote control miss replacement never arrive . last stay mini bar charge incorrecttly add credit card one week leave . never use hotel mini bar contact hotel refuse reverse charge eventually give try anything . 
 Mar 14 2009 	 Amazing Stay . 	 stay Grand Soho Hotel busy night , Valentines day . location pretty good , two block away major subway terminal ( Canal Street ) . hotel situate busy area , however entrance less populated block . 24 hour restaurant China Town area 24 hour Deli directly across street entrance . employee REALLY nice , never come & quot ; snotty & quot ; . upon check - in guest receive free champagne , fill cup top ... nice . room clean , bathroom nice artistic wallpaper design nicely . tub large standard size . shower great water pressure , feature adjustable . bed soft easy sleep . bed Queens size , boyfriend 6 ' 2 problem sleep , foot hang , etc . television bit date , however cable watch dvd ( bring - player free use ) . mini bar bit expensive , would recommend go across street purchase whatever need . room quiet well , busy day expect hear lot noise .... leave undisturbed . hotel multiple elevator , never wait minute use . pet also allow hotel , obvious artwork pet food menu . also machine every floor disburse free coffee , tea , hot chocolate , ice water . overall excellent experience . 
 Mar 3 2009 	 friendly staff great view get right room 	 two room split stay , one luckily north face 16th floor enabling see Chrysler Building Rockefeller Centre . absolutely stunning night ... service great room hotel averall modern , stylish clean . downside come cost . breakfast two room service set back least $ 70 , stay elsewhere New York 's worth extra afford . location superb . 
 Feb 3 2009 	 great location dining shopping 	 stay S.G. last weekend , love restaurant corner - eat Lusso , great time . Shopped West Broadway Broadway . eveerythe close , doormen S.G. helpful .. 
 Jan 29 2009 	 great look good location nothing else 	 stay Soho Grand weekend away aesthetically pleasing , pretty much say . staff seem like favor versus actually provide customer service . room nicely appoint , small bathroom small . plus , absolutely counter top , can not stand hotel . find price reasonable compare hotel city . great neighborhood , expect . $ 8 beer get mini - fridge completely flat could get room service folk understand felt owe new beer . 
 Jan 27 2009 	 Best stay New York 25 year 	 agonised stay nine night NYC . every couple year since 1985 . never treat well New York Hotel Soho Grand . surprising establishment frequent odd celebrity never moment feel anything genuinely care great people . smallish King bed room two people nine night good use space make absolutely fine . overall tremendous value money . seriously impressive place people . 
 Jan 12 2009 	 Perfect weekend getaway ! 	 husband pick Soho Grand 's great location , really matter initially , stay one pleasant surprise another . our room part & quot ; Seduction Soho & quot ; package , offer champagne upon arrival , nice . real treat staff . keep think someone inform anniversary everywhere turn , someone warm helpful ( annoying overbearing way find place visit city ) . turn , 's way . thank , every transition smooth , get everything need , get great direction easily , introduce new favorite dessert ( warm berry crisp ice cream ) enjoy worry - free , relax weekend . ' m generally fan raw gritty NYC often choose stay hotel like Chelsea Hotel avoid much trendy & quot ; sceney & quot ; , right . comfort , culture , colorful people . find lounge great place take . stay room 1606 great skyline view , feature Empire State Building . Rose petal chocolate nice touch package also treat we cocktail lounge ( great one ! ) nice breakfast ( in - room service like ) . comfortable bed , good bathroom lighting & quot ; skinny & quot ; full - length mirror room feature keep good spirit . base stay , ' ve decide make Soho Grand new NYC headquarters . will back soon . 
 Jan 6 2009 	 Great Hotel Great Location 	 stay SoHo Grand 3rd visit New York love . worried review may bit pretentious staff friendly feel comfortable . location brilliant , designer shop around , great breakfast bar restaurant , walk distance Chinatown , Little Italy , Financial District Staten Island ferry . loved stay , would stay definitely recommend . 
 Jan 4 2009 	 soho grand 	 really nice hotel , design decor great . room bit small nice forniture linen FANTASTIC . problem stay wait 45 minute someone pick luggage room ... 
