small 	 stay club room find slightly small large enough rarely room . adequately clean club room come breakfast great , plenty fruit , yoghurt , bagel , toast , juice , cerial coffee . check quick staff always friendly . last day one group though lose passport hotel staff could not helpful , particularly Curtis . would definitely stay 
 Perfect location 	 book trip March 09 slightly worried review read say please people ! ! check service could not well show nice room 8th floor 2 double bed . massive room small mean clean sign bug ! service security good make we feel safe know people show room card use lift . all would definately go back Milford although maybe renovation price will not attractive , would shame could not got hotel well location . 
 good hotel excellent location 	 hotel close soon renovation approx two year want say superb hotel -friendly staff excellent location around corner time square 
 Old tired 	 even suppose ' upgrade ' corner room dumpy small old smelly furniture drape saggy mattress . would receive ' upgrade ' wait half hour check clerk try find reservation , file misspelling name . wait 15 - minute line check . ( always line front desk . ) bathroom clean internet room work well . the location good want near Times Square , not know would want stay . area mob tourist , line people mill around theater make difficult walk hotel point east . price , well choice . 
 value money 	 Milford Plaza fantastically base hotel around corner Times Square walk distance fifth avenue , rockafella empire state building walk . right middle Broadway look show hotel must . room bit small , bit grubby really warm , put air con November . downside room small side , smell musty way hot otherwise good base sleep leave belonging behind . safe bedroom find staff totally trustworthy , helpful really pleasant . Milford Plaza due close December 09 refurbishment though must say look bit tired could . would definately go back refurbish well worth visit . oh take notice comment bed bug cockroache definately none bedroom find linen clean , enjoy 
 friendly hotel excellent security 	 friend stop milford plaza 31 oct 5th nov 09 . 40 . read review already book 50/50 expect . pray have not make mistake needent worry arrival show room deluxe room 2 double bed 16th floor . expect room small review say . think room small need feel comfortable . even hairdryer bathroom great . also safe free u select password open . room clean daily . noise hear emergency service blaring past hotel . the security could well feel safe staying . show room key allow lift good make u feel even safe know body good would get past security man . underground station outside hotel much cheap getting taxi . use quite alot newyork . good thing though hotel location . right middle new york city . not forget theatre district . we ask security man new good restaurant go direct we one 9th ave call west side 5 10 min walkfrom milford u like pancakes place eat . local police also eat good sign good food . service top mark . orange juice lovely also . hotel though close 12 dec 18months 2yrs I ve hear renovation cousin live newyork tell goint build top milford plaza apartment . next time guess dig deeply ur purse stay , do not think budgit hotel much long hope I m wrong . also watch taxi driver airport get sting . airport milford cost we 64dollers that s man write paperwork give driver driver go wrong hotel mistook say charge we 84dollers . tell reception milford one set price matter drop we . goodluck need worry hotel be not dirty least floor . great hotel . great location . say xx Bridget coventry . 
 Nov 23 2009 	 Great Service Great Location 	 spend awesome weekend NYC . book trip spring . as vacation package . read Trip Advisor concerned room . need worry . course room small 's NY . book twin bed . room clean , bathroom clean . service right . hotel need updating , offer everything need . be locate 1 block Times Square ! ! ! would recommend Milford Plaza . 
 Nov 20 2009 	 New York bed bug ! 	 Thos squeamish look away ! Milford Plaza October 09 . stayed week move room 3 time ! morning second day spy something move across top sheet - thinking may spider fond insect carefully crush little blighter thumb fore - finger , sheet sit . ' crush ' actually kill spite copious amount bright red blood , damn thing try crawl away - put glass look close . press hard finally squashed thought look like bed bug - amount bright red blood clear indication big feed- yeah ! partner look identification internet laptop sure enough classic bed bug ! feel sick look close bed . baby bed bug tiny think maybe could kind live thinking not see . also realise notifiable incident promise would report hotel . squashed not evidence leave end think lot time would waste trip ensue hassle probably worth . partner offer swap bed not fret . anyway next morning partner throw back bed cover get . come back shower remark , ' hey , look ! ' sure enough large , mature , fat , bed bug look extremely well - feed , crawl across bottom sheet . ' ok 's ! ' scream trapped get ear - plug container shut lid tight . take box see manager act innocent really surprised changed room upgrade room different floor . fill incident sheet later find Milford already recently register www . bedbugregistry.com notifiable pest database ! nothing come report money refund . suggest traveler check database book hotel ! Mould ( Milford famous ) almost cope creepy crawlie ! ew ! ! ! still little critter container remarkably resilient actually survive amazing long time without air food . Arrrgh ! 
 Nov 20 2009 	 good location room good 	 hotel near Time Square definitely thing good . sorry critical could not stand room stay . apart small carpet full guest hair , bathroom not clean . aware price good not expect room dirty . 
 Nov 19 2009 	 CheapClean Cheerful . 	 price pay stay central location Manhattan can not go wrong . got Bus JFK Airport Port Authority Bus Station 2 block away . Times Sq many theatre doorstep . subway many place eat outside Hotel door . look Hotel Room relax day shopping site see Hotel highly recommend . 
 Nov 17 2009 	 Location thing 	 Location great , 's shame staff room not match . beware check , use express key drop & quot ; check credit card charge $ 50.00 ( ? ) ' ve send e - mail ask $ 50.00 reply , send back unanswered . staff grumpiest ' ve come accross state . state good location guess get pay ! ! 
 Nov 17 2009 	 Nice Hotel Heart Manhattan 	 Brilliant Location , Close TImes Square . room quite nice although small . next time upgrade M - Club room spacious modern . 
 Nov 13 2009 	 not fool location worth ! 	 well , let start positive , bedbug ! however , thing say ! first , hotel advertise internet connection wireless service room . false ! cute little card every room state available fact , . 2 day request change room internet available tell business center third floor internet access could use laptop . useless especially try complete work company , also crutche due hip fracture . could access elevator ground floor security code , refuse give . contact security guard time . 4 day ! also , beware shower ! either run back bathtub escape scald hot water ( , hip fracture ! ) stand water automatically shut return freeze cold ! , another cute sign bathroom warn water temperature regulate ! hello 2009 ! know NYC really concern hotel room , please advise definitely worth money . 
 Nov 11 2009 	 unbeatable location want pay price 	 fantastic location that s near major broadway show , times square , restaurant , TKTS Store , right near bus metro station . Milford able get everywhere ease nice see show able walk home . room small . two small single comfortable . no fault check in / out staff . business centre gym available . business centre allow print boarding pass free . the truth can not beat location , research NY transport system good stay anywhere near metro line get want ease save money . 
 Nov 8 2009 	 bad deal - perfect location 	 spend one night - location almost unbeatable ! must least eight Broadway theater within one block location . room bit small manageable . accord website , entire place shut major renovation . hope completely gut place build spacious room . place could bring huge profit ' right ' job remake . stay 19th floor could easily hear busy traffic street night 8th avenue ( even though window face street ) - siren , honking horn , truck engine , loud passersby , etc . 
 Nov 6 2009 	 Friendly Staff adequate room great location secure . 	 travel week NYC 3 friend , book Milford . week early , read many review , lot unsavory . unfriendly staff bedbug . since book , expect bad . pleasantly surprised ! hotel nice , staff extremely friend , room clean adequate . hallway quiet , like fact elevator accessible people stay produce room key . worry anyone go elevator , not belong . hotel close Times Square , shopping , restaurant , play . eat restaurant around corner , Juniors . well know deli , breakie , late night cheesecake red velvet cake . bakery open till midnight . overall , would hesitate stay hotel . travel solo , quite often , would feel totally safe secure . 
