nice 	 check review try find something expensive area , decide book City Hotel . disappointed . enter twin - bed room 4th floor think go pass heat , able turn efficient radiator comfortable level even though control knob stiff . surprisingly spacious , clean nice view City light . bed little small hard side , would prefer duvee rather sheet blanket , still comfortable enough , reasonably quiet . bathroom small , surprisingly enjoyable shower small non - power - shower rise , complaint . not breakfast , would cost additional £ 10 . good value City hotel ! 
 Nov 22 2009 	 Good Hotel little noisy 	 stay City Hotel September 2009 3 night . first time London know hotel expensive . not want spend fortune hotel , be decide stay City Hotel . not close Downtown , take tube Aldgate East take city centre . hotel clean staff mostly friendly . however , not like bathroom , small ! 3 lady everybody get dress not much fun . furthermore , hotel locate directly street , noisy also night . sleep earplug even window close , room still noisy ! nevertheless , would recommend hotel not expensive downtown short time . not expect luxury , 's 3 - star hotel . not stay much hotel room come sleep , like hotel ! 
 Nov 17 2009 	 hotel surpass expectation . 	 hotel staff could friendly welcoming . help we celebrate daughter 's 30th birthday style many special touch . cocktail lounge good buzz . restaurant serve wonderful asian fusion food dish please taste . serve beautifully taste even well . room varied decor traditional loft - type cool clean well equipped . walk district Brick Lane , Columbia Road flower market spitalfield market great fun Sunday . great place stay . 
 Nov 3 2009 	 unexpectedly good ! 	 reception public area good , room clean , staff friendly . not try eat bar look lovely though deserted . handy location good value . room back hotel quiet window could open . 
 Oct 28 2009 	 not put ! ! ! 	 not let people 's review put book hotel . arrive car heart sink turn corner Osborne Street see hotel inside forgot run street look . reception welcome friendly staff booking - in take matter minute . have book two room , one husband one son . room third floor obviously not refurbish yet look rather ' tired ' , especially bathroom , everything clean . room top hotel obviously new extension quite contemporary . bathroom quite small functional lack shelve toiletry etc . lovely white fluffy towel . bed comfortable crisp white sheet extra pillow provide . , nowhere room put cosmetic , toiletry etc could benefit chest drawer similar . the rate pay include breakfast special rate £ 7.95 ( usually £ 9.95 ) order pay breakfast arrival . good value money . hot cold buffet good choice dish excuse anyone go hungry . another bonus secure , site car park , although additional charge worth .The view front bedroom window leave lot desire not view hotel well place , 2 minute aldgate underground station 10 minute walk Tower London Tower Bridge . we feel perfectly safe walk back hotel late night . all good city hotel although full room rate could consider high type hotel run location , always discount rate find doubt anyone actually pay full rate . pay £ 59 per room ( + breakfast ) absolute bargain London hotel . would definitely stay without hesitation . 
 Sep 2 2009 	 not go 	 first walk room pleasantly surprise . room large expect , bright airy large flat screen tv . however , bed uncomfortable - not come need good night sleep . pillow mattress rock hard , air con fridge make strange noise night . also , not tempt eat restaurant claim get 50 % food 20 % drink . boyfriend student do not lot money , tell hotel guest would get money encourage we go hotel restaurant . however , order food drink , one waiter come bill , say could get 50 % , also take 20 % drink . also & quot ; service charge & quot ; explain charge every table pay waiter get food bar kitchen . RESTAURANT , waiter expect bring food surely ? . expect tip well service charge . end take service charge bill , 20 % 50 % food drink . end pay lot money thing order - food ridiculously overpriced . would surprised keep money take food drink tip . the location great . couple minute walk Aldgate East tube station , do not feel safe walk short distance hotel . would recommend 
 Aug 29 2009 	 Surprise 	 Booked hotel , read review worried might lie ahead . arrival find reception staff friendly helpful check efficient . room allocate back hotel quiet . lovely comfy bed , big T.V . fridge , bathroom ... spotlessly clean . problem toilet . towel etc change daily . breakfast available hotel , lot coffee shop area preference . lot interesting place eat area well , Brick Lane around Spitalfields market area . near tube one minute away also possible walk Tower London area . think great place stay , good value good location . 
 Aug 20 2009 	 hotel fantastic ! disappointed . 	 also worry hotel read previous review . mind put rest soon walk reception warm welcome . checking take minute , whilst share joke clerk . soon outside room door hesitantly put key card open door .... large , clean , modern room . lcd tv wall .. double single bed ( ! ) even today 's paper , late edition two well know magazine leave out . head trendy bar relaxed comfort head back room fall asleep comfy bed . I ring reception get room safe open within minute maintenance guy door professionally show operate . feel safe time hotel find service extremely pleasant good natured . some people comment surround area safe area . would really agree , area blue collar long follow rule personal safety would anywhere fine . tube station ( Aldgate East ) literally one minute walk away . fact , think area much offer term diversity mainstream area London . like curry will spoilt choice . say love curry head good curry life ( free drink ! ) one restaurant brick lane . 
 Aug 17 2009 	 hard believe hotel get bad review ! ! ! ! 	 first , like other read previous review hotel really worry stay wife 9 year old daughter . arrive plesently surprised close aldgate east tube station book hotel reception nice efficent . hotel lovely reception area issue room key thinking go , say room beautiful clean , seem room honest think first room decorate . air con 32 inch lcd tv wall , 1 double bed single bed ( room 418 way ) . bathroom decorate nicely clean facillitie work . room clean every day fresh towel every day well . food lane bar bit expensive walk front door plenty resturant either side brick lane , ( hope like indian food plenty resturant well . ) stay four night really enjoy every moment london , say aldgate east tube station right beside worry walk far get anywhere . defiently back london would reccomend hotel anyone . hope put mind ease review worre . nice stay ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! 
 Jul 29 2009 	 bad Hotel ever ! 	 firstly little skeptical booking hotel reading review . one right could see stay . still go book 65 year old parent will not walk lot get tube station nearby . the location Blue Collar fill bangladeshi restaurant good other look like need cleanup . room second floor since book weekday none dj music downstairs disturb we . although teenager use stop restaurant downstair everynight blarre loud music car . really want call police annoying . realise can not expect area perfect . could see Ibis nearby god wish stay . three day stay service teribble . exception plumber nice speak guide we local transportation , come repair toilet already read review work . reception staff well mannere look like go jump minute feel like wereint welcome ask anything else except pay . although bar downstairs problem we , everything 3 day stay fill issue . could afford little bit stay ibis close hotel . 
 Jul 19 2009 	 really depend want London 	 book hotel read many negative comment City Hotel Tripadvisor feel panic . turn quite right check , except one really huge turn -- toilet not work gaga could not flush . porter quite helpful finally make toilet work . 's really number one scary hotel scene life . noisy room party downstairs . soundproof wall good therefore could hear bang sound door slam neighbor second night check . tv room work , end sleep early save energy sightseeing whole day time . good thing hotel 's location cleanness . 's close Aldgate East station 's easy go around London city tube . appreciate cleanness hotel staff well maintain , however think good way give overall upgrade renovate room . many comment say good hotel cheap price . end pay expedia.com . suggest people avoid book system expedia since find price fluctuation tricky . internet cheap convenient ( compare Comfort Inn stay last two night London ) . , overall , think good hotel be frugal student budget bunch friend good time London . be couple , hotel could kill romantic aura quite instantly ..... 
 Jul 3 2009 	 please do not go 	 stay weekend february 2008 . absolute disaster start finish . do deceive richly elongate photo . cramp scruffy place . arrive friday evening tell unhappy staff member pay advance . reason exclamation . fair enough , place happen . pay go bedroom . time place refurbish impossible tell part refurbish have not . place dirty even mouse wear overall . the room laminate floor finish , curl corner . unnattractive reasonably clean . tell breakfast would served bar next morning turn inedible breakfast among upturned table chair . on saturday night think would drink bar tell street entrance bar & quot ; Private Party & quot ; pay £ 10 £ 15 cover charge ( can not remember ) . say resident tell still pay . ask reception do not want know . bar advertise one place 's good feature . throughout whole weekend never hear single comment anything staff member . monday morning checking let staff know grievance , answer 3 blank stare . explanation apology except say bar reserve party owner son . one staff member even identify take responsibility everyone . place completely devoid atmosphere . room furnish family size fridge , abviously DSS resident would not problem place least pretend hotel . please do not waste money . depress 
 Jun 30 2009 	 great entrance lobby shame room not match ! 	 see picture online , entrance lobby expect something great . room stank smoke , someone rubbish bed immediately ask move . the room ugly need re - doing . hallway look horrible too . the staff do not talk great english either . it okay 1 night stay would stay long . 
 Jun 29 2009 	 Cheap Chic 	 Booked hotel due cheapness , pay £ 99 2 people 2 night ... upon get hotel look smart outside .. room big airy . could not fault bed . fridge . tea / coffee make facility well good . tv old shabby one bit putting , reisdent flat screen tv ! hotel bit rough area , bad woman would not feel safe walk around alone area night . tesco metro 2mins walk away tube 5mins walk . ideally place want close touristy thing do not want pay central london hotel place . ... great hotel need different location 
 Jun 14 2009 	 terrible service ! 	 thought would probably cheap book direct , attempt book room hotel telephone . phone , find staff hard understand , difficult make understand . minute try get staff realise want , decide give book person instead next day would area . native english speaker , not think 's difficult expect phone answer someone capable communicating effectively ! turn next day , expect communication difficulty would easily resolve person . sadly , completely mistaken . problem continue . ten minute conversation , attempt get staff perform simple task book room two week time , become increasingly frustrated . not seem grasp idea , , not want room tonight , want 2 week time ! communication difficulty could easily sort staff become even frustrated . try hard polite patient possible , rude get impression basically could not bother . end leave without make booking , simply could not afford waste time ! decide stay somewhere else end ! City Hotel probably nice place stay , god know anyone manage actually make booking 
 Jun 6 2009 	 avoid hotel . terrible management room 	 avoid hotel . terrible management room . spend two - night City Hotel May . far bad hotel ' ever stay . check hotel 11 pm want relax , nothing room work , able sleep 1 am . tv remote control function tv ' channel button go . call reception desk . guy come , something image show . say " see work " ' know use tv . turn remote control work one enter specific channel number ( know channel working ) change channel . hot water come shower . call , wait , first person come ' know problem second one able fix show knob , say " see work " ' know operate shower . waste time , insult . the next day rash get place sure exactly map , ask reception desk way . big mistake . guy something front company 10 minute still answer . ask happen since hurry , manager step office tell " ' provide service . " wonder hotel many problem , look kind manager hotel . ask anybody direction London street , happy help . however , manager hotel ' seem know hospitality service business . 
