good 	 comfortable hotel enjoy trip good location 
 Nov 10 2009 	 Good Value Location 	 Hotel step away Red Line & quot ; L & quot ; get around easily not want walk , drive cab it . very clean hotel , good water pressure , friendly & amp ; accommodate staff , nice bed & amp ; pillow ( top sheet pillow case feel like have starch ! ) , temp . room perfect & amp ; adjust . not try Weber Grill look invite drink quick meal.2 computer 12th floor ( need room key access room ) , check email & amp ; /or print boarding pass . hotel near lot great shopping , pop Champagne around corner & amp ; wish go . Mary 's Cafe good breakfast & amp ; abt . 4 block away . if get good rate time , ' m pretty sure will stay visit Chicago . 
 Oct 29 2009 	 Great Deal Downtown Chicago 	 live area stay downtown business . hotel update room , comfy bed , reasonable sized bathroom good service . sensitive odor , like Febreze cover bad smell . Hilton Garden Inn smell fresh clean comfortable room . hear ambulance / police car sound night , typical Chicago area hoteld . Staff seem friendly . feel safe , Weber Grill reataurant site great place eat . probablem get cab morning raining . would recommend stay . downtown hotel small room ( especially old hotel ) . location good visitor . ton place eat within walking distance . 
 Oct 19 2009 	 ok ... 	 town wed two room book ; one hotel Residence inn much cheap rate . ( see review Residence Inn ) arrive early flight land Midway 7:55am already call early check . arrive indicate 90 % capacity . non - smoking king room sbut two queen non - smoking available rate , take ! room nothing write home . bed comfortable pillow nice . remote old barely work time annoyed end . breakfast complimentary get pastry yogurt $ 10.95 . want mean go cost additional $ 4.95 . call one restaurant book hotel order breakfast come $ 19.22 . inform menu update meal price $ 8.25 $ 10.50 . decide cancel order . 
 Oct 18 2009 	 would not stay 	 brother getting marry Chicago . go book hotel weekend decide stay one night ' m glad . base review , room must update new bed . bed uncomfortable husband not sleep night get sore back neck . tub bathroom would not drain . end take shower morning not want stand inch water . room nice flat screen tv seem little small average room . would not stay even though ' m Hilton honors member .... would stay else . 
 Oct 12 2009 	 Awesome amenity great location affordable price 	 hotel perfect would not change single thing two night stay . room common space impecably clean cozy . although little small , indoor pool hot tub wonderful along well appoint fitness room computer lab complimentary high speed internet . love microwave mini - fridge room along Neutrogena toiletry . king size bed one comfortable ever sleep . sure stop lobby around 6:00pm/7:00pm every night complimentary warm just - bake cookie . hotel could well dedicated concierge lobby help traveler find way around city order keep line front desk . 
 Oct 10 2009 	 nice cheap hotel 	 hotel great place stay . close many attraction . staff helpful refer we nearby restaurant . complaint would toilet paper far away toilet . almost get seat order reach . housekeeping staff great locate clothing inadvertently leave behind . process shipping . would definitely stay ! 
 oct 9 2009 	 Excellent hotel prime location 	 excellent hotel every way , careful 4Q2009 , major construction go outside hotel one side jackhammer start cue 7 am every morning . really fun restaurant ( Weber Grill ) right Red Line subway system . walkable Michigan Avenue , Marshall Field 's , theatre district . coffee maker also stock tea , find rare day . could not fault ! 
 oct 9 2009 	 enjoy stay 	 Hilton Garden inn great location we , close red line would prefer take taxi airport . walk everywhere hotel enjoy easy access . the staff encounter nice helpful question need . room stay clean comfortable . hear street noise , city much expect affect stay all . we also eat restaurant , Weber Grill , great . although busy night , waiter friendly attentive . pretzel roll good rib excellent . would stay . 
 Oct 7 2009 	 outstanding value location 	 's hard find decent hotel downtown Chicago decent price week . book room month advance find great $ 149 rate . everything HGI great , speedy check - in , clean room , location , nothing could better . be really great hotel literally step Red Line stop Grand . walk stair hotel 20 step away convenient be come train . need grocery item , grocery store right around corner find item like soda without pay high hotel price . great view 21st floor although standard HGI , room clean nice flat screen tv inside room . eat hotel restaurant ( Weber Grill ) one night great . overall typical HGI experience , price , can not beat convenience , location price ! 
 oct 2 2009 	 nice room terrible organization / staff . 	 book room 2 bed directly hotel phone . go bachelor party stay 4 guy definately need 2 bed . arrive hotel say book 1 bed . show confirmation email phone do not care . give bed one room get $ 20 room $ 200 per night . able swich double bed next day hassle . also elevator break wait 45 min freight elevator ! room nice good location couple minute walk magic mile . 
 Sep 29 2009 	 need renovation 	 street renovation , hotel not ... need good one . towel wear - out hole , not shower cup bathroom , shower courtain quite old , reception two sofas couple armchair , bar . hotel smal pool small fitness room . worth price charge . well option Chicago . 
 Sep 10 2009 	 great hotel ever well location 	 much research , choose stay Hilton Garden inn great rate location . location could well . get Red Line & quot ; L & quot ; , walk step right outside lobby hotel . Rode subway bus everywhere go , not walk hotel 's central location . also , free trolley to / from Navy Pier stop directly front hotel . full , grab city bus ( # 29 ) also take Navy Pier . the front desk friendly , professional , helpful . since arrive around noon , room ready check - in , leave luggage bellhop way explore Chicago . come back , room ready retrieve luggage . the hotel clean , well - appoint , everything seem working order . bit concerned noise base review absolutely problem , except occasional siren outside happen hotel downtown Chicago . the pool area nice small . enjoy hot tub one night long day walk . we definitely try stay next trip great city . 
 Sep 10 2009 	 magnificent ! 	 arrive early Chicago hope leave luggage hotel ... room already available , even 10:30am ! location could not well , service amazing . 
 Sep 9 2009 	 Noisy Buy Nice 	 stay several time hotel nice great location great restaurant attach . however , notice rate drop HGI due economic downturn suppose get & quot ; town party & quot ; crowd noisy come go hour night . not enough noise , 22nd floor could hear people street woope wee hour . many many siren could hear traffic noise especially motorcycle . noisy hotel . 
 Aug 8 2009 	 great location downtown stay 	 stay hotel stay July . location could not well . hotel two block Michigan Ave . ton restaurant within three block area easy . red line literally right front door , free Navy Pier trolley run right hotel bus need tourist item two block away . staff friendly hotel clean . parking garage next door self park save money . pool small , temperature perfect . workout room lot offer . would definitely recommend anybody look downtown stay would stay . 
 Aug 7 2009 	 EXcellent Location 	 hotel perfect location .. block Magnificent Mile ( Michigan Ave ) .. train Subway right front hotel , , take train Wrigley Field , Cellular Field theater district see Jersey Boyzz .... parking little expensive $ 44 per day privilige city much choice .. on - soite restaurant Weber Grill good food , plus surround great restaurant shop around ... indoor pool make little one happy , although ventilation horrible pool area , chlorine smell lack cool air make difficult stay long pool area we ... room modern , clean , complaint .. return part Chicago would stay problem recommend other .. 
 Aug 3 2009 	 would definitely stay ! 	 Pricelined hotel short getaway meet friend Chicago . ~ pay want , still great deal ! really great location ... short block Michigan Ave . corner room lovely , view outdoor rooftop landscape track next door . room little cramp two queen bed , rather one king , everything could want . build - in cabinet microwave , counter w / coffee pot & amp ; fridge pretty ~ want one house ! bed comfy , except find stick sheet , due thick pillowtop underneath . overall , great place great getaway Chi - town ! 
