Nov 	 Favorite City 	 Great Hotel close Moscone Convention Center work downtown walking distance anything want . 
 Oct 27 2009 	 Great Hotel wonderful staff ! 	 look clean , convenient hotel - . short walk cable car turnaround easy access F Line street car get Fisherman 's Wharf Ferry Building easily . first time San Francisco not know way around thing close helpful . staff concierge desk fabulous ! assist we several time direction even make dinner reservation we . location also close Westfield mall along several restaurant close . hotel along room clean . budget may want eat outside hotel restaurant quite expensive . room good size could use tad drawer space . although corner room two large window not much view low floor . honestly though not spend time room though not matter much us - great view nice . parking extremely expensive keep mind car . location convient without car though ( one reason choose ) . 
 Oct 20 2009 	 nice room great bed 	 Marriott clean , efficient hotel fall 4 star catagory . bed ultra comfortable view great . valet parking front desk check efficient . room bathroom large normal hotel . large screen tv desk area great relax work . free Wi - Fi area lobby large area plenty desk space spread . nice since hotels America bind determined try pry extra money we use internet access room . parking area expensive ' look safe , pay $ 55 day valet . Marriot ' offer self parking . give cheap rate $ 95 Priceline blind bid 4 star hotel . make stay even sweet pay normal $ 185 . 
 Oct 19 2009 	 Time room refresh 	 perhaps old room , hotel good location high rate , room lot lack . old , free WiFi , expensive parking , etc . 
 Oct 17 2009 	 want bed ( nothing else ) - fine . 	 hubby Oracle World probably business traveller hotel might ok ( although free wifi ) - leisure much . room small - like pilate room , not big enough . free breaky , free wifi . window room dirty could not tell weather like . good location - close Union Square Westfields ( great food court ) . use spa facility - fine ( small ) . staff bell desk front desk overwork short . room dirty floor vacuum 3 night . 
 Oct 15 2009 	 Better 	 attend five - day Conference June . unfortunately , conference hotel . know store , would gladly pay cab fare commute nice hotel . first experience - outrageous valet parking ; charge $ 10 pickup car Hertz ( lobby ) . , check , discover several tv channel not work , decide take shower . bad IDEA ! shower curtain stank badly call housekeeping change . conference , keep return room ( leave AC ) discover maid keep turn ( guess try save money ) . room quite small price , furnishing date drab . bed comfortable several time call ask extra towel . send letter manager follow stay , al get boilerplate email back say thank share concern . oh , forgot ... try overcharge we Internet service . log 11:30 , stay online hour , charge two day ... like $ 25 ( go past noon ; nowhere say 24 - hour noon noon ) . bad hotel . bad stay . good idea stay elsewhere . hope first stay Bay Area . 
 oct 9 2009 	 Location location location 	 spend 3 night hotel work perfect long weekend kid . heart Union Square , could walk shop , restaurant , importantly kids- stone 's throw Kids Museum , bowling alley ice rink . we , location perfect not use car weekend . able make use hotel 's free shuttle pier also use cable car . hotel busy , modern high rise full amenity . concierge accomodate arrange event we give good recommendation . connect room decent size clean . con : pool crowd not nearly enough seat people swimming parking really expensive ( probably line hotel charge ) . otherwise , find hotel good we would stay . 
 oct 8 2009 	 hotel care individual small group ! 	 live & amp ; work group hotel around world . compel write revue due bad stay hotel . 's experience disappointment : - wait 20 - 35 minute every time need check - in talk front desk agent . line 30 40 person deep . crowded , busy lobby . great like stand lines.- Staff & quot ; job & quot ; mentality . service cross union line ...... - Spa/ change room charge $ 5.00 change change clothe change room . steam room full old , wet towel even bottle cleaning spray leave inside.- empty beer bottle elevator Sunday morning 10 a.m .... hard believe not much long , staff member seem care , maybe job ..... - many room , face interior courtyard room ... average room ... room like inside cabin cruise ship . Wish could say something good , unless part huge group need city 's large hotel , , stay elsewhere ...... save frustration ... black - eye probably make lot money Marriott ..... 
 Sep 29 2009 	 Average Hotel 	 Stayed Aug sister nephew . good location sightseeing . nice size room . pool great way nephew unwind force sightsee day . air conditioning slow kick . would recommend get good rate . 
 Sep 28 2009 	 good hotel not take car ! 	 note comment cleanliness , size condition room mention previous review , however find problem . room clean arrival keep clean throughout stay . air conditioning work properly . window could do clean room notice window 39th floor bar appear clean ; however see San Francisco outside . check efficient concierge helpful although small queue time consider busy hotel find problemhave Starbucks hotel also bonus early morning start ( open 5:30 ) although eat hotel buffet breakfast good . we hire car could return next day cost $ 55 - £ 35 ( include tax ) park night ! . cable car 2 block away Market Powell , however avoid long queue little tip get local ( work ) go block jump . cable car never allow leave terminal full . 
 Sep 25 2009 	 well hotel moscone area 	 tag along husband 's business trip see san fran . ' ve stay St. Regis work pay mariott . bad , a / c bit slow kick . turn a / c way 64 get comfortable next day . 18th floor concierge lounge pretty good free continental breakfast . bit crowded businessman . 's 1 block walk yerba buena gardens mission street shopping . feel safe area walk around alone . thing annoy not wifi signal room . supposse wifi lobby not want sit lobby day . would ' ve nice get wifi lounge without pay $ 4/5min . 
 Sep 24 2009 	 okay ... strange 	 Hotel okay ... room small cramp ... a / c cool room get fan entire stay . hskp okay ... room could use good vacuum , sticky residue vanity , hskp service seem hurried thing throw place around mess look room . strange concierge firend ask dinner recommendation see Kathy Griffin ( EXCELLENT SHOW ) start hit we state arouse ? ! ask we three way ! ( person know US ADAM ) admit married man two kid ! bad expect Marriott employee . assume friend gay though could act like ... could believe ! weird experience BETTER professional hotel choose ever stay . 
