Great 	 clean , great service location . close cable car turnabout shop . stay Studio suit travel family free breakfast promotion beat . negative & quot ; private & quot ; toilet room bathroom pretty standard staying suite . kid love ride glass elevator 19th floor location . 
 Nov 19 2009 	 excellent quality everything expect JW 	 stay September weekend away . weekend downtown San Francisco curious - horde tourist world give downtown give somewhat theme park feel city . absence local detract experience , say , JW Marriott exceptionally well locate right near Union Square , far BART / MUNI Market . I arrive SFO , walk JW Powell Station . not let anyone tell take cab to / from SFO Oakland airport . unless industrial sized luggage , take BART airport . arrive early morning , try early check - in , room not ready . not huge gripe except Marriott option early check - subject availability . wish would simply remove option since 's really downside hotel . create expectation traveller make hotel say ' no ' something first impression . notwithstanding , gracious take bag go sightseeing meantime . the room exceptional . sometimes Marriott interior generic 's impossible tell whether Bangkok , Boston , Bangalore . different - great picture SF theme true luxury edge room make special . service good - order wine cheese platter came promptly promise . cheese excellent quality , Stilton , Camembert Jarlsberg beautifully present . travel lot 's clear pride go extra mile here . downside : not blame specific hotel early check - in disappointment , Marriott really need give well guidance likely . problem elevator fully functional lead delay line elevator , minor . upshot : excellent quality five star hotel meet expectation . recommend traveler SF venture far afield downtown explore place like Mission , Haight , Castro get real SF flavor . 
 Nov 17 2009 	 great city great hotel 	 ' ve stay many Marriott location around world first time stay JW Marriott . hotel beautiful . great lobby match equally great spacious room tastefully furnish . stay point ' m sure really value money be go put credit card down . there one problem girl check desk one . ( see bit attitude get room specification wrong . take phone call straighten . ) however staff great . even refund full bar tab issue bill . concierge great . knowlegable informative . hotel central . everything need / want around walk distance . one good chain hotel ' ve stay .... globally . yes good ! 
 Nov 11 2009 	 wedding weekend 	 stay JW Marriott long weekend family member getting marry . easy check front desk staff accomodate . answer question go beyond help need it . the room spacious DH . bathroom lovely update granite counter separate shower tub . bed comfy tv good selection channel . order room service without problem room & quot ; valet & quot ; nice . the wedding also hotel . ceremony nice wedding planner seem organized . ballroom gorgeous food amazing ! use lot food serve cocktail hour wedding planner say order one pass item per person ( 4 pass item , allot 4 piece food ) ... needless say , ready eat dinner ! fantastic wedding bride groom seem happy everything ! parking tremendously expensive ... $ 40 per night . hotel , lot hide charge . example , take juice mini bar 15 SECONDS , charge . charge put anything fridge . 
 Nov 10 2009 	 JW Marriott ? 	 hotel locate ideal location , adjacent Union Square - impressive atrium - style lobby elevator soar floor . high point - first impression quickly extinguish several cleanliness service issue throughout stay . even importantly , high - rise hotel abound hazard young child window easily open curious toddler . in - law ' room , casement window could open entirely - without stop lock kind . frightening shocking hotel stature would allow hazard go unmitigated ( room 1109 ) . room , 1111 , window easily open youngster - stop . still , window open widely enough small child might able slip leg - still quite jittery ever allow daughter get near they . the cleanliness hotel also big problem . arrive room , use toilet first time , notice & quot ; resi - doo & quot ; seat lift . disgusting . also , glass shelf adjacent sink look like clean week . brown - color granite may nice hotel new - couple toilet discovery , dirty shelf dim lighting - get creep . once shower , water pressure SEVERELY lack . know everyone try save water , need subject water flow closely resemble eye - dropper ? gym contain unusual awkward equipment kind dirty . definitely fitness & quot ; club & quot ; - smallish room pack mostly treadmill , elliptical machine , etc . go someplace else - hotel look like Marriott surface , operate like Holiday Inn . way many option SF pay full fare ecomomy class . 
 Nov 5 2009 	 could perfect ! 	 JW Marriott rank top 3 hotel time ! everything absolutely perfect . need leisure hotel 2 night , pricelined hotel $ 99 night . however , stay priceless . front desk staff top notch , conceirge bang suggestion , room .... ahhhh , room . could improve upon . 
 Nov 5 2009 	 nice great location 	 room impeccable club lounge everything need breakfast . front desk staff helpful polite . excellent location everything . would stay . 
 Nov 3 2009 	 great central location downtown 	 wife stay hotel 1 night side trip napa San Francisco Tahoe . want start say travel usually stay resort beach area , Las Vegas , resort area . neither we use stay downtown hotel start review state negative place , size room . much small used staying , ' m sure par downtown hotel . the staff nice , especially bell service . person bring luggage helpful even make little map we get apple store forget laptop charger . room nice . equip king bed flat panel t.v . , really enjoy room , exception size . eat room service great , though expensive $ 145 we . room not bad $ 255 include parking . stay would highly recommend booking rate include parking believe 's $ 35 per night . the location handy downtown offer 1 block trolley's . one thing need mention JW 's lack wireless internet . stay JW Oahu March also wireless internet . free wired service , wireless kind pain . 
 Oct 31 2009 	 Great Location Excellent Hotel Business Leisure 	 ' ve stay multiple occasion business leisure travel JW Marriott San Fran excel provide solid experience . frequent business traveler ( 120 + night year ) hotel right mix . nice concierge lounge , good fitness center weight new cardio , good area / neighborhood , great desk setup w/ herman miller chair , comfortable bed . get great corporate rate , can not comment cost / benefit . loyal marriott guest top hotel group . 
 Oct 25 2009 	 great location clean good service 	 stay hotel attend meeting hold on - site . piece cake get hotel airport BART . rapid check - in , although two adjacent room ready time . room spacious well - appoint . real view . 11th floor , room quiet . always love in - room coffee little one - cup device perfect . huge , comfortable bed . good work desk task chair . not try food restaurant , breakfast food conference excellent . easy walk Union Square Chinatown . easy access public transportation . many decent restaurant area , within 3 block radius . lot shopping , also . 
 Oct 19 2009 	 elegant comfortable great location 	 book " city view " room , also request high floor , get ( floor 16 ) . view ' great ( see picture ) , much well look wall another building ! room large , newly appoint , course great Marriott bed . bathroom good part- spacious , lot shelf space , mirror wall , separate tub , etc . atrium glass elevator gorgeous . the location perfect tourists- one block Union Square . one really nice feature drive hotel driveway Mason Str . turn leave car valet parking ; lot hotel area , try find place pull street front hotel ( always fun downtown traffic ) . valet friendly helpful , receptionist . highly recommend overall . 
 Oct 18 2009 	 terrific hotel 	 one beautiful hotel San Francisco ( stay many ) perfect location , lovely rapid service , gorgeous room look brand new bed die . bathroom huge gorgeous full bath also hand sprayer separate shower full power shower head rain wonderfully . new flat screen led tv ( 40 & quot ; ) .Small downside charge room safe find odd although offer one front desk . reception desk small , people efficient . sure would happen & quot ; rush hour . & quot ; stay . 2 block Union Square Post . oh ... nice little touch area outside one might wait car meet friend comfy seat area . 
 Oct 18 2009 	 great place stay 	 lot research stay b / c picky . honestly say hotel exceed expectation . top line everything , room , bedding , service , etc . room nice , upscale bed comfortable . location perfect . spare expense hotel . concierge extremely helpful ! accommodate staff . would definitely stay . bad thing think kinda scalp internet access ( be like $ 12.99 ) , per 24 hour period . Wish would little reasonable . use iphone instead . , truly nitpick would use one factor deal stopper , FYI want use laptop . 
