MGM 	 beautiful room , great view , close much fun , include much need Walgreens & amp ; CVS Pharmacy . Nathans awesome & quot ; fast & quot ; food . pool gorgeous . Television City fun . casino crowd cool . negative free amenity ; mini - fridge , coffee pot , essential family . otherwise fantastic ! 
 Great Hotel ! 	 hotel great ! busy , always treat like value . bed extra comfy , show KA David Copperfield MGM see ! like MGM something every time day . great pool , huge casino , lot show , lion habitat , amazing ! would stay ! 
 good family 	 not come gambling nightlife , come chill end long road trip . although Vegas mad hard work find hotel relax pool complex fantastic . hotel 's location great low end strip monorail back bus stop front - would not bother monorail time ' ve walk back hotel could bus away strip . grand tower room ( clean v comfortable ) 29 , bit daunt first worthwhile view great get free wifi skyloft . 6yr old daughter love pool , ( sleep ) lion , Rainforest Cafe , New York fairy castle across road , good bellagio fountain 20 minute strip . 
 Grand 	 first trip Vegas book MGM high hope - take we around 30 min get check . seem enough front desk staff handle volume people come through . when get room disappointment - firstly smell damp ( possible Nevada ? ) . one kid immediately need restroom report back toilet clean . room miss coffee maker fridge old tube tv - feel 10 - 15 date . pay Internet $ 15 / night seem steep quite low speed . the Grand buffet disappointment breakfast - carbo heavy offering little fresh fruit cereal - display counter top cooking station clean several week judge thick layer dust . also poor Sudio Cafe breakfast - Denny 's quality $ 30 per head . the casino however one well play week . we stay 2 night happy move strip venetian order magnitude well . go somewhere else well money ................ 
 MGM good 	 First hotel huge ! something like 6,000 room . good part ton thing hotel without ever leave . , leave , right middle everything . highly recommend Ticketbooth block street . get ticket Cher $ 60 ! hotel , room nice bed comfy . stay regular room time try West Wing . not bother spend $ upgrade . room small bathroom room - door , shower next sink toliet . strange . regular room much well , large view ( West Wing bed window ) . third time MGM would stay . use trip advisor get great deal $ 25 day activity credit along $ 70 night rate . far good rate internet . thank trip advisor ! 
 watch wallet ! 	 MGM blatant corporate edifice . want coffee ? starbuck available , least 5 . catch movie ? nope . . eat reasonably ? ha ! really joke . free WIFI ? yes ... $ 14.95 / day . the whole experience depress . take 45 minute check . afraid take long , could check time . stay away MGM . 
 great stay 	 Awesome hotel / casino .... absolutely monumental size great value money . casino look far great rounder . superb food shopping , really friendly staff nicely present room 
 hotel meet Las Vegas requirement ! 	 glad book MGM 5 day Vegas . staff accommodate check check , room clean beautiful view . bed extremely comfortable . restaurant range plush plush special section McDonalds Nathans want something simple . starbuck add also . its also great place gamble good location . 
 Las Vegas MGM Grand 	 Top Notch Hotel ! please accomodation ! 
 Great Service - Lotsa Fun 	 thoroughly enjoy stay MGM . take lot walk around get bearing , moment arrive , impressed . massive hotel benefit Cirque , shop dining right doorstep . one thing , prepare cost dine one many restaurant within hotel . delicious , expensive dinner seablue . great bar plenty slot . would return . 
 Nov 25 2009 	 lion 	 lion sweet , lion hotel awsome . 
 Nov 25 2009 	 gorgeous shame noise 	 pro : - great location , minute walk ' main ' part strip- Cheap- large , well decorate , clean room . review say deco outdate etc , pleasantly surprised style room ( mute beige tone , black white print Marilyn Monroe wall , giant bathroom ) - good in - house entertainment ( Studio 54 , Cirque du Soleil show ) - decent casino ( although never actually see lion - seem hour , , cage area ram people ) - hotel not seem full noisy stag 's hotek within price rangecon : - wall appear paper thin , could hear everything people next room saying- overprice in - house food , 's typical Vegas 
 Nov 24 2009 	 big Comfortable Great Location 	 hotel destination . intimdate large . walk around hotel long trip getting lose hard first . get bearing , good hotel . stay West Wing . trendy , clean , well plan room recently upgrade . however room small . sure worth upgrade . bellman excellent staff encounter . location perfect . right heart south part strip . monorail also stop hotel . dissapointe . 
 Nov 24 2009 	 Wheelchair access 	 travel 80 year old mother make easy help MGM staff - check casino , get cab , attend show - joy - room 18th floor - lay handicap access - also rent wheelchair hotel . much like cruise ship , could stay hotel find meal choice , show , casino fun ... great four day 
 Nov 23 2009 	 Great Weekend Family celebrate 75th Birthday 	 enjoy great weekend three couple mother . staff friendly genuinely interested happiness . room nice bathroom large . enjoy drink Rouge West Wing Bar . Breakfast Studio Cafe good ; sandwich Emeril 's bar tasty beer list extensive . celebrate birthday Fiamma offer good food wonderful service . already plan next trip agree would like stay MGM . 
 Nov 23 2009 	 Mediocre room comfy bed lot walk great poker room 	 room end long long hallway paper thin wall could hear everything next door . bed comfortable lot pillow . tv father 's tube tv 1985 complete rolling interference wave lol . bathroom super basic mostly clean . view airport . fridge , coffeemaker . not use safe seeing easy room safe break screwdriver strong arm . not see use pool . the poker room well run . the club usual jerky bouncer admittance staff . the valet parking efficient professional . the lobby pack people check lol . overall , like low - mid stake poker casino game get place deal , use room sleep etc , be fine . not expect much though will happy ! probably would not return except poker room ( hear pool good summer ) . 
 Nov 22 2009 	 great stay ! ! 	 MGM Grand 3 night stay . room West Wing . room perfect , large enough clean . get difficult even quite quick casino . corridor West Wing obscure reviewer qualify . not afraid accept room part hotel . room near elevator could hear stop we good sleep . spend afternoon lazy river . ambiance lively young . check - in check - out do rapidly , almost wait time . throughout stay , every staff member always courtious efficient . would definitly stay . 
 Nov 21 2009 	 Great Hotel apart check in / check 	 first time MGM Grand impress . main reason come Vegas Poker , not really check anything apart poker room , can not remember exact price , definitely graet value buffet include , downfall would wait time check definitely 1 hour , bit short check , wait time buffet . apart great place , definitely back next yaer 
 Nov 20 2009 	 old cheap 	 MGM Grand impose structure middle Las Vegas Strip . first time stay , hotel casino less impressive . room clean enough , large bathroom . add credit card room check , unable point later stay - line front desk long , hotel allow phone . however , tv old beyond belief , small screen poor picture . approximately 5 channel , many show Vegas advertisement . lighting room much romantic low - light , enough one want read , work , even comfortably try clothe . mirror available bathroom . light fixture also old ugly , plug equally old electrical outlet , near - desperate need repair . radio - alarm clock rival ancient speciman typically find middle - of - nowhere motel . enough room , let talk hotel . lion impressive , lobby huge , buffet look like typical elementary - school cafeteria . dance club Studio 54 look like ambiance not update since 54 year ago , although dj great job . sparkle water could find one bar , plain wanter available other . italian restaurant desert decor ( desert Italy ) interesting item wine list . get service take forever , food unspectacular worth price . casino middle - of - the - road - spot smoke other , dealer nice other . Slot machine 
 Nov 19 2009 	 one big town 	 well locate one end Strip st . , MGM Hoterl Cassino call attention right airplane , arrive airport . inside will need map top locate one 6.000 room available . not like gambling ? try one pool outside ( well summer ) , climatize private cabana . there three major theatre , one Cirque Du Soleil 's Ka . want ? go restaurant ( many , include grand buffet R $ 25,00 / person ) galleria mall small variety shop . ask high floor nice view window . 's wedding chappel free internet . 
