good 	 good hotel . bit old fashioned taste please many . great service check onwards . staff could not fault . upgrade fro £ 50 suite one night room bathroom excellent . problem handy King 's Road , Sloane Street Knightsbridge . Upmarket safe feeling area . 
 Great 	 book hotel via Lastminute ( normal London hotel full ) . great , really good bedroom bathroom - high quality bedding , towel etc . ok common area bite tired - staff friendly room great . 
 Nov 16 2009 	 hotel owner never see management .. 	 ? stay 6 night wish 6 min . . arrive hotel give room feel like technical departmant hotel .. even can not see outside window , cause pipe , ventilate heating system surround front window . difficullity move another room small room bathroom pay 240 pound cabin . even do not chance shower bath tube .... anyway , exhibition london chance find another hotel , everywhere full.everybody mostly east europe people do not speak fluently english except concierge guy hotel ... waiter gossip breakfast instead serve ... alot say one guy think manager hotel really special , never see life . find job instaedof hotel bussine . never stay . 
 Nov 11 2009 	 great location charm service 	 London 5 night stay starwood point . choose Sheraton Belgravia location , review boutique description . disappoint . neighborhood lovely , close Knightsbridge , Sloane Street , Chelsea Mayfair . reception low - key sat manager check . room spacious bright , sit area . bathroom large well - appoint . air - conditioning exceptional . continental breakfast ok , omelette superior . breakfast area cozy comfortable . staff accommodate start finish . want send item home begin four week trip manager provide box even ship ( expense convenient ) . also make sure british newspaper choice deliver room every morning place one offer . sad closed renovation return next summer . also may rejoin Starwood . part uncertain , way understand . reopen , new improved hotel great area grace street Belgravia . 
 Oct 29 2009 	 nice place - bad close 	 place clean well locate , although need walk little bit get Tube , Harrods , Tate Britain ... Studio Suite high floor ( 10 floor ) nice view . see much staff need fine . place leave Sheraton chain 12/31/2009 , still well keep there . small issue : toilet tank take ever fill , London high end hotel service cheap ( Wi - Fi , breakfast ) , least efficient ( fast Wi - fi good breakfast ) . also , builide eyesore . overall good place London . 
 Oct 15 2009 	 Nice hotel ... good great 	 return four night stay Sheraton Belgravia niece . agree other lobby lovely welcome nice . unfortunately , lot issue reservation get correct room . first , book room two bed since travel 24 year old niece . love , enough spend four night bed ... second , day arrive send email ask want upgrade & quot ; Executive & quot ; room extra charge . four night decide upgrade . however , check , give room king bed . call front desk tell housekeeping could separate bed . problem hotel 's definition & quot ; separation & quot ; mine two different thing . go & quot ; separate & quot ; bed simply put twin sheet mattress . wall one side bed , desk , way physically move two bed apart . take good 20 minute get agree put we actual & quot ; executive & quot ; room two bed literally & quot ; separate & quot ; . room end perfect problem solve . next issue : lounge checking , see menu list & quot ; American Breakfast & quot ; 15 pound . , get room sort go get breakfast . problem ? ? ? order American Breakfast restaurant ( place serve 11 a.m. ) price become 21 pound ! ! six pound exact meal . kind thing really annoy . someone need help understand egg , bacon toast dramatically change cost one hour next . not get . fortunately , issue end . rest stay service great , room clean bed comfortable . yes , place need update perfectlly comfortable . , can not give high rating check really affect feel place we . wonderful neighborhood walk tube hop cab . worry . would stay ? probably would . 
 Oct 7 2009 	 good value nice area 	 good place business trip . Liked fac close victoria station close . woudl stay 
 Oct 7 2009 	 wonderful surprise hotel Posh area 	 stay recently use free night can not give accurate picture value price pay quite happy place . hotel 2 major Tube station bite awkward get foot luggage 's issue take taxi bus . forget desk check - in enter breeze past almost elevator realize 2 desk leave check - in concierge . someone actually check , concierge kind enough help . trouble find reservation , agm Andrei , come assist provide outstanding service . since not want everyone going expect , will not disclose perk give say upgrade stay get fabulous room addition couple perk . great job welcome attitude service . room comfortable bathroom decent shower amenity . not dine drink bar nice chat bartender ( friendly service ) .The area behind posh shopping area Kensington ( Harrod 's etc ) residential neighborhood , may place typical tourist . however , street Waitrose grocer small cafe ( Starbucks ) want grab bite eat . otherwise , Chelsea King 's Road short walk south hotel lot restaurant shop sloane Square well Saatchi Gallery . definitely enjoy stay would consider come . 
 oct 4 2009 	 great hotel charm character excellent staff wonderful location . 	 go London experience Europe 's history decide want stay sleek modern hotel , one history 's . disappointed . read reviews site hotel complain & quot ; desk & quot ; use check , instead grand counter , tiny elevator , small bathroom etc . find part charm place . beautiful inside , character love stay . staff amazing , helpful friendly , could ask well . hotel keep clean tidy , room common area . food excellent , really enjoy lounge area private little nook sit , drink unwind long day explore . neighbourhood fantastic , lovely building everywhere , close two subway line , lot shopping include grocery store within minute . concert area one evening feel comfortable walk late night . ever go back London stay . 
 Sep 24 2009 	 good base London visit 	 wife stay 5 night . 's good location tourist like we , excellent dining option area ( include great breakfast cafe around corner modern indian restaurant - Amaya - miss ) , Underground stop far away . chain hotel , find staff friendly helpful ; feel individually care , anonymous pawn . room lovely , large terrific window seat ( see odd bulge exterior view remember add real value inside ) . would recommend , would return 
 Sep 21 2009 	 great location terrific staff bring earplug 	 usually stay Park Lane , decide try Belgravia two - day stay 3 - week business trip . staff excellent . Executive Room 4th floor , little beat ( wall need touch ) fine , whole . ' m Starwood Platinum member , travel half year -- always stay starwood property . my complaint -- be fairly serious one -- acoustic build terrible . seem old , somewhat rickety structure , could hear couple next door speak normal tone voice -- thank goodness quiet people ! sit bed , maid close door either adjacent room , wall behind back vibrate . 1 - 2 & quot ; space door , 's wonder hear everything hallway adjacent room , one . I ' m fence whether would stay -- love everything else place , noise really bothersome . know soundproof expensive ( husband architect design two hotel ) especially old structure , may require wait hotel undergo major renovation . 
 Sep 19 2009 	 doubt staff make hotel great 	 stay end 2 week trip . hotel old clean good feel . location little inconvenient tube , always taxi available . ( sometimes take tube station ! ) concierge available ready help anything . the restaurant staff though make like dining friend . leary hotel restaurant . usually convenient . food good staff make sure get exactly want . Kelly Cristel smile morning serve whatever want . one morning dine window alcove lobby , next morning dining room . friendly smile , right touch lot coffee ! evening charming Fabrizzio . last night 25th wedding anniversary . long trip course , London , rain hard ! stay dinner Fabrizzio make memory . even wonderful desert wish we Happy 25th Anniversary feel special . not know hotel find wonderful people hope realize special . 
