Nov 	 Great Stay 	 hotel great place stay Montreal . well within walking distance great shopping , dining , sport . 
 Oct 18 2009 	 Le Nouvel Hotel - Montreal Quebec Canada 	 great hotel . even though room face busy street front hotel , never hear noise . room well keep . nice furnishing , though could ' ve ottoman chair . free wireless internet service accessible room . bathroom sparse , functional . great cable tv -- many channel choose , like ( though Montreal great city , would spend much time front tv mystery ) . hotel include full ' american breakfast ' price . good food , even thing day . least could fuel day 's adventure ahead need worry get breakfast . excellent service front desk . need refrig room , ask shall deliver promptly . thing go bathrobe ! centrally locate hotel , well worth modest room rate . excellent value ! would certainly stay . 
 oct 9 2009 	 Nice Hotel 	 hotel nice . desk staff pleasant take care need . suggest nice , nearby restaurant Michel 's dinner . subway station far away get anywhere city . 
 Oct 8 2009 	 fine hotel perfect 	 hotel comfortable bed lot space . room clean . location good , center city short walk subway . however , non - smoking floor smoker right we . downstair neighbor smoke , vent bathroom . front desk offer spray scented spray solution , preferred smoke chemical . safe not work front desk offer viable solution insist keep valuable we . overall comfortable hotel , perfect . 
 Sep 10 2009 	 good location visit Montreal 	 good location visit Montreal . room large comfortable . staff polite effcient . nice . I would recommend hotel anyone . 
 Sep 4 2009 	 helpful staff 	 book hotel 8 day late Aug / early Sept. Hotwire . tell Hotel Le Nouvel read review Tripadvisor concern negative comment . lobby quite nice , elevator door open see somewhat dingy corridor really worried . however , room large , clean , bathroom new fixture , clean , everything work . true , furniture somewhat date , bed comfortable , find fault linen , see small tear blanket , clean . kitchenette save oodle money , since breakfast include . fix breakfast even supper , heating stuff microwave small stove top . find nice store Rue St. Catherine purchase food stuff . good , however , bilingual front desk staff patiently courteously helped find way around . live Montreal 50 's want retrace past , immigrant live , work , shopped , tourist path without help could done . Merci beaucoup ! complaint slow snail internet , upgrade shortly . MallelePS - use Metro extensively , easy understand . 
 Sep 3 2009 	 Great Location 	 great deal , great location , one street downtown & amp ; shopping center , room clean & amp ; big . breakfast buffet time , everything fresh . front desk people poilte & amp ; could speak 3 language . 
 Jul 30 2009 	 Great Location 	 friend girl 's trip find hotel okay . location definatley big pro bunch . list pro / conspros -location . close St. Catherine subway.-quiet ( never hear peep ) -Free internet - Clean -Staff ( friendly helpful ) Cons - Def 3.5 star rate Hotwire - Pool ( small ) -jacquzzi ( pay $ 20 per use - free ! ) -Outdated Style Rooms ( Lobby great though ) -bathroom need work ( drain extremely slow air exchange barely work ) overall , perfect location great price Hotwire . would recommend other look good budget hotel . 
 Jul 27 2009 	 great hotel location 	 can not believe stay hotel accord previous review . stay condo suite four night satisfied . room huge , nicely decorate , immaculately clean quiet . bed comfortable bed linen perfect condition . kitchenette convenient nicely appoint . park street free close subway , rarely use car . neighbourhood safe quiet . staff helpful accommodate . great rate Montreal definitely return . 
 Jul 27 2009 	 Bed Bugs needless say ! 	 first hotel seem nice clean . basic bed basic bathroom even Neutrogena stuff . tv 's remote control not work . location okey especially be keen shopping . friend buy new dress get first bite figure come dress . appear we couple day later actually bed bug . friend look horrible mention laudring ' ve . moreover , might bring bed bug friend 's sister 's place . find one futon spread fast ! ! ! suggest check bed really carefully not leave yor stuff floor . possible , not go . will never go ! 
 Jul 23 2009 	 stay hotel 	 book Hotwire expect 3.5 * hotel . find stay Le Nouvel Hotel , call hotel directly request smoking room . receptionist say not problem say enter reservation . when arrive hotel evening , tell smoking room available . explain call hotel directly tell nothing file & quot ; book Hotwire . & quot ; front staff tell overbooke nothing available . finally ask could find smoking room , give we non - smoking room condo side . when open door , room strong odour similar moth ball , nauseate . immediately call front desk inform . tell nothing could overbooke . could send service man see could anything . service person come ( around 11 pm ) say not right room smell bad . helpful ( not able resolve problem though ) offer open one window . involve many trip . finally , 1/2 hr later manage , difficulty . tell we call front desk morning get new room . since back onto busy street , pretty loud sleeping night . odour still strong window open . needless say never get new room .... check explain front desk disappoint could not find different room despite phone call . front desk polite respond & quot ; sorry not enjoy stay . manager call you . & quot ; offer credit we , expect pay full amount stay horrible room . needless say , one call back . I accept room date , want non - smoking room strong odour . other thing ... lobby look nice hotel date . the gym nothing excite . small basement room . 
 Jul 22 2009 	 fun breakfast nice luxurious appear online . 	 hello ! great time . front desk wonderful helpful . room little bit old fashion luxurious seem photo online . elevator slow , maid little grouchy , business center ( 2 computer lobby ) die turtle slow , water pressure shower slight . swimming pool good little walk many hall , tiny . swimming lap silly . gym left lot desire well location . however , still fun big problem . breakfast include AAA rate wonderful ! also lovely courtyard . come much contemporary comfortable hotel Toronto pay less . 
 Jul 21 2009 	 great location spacious room 	 Close Bell center , underground ( pay ) parking . parking 15.00 / day everywhere Quebec . like large room . pool suprise . 
 Jul 6 2009 	 check early ... moderate standard 	 disappointed hotel . look much well line real life . suppose stay 3 night leave one . grant absolute bad place , type person like clean , comfortable room fresh sheet towel , hotel disappoint . bed terribly uncomfortable , even bad sheet wear old not even look clean wash . towel . everything room feel old dingy borderline unclean . 's comfortable way spend amount time . check could enjoy rest stay Montreal dread come back room long day enjoy city . 
 Jun 30 2009 	 good hotel - glad much 	 get hotel Hotwire - glad , front desk find regular rate - would pay place . room - spacious - date . service - issue . activity - pool small . Misc - centrally locate - could walk everywhere Montreal.3/5 
 May 29 2009 	 Awesome place stay ! 	 hotel overall great location . clean , good service would place would stay . good price overall great stay . 
 May 4 2009 	 Place Dump 	 book Hotwire 4 star hotel . room smell smoke , hallway musty pool non - existant . staff great though bad , far 4 star hotel 
 Mar 30 2009 	 average 3.5 star 	 pro : hotel clean great location . staff friendly . bed comfortable , room spacious . con : everything bit dusty include reception area . empty six pack beer balcony outside window . everything outdate , specifically bedspread , blanket . blanket even hole . bad money location . 7 minute Metro stop . however 3.5 star Hotwire suggest . 
 Mar 15 2009 	 4 even 3 Star Hotel ! 	 Hotel well situate near Bell Center ( Montréal Canadiens hockey club ) 10 - 15 minute walk anywhere downtown 5 minute walk subway station ( Lucien Lallier Guy Concordia ) .room clean everything badly outdate . hotel 's website rate « » 4 star , site 3.5 , other 3 ... 2 star MAX ! be clean , not expect anything well ComfortInn Travelodge . 
 Feb 25 2009 	 Fair room worth price 	 husband go weekend trip Montreal decide stay . pleasently surprised , get 12 book not 3 still give we room . get room outdate , overall clean . bed confortable gross huge burn stain blanket . open drawer find 2 extra pillow extra blanket plus . get tv channel get wifi key get surf net cell phone , plan day leave hotel . oh love close St. Catherine . what not like suppose 4 star pay 4 star price outdate . felt not get money 's worth . 
 Nov 11 2008 	 Le Nouvel Hotel Montreal 	 hotel conveniently locate near vieux Montreal , Visitor Center Shopping Malls . nice room second floor attractive price ( book via visitor center ) although room street , feel clean spacious luxurious compare other . hotel look old , well maintain skillfully decorate . breakfast good . recommend hotel single night stay . 
 Oct 18 2008 	 barely 2 Star 	 locate quiet area towards outskirt Montreal , plus place . I inform 4 star hotel , barely 2 star hotel . fake flower bouquet room ; small old style tv ; dingy hallway ; cigarette hole sheer window curtain , etc . 
 Sep 28 2008 	 worth effort . 	 arrangement make well advance hotel upon arrival , travel day internationally get , find upon lobby rebooke stay another hotel block Day 's Inn hotel overbooke room . what ? ? ? okay , try roll , 's address new hotel .... call find booking . come , instead ' ve book Travelodge instead apparently far away can not walk . kindly , say pay cab ride .... must not jump joy offer , must point voice disapproval suddenly find could honor booking . maybe stay mistake . the hotel need serious update not look like be remodel since early 90 's . outdated bedding decoration , tube tv horrible reception , bathtub peel anti - slip strip wi - fi work inside doorway hallway closet . forget even try get signal desk near window lovely view two apartment building within spitting distance . do mention always something miss cleaning ? not shampoo first day not replenish bottled water next . rate four - star hotel Canada , go extra mile find 5 - star . I will leave positive note tho , least give paper use free internet machine printer lobby . 
 Sep 14 2008 	 worth money 	 stay three night September . the hotel definitely worth ~115 per night , include breakfast . key understand whether meet individual expectation . if enjoy stay room nice time hotel , probably will not work . look decent , clean place stay close action , hotel work perfectly . it one block St. Catherine , toward rougher end ( absolutely safe definitely get nice toward end ) .room reasonably sized , bathroom bright clean nice big name hotel , also shower / tub huge ( mention , will not lure staying room ) . bed reasonably comfortable , room completely darken blackout curtain , AC work well bit loud . tv old school work fine . little kitchen area quite nice burner , sink , microwave , coffee pot . Taxi $ 38 airport . hotel nice breakfast spa offer bunch service . internet free two computer lobby . small gym couple cardio machine free weight . not check pool see sign point toward it . staff extremely polite helpful , first room go strong scent move quickly . also issue in - room safe ( would not open room key ) maintenance came open ~5 - 10 minute . hope help . 
 Sep 4 2008 	 horrible ! 	 bad experience , never ! ! apparently next door take dump , odour slowly creep room . washroom floor sticky , quite alarming , & quot ; NON - SMOKING & quot ; room smell like smoke ash tray ! ! furniture outdate , actual le nouvel website decent look picture , get , quite deceiving ! nice thing hotel nice lobby . staff ignore walk door , 10 minute , finally realize customer wait . save money , well motel ! 
 Aug 1 2008 	 Bad Great average 	 hotel ok . be neat clean date , room smell like cigarette smoke . front desk service would expect , nothing special . the location ok . be quite walk old Montreal , could catch metro . 's 1 km get city center area bar . I think hotel bit pricey . overall feel pretty neutral hotel . would look hotel stay next time , not find anything well price range would consider stay . 
 Jul 16 2008 	 pleasantly surprised LeNouvell 	 base previous review , appear Nouvell Hotel make improvement . desk staff attendant pleasant informative , room clean quiet , lobby attractive . close walk downtown subway connection Old Montreal . book last minute Quebec tourist information site St Catherine , great rate . please overall . 
 Jan 21 2008 	 great hotel good location 	 really good hotel price . room modernly renovate comfortable . hotel locate close underground rue Catherine . staff helpful complementary business facility bonus . gym however difficult get small . round good hotel definitely stay Montreal . 
 Jan 20 2008 	 call old shack 	 hotel unpleasant moment walk notice place update due orange lounge chair .. front reception desk nice staff bitter idea anything Montreal . ' offer early check arrive 8 wait 3 pm get room . the room : basically sleep well Motels joint . the room update , enough light room bed hard bed sheet smell bed cover thin call room service extra blanket never come , two flush toilet stay 7 flr old part hotel face street look St Margaret De Youlive bathroom mention two flush toilet floor blue counter tile hold picket . water either hot cold ' recommend room stay one night l ' rest hotel experience Area 9 block downtown core two corner store area close highway two block main street Metro fast system stay green orange line ticket 2.75 35 dollar airport 
 Jan 2 2008 	 bad Hotel ever ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! 	 bad hotel ever stay , life . experience traveller place gross . chair lobby rip , book studio suite go scary location apartment mixed hotel room . ask nonsmoking , could smell smoke . the linen dirty , shampoo condtioner room . mold shower wall , place smell . 1 night could pay go back . place shut . say DISASTER . 
 Sep 21 2007 	 Terrible Service 	 list 4 star definately . front staff rude helpful least . housekeeping inept neglectful . also two block away fire station would nice know prior booking . way overpriced get . 
 Jul 22 2007 	 great stay will return . 	 boyfriend stay Le Nouvel Canada Day weekend , pleasantly surprised cleaniness quality room , apprehensive read unfavourable review hotel . the hotel easy find , right Rene Levesque . underground parking available $ 15 / night ( in / out privilege ) , note drive SUV truck - height max 6FT . , ceiling expose pipe / wire area parking lot , sure remove overhead baggage enter lot , will fall car ( bad , damage roof ) . drive SUV , couple inch low ceiling , never see ceiling hang low parking lot . also , look sign hotel parking . lot share hotel condo next door , make mistake reading sign hotel parking head opposite direction . side lot dark creepy , use caution enter lot . parking space close hotel well light , although small . check - in quick hotel staff friendly . room face Rene Levesque , hear light traffic noise night . noise concern , would recommend ask room face away street . room spacious , nice sitting area . bathroom clean , Neutrogena bath product available . the hotel convenient walk St. Catherine Street ( 1 block ) many restaurant . breakfast hotel ( buffet $ 11 / person ) , nice selection hot & amp ; cold food . overall , great hotel reasonable rate . impressed room hotel general ( super picky cleaniness dissappointe ) . great place stay be look comfortable room unwind day sight - see / partying . 's Ritz Carlton , be great value Montreal will stay next time be town . 
