great 	 book two deluxe double double room spacious . bed comfortable . room hot despite turn heat turn a / c . second room plumbing issue . staff really friendly helpful display none superior attitude often encounter upscale hotel . 
 Nov 23 2009 	 good hotel midtown 	 stay number hotel mid town NY office locate . initially use stay Carlton Madison Marcel well price / quality deal ( company cut cost ) . travel NY every quarter stay week . marcel prefer choice room modern cosy / artsy feel . room big functional bed comfortable . ac noisy annoying summer ( colleague different room issue ) road noise hear somewhat room ( although many hotel issue ) . also stay Holiday Inn ( ok expect run quickly ) , Roger Williams ( need refurb ) , Kitano ( bit old style , comfortable roomy ) marcel well . separate bar / restaurant next door neighbourhood hot spot , lively good addition hotel . breakfast laugh . sure still first time breakfast receive plastic plate , bowl , knife fork ! obviously go back try . good hotel reasonable price would recommend anyone , except super demand . 
 Nov 23 2009 	 Fabulous Hotel ! 	 read review , bit worried hotel would like . first trip New York , arrival hotel first thing notice politeness hotel staff cleanliness . lovely receptionist give we great tip stay . ok yes , room small side , big enough need ! ! ! could do big mirror room though .... ! love stay , staff fabulous helpful ( answer question , arrange trip transport airport . nothing much ) , love funky room , location perfect . would definately come back Marcel . 
 Nov 22 2009 	 good find - space little limited 	 get fabulous rate eBookers one night -booke different part town - NYC 7 time always stay 40/50s region . drop luggage around 11:30 - room not ready 3 , offer upsell $ 30 meant would room immediately . not bother return car shopping . strolled 3rd 48th amazed residential feel number restaurant ! friendly welcome hotel decor funky . OK let honest small hotel room ever anywhere world ! know read review -i guess prepare small . clean , beautifully decorate stylish . small . bit logisitical problem put 3 suitcase . toiletry bathroom good quality shower - withover head rain - great . early flight follow day - hotel kindly order we town car $ 55 JFK.I would stay perhaps upgrade room ! 
 Nov 18 2009 	 mediocre good 	 hotel average good , factor price totally worth ! overall really small hotel extremely awkward layout . get elevator feel like walk maze find room . like many reviewer say , room really small , use stay NYC do not bother much , dislike room lack privacy noise control . could clearly hear conversation guest neigbore room speak normal volume - mean could hear everything say , street noise bother , know hear everything happen outside . old building lack insulation / noise control , rather consider guest comfort privacy work fix , try make look like modern hotel cover cheesey decor try hard swanky cool . bathroom poorly design , attempt sleek hip choose use immoble glass plate partial screen instead shower door curtain . bathroom lay way require literally climb toilet get around glass partition shower . partial glass wall do not even block water , climb back toilet careful slip wet tile floor . nutshell hotel seem try hard hip design lack real quality . price ask well , sure get 4 star rating . 
 Nov 18 2009 	 Great Location 	 day busy evening , Marcel well locate comfortable weary sightseer . hotel could fill entire day . room small , comfortable ' boutique ' feel . position hotel excellent . breakfast hotel pleasant convenient . staff helpful . complaint often long wait use one two ( ) computer available internet access . 
 Nov 16 2009 	 modern comfortable boutique hotel 	 second visit Marcel . many room small . however , lucky enough stay room corner another large room - GREAT ! staff great ... kind accommodate . really nice NY boutique hotel . would hesitation recommend . bathroom pretty small , bed comfortable , robe , wireless ( charge ) , large flat screen tv 's , etc . 
 Nov 15 2009 	 would love go back 	 get discount , definitely get value money . large room NYC standard . nicely decorate hotel . free use computer internet . staff not helpful , smile alot . 
 Nov 14 2009 	 Marcel good NYC Option liesure travel - go open mind 	 mom stay Marcel two night November 5 - 6 . first night mom arrive 10:30p . greet pleasant staff front desk give room two double bed 2nd floor . get elevator , weird smell . find room . room modern decor plenty space - ny , room small - expect get big room please . rate , walk room , hear loud noise come outside window . open curtain see nothing metal pipe - apparently heat / air conditioning system consume entire view make loud noise . go sit one bed , like mom , smell funny ? yes , see ash tray mini bar area . call front desk say ... smoking room ? smoke optional 2nd floor . well explain awful smell 2nd floor . ask another room , can not sleep odor . say sorry nothing else . tomorrow move . frustrated state can not sleep odor . say thing room queen size bed . mom choice move room want get sleep ( odor mechanical noise outside window ) . move 6th floor . small room queen size bed . room face 24th street . good thing ... sleep fine snuggle queen bed two night . stay NYC hotel around town find one quite despite other say . room clean location good . able walk Times Square Chelsea easily catch subway go place around town without issue . starbuck block away well drug store , restaurant , bakery , bar . pretty much anything could need close . book room online 241.00 per night much research think reasonable price hotel consider NYC . complaint fact accommodate room choice - two adult ( couple ) basically force sleep queen bed request two bed . I would stay would stress concern room preference time reservation . 
 Nov 9 2009 	 overprice shoebox 	 not believe hype - even Manhattan , understandably small room nice , decent hotel tiny , overprice shoebox poor sound insulation , terrible floorplans shoddy service / decor - may one latter ... Marcel Gramercy . stay away ! never stay . ever . 
 Nov 9 2009 	 great business 	 hotel room New York small , Marcel 's seem small usual . bed ok . hotel would good person vacation need hotel amenity . not great be go business . internet working , charge $ 30 . movie selection still try charge . restaurant right next story fab ! would stay . 
