clean 	 spend Thanksgiving holiday hotel . see negative review , pleasantly surprise friendly staff clean , comfortable room -- view ! sure , street noise -- welcome big city ! ! ! still , great location , easy access public transportation . streetcar stop right front hotel Bart Muni step away . would definitely stay . 
 Oct 20 2009 	 lobby gorgeous room room hell . 	 give double room third floor face Market Street . room look fine become apparent would able sleep huge amount noise come street . hence ear plugs drawer ! staff desk friendly allow we change say quiet room . room face sort internal well concrete wall face really room hell . tiny air circulation affect breathing . unfortunately prepaid four night . bad night spend anywhere . lobby hotel gorgeous . area outside scary . even give discount change room half size first one pillow thin bed cover . quiet except weird howling echo well morning . hotel spoil San Francisco we ; not accept internal quiet room , fact not stay ! cut loss move . 
 Oct 12 2009 	 place dump 	 would recommend hotel . old , dark dingey locate dodgy part town Lonely Planet recommend steer clear . ( wish would read first ! ! ) parking $ 30 PER DAY stay car . breakfast even free coffee , free net little immediate area except hold onto hand bag wallet . exceptionally noisy night despite 8th floor . give one big miss . 
 Oct 12 2009 	 charm landmark hotel go along friendliness care staff comfort 	 Dear EmmanuelBoth Alan appreciative thankful thehospitality staff show toward we throughtout ourstay San Francisco . make feel home verycomfortable Renoir . sorry miss chance totell personally . look forward meeting . feelcomfortable know entire staff reception throughthe housekeeping fine job . please keep touch . recommend friend stay you . have great evening . Lee Alan . 
 Sep 26 2009 	 run away cockroach catch ! 	 hotel history site filming & quot ; adult film & quot ; novelty fun - love city San Francisco . reality , however , hotel seedy good , dirty , ragged , old , offer incredibly poor customer service 's locate area not want walk night leave car . stay 2007 friend stay ( would tell make plan know ) . experience experience : HORRIBLE ! heater not work room , room tiny , outdated , shabby . really bad ' ve stay ever , say something . check late stay one night , shower not work , morning ask room change . help , whole place dreadful find another hotel rest stay . could not get prepaid room repay frankly worth leave pay double stay somewhere else . not single redeem feature hotel location . 
 Sep 8 2009 	 [ -- ] horrible 	 never write review , place bad tell world ! 3 girlfriend , spend weekend San Francisco . stay Renoir soon pull , scared . hotel 2 block & quot ; Tenderloin & quot ; district ... homeless people everywhere ( much like rest San Francisco , not bother much ) . comfortable outside hotel night ... soon walk couple block toward Union square , fine . hallway room smell like dirty foot hot butt . room really hot floor board squeak . leave windows open night fan . never see portable fan room S.F . ( stay really nice hotel ) . window open night street car , buss everything else pass . also club right underneath hotel play loud music like 2AM . checking , front desk attendant rude . name JoJo . smart alic make end stay bad . call car , take 35 minute valet return . not ever go ... horrible ! ! ! 
 Aug 4 2009 	 old style Hotel old style accommodation 	 Renoir first taste San Francisco leave mixed feeling four night stay . hotel well locate fringe CBD Market St right next transport . Hotel Foyer , staff check go without hitch . old Hotel definitely tired need good refurbishment . room face onto Market St right outside tram bus stop ... prove bad location elaborate later . bathroom big enough clean ... get additional pillow bed big issue window .... do not close properly curtain certainly need replace shoddy therefore let sun light . the bad aspect Hotel location poor part San Francisco number homeless people wander street day night . unfortunately camp tram / bus shelter night time keep constant barrage abuse yell early hour morning . Add Hotel stand corner two major street constantly seem emergency vehicle police blaring night . do not think get decent night sleep whilst woman party feel uncomfortable abt walk outside location lack reasonable good restaurant eatery . even advise police near Hotel avoid certain take away restaurant problem homeless people find restaurant recommend we Market St reasoanble food . would not recommend stay Hotel one big reason ..... sleep noise street well insulate Hotel . 
 Aug 2 2009 	 funky quirky . 	 love old hotel quirkiness . one lift not go difficulty find repacement part . room comfortable bed good . close city centre fringe city tourist area . 
 Jul 6 2009 	 Nightmare 	 anyone read , please stay away one . terrible chippy bathtub , broken shower . Nasty & amp ; smelly carpet . awful receptionist dance talk . Noisy hell , surround homeless thug wait drop guard . 28 $ valet service - no parking . would sleep car go agan . 
 Jul 5 2009 	 Gay Weekend 	 wife stay Renoir , . central certainly easy public transport airport . staff helpful . main downside staying noise . room 7th floor face Market street stay coincide weekend Gay celebration ... lot ot street noise reveller ( perhaps wrong term ) one night street cleaning equipment . lot homeless people street seem harmless enough . people remark , interesting neighbourhood . 
 Jun 24 2009 	 decent room great front desk staff 	 True 's good neighborhood , would not recommend stay young kid , honeymoon really special occasion , someone super - high standard want high - class hotel . advise strip club across street . could probably get loud traffice / street noise though top floor ( 7th ) cut noise . want place centrally locate SF 's cheap ( least rate get Priceline ) , fine . lobby nice staff average , friendly helpful . room clean comfy enough although one side bed sag . 's no - frill , old style room . guard walk around night neighborhood not think be particularly dangerous really , since close main street lot police light . I would recommend rate publish website , get $ 40 plus tax online look around first . 
