hey 	 boyfriend arrive chicago intention stay Sheffield House . really excite perfect location , walk distance everything ( include cheap amazing bakery breakfast north block opposite side street ) day travel want drop stuff start look city . staff : arrive hotel staff not exactly pleasant people quickly set we get one queen bedroom . get key pay ( refund way ) go room see sheet bed . gross . tell say not access laundry room linen closet ? long story short end spend first night sheet . haha throw sweater cuddle . be trooper . next morning wake 6 am basically beg overly polite get blanket . lot blanket actually . clean cover ball lint . well expect . strange thing : see picture people fridge microwave room ask . old lady claim never . ugh . whatever . none room jacuzzi , picture website . place little ' rustic ' picture website . cleanliness : carpet sticky , dry red stuff dresser drawer , cigarette burn mattress . bug , mold ( could see ) anything caliber . little grimy even bathroom not bad . doable week . get cold water shower , , huge deal . end day another thing sort laugh . oh someone steal battery tv remote . Location & amp ; cost : not think beat either . close train , bus stop , food , touristy thing , etc . next time visit amazing city thing ' m differently call ahead make sure sheet ! 
 Sep 5 2009 	 never go ( unless Desperate can not afford anything Else ) 	 bad motel ' ve ever . bad , Googled find website write review ; people need know , . bed not even fit sheet , two sheet blanket . would not give we extra pillow blanket . remote t.v . t.v . crap . clock , radiator corner heat , blind nothing block sun morning , iffy door lock , everything dirty , not even toilet paper roll holder , towel sit corner behind toilet , could either get hot cold water sink , , bathroom door barley shut , not even wan na try shower ! could hear people 's door shut , CTA EL run right past window , paint peel wall , oh , mention everything dirty ? clean thing bedding , thankfully . 
 Jun 26 2009 	 Omg ! ! ! 	 not know hotel safe house . hotel dirty , front desk actual check . arrive tell reservation , & quot ; front desk clerk & quot ; give we look word & quot ; reservation & quot ; sound foreign , short explanation reservation , hotel clerk decide warn we tell we check room make final decision . say room outdate would compliment . positive thing could say hotel ROACHTEL locate close Wrigley field . not even consider pay $ 65 night ridiculous . think people get pay stay hotel . 
 Nov 2 2008 	 roach quality either . 	 stay friend Halloween weekend , experience much reviewer . at $ 65 night , Sheffield far affordable hotel area . Wrigley Field block away , be close mass transit . everything else area two thee time expensive . however , nothing positive say hotel . staff terrible , interact be guest necessary evil . obscure rule : & quot ; visitor allow . & quot ; & quot ; anything leave room 11 am checkout consider abandon . & quot ; also , reviewer mention ' transient hotel ' , stay reinforced idea . the room , free insect review , abyssmal . ceiling water damage , mold , numerous defect every category . that say , be tight budget , Sheffield safe hotel great location . not expect anything . 
 Aug 11 2008 	 get kill bed bug 	 August 9,2008 book room shelffield house hotel well look room ok left go club check back 10:30 fall asleep around 11:00 pm wake iche 4:30 go bath room go pee come back look pillow tiny red bug crowle pillow smash t.p . ther red smeere inspect bad tree red bug sheet black calle front desk ask money back guy come want show could not tell liye 10 hour tell argue tell call th city inspecter tell call do not find thing trouble leave call 911 transfer inspector office tell lady get body check building thin tell happen give name phone number hung get thing gather whent stairs slame room key desk sleep car . 
 Aug 3 2008 	 Prior Reviews Harsh 	 friend drive 10 hour Chicago go Lollapalooza find prievously book hotel accidentally cancel reservation . well , long drive 3 morning , extremely tired upset wanted find somewhere stay . every hotel book , get desperate . accidentally stumble across House Hotel ask room . guy sweet give we two bedroom room $ 70 night . walk staircase recieve key room . 's old hotel , pretty well keep . cable television , free wi - fi , amazing air - conditioner . train 2 minute away walk , virtually smoke anywhere building . if be look fancy - shmancy hotel burn hole pocket , not go Sheffield House . would rather roof head , comfortable bed , cheap , check . 
 May 28 2008 	 Ummmm ! 	 basically transient hotel . yes , location awesome , suffer allergy , place . massive dirt everywhere . not even look dust monster stair . good thing look picture later see gross drip mark wall could not see dim , dingy lighting . elevator cute , slide money woman behind glass scary . mold bathroom also scary pink . strip bed comforter put several layer blanket , include two sleeping bag . feel pretty good protection not get rash anything like . come prepared dump not disappoint . room wide variety appliance though , include toaster oven , microwave , mini fridge . anyway , be really cheap place stay heart boy town door really thin , not scary dangerous sort way . would never , sort adventure . 
 May 26 2008 	 fine price 	 hotel not posh upmarket pay $ 50 night really not bad . room clean enough although stay 3 night never maid come service room . bathroom old date functional . location great boystown / north halste bar close train station . think fine price would stay . 
 Apr 29 2008 	 not stay ! ! ! ! ! ! ! ! 	 want cheap place pass go night . hear place not great figured would not bad hour sleep .. first , get lady desk rude mean , get go upstairs room hallway smell really bad , get room filthy , smell bad , stain carpet chair , stain bedsheet pillowcase , hair pillow , look like make attempt make bed .. definately not wash sheet pillowcase anything since last guest stay room , carpet filthy , furnature cigarette burn , everything disgusting .. not even want touch anything . ceiling light not work , fan look like go fall ceiling , electrical look dangerous , screen window , would not let we guest room .. even 15 min get ready go .. honestly would expect homeless shelter nice place .. highly recommend spend extra money real hotel .. even person two sleep floor .. would clean bed place ... ewwww 
 Oct 17 2007 	 dirty scarey place 	 stay weekend unfortunately Chicago marathon , hard find downtown hotel . outside hotel classic , vintage great neighborhood great ethnic restaurant coffeehouse . be use & quot ; european - type & quot ; hotel . but charm end . hotel room dirty , smelly ( cat urine cigarette ) , unsafe ( door not lock properly ) , phone cord rip wall . wall thin , luckily guy neigbore room , watch sitcom late night porn . stay 4 kid ? figure since hotel website , must ok . figured 'd & quot ; & quot ; day visit site . great story stay flop house . time , child definitely afraid stay . ' m amazed hotel exist , like homeless shelter volunteer . 
 Apr 11 2007 	 Faye 	 place right movie : hexagon tile floor , elevator hold four cage door close work . want visit Chicago , not mind rather simple place stay , want two block north scoreboard Wrigley ; . keep expect Faye Dunaway Jack friggin Nicholson come around corner anytime . bonus access redline el take downtown anything else might want visit : Lincoln Park Zoo , anything Michigan , museum , soldier field , etc . north ( away ballpark ) find latino neighborhood mexican grocery store wonderful panderia , right breakfast goody . several tavern location non - wrigleyville price . five stay , intend sixth summer . 
