quiet 	 celebrate wedding anniversary trip NYC enjoy quiet Ritz Carlton . room 6th Avenue , able see Central Park . room spacious , spotless serene . service impeccable . hotel highly recommend ! 
 Nov 5 2009 	 Finest hotel Manhattan 	 yes , nightly rate many people pay month rent- get pay . expedia special rate club lounge access especially appreciate . many hotel club lounge mean pretzel cheap chardonnay . Ritz , entail five different food drink serving day , arguably good restaurant city . every detail absolutely perfect . hotel give wood shoe box leave shoe outside room door end day ( one case , 1 ) next morning 7 am shoe return polished shined , complimentary ? 's exaggeration , probably succinct example set hotel apart . get elevator go room , one day stand beside prime minister Pakistan ; next day stand beside well known hollywood star ? trip need see famous folk & quot ; residence & quot ; Ritz ... save future NYC trip , stay way go anywhere else . 
 Nov 4 2009 	 spot punchy ! 	 stay 2 night business ( also book client ) nice - courteous check - in , helpful getting adapter ( toothpaste ) room immediately . happen birthday - idd bartender notice , beer later come 5 mini - cakes - really nice touch ! door staff bit - walk wear jean guy clearly think not go ! eat restaurant ... delicious . excellent ( US - sized ! ) portion , $ 230 2 people , 4 course , bottle wine couple glass ... hotel pricey , course , v v nice nice treat . also great location , since rain non - stop , not make park ... time .... 
 Oct 27 2009 	 Excellent Location ! 	 Fab hotel - fab location ... can not beat location - accross Central Park - Awesome staff , etc ... 
 Oct 5 2009 	 nice staff 	 stay enjoyable . stay 21st floor , pretty quiet , especially window close . AC bite loud normal , quite bearable & quot ; low & quot ; set . service ' honor bar ' bit expensive ( think $ 75 half - bottle veuve clicquot , $ 3.5 bottle ritz - brand water taste tap water , $ 7 small perrier ) . 
 Aug 26 2009 	 Faultless much improve 	 stay 4 night Club level Park View room - upgrade city view room , great . perhaps due recession hotel noticeably empty , work favour mean every need attend quickly . hotel also seem much less frenetic friendly . food Club Level superb plentiful mean family eat every meal , actually save money long run . make club lounge concierge redundant mean club mostly manage duty waiter bite annoying would never stay anywhere else ny ! ! 
 Aug 17 2009 	 Love place 	 stay sister 50th birthday . staff wonderful , room beautiful , although view , location perfect . restaurant , although room service . everyone doorman bartender outstanding , friendly ridiculously helpful . would make & quot ; stay New York & quot ; hotel not quite expensive . 
 Jul 26 2009 	 one New York 's Finest 	 treat mother quick one - night stay Ritz Carlton Central Park April 2009 . previously stay Ritz Carlton Battery Park , confident Central Park Ritz property would meet high expectation discriminate taste . apprehensive book interior - view room ( room type supply double bed request ) , spend little time room view ( lack thereof ) nonissue . hotel embodie refine , tasteful combination luxury unpretentious elegance . readily apparent everything silk upholstered wall lush linen , lavish bath Frédéric Fekkai amenity carefully choose comfort contentment guest hotel ' utmost priority . service also impeccable . mother greet courteously ( , course , name ) every staff member encounter throughout stay staff member kind enough remember birthday . fact , upon return room Gershwin Theatre , mother pleased find bed turn , soft , tasteful music playing room , lovely plate chocolate - cover strawberry accompany birthday greet General Manager . we fortunate enjoy nearly flawless stay eager return . tip : breakfast brunch , venture outside hotel Sarabeth ' ( two door hotel ) . food exquisite location ' beat ! try Cupcake Tea Star Lounge . mere $ 30 per person , sample 6 miniature cupcake nice cup tea . may sound bit pricy , experience well worth it . Don ' forget least $ 100.00 small bill ( five , ten , twenty ) available tipping first last day stay ( valet , doorman , bellman , concierge , housekeeping , etc ) approximately $ 50 per day available tipping throughout rest stay ( concierge , doorman , room service , housekeeping , etc . ) . 
 Jul 11 2009 	 Excellent 	 Excellent location . excellent staff member remember name time enter exit hotel . presentation Club lounge meet exceed hotel . say enough good thing recent stay ... Ritz Ritz .. get pay ..... return 
 Jun 22 2009 	 really kid Ritz rock anyway ! 	 spend week 5 & amp ; 7 year old blast . hotel absolutely gorgeous exactly kid - friendly Ritz ' ve . lobby sophisticated crowd elegantly dress / power NY . not comfortable hang kid late afternoon sightseeing dinner . however , say , hotel really go way take extra special care . arrive , kid receive stuff horse cookie leave room evening . also , attend Mary Poppins Broadway , return room find soundtrack play we complimentary keepsake . hotel room extremely spacious , absolutely gorgeous . in - room amenity top - notch . service impeccable . food delicious extremely expensive ( course , be Ritz , Central Park ) . doormen fabulous . blast . 
 Jun 8 2009 	 Wow 	 amazing stay even amazing service . go SFO return , suppose NYC time . offer complimentary usage Toilet refresh , without charge day . service room good . the proximity important location also close go morning walk , take special care head come back - Provide water , fruit etc . a real home away home . 
 Jun 7 2009 	 absolute fine NYC 	 year , stay many New York 's expensive hotel . many exceptionally strong hotel , Ritz Central Park South , continue favorite . first , location supurb , nice walk park , shopping transportation . hotel elegant romantic ( unless alone work ) . lobby bar area one favorite food ritz . room service top notch . even cheap room comfortable . 
 May 26 2009 	 surprisingly kid friendly 	 Chose stay location away main hustle bustle NYC tourism since travel 1 year old . doorman treat like queen never mind constant wave . aslo receive outlet cover baby shampoo etc ... even walk spa check girl give color book crayon encourage play exercise ball . member food service even hand cheese stick walk outside restaurant . child welcome big deal parent staff . adult concierge ok , redeem eye recommend terrific pizza place deliver . 
 May 21 2009 	 amazing 1 nyt NYC bcoz RC - Central Park ! 	 though stay night , fab experience NYC , start elegantly situate Ritz - Carlton Hotel face central park ! polite friendly doorman , professional front desk officer well - train staff escort room give brief orientation since new city . room amazing , partial park view side face beautiful residence . bed heaven - signature brand ! bit costly one nighter yet value worth ! though wish could stay long tell hotel book check - out noon offer option use spa want freshen offer store luggage could enjoy city bit - 's real service ! 
 May 17 2009 	 Perfect : seek go beyond 	 location great ; right entrance Central Park . service / staff simply well . 2,000,000 mile 1000 night overnight travel , stay dozen Ritz Carlton 's , would say professionalism service standpoint , good one . Palm Beach location 13 year ago . hard imagine property improve . 
 May 2 2009 	 good Hotel NYC - BAR none ! 	 stay four night ( wife ) Ritz Carlton , one good hotel experience ever , certainly well Nyc . main purpose attend series business meeting function , several held hotel . business meeting superbly arrange hotel staff . room adequate supply , pen , outlet , light , air , space , breakfast lunch set up well restaurant . lunch set ( break meeting ) everything curry chicken croisant mozzarella tomato salad . addition , always least two people standby near meeting room case need anything . the room , course , huge -- much large NYC -- partial view central park , large comfortable bathroom , great amenity . suggestion would make hotel upgrade room add iPod jack play music ; instead , find 1990 's Bose sound system cd player ( note Ritz -- one cd 's anymore ! ) . , flat screen tv comfortable bed make relaxing ( despite stress business ) stay . suggest get access Club level , drink appetizer virtually day . 
