sparkle 	 Good point Hotel : Location . the Room - excellent size comfortable bed . nice view Jubilee Gardens quiet . good bathroom tea tray always welcome . Nice Bar pleasant view London Eye . Helpful Concierge ( one . helpful ) breakfast buffet also good breakfast staff efficient pleasant . not good point : room ridiculously far away lift - talk 7 minute walk . foot injury struggle brisk trot require . one previous poster state wished golf buggy scooter ferry we down . secondly check staff brusque lack charm . London graduation ceremony would think way funeral , dour . Marriott Rewards membership , sometimes staff check upgrade . however occasion book another website staff attitude effectively reflect this . not welcome Hotel wish pleasant departure spend small fortune accomodation . the ATP tennis tournament O2 many resident either tennis player supporter . get impression part troope staff do not give toss . addition , lift cover advertising tournament find tacky bizarre . completely spoil ambience beautiful old building . we find one give we direction concierge . absent one morning ask doorman direct we Covent Garden vaguely point sky mumble . attempt get taxi via staff door useless well luck public street . acceptable 5 star hotel . my final gripe oh pay £ 15 day wi fi ( concierge try convince free ) go Starbucks coffee get free ? ? always stay Mariott ( work many year ago ) know extremely high standard training require staff always apparent Marriott stay . however next occasion return one another London . 
 good even kid 	 stay 3 night little man forst birthday say go well hotel near perfect . food brill , service perfect , clenliness perfect , describe . issue distance lift room - miles pram tough lovely view London eye jubilee gardens can not really complain . great location dead centre London . 
 Nov 22 2009 	 wonderful hotel great location 	 great hotel first trip London . location , next London Eye walk distance great many attraction . subway stop across bridge , Westminster Abbey Big Ben . hotel set back busy street quiet . be lovely , clean staff helpful . room large , comfortable clean . eat hotel , enjoy bar / lounge several evening . would definitely stay . 
 Nov 11 2009 	 Prefect stay London 	 service Hotel exceed expectation . staff always willing go extra step help . river View room , nice bit small 5 star hotel still nice . service make size room . location well . close everything , Eye outside room window . Great Service excellent location Hotel rank # 1 . ' m still amazed helpful staff . may idea place large family , single person couple fine well hotel anywhere . Value Inn good reason ( Location Location ) next time London consider Hotel . 
 Nov 9 2009 	 amazing service great location could not ask well ! 	 ever need stay london , surely stay . good stay , customer service , front desk , concierge top - notch people ' ve ever encounter hotel . everyone helpful , especially since not easy traveler .. check early , leave bag , mishap security lock stick bag need take onto plane next morning . incredibly kind girl front desk practically bent backwards help find someone else hotel could snip store security lock accidentally leave purchase make early day , question ask ) .our room gorgeous , view london eye . lovely bedding , great comforter , generally excellent above - the - marriott - standard accomodations.the minus : little bit walk waterloo station , be okay . walk actual room 3rd floor bizarre . since hotel use actually county hall house parliament , layout obviously not mean suit weary traveler . room locate 500 foot elevator . one point , tired walk basically give dinner . lazy self wish people mover , thought like scare suddenly imagine someone 's basement , play magic smelling like not shower week.great hotel , lovely location , lot good restaurant nearby , exceptional customer service . ask ? will definitely back ! 
 Nov 3 2009 	 romantic getaway place pamper ! 	 driving , truely experience come throught Arch ... rather grand experience never five star hotel . double deluxe breakfast + room view ( Room 235 ) right end corridor suite amazing . rather excited find two toilet two sink living room bedroom ! staff really professional polite ( wonder recruit place everyone wonderful charming personality ) view amazing make rather romantic staying love one . swim pool 6th floor amazing change room little toiletry cute - even ask waiter could take home cute little jar jam Ketchup ! top door man park car side pay £ 15 ; ) marvelous experience wonderful staff * * * P.s excellent location goetting anywhere London 
 Oct 30 2009 	 Perfect Place stay 	 location can not beat make top landmark easily walkable ... Tower Buckingham Palace , Parliament Big Ben right across street . TheCounty Hall building stunning . room outlet american hairdryer , mobile . the set - up coffee , $ $ fully stock frig , shower need anticipate guest need . concierge extremely helpful . negative : food , overprice even american fastfood standard ... option close . 
 Oct 18 2009 	 overprice overrated 	 great location , right next Thames River . roomy , old hotel . expensive , amenity would greatly appreciate , free internet . fridge microwave would also helpful . fridge stock drink , rig automatically incur charge move , even put back ! scary ! room view . window face work yard . quite sad , since hotel across Big Ben Parliament . room also distantly locate elevator . except location , would hesitant go back . rate way overprice amenity lack . wait check , european couple front seem stunned price amenity . hotel London well value less price . ' m sure traveler rate hotel highly . 
 oct 9 2009 	 highly overrated . 	 Marriott London County Hall highly overrated . maid service go luggage - open zipper search valuable . provide list service amenity . never come back hotel recommend other . 
 Oct 8 2009 	 Trip London 	 great time , stay Mariott near London Eye - touristy area hotel pool conveniently locate sight . 
 oct 8 2009 	 wonderful hotel thame 	 recently return two - week trip London Paris . London hotel - Marriott 's London County Hall - great central location , next London Eye attraction , yet extremley quiet sleeping . convenient access Tube , could anywhere zone 1 - 2 within 15 minute . need exercise walk around London , relax , hotel offer nice indoor pool swimming lap , great single - sex hot tub , sauna , step room ; access bit confusing say least . enjoy plentiful european breakfast executive lounge , well snack throughout day . service bit inconsistent ; example , receive one wine glass complimentary bottle wine upon arrival . since hotel know celebrate anniversary , think bid odd . nonetheless , definitely return hotel . 
 Oct 8 2009 	 Location Location Location ! 	 apologize late entry review . book 3 room ( 410 , 434 , & amp ; 436 ) stay , July 16 - July 19 . book one year advance order use Marriott point cover everything except 2 night one room , get senior rate 162.35 GBP . fourth floor , executive lounge , use . arrive private car mid - afternoon check problem . 2 3 room ready , bag take one room , freshen head . catch big Bus tour , right outside hotel entrance Westminster bridge . group consist 1 senior , 4 adult 2 teenager . everyone find tour enjoyable . fly night nice sit double decker bus listen . could long hold eye open , choose eat Cucina , right behind hotel . 6 7 meal good . also Ned 's noodle box , Subway , bagel shop , small liquor store starbuck locate street . mention previous review , find use famous glass door rear lobby . use glass door also get Waterloo station , far less crowded westminster station . try get Westminster bridge get station nightmare , especially lot people try stay together . westminster station 7 - 10 minute walk depend time day crowd . Waterloo 10 minute walk , crowd . entrance Waterloo close ( 5 minute ) however get train another 5 minute . also confuse get Waterloo seem like walk forever get back , think figured mistake last day . try look London Eye / Southbank exit try , might close . order prepay Oyster card trip . pre - loaded approx . 30 GBP . never worry right fare , swipe card go . end last journey , go customer service window ask refund remain balance card receive . location hotel ideal . close everything . walk Horseguards ( 10 - 12 minute ) crowd change guard Buckingham Palace . concierge helpful answer question regard different sight . room clean pleasant , window open , quiet plumbing problem . double bed roomy . one room rollaway still plenty room move . view , ask begin . comment bar , restaurant , pool spa use . room service breakfast one room ( include senior rate ) complaint . last morning experience dread fire alarm go . not loud since read previous review know expect . checkout go smooth , surprise hidden fee , order . problem use Marriott point . staff member encounter nice helpful . hotel overall awesome ! great time city stay hotel , centrally locate , make much well . complaint bed , horrible ( except rollaway , fine ) . bed & quot ; bowed & quot ; start side , would end middle . also , nightstand next bed right next bed roll much would hit head corner . ouch ! love London , definitely go back definitely stay hotel ! 
